track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Sir Lovealot (IRE),Adam Caffrey,7,Adrian McGuinness,14th,3 1/2 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Gentleman Jimmy (IRE),G. P. Halpin,0,William J. Fitzpatrick,13th,1 1/4 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,All Aboard (IRE),R. C. Colgan,0,John Joseph Murphy,12th,Nose,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Untouched (IRE),P. A. Harnett,7,Luke W. Comer,11th,Neck,4,9-9,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Beachmount Paddy (IRE),J. J. G. Ryan,7,T. G. McCourt,10th,1/2 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Bodean (IRE),R. P. Whelan,0,Jarlath P. Fahey,9th,1 3/4 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Miltonia (USA),W. M. Lordan,0,Henry de Bromhead,8th,3/4 l,3,9-3,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Khattaat (IRE),L. T. McAteer,3,Paul W. Flynn,7th,1 1/4 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Actually (IRE),G. F. Carroll,0,Michael Mulvany,6th,2 l,3,9-3,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Grant Wood (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,1 1/2 l,3,9-8b1,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Oh Cleo (IRE),C. T. Keane,0,G. M. Lyons,4th,Short Head,3,9-3,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,The Lute Player (IRE),Seamie Heffernan,0,Aidan O'Brien,3rd,2 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Westernesse (IRE),C. D. Hayes,0,D. K. Weld,2nd,Neck,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Marcher Lord (IRE),William James Lee,0,W. McCreery,1st,N/A,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Sir Lovealot (IRE),Adam Caffrey,7,Adrian McGuinness,14th,3 1/2 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Gentleman Jimmy (IRE),G. P. Halpin,0,William J. Fitzpatrick,13th,1 1/4 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,All Aboard (IRE),R. C. Colgan,0,John Joseph Murphy,12th,Nose,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Untouched (IRE),P. A. Harnett,7,Luke W. Comer,11th,Neck,4,9-9,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Beachmount Paddy (IRE),J. J. G. Ryan,7,T. G. McCourt,10th,1/2 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Bodean (IRE),R. P. Whelan,0,Jarlath P. Fahey,9th,1 3/4 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Miltonia (USA),W. M. Lordan,0,Henry de Bromhead,8th,3/4 l,3,9-3,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Khattaat (IRE),L. T. McAteer,3,Paul W. Flynn,7th,1 1/4 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Actually (IRE),G. F. Carroll,0,Michael Mulvany,6th,2 l,3,9-3,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Grant Wood (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,1 1/2 l,3,9-8b1,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Oh Cleo (IRE),C. T. Keane,0,G. M. Lyons,4th,Short Head,3,9-3,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,The Lute Player (IRE),Seamie Heffernan,0,Aidan O'Brien,3rd,2 l,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Westernesse (IRE),C. D. Hayes,0,D. K. Weld,2nd,Neck,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:00,N/A,15:00,Good (Good To Firm In Places),1m,Marcher Lord (IRE),William James Lee,0,W. McCreery,1st,N/A,3,9-8,-,True,17,1
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Dreal Deal (IRE),D. B. McMonagle,0,Ronan M. P. McNally,16th,9 1/2 l,7,9-7t,73,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Bridgehead (IRE),C. T. Keane,0,Noel Meade,15th,2 3/4 l,3,9-0b1,72,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Fox Leicester (IRE),Julie Burke,0,John Michael Burke,14th,3/4 l,6,9-7b,73,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Queens Command (IRE),Seamie Heffernan,0,Kevin Thomas Coleman,13th,1 l,3,9-0,72,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Morning Approach (IRE),William James Lee,0,W. McCreery,12th,1 1/2 l,4,9-5,71,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Bucky Larson (IRE),S. P. Bird,10,G. M. Lyons,11th,Head,7,10-4,84,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Church Mountain (IRE),D. King,7,Denis Hogan,10th,Head,4,9-12t,78,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Molly's Gamble (IRE),M. A. Enright,0,Mrs Denise Foster,9th,Neck,3,9-2tp,74,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Gradulations,W. M. Lordan,0,Andrew Oliver,8th,1 l,3,9-8,80,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Howyoulikethat (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,7th,1/2 l,5,9-12,78,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Snag It (IRE),Declan McDonogh,0,Matthew J. Smith,6th,Short Head,5,9-12,78,True,17,2
Navan Racing Results | 25th August 2022 15:35,N/A,15:35,Good (Good To Firm In Places),1m,Action Motion (IRE),M. P. Sheehy,3,Andrew Oliver,5th,1 1/2 l,3,8-10p,68,True,17,2
