track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,14:05,Good,2m 1f 40y,Kilfera,Rachael Blackmore,0,Ms M Mullins,5th,2 1/2 l,5,10-11,99,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Jerrari (IRE),K M Donoghue,0,Mrs J Harrington,4th,2 3/4 l,5,11-4p,96,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Oh So Charming,S Fitzgerald,0,D Queally,3rd,1 3/4 l,5,11-12ht,110,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Mic Drop (IRE),C M Quirke,3,D M O'Brien,2nd,4 1/4 l,6,11-12t1,109,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Kaptain Bay (IRE),D Meyler,0,N Meade,1st,N/A,4,10-10t,107,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Queenie St Clair (IRE),T Power Roche,5,E Sheehy,7th,Nose,5,11-5,100,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Scriabin (FR),M M McDonagh,0,P Griffin,6th,3/4 l,5,11-4h1,106,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Kilfera,Rachael Blackmore,0,Ms M Mullins,5th,2 1/2 l,5,10-11,99,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Jerrari (IRE),K M Donoghue,0,Mrs J Harrington,4th,2 3/4 l,5,11-4p,96,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Oh So Charming,S Fitzgerald,0,D Queally,3rd,1 3/4 l,5,11-12ht,110,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Mic Drop (IRE),C M Quirke,3,D M O'Brien,2nd,4 1/4 l,6,11-12t1,109,True,168,49
N/A,N/A,14:05,Good,2m 1f 40y,Kaptain Bay (IRE),D Meyler,0,N Meade,1st,N/A,4,10-10t,107,True,168,49
N/A,N/A,14:40,Good,2m 1f 40y,Half Past Tipsy (IRE),K M Donoghue,0,G P Cromwell,F,N/A,6,11-3h,109,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,First Dare (IRE),R A Berry,7,Liz Doyle,F,N/A,7,11-12,118,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,Mater Matuta (IRE),Rachael Blackmore,0,E D Delany,3rd,43 l,9,10-3p,95,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,Fratas (IRE),J C Gainford,0,M Mulvany,2nd,2 1/4 l,5,11-10,116,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,Letters To Juliet (IRE),P M O'Brien,7,P Downey,1st,N/A,7,10-0ht,92,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,Half Past Tipsy (IRE),K M Donoghue,0,G P Cromwell,F,N/A,6,11-3h,109,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,First Dare (IRE),R A Berry,7,Liz Doyle,F,N/A,7,11-12,118,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,Mater Matuta (IRE),Rachael Blackmore,0,E D Delany,3rd,43 l,9,10-3p,95,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,Fratas (IRE),J C Gainford,0,M Mulvany,2nd,2 1/4 l,5,11-10,116,True,168,50
N/A,N/A,14:40,Good,2m 1f 40y,Letters To Juliet (IRE),P M O'Brien,7,P Downey,1st,N/A,7,10-0ht,92,True,168,50
