track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 21st July 2024 14:10,N/A,14:10,Good,6f 63y,Regal Gem,D Nolan,0,Tony Coyle & Kaine Wood,5th,3/4 l,2,9-5,-,True,129,13
Curragh Racing Results | 21st July 2024 14:10,N/A,14:10,Good,6f 63y,Treasure Isle (IRE),G M Ryan,0,A P O'Brien,4th,Short Head,2,9-5,-,True,129,13
Curragh Racing Results | 21st July 2024 14:10,N/A,14:10,Good,6f 63y,California Dreamer,D Egan,0,A Murray,3rd,1 3/4 l,2,9-2,-,True,129,13
Curragh Racing Results | 21st July 2024 14:10,N/A,14:10,Good,6f 63y,Camille Pissarro (IRE),R L Moore,0,A P O'Brien,2nd,1/2 l,2,9-5,-,True,129,13
Curragh Racing Results | 21st July 2024 14:10,N/A,14:10,Good,6f 63y,Babouche,C T Keane,0,G M Lyons,1st,N/A,2,9-2,-,True,129,13
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Gobi Star (IRE),N M Crosse,0,J Barcoe,12th,1 l,6,9-0,66,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Abiding Star (IRE),C D Hayes,0,John Hayes,11th,2 3/4 l,3,9-1,71,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Valentino Express (IRE),J A Powell,3,D J Bunyan,10th,1 1/4 l,3,8-9t,65,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Maggie Mcgrath (IRE),W Joyce,5,Daniel Murphy,9th,Short Head,4,9-9p,75,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,I'm Spartacus (IRE),R P Cleary,0,A McGuinness,8th,1 1/4 l,3,8-8,64,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Eruption (IRE),D P McDonogh,0,M J Smith,7th,Neck,5,9-2b,68,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Ostraka (IRE),D McMonagle,0,Daniel Murphy,6th,Nose,4,9-13b,79,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,She's Smart (IRE),Adam Caffrey,3,A McGuinness,5th,1/2 l,3,8-12h,68,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Pansy Poe (IRE),J M Sheridan,0,J A Stack,4th,Neck,3,9-7,77,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Nouvel Espoir (IRE),B M Coen,0,J Barcoe,3rd,2 l,4,8-13,65,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Kendall Roy,H J Horgan,5,Miss K McGivern,2nd,1/2 l,3,10-2t,86,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Mary Shoelaces (IRE),M W Hassett,5,E & P Harty,1st,N/A,3,8-7b,60,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Gobi Star (IRE),N M Crosse,0,J Barcoe,12th,1 l,6,9-0,66,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Abiding Star (IRE),C D Hayes,0,John Hayes,11th,2 3/4 l,3,9-1,71,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Valentino Express (IRE),J A Powell,3,D J Bunyan,10th,1 1/4 l,3,8-9t,65,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Maggie Mcgrath (IRE),W Joyce,5,Daniel Murphy,9th,Short Head,4,9-9p,75,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,I'm Spartacus (IRE),R P Cleary,0,A McGuinness,8th,1 1/4 l,3,8-8,64,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Eruption (IRE),D P McDonogh,0,M J Smith,7th,Neck,5,9-2b,68,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Ostraka (IRE),D McMonagle,0,Daniel Murphy,6th,Nose,4,9-13b,79,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,She's Smart (IRE),Adam Caffrey,3,A McGuinness,5th,1/2 l,3,8-12h,68,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Pansy Poe (IRE),J M Sheridan,0,J A Stack,4th,Neck,3,9-7,77,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Nouvel Espoir (IRE),B M Coen,0,J Barcoe,3rd,2 l,4,8-13,65,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Kendall Roy,H J Horgan,5,Miss K McGivern,2nd,1/2 l,3,10-2t,86,True,129,14
Curragh Racing Results | 21st July 2024 14:45,N/A,14:45,Good,5f,Mary Shoelaces (IRE),M W Hassett,5,E & P Harty,1st,N/A,3,8-7b,60,True,129,14
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Ano Syra (IRE),W J Lee,0,J Feane,NR,N/A,5,9-7,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Norwalk Havoc,S Foley,0,Mrs J Harrington,NR,N/A,3,9-3t1,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Mountain Bear (IRE),R L Moore,0,A P O'Brien,6th,11 l,3,9-3,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,I Am Superman (IRE),J A Heffernan,0,M O'Callaghan,5th,4 3/4 l,8,9-10tb1,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Gregarina (FR),D McMonagle,0,J P O'Brien,4th,1 1/4 l,5,9-7h,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Mutasarref,C T Keane,0,G M Lyons,3rd,1 1/4 l,6,9-10,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Lord Massusus (IRE),G F Carroll,0,J G Murphy,2nd,3 3/4 l,4,9-10,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Poet Master (IRE),S H James,0,K R Burke,1st,N/A,4,9-10,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Ano Syra (IRE),W J Lee,0,J Feane,NR,N/A,5,9-7,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Norwalk Havoc,S Foley,0,Mrs J Harrington,NR,N/A,3,9-3t1,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Mountain Bear (IRE),R L Moore,0,A P O'Brien,6th,11 l,3,9-3,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,I Am Superman (IRE),J A Heffernan,0,M O'Callaghan,5th,4 3/4 l,8,9-10tb1,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Gregarina (FR),D McMonagle,0,J P O'Brien,4th,1 1/4 l,5,9-7h,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Mutasarref,C T Keane,0,G M Lyons,3rd,1 1/4 l,6,9-10,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Lord Massusus (IRE),G F Carroll,0,J G Murphy,2nd,3 3/4 l,4,9-10,-,True,129,15
Curragh Racing Results | 21st July 2024 15:15,N/A,15:15,Good,7f,Poet Master (IRE),S H James,0,K R Burke,1st,N/A,4,9-10,-,True,129,15
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Serious Notions,C T Keane,0,G M Lyons,13th,3 3/4 l,3,9-6,88,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Dagoda (IRE),C J MacRedmond,5,Miss Jennifer Anne Lynch,12th,Neck,6,9-6,80,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Whisper A Prayer (IRE),M W Hassett,5,J P O'Brien,11th,1 1/2 l,3,8-8,76,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Breathe Again (IRE),Siobhan Rutledge,3,S Lavery,10th,3/4 l,3,8-7p,75,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Glen Princess (IRE),B M Coen,0,J P Murtagh,9th,1/2 l,3,8-11t1,79,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Darkdeserthighway (IRE),J A Heffernan,0,M O'Callaghan,8th,1/2 l,6,8-11b,71,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Simply Sideways (IRE),Amy Jo Hayes,7,T Doyle,7th,1/2 l,7,10-0,88,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Karlsberg (IRE),D McMonagle,0,S Crawley,6th,Head,6,8-12,72,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Back Down Under (IRE),C D Hayes,0,P Roche,5th,1 1/4 l,3,8-11,79,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Four Blondes (IRE),S Foley,0,R O'Sullivan,4th,Nose,3,9-3,85,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Indigo Five (IRE),W Joyce,5,J Feane,3rd,3/4 l,5,9-7,81,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Alabama Calling (IRE),J J G Ryan,5,D Marnane,2nd,6 1/2 l,3,8-9,77,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Vera's Secret (IRE),N M Crosse,0,J Feane,1st,N/A,5,8-8,68,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Serious Notions,C T Keane,0,G M Lyons,13th,3 3/4 l,3,9-6,88,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Dagoda (IRE),C J MacRedmond,5,Miss Jennifer Anne Lynch,12th,Neck,6,9-6,80,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Whisper A Prayer (IRE),M W Hassett,5,J P O'Brien,11th,1 1/2 l,3,8-8,76,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Breathe Again (IRE),Siobhan Rutledge,3,S Lavery,10th,3/4 l,3,8-7p,75,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Glen Princess (IRE),B M Coen,0,J P Murtagh,9th,1/2 l,3,8-11t1,79,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Darkdeserthighway (IRE),J A Heffernan,0,M O'Callaghan,8th,1/2 l,6,8-11b,71,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Simply Sideways (IRE),Amy Jo Hayes,7,T Doyle,7th,1/2 l,7,10-0,88,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Karlsberg (IRE),D McMonagle,0,S Crawley,6th,Head,6,8-12,72,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Back Down Under (IRE),C D Hayes,0,P Roche,5th,1 1/4 l,3,8-11,79,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Four Blondes (IRE),S Foley,0,R O'Sullivan,4th,Nose,3,9-3,85,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Indigo Five (IRE),W Joyce,5,J Feane,3rd,3/4 l,5,9-7,81,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Alabama Calling (IRE),J J G Ryan,5,D Marnane,2nd,6 1/2 l,3,8-9,77,True,129,16
Curragh Racing Results | 21st July 2024 15:45,N/A,15:45,Good,1m,Vera's Secret (IRE),N M Crosse,0,J Feane,1st,N/A,5,8-8,68,True,129,16
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Villanova Queen (IRE),S Foley,0,Mrs J Harrington,NR,N/A,5,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Enfranchise (IRE),G M Ryan,0,J J Hanlon,NR,N/A,6,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Sparks Fly,Laura Pearson,0,D Loughnane,5th,2 3/4 l,4,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Jackie Oh (IRE),R L Moore,0,A P O'Brien,4th,2 3/4 l,4,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Caernarfon,R P Whelan,0,J Channon,3rd,Neck,4,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,American Sonja,D McMonagle,0,J P O'Brien,2nd,2 3/4 l,4,9-12,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Royal Dress (IRE),B M Coen,0,J Tate,1st,N/A,4,9-9h,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Villanova Queen (IRE),S Foley,0,Mrs J Harrington,NR,N/A,5,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Enfranchise (IRE),G M Ryan,0,J J Hanlon,NR,N/A,6,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Sparks Fly,Laura Pearson,0,D Loughnane,5th,2 3/4 l,4,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Jackie Oh (IRE),R L Moore,0,A P O'Brien,4th,2 3/4 l,4,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Caernarfon,R P Whelan,0,J Channon,3rd,Neck,4,9-9,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,American Sonja,D McMonagle,0,J P O'Brien,2nd,2 3/4 l,4,9-12,-,True,129,17
Curragh Racing Results | 21st July 2024 16:20,N/A,16:20,Good,1m 1f,Royal Dress (IRE),B M Coen,0,J Tate,1st,N/A,4,9-9h,-,True,129,17
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Pearl Jewel (IRE),S Foley,0,C Timmons,NR,N/A,3,9-3,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Loch Awe (IRE),R P Whelan,0,B W Duke,11th,12 l,5,10-0p,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Hollies Choice (IRE),W Joyce,5,O McKiernan,10th,23 l,5,10-0t,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Aztec Sun (IRE),D P McDonogh,0,J P O'Brien,9th,4 3/4 l,3,9-8t1,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Valjean (IRE),N G McCullagh,0,Charles Weld,8th,1/2 l,3,9-8,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Kaptain Bay (IRE),C T Keane,0,N Meade,7th,1 1/4 l,3,9-8,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Sidiza (IRE),C D Hayes,0,D K Weld,6th,2 l,3,9-3,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Ice Opera (IRE),R C Colgan,0,S Lavery,5th,1 1/4 l,3,9-3h,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Polaris Dancer (IRE),J A Heffernan,0,W P Browne,4th,1 3/4 l,3,9-8p1,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Kalkanli,B M Coen,0,J P Murtagh,3rd,3 3/4 l,3,9-8,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Rosso (IRE),D McMonagle,0,J P O'Brien,2nd,1 1/2 l,3,9-8,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Ephesus (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-8p1,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Pearl Jewel (IRE),S Foley,0,C Timmons,NR,N/A,3,9-3,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Loch Awe (IRE),R P Whelan,0,B W Duke,11th,12 l,5,10-0p,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Hollies Choice (IRE),W Joyce,5,O McKiernan,10th,23 l,5,10-0t,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Aztec Sun (IRE),D P McDonogh,0,J P O'Brien,9th,4 3/4 l,3,9-8t1,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Valjean (IRE),N G McCullagh,0,Charles Weld,8th,1/2 l,3,9-8,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Kaptain Bay (IRE),C T Keane,0,N Meade,7th,1 1/4 l,3,9-8,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Sidiza (IRE),C D Hayes,0,D K Weld,6th,2 l,3,9-3,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Ice Opera (IRE),R C Colgan,0,S Lavery,5th,1 1/4 l,3,9-3h,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Polaris Dancer (IRE),J A Heffernan,0,W P Browne,4th,1 3/4 l,3,9-8p1,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Kalkanli,B M Coen,0,J P Murtagh,3rd,3 3/4 l,3,9-8,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Rosso (IRE),D McMonagle,0,J P O'Brien,2nd,1 1/2 l,3,9-8,-,True,129,18
Curragh Racing Results | 21st July 2024 16:55,N/A,16:55,Good,1m 4f,Ephesus (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-8p1,-,True,129,18
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Mighty Mo Missouri (IRE),Ryan Sands,0,Mrs J Harrington,,N/A,5,12-3t,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Pacini,Diane Scannell,0,G Elliott,13th,14 l,4,12-6,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Stuzzikini (IRE),Ryan Sands,0,G Elliott,12th,13 l,6,12-6,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Lookondebrightside (IRE),Ms S Quirke,0,Peter Fahey,11th,2 3/4 l,8,12-0,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Game Eagle (IRE),Miss H Mackenzie,0,A Slattery,10th,Neck,4,12-0,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Chica Linda (IRE),Stephanie Carter,0,James Andrew Fahey,9th,3 3/4 l,4,11-12,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Derby De Thaix (FR),A O'Donoghue,0,James Andrew Fahey,8th,2 1/4 l,11,12-0,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Chicago Storm,Brian Mulvey,0,C Timmons,7th,4 1/4 l,5,12-0t,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Spring Collection,Conor O'Hara,0,D H Kelly,6th,1 1/4 l,4,11-9,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,If You Let Me,Joanne Quirke,0,G P Cromwell,5th,4 3/4 l,5,12-3,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Faux Fur (FR),Jenny Fitzsimons,0,G Elliott,4th,1/2 l,5,11-12,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Endless Pursuit (IRE),N Byrne,0,Mrs J Harrington,3rd,8 1/2 l,4,11-9,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Jungle Cove (IRE),Bridgit Speirs,0,Mrs J Harrington,2nd,4 3/4 l,7,12-3,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Ndaawi,Megan O'Leary,0,G Elliott,1st,N/A,4,12-3,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Mighty Mo Missouri (IRE),Ryan Sands,0,Mrs J Harrington,,N/A,5,12-3t,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Pacini,Diane Scannell,0,G Elliott,13th,14 l,4,12-6,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Stuzzikini (IRE),Ryan Sands,0,G Elliott,12th,13 l,6,12-6,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Lookondebrightside (IRE),Ms S Quirke,0,Peter Fahey,11th,2 3/4 l,8,12-0,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Game Eagle (IRE),Miss H Mackenzie,0,A Slattery,10th,Neck,4,12-0,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Chica Linda (IRE),Stephanie Carter,0,James Andrew Fahey,9th,3 3/4 l,4,11-12,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Derby De Thaix (FR),A O'Donoghue,0,James Andrew Fahey,8th,2 1/4 l,11,12-0,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Chicago Storm,Brian Mulvey,0,C Timmons,7th,4 1/4 l,5,12-0t,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Spring Collection,Conor O'Hara,0,D H Kelly,6th,1 1/4 l,4,11-9,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,If You Let Me,Joanne Quirke,0,G P Cromwell,5th,4 3/4 l,5,12-3,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Faux Fur (FR),Jenny Fitzsimons,0,G Elliott,4th,1/2 l,5,11-12,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Endless Pursuit (IRE),N Byrne,0,Mrs J Harrington,3rd,8 1/2 l,4,11-9,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Jungle Cove (IRE),Bridgit Speirs,0,Mrs J Harrington,2nd,4 3/4 l,7,12-3,-,True,129,19
Curragh Racing Results | 21st July 2024 17:30,N/A,17:30,N/A,1m 4f,Ndaawi,Megan O'Leary,0,G Elliott,1st,N/A,4,12-3,-,True,129,19
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Edge Of Darkness (IRE),L T McAteer,0,D Hogan,NR,N/A,4,9-6p,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Lohengrin,C T Keane,0,E O'Connell,NR,N/A,4,9-6t,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Girl Crush (IRE),G M Ryan,0,G B Caldwell,9th,8 1/2 l,5,9-2p1,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Tasmanian Girl (IRE),Siobhan Rutledge,3,Aengus King,8th,4 1/4 l,4,9-2,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Chica Power (IRE),W Joyce,5,C Collins,7th,6 l,6,8-10p,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Autocrat (IRE),J M Sheridan,0,D Hogan,6th,1/2 l,4,9-6tp,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Cordouan (FR),C J MacRedmond,5,A McGuinness,5th,1 l,6,8-12,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Dumb Love (IRE),D S O'Sullivan,10,Gerard O'Leary,4th,1 3/4 l,4,10-2tp1,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Santa Catarina,J J G Ryan,5,W P Browne,3rd,3 1/2 l,5,8-10h,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Quick Blessing (IRE),R Whearty,5,C Moore,2nd,7 l,4,9-0,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Magnetic North (IRE),D McMonagle,0,Ian Donoghue,1st,N/A,9,9-6v,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Edge Of Darkness (IRE),L T McAteer,0,D Hogan,NR,N/A,4,9-6p,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Lohengrin,C T Keane,0,E O'Connell,NR,N/A,4,9-6t,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Girl Crush (IRE),G M Ryan,0,G B Caldwell,9th,8 1/2 l,5,9-2p1,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Tasmanian Girl (IRE),Siobhan Rutledge,3,Aengus King,8th,4 1/4 l,4,9-2,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Chica Power (IRE),W Joyce,5,C Collins,7th,6 l,6,8-10p,-,True,129,20
Ballinrobe Racing Results | 22nd July 2024 17:10,N/A,17:10,Yielding To Soft,1m 1f 126y,Autocrat (IRE),J M Sheridan,0,D Hogan,6th,1/2 l,4,9-6tp,-,True,129,20
