track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Las Vegas Nevada (IRE),N M Crosse,0,A McNamara,14th,14 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Ulfhada (IRE),W Joyce,5,A Sexton,13th,1 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Gregorina (IRE),Adam Caffrey,5,A McGuinness,12th,4 3/4 l,3,9-3v,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Gleaning (IRE),J Cleary,7,A P O'Brien,11th,Neck,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Dancing Steve (IRE),C J MacRedmond,5,A McGuinness,10th,6 1/2 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Boskill Carmel (IRE),S Foley,0,J P Fahey,9th,2 3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Step To Somewhere,L F Roche,0,D K Weld,8th,2 3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Punta Coco (IRE),W J Lee,0,N Lupini,7th,3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,T Or Coffey (IRE),L T McAteer,0,Paul Mulligan,6th,Neck,3,9-8tp1,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Sportingsilvermine (IRE),H J Horgan,5,D Hogan,5th,1 1/2 l,3,9-8p1,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Mickey Cohen (IRE),J A Powell,3,N Meade,4th,3 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Latin (IRE),J M Sheridan,0,D Hogan,3rd,Short Head,3,9-8t,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Robbies Rock,G F Carroll,0,G P Cromwell,2nd,3 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Leinster (IRE),D McMonagle,0,J P O'Brien,1st,N/A,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Las Vegas Nevada (IRE),N M Crosse,0,A McNamara,14th,14 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Ulfhada (IRE),W Joyce,5,A Sexton,13th,1 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Gregorina (IRE),Adam Caffrey,5,A McGuinness,12th,4 3/4 l,3,9-3v,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Gleaning (IRE),J Cleary,7,A P O'Brien,11th,Neck,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Dancing Steve (IRE),C J MacRedmond,5,A McGuinness,10th,6 1/2 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Boskill Carmel (IRE),S Foley,0,J P Fahey,9th,2 3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Step To Somewhere,L F Roche,0,D K Weld,8th,2 3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Punta Coco (IRE),W J Lee,0,N Lupini,7th,3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,T Or Coffey (IRE),L T McAteer,0,Paul Mulligan,6th,Neck,3,9-8tp1,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Sportingsilvermine (IRE),H J Horgan,5,D Hogan,5th,1 1/2 l,3,9-8p1,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Mickey Cohen (IRE),J A Powell,3,N Meade,4th,3 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Latin (IRE),J M Sheridan,0,D Hogan,3rd,Short Head,3,9-8t,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Robbies Rock,G F Carroll,0,G P Cromwell,2nd,3 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Leinster (IRE),D McMonagle,0,J P O'Brien,1st,N/A,3,9-8,-,True,118,1
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Arctic Fly (IRE),S F O'Keeffe,0,W P Mullins,6th,11 l,6,11-7,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Karia Des Blaises (FR),D E Mullins,0,W P Mullins,5th,13 l,4,10-8,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Effernock Fizz (IRE),J P Shinnick,7,C Collins,4th,9 1/2 l,9,10-9tp,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Anna Bunina (FR),A Harvey,7,J C McConnell,3rd,1/2 l,8,10-9t,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Media Naranja (IRE),C P Millar,7,G Elliott,2nd,4 l,5,11-3,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Shecouldbeanything (IRE),Sam Ewing,0,G Elliott,1st,N/A,7,11-7t,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Arctic Fly (IRE),S F O'Keeffe,0,W P Mullins,6th,11 l,6,11-7,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Karia Des Blaises (FR),D E Mullins,0,W P Mullins,5th,13 l,4,10-8,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Effernock Fizz (IRE),J P Shinnick,7,C Collins,4th,9 1/2 l,9,10-9tp,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Anna Bunina (FR),A Harvey,7,J C McConnell,3rd,1/2 l,8,10-9t,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Media Naranja (IRE),C P Millar,7,G Elliott,2nd,4 l,5,11-3,-,True,118,2
Listowel Racing Results | 1st June 2024 14:25,N/A,14:25,Good (Good To Yielding In Places),2m 100y,Shecouldbeanything (IRE),Sam Ewing,0,G Elliott,1st,N/A,7,11-7t,-,True,118,2
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Ely Bandero (IRE),Mr C J Shine,7,Ms Debbie Hartnett,12th,60 l,5,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Mirado (IRE),A P Kelly,5,P Byrne,11th,2 1/2 l,5,10-11,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Easky Maid (IRE),J G Gilligan,7,Edward P Mitchell,10th,3 1/2 l,5,10-11,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Winston's Way (IRE),D J O'Keeffe,0,E Bolger,9th,36 l,5,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Nevereverever (IRE),S W Flanagan,0,J J Murphy,8th,6 1/2 l,5,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Aspurofthemoment (IRE),P Byrnes,3,E M O'Sullivan,7th,Neck,5,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Hackney Hill (IRE),M M McDonagh,0,E J O'Grady,6th,3/4 l,6,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Spoilt For Choice (IRE),Mr Alan O'Sullivan,7,E M O'Sullivan,5th,8 l,6,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Syracus Du Houx (FR),P T Enright,0,O McKiernan,4th,9 1/2 l,6,11-4tp1,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Sionnach Eile (IRE),D E Mullins,0,J G Murphy,3rd,2 1/2 l,7,11-12,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Pahlavi (IRE),P Hanlon,7,J J Hanlon,2nd,1 1/4 l,7,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Jet Setting Jim (IRE),M J M O'Sullivan,0,J Queally,1st,N/A,7,11-12,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Ely Bandero (IRE),Mr C J Shine,7,Ms Debbie Hartnett,12th,60 l,5,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Mirado (IRE),A P Kelly,5,P Byrne,11th,2 1/2 l,5,10-11,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Easky Maid (IRE),J G Gilligan,7,Edward P Mitchell,10th,3 1/2 l,5,10-11,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Winston's Way (IRE),D J O'Keeffe,0,E Bolger,9th,36 l,5,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Nevereverever (IRE),S W Flanagan,0,J J Murphy,8th,6 1/2 l,5,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Aspurofthemoment (IRE),P Byrnes,3,E M O'Sullivan,7th,Neck,5,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Hackney Hill (IRE),M M McDonagh,0,E J O'Grady,6th,3/4 l,6,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Spoilt For Choice (IRE),Mr Alan O'Sullivan,7,E M O'Sullivan,5th,8 l,6,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Syracus Du Houx (FR),P T Enright,0,O McKiernan,4th,9 1/2 l,6,11-4tp1,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Sionnach Eile (IRE),D E Mullins,0,J G Murphy,3rd,2 1/2 l,7,11-12,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Pahlavi (IRE),P Hanlon,7,J J Hanlon,2nd,1 1/4 l,7,11-4,-,True,118,3
Listowel Racing Results | 1st June 2024 15:00,N/A,15:00,Good (Good To Yielding In Places),2m 100y,Jet Setting Jim (IRE),M J M O'Sullivan,0,J Queally,1st,N/A,7,11-12,-,True,118,3
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Kudasheva (IRE),Non Runner,4,H De Bromhead,NR,N/A,6,10-11t,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Hellascope,P Byrnes,0,D Hassett,PU,N/A,5,11-4,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Barrakilla Vage (IRE),J G Gilligan,4,E M O'Sullivan,10th,16 l,5,11-4,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Diamond Duke (IRE),A P Kelly,2,M F Morris,9th,30 l,5,11-4tp,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Granda George (IRE),G B Noonan,2,E McCarthy,8th,4 1/2 l,7,11-4,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Head For Home (IRE),J I Duggan,4,O McKiernan,7th,Head,4,10-12,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Meadow Soprano (DEN),A Harvey,4,J C McConnell,6th,2 3/4 l,6,11-5,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Master Of The Sums,J P Shinnick,4,E M O'Sullivan,5th,6 l,5,11-4,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,La Vega Moon (IRE),P Hanlon,4,J J Hanlon,4th,11 l,6,11-4p,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Napper Tandy,J Smith,4,M J Smith,3rd,4 1/2 l,6,11-12t,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,How About No (FR),O R Brown,2,J P O'Brien,2nd,7 l,4,11-6,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Heroes Rise (IRE),C P Millar,4,G Elliott,1st,N/A,4,10-12,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Kudasheva (IRE),Non Runner,4,H De Bromhead,NR,N/A,6,10-11t,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Hellascope,P Byrnes,0,D Hassett,PU,N/A,5,11-4,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Barrakilla Vage (IRE),J G Gilligan,4,E M O'Sullivan,10th,16 l,5,11-4,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Diamond Duke (IRE),A P Kelly,2,M F Morris,9th,30 l,5,11-4tp,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Granda George (IRE),G B Noonan,2,E McCarthy,8th,4 1/2 l,7,11-4,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Head For Home (IRE),J I Duggan,4,O McKiernan,7th,Head,4,10-12,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Meadow Soprano (DEN),A Harvey,4,J C McConnell,6th,2 3/4 l,6,11-5,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Master Of The Sums,J P Shinnick,4,E M O'Sullivan,5th,6 l,5,11-4,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,La Vega Moon (IRE),P Hanlon,4,J J Hanlon,4th,11 l,6,11-4p,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Napper Tandy,J Smith,4,M J Smith,3rd,4 1/2 l,6,11-12t,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,How About No (FR),O R Brown,2,J P O'Brien,2nd,7 l,4,11-6,-,True,118,4
Listowel Racing Results | 1st June 2024 15:35,N/A,15:35,Good (Good To Yielding In Places),2m 4f 80y,Heroes Rise (IRE),C P Millar,4,G Elliott,1st,N/A,4,10-12,-,True,118,4
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Seasett,,0,J J Hanlon,NR,N/A,6,12-0p,102,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Sainte Baol (FR),Sam Ewing,0,G Elliott,PU,N/A,6,12-0,102,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Mullaghmore Wave (IRE),B W Harvey,0,J C McConnell,PU,N/A,9,11-9t,97,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Sovereign Duke (GER),P Hanlon,7,J J Hanlon,F,N/A,9,11-3b,91,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Blackcastle Storm,J Smith,7,M J Smith,15th,2 1/4 l,7,11-3ht,91,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Top Line Tommy (IRE),M M McDonagh,0,E J O'Grady,14th,2 l,8,11-13,101,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Marciano (IRE),D E Mullins,0,E J O'Grady,13th,43 l,6,12-0h,102,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,All Walks Of Life (IRE),S D Torrens,0,M Hourigan,12th,Neck,6,11-7p,95,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Upthereforthinking (IRE),S W Flanagan,0,G P Cromwell,11th,Neck,5,11-11p1,99,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Hill Rocket (IRE),C P Millar,0,C Collins,10th,1 1/4 l,6,11-8,96,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Knockbrack Rambler (IRE),D J O'Keeffe,0,Brendan Walsh,9th,9 1/2 l,7,11-7,95,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Chatterbox (IRE),M J M O'Sullivan,0,J J Murphy,8th,1 l,5,11-5,93,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Fromheretoeternity (IRE),K C Sexton,0,D Queally,7th,3/4 l,7,11-1t,89,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Champagne Saloon (IRE),S F O'Keeffe,0,S Aherne,6th,2 l,8,11-4h,92,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Tullyveery Lad (IRE),A P Kelly,5,R P Cody,5th,3 1/4 l,8,11-12,100,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Tipp For Mac (IRE),T Joseph Kelly,7,T Cooper,4th,8 1/2 l,7,11-7,95,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Spring Meadow (IRE),C P McNamara,0,E McNamara,3rd,4 1/2 l,7,11-11t,99,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Jake Peter (IRE),P T Enright,0,M A Cahill,2nd,2 1/4 l,10,11-10,98,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Our Bobby (IRE),E Walsh,0,J M Burke,1st,N/A,7,11-13h,101,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Seasett,,0,J J Hanlon,NR,N/A,6,12-0p,102,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Sainte Baol (FR),Sam Ewing,0,G Elliott,PU,N/A,6,12-0,102,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Mullaghmore Wave (IRE),B W Harvey,0,J C McConnell,PU,N/A,9,11-9t,97,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Sovereign Duke (GER),P Hanlon,7,J J Hanlon,F,N/A,9,11-3b,91,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Blackcastle Storm,J Smith,7,M J Smith,15th,2 1/4 l,7,11-3ht,91,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Top Line Tommy (IRE),M M McDonagh,0,E J O'Grady,14th,2 l,8,11-13,101,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Marciano (IRE),D E Mullins,0,E J O'Grady,13th,43 l,6,12-0h,102,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,All Walks Of Life (IRE),S D Torrens,0,M Hourigan,12th,Neck,6,11-7p,95,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Upthereforthinking (IRE),S W Flanagan,0,G P Cromwell,11th,Neck,5,11-11p1,99,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Hill Rocket (IRE),C P Millar,0,C Collins,10th,1 1/4 l,6,11-8,96,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Knockbrack Rambler (IRE),D J O'Keeffe,0,Brendan Walsh,9th,9 1/2 l,7,11-7,95,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Chatterbox (IRE),M J M O'Sullivan,0,J J Murphy,8th,1 l,5,11-5,93,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Fromheretoeternity (IRE),K C Sexton,0,D Queally,7th,3/4 l,7,11-1t,89,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Champagne Saloon (IRE),S F O'Keeffe,0,S Aherne,6th,2 l,8,11-4h,92,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Tullyveery Lad (IRE),A P Kelly,5,R P Cody,5th,3 1/4 l,8,11-12,100,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Tipp For Mac (IRE),T Joseph Kelly,7,T Cooper,4th,8 1/2 l,7,11-7,95,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Spring Meadow (IRE),C P McNamara,0,E McNamara,3rd,4 1/2 l,7,11-11t,99,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Jake Peter (IRE),P T Enright,0,M A Cahill,2nd,2 1/4 l,10,11-10,98,True,118,5
Listowel Racing Results | 1st June 2024 16:10,N/A,16:10,Good (Good To Yielding In Places),2m 4f 80y,Our Bobby (IRE),E Walsh,0,J M Burke,1st,N/A,7,11-13h,101,True,118,5
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,Benny The Duke (IRE),A P Kelly,5,R P Cody,PU,N/A,7,11-2,111,True,118,6
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,Ceroc (IRE),M M McDonagh,0,E J O'Grady,PU,N/A,6,11-6b,115,True,118,6
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,Anyway (GER),C P Millar,7,D Budds,PU,N/A,6,11-7p,116,True,118,6
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,All About Lucy (IRE),G B Noonan,5,E McCarthy,PU,N/A,7,11-0t,109,True,118,6
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,Return To Base (IRE),K C Sexton,0,G Elliott,PU,N/A,9,11-9p,118,True,118,6
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,Valsorpresa,Sam Ewing,0,G Elliott,8th,6 1/2 l,6,11-7,116,True,118,6
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,Ahead Of The Posse (IRE),S W Flanagan,0,G P Cromwell,7th,6 l,7,11-1,110,True,118,6
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,Take All (IRE),P Hanlon,7,J J Hanlon,6th,1 1/2 l,9,11-12,121,True,118,6
Listowel Racing Results | 1st June 2024 16:50,N/A,16:50,Good (Good To Yielding In Places),2m 4f 80y,Clarens (IRE),M J M O'Sullivan,0,J P Flavin,5th,15 l,7,11-6,115,True,118,6
