track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,16:11,Heavy,1m,Gleaning (IRE),Jack Cleary,7,Aidan O'Brien,11th,15 l,2,9-2b,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Masaiya (IRE),S. B. Kelly,0,John Patrick Murtagh,10th,2 3/4 l,2,9-2,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Sara Valentina (IRE),L. F. Roche,0,D. K. Weld,9th,2 l,2,9-2,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Whisper A Prayer (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,8th,Neck,2,9-2,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Question Of Class (IRE),R. P. Cleary,0,J. S. Bolger,7th,2 1/2 l,2,9-2,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Camelot Alexander (IRE),N. M. Crosse,0,Mrs J. Harrington,6th,3/4 l,2,9-2h1,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Cheeky Wink (IRE),Ben Martin Coen,0,John Patrick Murtagh,5th,4 1/2 l,2,9-2,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Get (IRE),K. K. Hennessy,5,Aidan O'Brien,4th,Neck,2,9-2,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Higher Leaves (IRE),William James Lee,0,Henry de Bromhead,3rd,Neck,2,9-2,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Andromeda (IRE),Seamie Heffernan,0,Aidan O'Brien,2nd,4 1/4 l,2,9-2,-,True,87,17
N/A,N/A,16:11,Heavy,1m,Elizabeth Jane (IRE),D. W. O'Connor,0,D. K. Weld,1st,N/A,2,9-2,-,True,87,17
N/A,N/A,16:46,Heavy  (Turf),1m,Warrior Lord (IRE),G. F. Carroll,0,Joseph G. Murphy,15th,21 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Nakasero (IRE),D. W. O'Connor,0,M. Halford & T. Collins,14th,Head,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Positive Energy (IRE),William James Lee,0,W. McCreery,13th,3 1/2 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Walter Hartright (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,12th,2 1/2 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Maxwell Smart (IRE),L. F. Roche,0,W. McCreery,11th,Head,2,9-5v,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Imarajan (IRE),R. P. Whelan,0,M. Halford & T. Collins,10th,4 3/4 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Lord Church (IRE),N. G. McCullagh,0,M. Halford & T. Collins,9th,Nose,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Raydamann (FR),Ben Martin Coen,0,John Patrick Murtagh,8th,4 1/4 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Double Agent (IRE),K. K. Hennessy,5,Aidan O'Brien,7th,Neck,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Vestigia (IRE),R. C. Colgan,0,Ms Sheila Lavery,6th,Short Head,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Bard Of Avon (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,5th,1/2 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Blackpool (IRE),C. T. Keane,0,Aidan O'Brien,4th,Neck,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Fine Point (IRE),R. P. Cleary,0,J. S. Bolger,3rd,1 3/4 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Invention (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,2nd,6 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Ocean Of Dreams (IRE),Seamie Heffernan,0,Aidan O'Brien,1st,N/A,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Warrior Lord (IRE),G. F. Carroll,0,Joseph G. Murphy,15th,21 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Nakasero (IRE),D. W. O'Connor,0,M. Halford & T. Collins,14th,Head,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Positive Energy (IRE),William James Lee,0,W. McCreery,13th,3 1/2 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Walter Hartright (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,12th,2 1/2 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Maxwell Smart (IRE),L. F. Roche,0,W. McCreery,11th,Head,2,9-5v,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Imarajan (IRE),R. P. Whelan,0,M. Halford & T. Collins,10th,4 3/4 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Lord Church (IRE),N. G. McCullagh,0,M. Halford & T. Collins,9th,Nose,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Raydamann (FR),Ben Martin Coen,0,John Patrick Murtagh,8th,4 1/4 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Double Agent (IRE),K. K. Hennessy,5,Aidan O'Brien,7th,Neck,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Vestigia (IRE),R. C. Colgan,0,Ms Sheila Lavery,6th,Short Head,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Bard Of Avon (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,5th,1/2 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Blackpool (IRE),C. T. Keane,0,Aidan O'Brien,4th,Neck,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Fine Point (IRE),R. P. Cleary,0,J. S. Bolger,3rd,1 3/4 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Invention (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,2nd,6 l,2,9-5,-,True,87,18
N/A,N/A,16:46,Heavy  (Turf),1m,Ocean Of Dreams (IRE),Seamie Heffernan,0,Aidan O'Brien,1st,N/A,2,9-5,-,True,87,18
N/A,N/A,17:21,N/A,1m 2f,Stop On Red (IRE),Katy Brown,0,K Brown,10th,9 1/2 l,5,12-3,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Derby De Thaix (FR),Niamh Ashe,0,James Andrew Fahey,9th,16 l,10,12-0,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Power Drive,Darren Dunne,0,P W Flynn,8th,15 l,8,12-6,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Sefton Warrior,Eimear O'Gorman,0,J J Hanlon,7th,8 1/2 l,6,12-0,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Picpoul (IRE),Aimee Murphy,0,M Rice,6th,2 1/2 l,5,11-9,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Adhuil (IRE),Vivienne Connolly,0,A A Howard,5th,1/2 l,4,12-0,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Humanitarian (USA),Anna Cropper,0,J J Hanlon,4th,13 l,7,12-0,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Noble Anthem (IRE),Damien Moore,0,A Keatley,3rd,8 l,4,12-6,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Fair Damsel (IRE),Martina Dempsey,0,R Brabazon,2nd,1/2 l,5,11-9,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Slate Lane (IRE),Michael O'Neill,0,E Mullins,1st,N/A,5,12-9,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Stop On Red (IRE),Katy Brown,0,K Brown,10th,9 1/2 l,5,12-3,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Derby De Thaix (FR),Niamh Ashe,0,James Andrew Fahey,9th,16 l,10,12-0,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Power Drive,Darren Dunne,0,P W Flynn,8th,15 l,8,12-6,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Sefton Warrior,Eimear O'Gorman,0,J J Hanlon,7th,8 1/2 l,6,12-0,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Picpoul (IRE),Aimee Murphy,0,M Rice,6th,2 1/2 l,5,11-9,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Adhuil (IRE),Vivienne Connolly,0,A A Howard,5th,1/2 l,4,12-0,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Humanitarian (USA),Anna Cropper,0,J J Hanlon,4th,13 l,7,12-0,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Noble Anthem (IRE),Damien Moore,0,A Keatley,3rd,8 l,4,12-6,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Fair Damsel (IRE),Martina Dempsey,0,R Brabazon,2nd,1/2 l,5,11-9,-,True,87,19
N/A,N/A,17:21,N/A,1m 2f,Slate Lane (IRE),Michael O'Neill,0,E Mullins,1st,N/A,5,12-9,-,True,87,19
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Calendar House (IRE),D. King,3,J. Hennessy,UR,N/A,4,11-0,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Johnny Cakes (FR),E. Walsh,3,P. J. Rothwell,17th,12 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Mighty Momentum (IRE),Patrick O'Hanlon,3,P. J. Rothwell,16th,Neck,4,11-7t1,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Youmli (IRE),C. Owens,7,P. J. Rothwell,15th,1 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Knocknacree (IRE),J. J. Slevin,0,Robert Widger,14th,3 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Fascinating Story (IRE),Peter Carberry,0,A. J. Martin,13th,2 1/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Billy Lee Swagger (IRE),J. P. O'Sullivan,3,P. J. Rothwell,12th,1 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Phoebe's Charm (IRE),Richard Deegan,0,Eoin Christopher McCarthy,11th,Short Head,4,11-0,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Kuriosa (FR),Jordan Colin Gainford,0,Paul Nolan,10th,5 1/2 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Liberated Light (IRE),Mr J. L. Gleeson,5,John E. & Thomas Kiely,9th,1 1/2 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Askwell (IRE),R. P. Treacy,0,Eric McNamara,8th,4 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Step Into My Shoes (IRE),A. P. Kelly,5,Padraig Roche,7th,12 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Chicago Storm,Sean Flanagan,0,Peter Fahey,6th,1 1/2 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Tippin And Tappin (IRE),D. J. O'Keeffe,0,Enda Bolger,5th,11 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Milk Market (IRE),J. S. McGarvey,0,Padraig Roche,4th,1 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,So They Tell Me (IRE),S. D. Torrens,0,Padraig Roche,3rd,5 1/2 l,4,11-7h,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Cut The Rope (FR),S. F. O'Keeffe,0,Paul Nolan,2nd,3 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,A Penny A Hundred (FR),P. Townend,0,W. P. Mullins,1st,N/A,4,11-0,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Calendar House (IRE),D. King,3,J. Hennessy,UR,N/A,4,11-0,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Johnny Cakes (FR),E. Walsh,3,P. J. Rothwell,17th,12 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Mighty Momentum (IRE),Patrick O'Hanlon,3,P. J. Rothwell,16th,Neck,4,11-7t1,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Youmli (IRE),C. Owens,7,P. J. Rothwell,15th,1 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Knocknacree (IRE),J. J. Slevin,0,Robert Widger,14th,3 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Fascinating Story (IRE),Peter Carberry,0,A. J. Martin,13th,2 1/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Billy Lee Swagger (IRE),J. P. O'Sullivan,3,P. J. Rothwell,12th,1 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Phoebe's Charm (IRE),Richard Deegan,0,Eoin Christopher McCarthy,11th,Short Head,4,11-0,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Kuriosa (FR),Jordan Colin Gainford,0,Paul Nolan,10th,5 1/2 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Liberated Light (IRE),Mr J. L. Gleeson,5,John E. & Thomas Kiely,9th,1 1/2 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Askwell (IRE),R. P. Treacy,0,Eric McNamara,8th,4 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Step Into My Shoes (IRE),A. P. Kelly,5,Padraig Roche,7th,12 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Chicago Storm,Sean Flanagan,0,Peter Fahey,6th,1 1/2 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Tippin And Tappin (IRE),D. J. O'Keeffe,0,Enda Bolger,5th,11 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Milk Market (IRE),J. S. McGarvey,0,Padraig Roche,4th,1 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,So They Tell Me (IRE),S. D. Torrens,0,Padraig Roche,3rd,5 1/2 l,4,11-7h,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,Cut The Rope (FR),S. F. O'Keeffe,0,Paul Nolan,2nd,3 3/4 l,4,11-7,-,True,87,20
Limerick Racing Results | 21st October 2023 14:05,N/A,14:05,Heavy,2m,A Penny A Hundred (FR),P. Townend,0,W. P. Mullins,1st,N/A,4,11-0,-,True,87,20
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Innellan Shore (FR),C. P. Millar,7,Gordon Elliott,PU,N/A,5,11-0,94,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Black Vega (IRE),Mr P. W. Gleeson,7,John F. Gleeson,13th,6 l,4,10-8t1,89,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Everystep Oftheway (IRE),Gavin Peter Brouder,5,Oliver McKiernan,12th,3 3/4 l,5,10-13,93,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Young Fitzy (IRE),D. J. O'Keeffe,0,Norman Lee,11th,7 1/2 l,8,10-13t,93,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Derridae (IRE),Jordan Colin Gainford,0,Moses McCabe,10th,1 l,8,11-7p,101,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,It'sallabouteve (IRE),Phillip Enright,0,Brendan Maurice Walsh,9th,5 1/2 l,7,12-0,108,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Spring Meadow (IRE),R. P. Treacy,0,Eric McNamara,8th,2 3/4 l,6,11-13t,107,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Ventnor (IRE),Kieran Callaghan,5,James M. Barcoe,7th,9 l,7,10-0,80,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Dark Image,Richard Deegan,0,Eoin Christopher McCarthy,6th,7 l,5,11-3t,97,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Cosmic Rock (IRE),T. Joseph Kelly,7,Eoin Christopher McCarthy,5th,1 1/2 l,9,11-5,99,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Fly De Megaudais (FR),S. F. O'Keeffe,0,Michael J. McDonagh,4th,1 1/2 l,10,10-0p,80,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Go Gill Go (IRE),Conor Clarke,7,James Grace,3rd,8 l,8,10-8t,88,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Hard Rain (IRE),J. J. Slevin,0,Padraig Butler,2nd,2 1/4 l,8,11-10,104,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Miss Pronunciation (IRE),M. P. Walsh,0,Padraig Roche,1st,N/A,6,11-6ht,100,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Innellan Shore (FR),C. P. Millar,7,Gordon Elliott,PU,N/A,5,11-0,94,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Black Vega (IRE),Mr P. W. Gleeson,7,John F. Gleeson,13th,6 l,4,10-8t1,89,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Everystep Oftheway (IRE),Gavin Peter Brouder,5,Oliver McKiernan,12th,3 3/4 l,5,10-13,93,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Young Fitzy (IRE),D. J. O'Keeffe,0,Norman Lee,11th,7 1/2 l,8,10-13t,93,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Derridae (IRE),Jordan Colin Gainford,0,Moses McCabe,10th,1 l,8,11-7p,101,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,It'sallabouteve (IRE),Phillip Enright,0,Brendan Maurice Walsh,9th,5 1/2 l,7,12-0,108,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Spring Meadow (IRE),R. P. Treacy,0,Eric McNamara,8th,2 3/4 l,6,11-13t,107,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Ventnor (IRE),Kieran Callaghan,5,James M. Barcoe,7th,9 l,7,10-0,80,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Dark Image,Richard Deegan,0,Eoin Christopher McCarthy,6th,7 l,5,11-3t,97,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Cosmic Rock (IRE),T. Joseph Kelly,7,Eoin Christopher McCarthy,5th,1 1/2 l,9,11-5,99,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Fly De Megaudais (FR),S. F. O'Keeffe,0,Michael J. McDonagh,4th,1 1/2 l,10,10-0p,80,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Go Gill Go (IRE),Conor Clarke,7,James Grace,3rd,8 l,8,10-8t,88,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Hard Rain (IRE),J. J. Slevin,0,Padraig Butler,2nd,2 1/4 l,8,11-10,104,True,87,21
Limerick Racing Results | 21st October 2023 14:40,N/A,14:40,Heavy,2m,Miss Pronunciation (IRE),M. P. Walsh,0,Padraig Roche,1st,N/A,6,11-6ht,100,True,87,21
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Lady of the Vale (IRE),J. J. Slevin,0,A. Slattery,UR,N/A,6,10-9,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Kilbree Warrior (IRE),Phillip Enright,0,Oliver McKiernan,5th,23 l,8,10-9tp,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Iriskana (FR),D. King,0,S. Curling,4th,16 l,5,10-5,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Popova (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,11 l,6,10-13,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Riviere D'etel (FR),Jordan Colin Gainford,0,Gordon Elliott,2nd,4 3/4 l,6,10-9,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Space Tourist (IRE),P. Townend,0,W. P. Mullins,1st,N/A,6,10-9,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Lady of the Vale (IRE),J. J. Slevin,0,A. Slattery,UR,N/A,6,10-9,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Kilbree Warrior (IRE),Phillip Enright,0,Oliver McKiernan,5th,23 l,8,10-9tp,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Iriskana (FR),D. King,0,S. Curling,4th,16 l,5,10-5,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Popova (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,11 l,6,10-13,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Riviere D'etel (FR),Jordan Colin Gainford,0,Gordon Elliott,2nd,4 3/4 l,6,10-9,-,True,87,22
Limerick Racing Results | 21st October 2023 15:15,N/A,15:15,Heavy,2m 6f 150y,Space Tourist (IRE),P. Townend,0,W. P. Mullins,1st,N/A,6,10-9,-,True,87,22
Limerick Racing Results | 21st October 2023 15:50,N/A,15:50,Heavy,2m 5f,Summer Melody (IRE),P. Byrnes,0,Charles Byrnes,4th,39 l,6,10-12,-,True,87,23
Limerick Racing Results | 21st October 2023 15:50,N/A,15:50,Heavy,2m 5f,The Wallpark (IRE),Jordan Colin Gainford,0,Gordon Elliott,3rd,11 l,5,11-2,-,True,87,23
Limerick Racing Results | 21st October 2023 15:50,N/A,15:50,Heavy,2m 5f,The Big Doyen (IRE),Sean Flanagan,0,Peter Fahey,2nd,7 l,6,11-2,-,True,87,23
Limerick Racing Results | 21st October 2023 15:50,N/A,15:50,Heavy,2m 5f,High Class Hero,P. Townend,0,W. P. Mullins,1st,N/A,6,11-2,-,True,87,23
Limerick Racing Results | 21st October 2023 15:50,N/A,15:50,Heavy,2m 5f,Summer Melody (IRE),P. Byrnes,0,Charles Byrnes,4th,39 l,6,10-12,-,True,87,23
Limerick Racing Results | 21st October 2023 15:50,N/A,15:50,Heavy,2m 5f,The Wallpark (IRE),Jordan Colin Gainford,0,Gordon Elliott,3rd,11 l,5,11-2,-,True,87,23
Limerick Racing Results | 21st October 2023 15:50,N/A,15:50,Heavy,2m 5f,The Big Doyen (IRE),Sean Flanagan,0,Peter Fahey,2nd,7 l,6,11-2,-,True,87,23
Limerick Racing Results | 21st October 2023 15:50,N/A,15:50,Heavy,2m 5f,High Class Hero,P. Townend,0,W. P. Mullins,1st,N/A,6,11-2,-,True,87,23
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Enoughofthat (IRE),M. J. M. O'Sullivan,0,Eugene M. O'Sullivan,PU,N/A,5,11-12,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,One Way Traffic (IRE),Phillip Enright,0,Oliver McKiernan,F,N/A,6,11-12,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Onebrightbluerose (IRE),Seamus Cronin,5,Patrick Cronin,F,N/A,4,11-3,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Cappacurry Croi (IRE),R. P. Treacy,0,L. Young,14th,4 1/2 l,5,11-5p,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Sonny Fella,J. S. McGarvey,0,W. M. Roper,13th,17 l,5,11-12,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Jimmy De Giant (IRE),J. J. Slevin,0,Robert Widger,12th,2 3/4 l,5,11-12,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Coppercoast Paudie (IRE),E. M. O'Sullivan,7,Ms M. Flynn,11th,9 l,10,11-12,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Andyourbirdcansing (IRE),Liam Quinlan,5,John Patrick Ryan,10th,4 1/2 l,5,11-5,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Blackwater Soldier (IRE),A. M. McCurtin,0,David Richard Barry,9th,3 l,6,11-12h,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Shindilla (IRE),Sean Flanagan,0,Peter Fahey,8th,11 l,5,11-5,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Jullou De Grissay (FR),Shane Fenelon,7,John Joseph Hanlon,7th,1 1/4 l,4,11-10t,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Man Oh Man (IRE),D. J. O'Keeffe,0,W. J. Burke,6th,1 1/4 l,4,11-10,-,True,87,24
Limerick Racing Results | 21st October 2023 16:21,N/A,16:21,Heavy,2m 5f,Cosmo Renfro (IRE),S. Fitzgerald,0,Shane Nolan,5th,1/2 l,6,11-12,-,True,87,24
