track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Simpletwistoffaith (IRE),Mr K O'Neill,7,John F O'Neill,8th,8 1/2 l,8,11-4,-,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Tullyhogue Fort (IRE),Mr P J O'Neill,7,John F O'Neill,7th,8 l,9,11-4t,42,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,He Who Dares (IRE),Miss N Lockhead Anderson,7,S Curling,6th,14 l,4,11-4,-,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Run For Oscar (IRE),Mr D McGill,7,C Byrnes,5th,3/4 l,10,11-7,105,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Gentleman Joe,Mr J H Williamson,7,H De Bromhead,4th,1/2 l,7,12-0t,92,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Enniskerry (IRE),Mr F Maguire,0,B Connell,3rd,5 1/2 l,11,11-7t,89,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Sorrentino (IRE),Mr P W Mullins,0,W P Mullins,2nd,1/2 l,7,11-4h,-,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Mont St Michel (IRE),Mr P J Smullen,7,A P O'Brien,1st,N/A,4,11-4,95,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Appian Way (FR),Ms A Power,7,Ms M Flynn,9th,11 l,9,11-4,47,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Simpletwistoffaith (IRE),Mr K O'Neill,7,John F O'Neill,8th,8 1/2 l,8,11-4,-,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Tullyhogue Fort (IRE),Mr P J O'Neill,7,John F O'Neill,7th,8 l,9,11-4t,42,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,He Who Dares (IRE),Miss N Lockhead Anderson,7,S Curling,6th,14 l,4,11-4,-,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Run For Oscar (IRE),Mr D McGill,7,C Byrnes,5th,3/4 l,10,11-7,105,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Gentleman Joe,Mr J H Williamson,7,H De Bromhead,4th,1/2 l,7,12-0t,92,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Enniskerry (IRE),Mr F Maguire,0,B Connell,3rd,5 1/2 l,11,11-7t,89,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Sorrentino (IRE),Mr P W Mullins,0,W P Mullins,2nd,1/2 l,7,11-4h,-,True,13,42
Killarney Racing Results | 22nd August 2025 20:15,2025-08-22,20:15,Good Turf),2m 180y,Mont St Michel (IRE),Mr P J Smullen,7,A P O'Brien,1st,N/A,4,11-4,95,True,13,42
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Champagne Eclipse (IRE),R P Treacy,0,T J O'Mara,PU,N/A,5,11-4,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Crystabel (IRE),D E Mullins,0,J P Ryan,F,N/A,4,10-8,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Ballymacderke (IRE),S Fitzgerald,0,A Leahy,14th,1 1/2 l,4,11-1,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Abbado,P Hanlon,7,J J Hanlon,13th,Neck,6,11-12,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Walkmethroughit (IRE),A S Murphy,7,J Motherway,12th,4 l,5,11-4,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Mystic Idaho (IRE),E Staples,7,P O'Flynn,11th,Head,5,10-11,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Premier Banner (IRE),J G Gilligan,5,P J Gilligan,10th,5 1/2 l,5,11-4,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Whitewinewednesday (IRE),C M Quirke,0,M A Daly,9th,2 l,6,10-11,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Amburana (IRE),B Hayes,0,Padraig Butler,8th,9 1/2 l,7,10-11,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Val Venus (IRE),P T Enright,0,Edward F Power,7th,27 l,7,11-4h,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Akmaam (FR),J P Shinnick,3,Donncha Duggan,6th,23 l,7,11-12t,103,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Hurricane Helen,D Meyler,0,R O'Sullivan,5th,3 3/4 l,7,11-5,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Tinking Man (IRE),T E O'Connor,7,E McCarthy,4th,12 l,5,11-4,103,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Game Phoenix (IRE),D J O'Keeffe,0,Paul Power,3rd,3 l,4,10-8ht1,99,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Wholelotofbusiness (IRE),J W Kennedy,0,E McCarthy,2nd,1/2 l,6,11-4t,112,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Fast Felix (IRE),C M Hogan,7,E McCarthy,1st,N/A,7,11-4t,104,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Champagne Eclipse (IRE),R P Treacy,0,T J O'Mara,PU,N/A,5,11-4,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Crystabel (IRE),D E Mullins,0,J P Ryan,F,N/A,4,10-8,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Ballymacderke (IRE),S Fitzgerald,0,A Leahy,14th,1 1/2 l,4,11-1,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Abbado,P Hanlon,7,J J Hanlon,13th,Neck,6,11-12,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Walkmethroughit (IRE),A S Murphy,7,J Motherway,12th,4 l,5,11-4,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Mystic Idaho (IRE),E Staples,7,P O'Flynn,11th,Head,5,10-11,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Premier Banner (IRE),J G Gilligan,5,P J Gilligan,10th,5 1/2 l,5,11-4,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Whitewinewednesday (IRE),C M Quirke,0,M A Daly,9th,2 l,6,10-11,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Amburana (IRE),B Hayes,0,Padraig Butler,8th,9 1/2 l,7,10-11,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Val Venus (IRE),P T Enright,0,Edward F Power,7th,27 l,7,11-4h,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Akmaam (FR),J P Shinnick,3,Donncha Duggan,6th,23 l,7,11-12t,103,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Hurricane Helen,D Meyler,0,R O'Sullivan,5th,3 3/4 l,7,11-5,-,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Tinking Man (IRE),T E O'Connor,7,E McCarthy,4th,12 l,5,11-4,103,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Game Phoenix (IRE),D J O'Keeffe,0,Paul Power,3rd,3 l,4,10-8ht1,99,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Wholelotofbusiness (IRE),J W Kennedy,0,E McCarthy,2nd,1/2 l,6,11-4t,112,True,13,43
Killarney Racing Results | 23rd August 2025 13:20,2025-08-23,13:20,Good (Good To Yielding In Places),2m 100y,Fast Felix (IRE),C M Hogan,7,E McCarthy,1st,N/A,7,11-4t,104,True,13,43
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Doyentohurl (IRE),Conor Clarke,4,E Griffin,UR,N/A,5,10-3,75,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Niosfearabolt (IRE),L A McKenna,0,T P O'Connor,PU,N/A,6,10-91,81,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Jetaway Sheldon (IRE),C G O'Dwyer,0,E M O'Sullivan,PU,N/A,5,11-5,91,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Park Rules (IRE),T Joseph Kelly,4,Ian O'Connor,12th,38 l,6,11-6h,92,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Red Night Sky (IRE),B P Kennedy,4,L J Archdeacon,11th,6 l,7,10-8,80,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Boola Times (IRE),J P Shinnick,0,D Budds,10th,4 1/2 l,4,11-8,98,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Swing Time (IRE),G Brouder,0,V T O'Brien,9th,1 1/4 l,6,11-4,90,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Cullagh Pride (IRE),A Harvey,0,S Fahey,8th,2 3/4 l,7,11-3,89,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Gaoithe Glory (IRE),C M Hogan,4,E McNamara,7th,13 l,5,11-12t,98,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Creadan Grace (IRE),J Smith,2,G Elliott,6th,Head,5,10-13,85,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Mother Ship (IRE),P Hanlon,4,J J Hanlon,5th,3/4 l,5,11-1p1,87,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Jaadil (IRE),S O'Callaghan,0,D E Fitzgerald,4th,2 1/2 l,4,10-6,82,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Tropical Image (IRE),T E O'Connor,4,E McCarthy,3rd,2 3/4 l,8,10-13tp,85,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Close Enough (IRE),Anna McGuinness,4,B J Hallahan,2nd,1/2 l,9,10-9,81,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Ballinoe Blaze (IRE),G B Noonan,0,E McCarthy,1st,N/A,5,11-8p1,94,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Doyentohurl (IRE),Conor Clarke,4,E Griffin,UR,N/A,5,10-3,75,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Niosfearabolt (IRE),L A McKenna,0,T P O'Connor,PU,N/A,6,10-91,81,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Jetaway Sheldon (IRE),C G O'Dwyer,0,E M O'Sullivan,PU,N/A,5,11-5,91,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Park Rules (IRE),T Joseph Kelly,4,Ian O'Connor,12th,38 l,6,11-6h,92,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Red Night Sky (IRE),B P Kennedy,4,L J Archdeacon,11th,6 l,7,10-8,80,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Boola Times (IRE),J P Shinnick,0,D Budds,10th,4 1/2 l,4,11-8,98,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Swing Time (IRE),G Brouder,0,V T O'Brien,9th,1 1/4 l,6,11-4,90,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Cullagh Pride (IRE),A Harvey,0,S Fahey,8th,2 3/4 l,7,11-3,89,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Gaoithe Glory (IRE),C M Hogan,4,E McNamara,7th,13 l,5,11-12t,98,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Creadan Grace (IRE),J Smith,2,G Elliott,6th,Head,5,10-13,85,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Mother Ship (IRE),P Hanlon,4,J J Hanlon,5th,3/4 l,5,11-1p1,87,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Jaadil (IRE),S O'Callaghan,0,D E Fitzgerald,4th,2 1/2 l,4,10-6,82,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Tropical Image (IRE),T E O'Connor,4,E McCarthy,3rd,2 3/4 l,8,10-13tp,85,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Close Enough (IRE),Anna McGuinness,4,B J Hallahan,2nd,1/2 l,9,10-9,81,True,13,44
Killarney Racing Results | 23rd August 2025 13:55,2025-08-23,13:55,Good (Good To Yielding In Places),2m 4f 50y,Ballinoe Blaze (IRE),G B Noonan,0,E McCarthy,1st,N/A,5,11-8p1,94,True,13,44
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Fireworks (FR),P Hanlon,4,J J Hanlon,PU,N/A,7,10-3p,75,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Mattie's Mountain (IRE),L A McKenna,0,T P O'Connor,PU,N/A,10,11-5b1,91,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Sharetheknowledge (IRE),E Staples,4,Paul Tobin,PU,N/A,6,11-12t,98,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Kilkee Bay (IRE),C M Hogan,4,E McNamara,F,N/A,6,11-11,97,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Somerset Hill (IRE),A P Kelly,0,Leonard Flynn,10th,71 l,6,10-5t,77,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Craic Eile (IRE),J P Shinnick,0,D Budds,9th,1/2 l,8,10-11tp,83,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Gekkota (FR),J Smith,2,T J O'Mara,8th,Head,9,11-7,93,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Sea The Sunset,Niall Moore,2,J Morrison,7th,1 3/4 l,6,10-11,83,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Jekiki (IRE),T E O'Connor,4,E McCarthy,6th,5 1/2 l,7,10-11t,83,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Regards To Rose (IRE),G B Noonan,0,E McCarthy,5th,3/4 l,6,11-12t,98,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Hero In The Sky (IRE),E Finegan,4,A Ott,4th,10 l,6,10-4t,76,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Georginas Jet (IRE),J G Gilligan,2,P J Gilligan,3rd,11 l,4,10-6,82,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,General Clermont (FR),G Brouder,0,D E Fitzgerald,2nd,Head,9,12-0,100,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Give Him A Chance (IRE),A Harvey,0,P J Rothwell,1st,N/A,6,11-12,98,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Fireworks (FR),P Hanlon,4,J J Hanlon,PU,N/A,7,10-3p,75,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Mattie's Mountain (IRE),L A McKenna,0,T P O'Connor,PU,N/A,10,11-5b1,91,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Sharetheknowledge (IRE),E Staples,4,Paul Tobin,PU,N/A,6,11-12t,98,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Kilkee Bay (IRE),C M Hogan,4,E McNamara,F,N/A,6,11-11,97,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Somerset Hill (IRE),A P Kelly,0,Leonard Flynn,10th,71 l,6,10-5t,77,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Craic Eile (IRE),J P Shinnick,0,D Budds,9th,1/2 l,8,10-11tp,83,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Gekkota (FR),J Smith,2,T J O'Mara,8th,Head,9,11-7,93,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Sea The Sunset,Niall Moore,2,J Morrison,7th,1 3/4 l,6,10-11,83,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Jekiki (IRE),T E O'Connor,4,E McCarthy,6th,5 1/2 l,7,10-11t,83,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Regards To Rose (IRE),G B Noonan,0,E McCarthy,5th,3/4 l,6,11-12t,98,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Hero In The Sky (IRE),E Finegan,4,A Ott,4th,10 l,6,10-4t,76,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Georginas Jet (IRE),J G Gilligan,2,P J Gilligan,3rd,11 l,4,10-6,82,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,General Clermont (FR),G Brouder,0,D E Fitzgerald,2nd,Head,9,12-0,100,True,13,45
Killarney Racing Results | 23rd August 2025 14:30,2025-08-23,14:30,Good (Good To Yielding In Places),2m 4f 50y,Give Him A Chance (IRE),A Harvey,0,P J Rothwell,1st,N/A,6,11-12,98,True,13,45
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Howdoyalikeherhome (IRE),J W Kennedy,0,G Elliott,PU,N/A,6,11-4p,120,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Dream On Baby (IRE),Conor Clarke,7,E Mullins,PU,N/A,5,11-12,128,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Persian Daughter (IRE),P Townend,0,W P Mullins,PU,N/A,6,10-13,115,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Say It So (IRE),C M Hogan,7,E McNamara,F,N/A,6,10-10tp,112,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Mags Nelson (IRE),D J Gilligan,0,R O'Sullivan,8th,29 l,6,10-8,110,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,My Gaffer (IRE),D E Mullins,0,J P Ryan,7th,Nose,7,11-2,118,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Ballycashin (IRE),J J Slevin,0,A Mullins,6th,2 l,8,10-8,110,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Duty Bound,D Meyler,0,J P Flavin,5th,6 l,6,10-13t,115,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Prince Zaltar (FR),E Staples,7,P J Rothwell,4th,5 l,8,10-11tb1,113,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Carried With Love (IRE),P T Smithers,7,J P O'Brien,3rd,3/4 l,4,11-3p,123,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Sequoiaspirit (IRE),L Quinlan,0,R Hackett,2nd,1/2 l,8,11-4t,120,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Millstream Lady (IRE),G B Noonan,5,E McNamara,1st,N/A,7,11-4,120,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Howdoyalikeherhome (IRE),J W Kennedy,0,G Elliott,PU,N/A,6,11-4p,120,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Dream On Baby (IRE),Conor Clarke,7,E Mullins,PU,N/A,5,11-12,128,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Persian Daughter (IRE),P Townend,0,W P Mullins,PU,N/A,6,10-13,115,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Say It So (IRE),C M Hogan,7,E McNamara,F,N/A,6,10-10tp,112,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Mags Nelson (IRE),D J Gilligan,0,R O'Sullivan,8th,29 l,6,10-8,110,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,My Gaffer (IRE),D E Mullins,0,J P Ryan,7th,Nose,7,11-2,118,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Ballycashin (IRE),J J Slevin,0,A Mullins,6th,2 l,8,10-8,110,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Duty Bound,D Meyler,0,J P Flavin,5th,6 l,6,10-13t,115,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Prince Zaltar (FR),E Staples,7,P J Rothwell,4th,5 l,8,10-11tb1,113,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Carried With Love (IRE),P T Smithers,7,J P O'Brien,3rd,3/4 l,4,11-3p,123,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Sequoiaspirit (IRE),L Quinlan,0,R Hackett,2nd,1/2 l,8,11-4t,120,True,13,46
Killarney Racing Results | 23rd August 2025 15:05,2025-08-23,15:05,Good (Good To Yielding In Places),2m 6f 80y,Millstream Lady (IRE),G B Noonan,5,E McNamara,1st,N/A,7,11-4,120,True,13,46
