track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Sand Castle (IRE),J A Heffernan,0,A Murray,NR,N/A,8,9-1tp,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Mr Mills (IRE),R C Colgan,0,C Timmons,NR,N/A,6,9-11,60,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Charli Sands (IRE),S Foley,0,Yvonne Latta,22nd,13 l,4,9-2p,51,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Sleepless Knight (IRE),M W Hassett,5,J A Kinsella,21st,3/4 l,4,8-12p,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Lady Delila (IRE),D W O'Connor,0,C P Donoghue,20th,1 1/2 l,4,9-3,52,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Easy Way (IRE),C D Hayes,0,L Comer,19th,1/2 l,4,9-10p,59,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,The Dazzer (IRE),J M Sheridan,0,G Keane,18th,1 3/4 l,5,8-12v1,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Love Mocha,M P Sheehy,0,J C McConnell,17th,2 1/2 l,4,9-1,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Power Drive,D McMonagle,0,P W Flynn,16th,1 1/4 l,9,9-1p,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Marians Gal (IRE),W Joyce,5,K Smith,15th,Neck,4,9-11,60,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Susiesparkle (IRE),W J Lee,0,D Broad,14th,Head,4,9-8ht1,57,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Bright Dick (IRE),D P McDonogh,0,L Comer,13th,4 1/4 l,4,10-0,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Slaney Tide (IRE),R P Cleary,0,J S Bolger,12th,1/2 l,4,9-8t,57,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Storm Eric (IRE),C J MacRedmond,5,Jamie Flynn,11th,1 1/4 l,5,9-6,55,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Selective Power (IRE),J A Powell,3,Thomas Coyle,10th,Neck,5,8-12,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Fleetfootsoldier (IRE),B M Coen,0,J C McConnell,9th,Neck,4,9-13t1,62,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Crystal's Heir (IRE),R Whearty,5,P W Flynn,8th,1 3/4 l,6,8-12,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,No Trouble (IRE),Siobhan Rutledge,3,J C McConnell,7th,Head,8,9-7t,56,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Shining Aitch,J J G Ryan,5,T G McCourt,6th,2 1/2 l,7,10-0tv,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Desert Friend (IRE),G F Carroll,0,Mrs D Foster,5th,1/2 l,8,10-0,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Doctor Grace (IRE),R P Whelan,0,M Halford & T Collins,4th,Neck,4,9-10p,59,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Explorers Way (IRE),J Kearney,5,P Martin,3rd,Head,5,9-13,62,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,La Dame Blanche (IRE),G P Halpin,0,W Ross,2nd,3 1/2 l,5,10-1h,64,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Mayo For Sam (IRE),Adam Caffrey,5,A McGuinness,1st,N/A,4,9-0v,49,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Sand Castle (IRE),J A Heffernan,0,A Murray,NR,N/A,8,9-1tp,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Mr Mills (IRE),R C Colgan,0,C Timmons,NR,N/A,6,9-11,60,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Charli Sands (IRE),S Foley,0,Yvonne Latta,22nd,13 l,4,9-2p,51,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Sleepless Knight (IRE),M W Hassett,5,J A Kinsella,21st,3/4 l,4,8-12p,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Lady Delila (IRE),D W O'Connor,0,C P Donoghue,20th,1 1/2 l,4,9-3,52,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Easy Way (IRE),C D Hayes,0,L Comer,19th,1/2 l,4,9-10p,59,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,The Dazzer (IRE),J M Sheridan,0,G Keane,18th,1 3/4 l,5,8-12v1,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Love Mocha,M P Sheehy,0,J C McConnell,17th,2 1/2 l,4,9-1,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Power Drive,D McMonagle,0,P W Flynn,16th,1 1/4 l,9,9-1p,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Marians Gal (IRE),W Joyce,5,K Smith,15th,Neck,4,9-11,60,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Susiesparkle (IRE),W J Lee,0,D Broad,14th,Head,4,9-8ht1,57,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Bright Dick (IRE),D P McDonogh,0,L Comer,13th,4 1/4 l,4,10-0,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Slaney Tide (IRE),R P Cleary,0,J S Bolger,12th,1/2 l,4,9-8t,57,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Storm Eric (IRE),C J MacRedmond,5,Jamie Flynn,11th,1 1/4 l,5,9-6,55,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Selective Power (IRE),J A Powell,3,Thomas Coyle,10th,Neck,5,8-12,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Fleetfootsoldier (IRE),B M Coen,0,J C McConnell,9th,Neck,4,9-13t1,62,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Crystal's Heir (IRE),R Whearty,5,P W Flynn,8th,1 3/4 l,6,8-12,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,No Trouble (IRE),Siobhan Rutledge,3,J C McConnell,7th,Head,8,9-7t,56,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Shining Aitch,J J G Ryan,5,T G McCourt,6th,2 1/2 l,7,10-0tv,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Desert Friend (IRE),G F Carroll,0,Mrs D Foster,5th,1/2 l,8,10-0,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Doctor Grace (IRE),R P Whelan,0,M Halford & T Collins,4th,Neck,4,9-10p,59,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Explorers Way (IRE),J Kearney,5,P Martin,3rd,Head,5,9-13,62,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,La Dame Blanche (IRE),G P Halpin,0,W Ross,2nd,3 1/2 l,5,10-1h,64,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Mayo For Sam (IRE),Adam Caffrey,5,A McGuinness,1st,N/A,4,9-0v,49,True,122,1
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Scaramanga (IRE),K Callaghan,5,W P Mullins,NR,N/A,9,11-12,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Rocky Blue (IRE),Sarah Kavanagh,7,T Mullins,UR,N/A,9,11-6,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Getaway Sally (IRE),J P Shinnick,7,Ms E Broderick,6th,50 l,5,10-9,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,And Still I Rise (IRE),A McCurtin,0,John F O'Neill,5th,15 l,7,11-2,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Queen Nel (IRE),E Walsh,0,E D Delany,4th,19 l,5,11-1,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Striking (FR),C D Smithers,7,Mrs J Harrington,3rd,7 l,6,11-12,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Ash Tree Meadow (FR),C P Millar,7,G Elliott,2nd,5 1/2 l,8,11-6t,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Fascile Mode (IRE),J B Foley,0,T Mullins,1st,N/A,6,11-12,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Scaramanga (IRE),K Callaghan,5,W P Mullins,NR,N/A,9,11-12,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Rocky Blue (IRE),Sarah Kavanagh,7,T Mullins,UR,N/A,9,11-6,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Getaway Sally (IRE),J P Shinnick,7,Ms E Broderick,6th,50 l,5,10-9,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,And Still I Rise (IRE),A McCurtin,0,John F O'Neill,5th,15 l,7,11-2,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Queen Nel (IRE),E Walsh,0,E D Delany,4th,19 l,5,11-1,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Striking (FR),C D Smithers,7,Mrs J Harrington,3rd,7 l,6,11-12,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Ash Tree Meadow (FR),C P Millar,7,G Elliott,2nd,5 1/2 l,8,11-6t,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:10,N/A,13:10,Good (Good To Yielding In Places),2m 3f 49y,Fascile Mode (IRE),J B Foley,0,T Mullins,1st,N/A,6,11-12,-,True,122,2
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Karlsson Vom Dach (IRE),A P Kelly,5,Patrick J Hassett,PU,N/A,7,11-4,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Stuzzikini (IRE),K C Sexton,0,G Elliott,6th,3 3/4 l,6,11-4,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Saylavee (IRE),K Callaghan,5,W P Mullins,5th,1 1/2 l,7,11-3,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Another Choice (IRE),J Smith,7,M J Smith,4th,3 1/4 l,7,11-10,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Easy Fella (IRE),M P O'Connor,3,H De Bromhead,3rd,1/2 l,7,11-10,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Solitary Man (IRE),C G O'Dwyer,5,E Bolger,2nd,2 1/4 l,6,11-10,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Reverend Hubert (IRE),S Fitzgerald,0,C Byrnes,1st,N/A,6,11-10,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Karlsson Vom Dach (IRE),A P Kelly,5,Patrick J Hassett,PU,N/A,7,11-4,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Stuzzikini (IRE),K C Sexton,0,G Elliott,6th,3 3/4 l,6,11-4,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Saylavee (IRE),K Callaghan,5,W P Mullins,5th,1 1/2 l,7,11-3,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Another Choice (IRE),J Smith,7,M J Smith,4th,3 1/4 l,7,11-10,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Easy Fella (IRE),M P O'Connor,3,H De Bromhead,3rd,1/2 l,7,11-10,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Solitary Man (IRE),C G O'Dwyer,5,E Bolger,2nd,2 1/4 l,6,11-10,-,True,122,3
Punchestown Racing Results | 9th June 2024 13:45,N/A,13:45,Good (Good To Yielding In Places),3m 80y,Reverend Hubert (IRE),S Fitzgerald,0,C Byrnes,1st,N/A,6,11-10,-,True,122,3
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Flanking Maneuver (IRE),L A McKenna,5,N Meade,NR,N/A,9,11-6tb1,132,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Hereditary Rule (IRE),S O'Callaghan,5,J C McConnell,UR,N/A,9,11-4t,130,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,The Friday Man,K C Sexton,0,M McCabe,PU,N/A,7,10-11,123,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Elle Perfecta (IRE),S Fitzgerald,0,Colm Murphy,F,N/A,8,10-13t,125,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Rexem (IRE),A Harvey,7,J C McConnell,10th,5 1/2 l,7,11-3,129,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Jasmin De Cotte (FR),R Deegan,0,P Nolan,9th,9 1/2 l,5,10-11h,123,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Slip Of The Tongue (IRE),A P Kelly,5,P Roche,8th,4 1/2 l,7,10-13tp1,125,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Gateau De Miel (FR),M P O'Connor,3,H De Bromhead,7th,2 3/4 l,8,10-2tp,114,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Slane Hill (IRE),R A Doyle,0,B Connell,6th,5 1/2 l,7,10-11p1,123,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Macgiloney (IRE),P K Donovan,5,D Hogan,5th,3/4 l,11,10-11,123,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Irish Blaze (IRE),E Walsh,0,C Collins,4th,3/4 l,8,11-3h,129,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Mars Harper,C P Millar,7,G Elliott,3rd,2 3/4 l,8,11-12tp,138,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Railway Hurricane (IRE),C Stone-Walsh,5,G P Cromwell,2nd,9 1/2 l,9,11-1tb,127,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Mousey Brown (IRE),P J O'Hanlon,3,D A McLoughlin,1st,N/A,7,10-4t,116,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Flanking Maneuver (IRE),L A McKenna,5,N Meade,NR,N/A,9,11-6tb1,132,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Hereditary Rule (IRE),S O'Callaghan,5,J C McConnell,UR,N/A,9,11-4t,130,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,The Friday Man,K C Sexton,0,M McCabe,PU,N/A,7,10-11,123,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Elle Perfecta (IRE),S Fitzgerald,0,Colm Murphy,F,N/A,8,10-13t,125,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Rexem (IRE),A Harvey,7,J C McConnell,10th,5 1/2 l,7,11-3,129,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Jasmin De Cotte (FR),R Deegan,0,P Nolan,9th,9 1/2 l,5,10-11h,123,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Slip Of The Tongue (IRE),A P Kelly,5,P Roche,8th,4 1/2 l,7,10-13tp1,125,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Gateau De Miel (FR),M P O'Connor,3,H De Bromhead,7th,2 3/4 l,8,10-2tp,114,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Slane Hill (IRE),R A Doyle,0,B Connell,6th,5 1/2 l,7,10-11p1,123,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Macgiloney (IRE),P K Donovan,5,D Hogan,5th,3/4 l,11,10-11,123,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Irish Blaze (IRE),E Walsh,0,C Collins,4th,3/4 l,8,11-3h,129,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Mars Harper,C P Millar,7,G Elliott,3rd,2 3/4 l,8,11-12tp,138,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Railway Hurricane (IRE),C Stone-Walsh,5,G P Cromwell,2nd,9 1/2 l,9,11-1tb,127,True,122,4
Punchestown Racing Results | 9th June 2024 14:20,N/A,14:20,Good (Good To Yielding In Places),2m 4f 55y,Mousey Brown (IRE),P J O'Hanlon,3,D A McLoughlin,1st,N/A,7,10-4t,116,True,122,4
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Daicheadacuig (IRE),Miss L Costello,7,B Mortell,NR,N/A,9,10-0,87,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Simpletwistoffaith (IRE),Non Runner,7,Patrick J Hassett,NR,N/A,7,11-3p1,104,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Petite Mike (IRE),Ms S C McNamara,7,G Ahern,F,N/A,6,10-0,87,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Dreamings Free (IRE),Ms E C Costello,7,John F O'Neill,BD,N/A,5,10-5,92,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Benkei (IRE),Miss M Walsh,7,H Rogers,13th,Neck,14,10-0p,87,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Room To Roam (IRE),Miss S A Carter,7,J C McConnell,12th,10 l,10,11-3,104,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Smallcraftwarning (IRE),Miss T Quail,4,Miss E McCutcheon,11th,2 3/4 l,7,10-10t,97,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Big Debates (FR),Anna McGuinness,7,R Tyner,10th,1 3/4 l,11,11-12,113,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Winding River (IRE),Sarah Kavanagh,4,O McKiernan,9th,1 l,7,11-6tp,107,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Purse Price,Miss C Butler,4,G Elliott,8th,1 3/4 l,7,11-11t,112,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Must Be Dreaming (IRE),Miss J Townend,0,G Ahern,7th,1 1/2 l,7,10-5p,92,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Down Around (IRE),Miss P Elvin,4,P J Rothwell,6th,2 1/4 l,7,10-12p,99,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Costanuci (IRE),Miss O M Queally,7,J Queally,5th,1/2 l,7,12-0,115,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,San Martino (IRE),Aileen O'Sullivan,7,S Millar,4th,1/2 l,6,11-9,110,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Joyeux Vivo (FR),Miss A B O'Connor,0,John E & Kiely,3rd,1 1/2 l,5,11-12,113,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Missus Beeton (IRE),Miss G Benson,4,S Nolan,2nd,3/4 l,6,11-1,102,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Sargent Lightfoot (IRE),Miss S Doyle,7,A Murray,1st,N/A,10,11-1,102,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Daicheadacuig (IRE),Miss L Costello,7,B Mortell,NR,N/A,9,10-0,87,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Simpletwistoffaith (IRE),Non Runner,7,Patrick J Hassett,NR,N/A,7,11-3p1,104,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Petite Mike (IRE),Ms S C McNamara,7,G Ahern,F,N/A,6,10-0,87,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Dreamings Free (IRE),Ms E C Costello,7,John F O'Neill,BD,N/A,5,10-5,92,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Benkei (IRE),Miss M Walsh,7,H Rogers,13th,Neck,14,10-0p,87,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Room To Roam (IRE),Miss S A Carter,7,J C McConnell,12th,10 l,10,11-3,104,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Smallcraftwarning (IRE),Miss T Quail,4,Miss E McCutcheon,11th,2 3/4 l,7,10-10t,97,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Big Debates (FR),Anna McGuinness,7,R Tyner,10th,1 3/4 l,11,11-12,113,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Winding River (IRE),Sarah Kavanagh,4,O McKiernan,9th,1 l,7,11-6tp,107,True,122,5
Punchestown Racing Results | 9th June 2024 14:55,N/A,14:55,Good (Good To Yielding In Places),2m 3f 49y,Purse Price,Miss C Butler,4,G Elliott,8th,1 3/4 l,7,11-11t,112,True,122,5
