track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Lilac Lady (IRE),William James Lee,0,M. C. Grassick,4th,1 1/2 l,3,8-12b,49,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Silkies Sib (IRE),D. B. McMonagle,0,Timothy Doyle,3rd,3/4 l,3,9-4h1,55,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Givemefive (IRE),Ben Martin Coen,0,John Patrick Murtagh,2nd,3/4 l,3,9-12b,63,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Quiz Test (IRE),J. J. G. Ryan,7,Sean Byrne,1st,N/A,3,10-0,65,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Kodihill (IRE),C. Stone-Walsh,7,Mary E Doyle,17th,2 1/4 l,3,9-4,55,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Sunday Evening (IRE),J. M. Sheridan,0,Paul W. Flynn,16th,12 l,3,9-2,53,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,O Merisi (IRE),N. M. Crosse,0,Eddie & Patrick Harty,15th,3/4 l,3,10-0,65,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Miss Langmore (IRE),Siobhan Rutledge,3,John McConnell,14th,3/4 l,3,8-10,47,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Bedelia (IRE),Rachael Blackmore,0,John Joseph Hanlon,13th,5 1/2 l,3,9-6,57,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Where R U Now Bob (IRE),Andrew Joseph Slattery,0,Rodger Sweeney,12th,3 l,3,9-1p,52,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Get Set Jet,M. P. Sheehy,0,Ross O'Sullivan,11th,1 l,3,9-8,59,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Lady Kai (IRE),D. W. O'Connor,0,Ross O'Sullivan,10th,3/4 l,3,9-7,58,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Kirkuila (IRE),L. T. McAteer,0,James M. Barrett,9th,Neck,3,9-11,62,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Mary Makebelieve (IRE),Seamie Heffernan,0,N. Stokes,8th,3/4 l,3,9-4,55,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Katonah (IRE),J. A. Powell,5,Noel Meade,7th,3/4 l,3,9-12,63,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Tasmanian Girl (IRE),K. J. Leonard,0,Aengus King,6th,1 1/4 l,3,8-10,47,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Lucky Question,R. C. Colgan,0,Ms Sheila Lavery,5th,3/4 l,3,8-13,50,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Lilac Lady (IRE),William James Lee,0,M. C. Grassick,4th,1 1/2 l,3,8-12b,49,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Silkies Sib (IRE),D. B. McMonagle,0,Timothy Doyle,3rd,3/4 l,3,9-4h1,55,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Givemefive (IRE),Ben Martin Coen,0,John Patrick Murtagh,2nd,3/4 l,3,9-12b,63,True,70,37
Cork Racing Results | 28th July 2023 19:07,N/A,19:07,Good,1m 2f,Quiz Test (IRE),J. J. G. Ryan,7,Sean Byrne,1st,N/A,3,10-0,65,True,70,37
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Cruzer (IRE),L. T. McAteer,0,Paul W. Flynn,16th,2 1/2 l,3,9-0t,54,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Patsy Fagan (IRE),G. P. Halpin,0,Sean Davis,15th,8 l,5,9-4t,53,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Contradanza (IRE),C. D. Hayes,0,John Patrick Hayes,14th,Neck,4,9-3,52,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Born Invincible (IRE),N. M. Crosse,0,S. M. Duffy,13th,1 1/4 l,7,8-12t,47,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Gobi Star (IRE),D. B. McMonagle,0,Patrick Martin,12th,Nose,5,10-0tp,63,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Inishmot Prince (IRE),J. J. G. Ryan,7,T. G. McCourt,11th,3/4 l,5,10-2,65,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Carlton Banks (IRE),D. W. O'Connor,0,J. F. Levins,10th,1 3/4 l,5,9-12p,61,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Cuala Bula (IRE),T. Marshall,7,Charles Coakley,9th,Neck,4,9-4tp,53,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,My Girl Sioux (IRE),Andrew Joseph Slattery,0,A. Slattery,8th,Neck,3,8-9v,49,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Coco Hill (IRE),J. A. Powell,5,Michael Fenton,7th,Neck,3,9-5p,59,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Californiagoldrush (IRE),Seamie Heffernan,0,Kevin Thomas Coleman,6th,1/2 l,3,9-5,59,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Cholita (IRE),Ben Martin Coen,0,Sarah Lynam,5th,1 l,3,9-4,58,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Jazzy Dancer (IRE),C. Stone-Walsh,7,W. J. Martin,4th,Head,5,9-8tb,57,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Hot Whispers (IRE),J. M. Sheridan,0,Denis Hogan,3rd,1 3/4 l,4,8-12tp,47,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Samrogue (IRE),C. P. Hoban,0,Ross O'Sullivan,2nd,1/2 l,5,9-4,53,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Linger For Longer (IRE),William James Lee,0,Augustine Leahy,1st,N/A,4,10-1p,64,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Cruzer (IRE),L. T. McAteer,0,Paul W. Flynn,16th,2 1/2 l,3,9-0t,54,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Patsy Fagan (IRE),G. P. Halpin,0,Sean Davis,15th,8 l,5,9-4t,53,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Contradanza (IRE),C. D. Hayes,0,John Patrick Hayes,14th,Neck,4,9-3,52,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Born Invincible (IRE),N. M. Crosse,0,S. M. Duffy,13th,1 1/4 l,7,8-12t,47,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Gobi Star (IRE),D. B. McMonagle,0,Patrick Martin,12th,Nose,5,10-0tp,63,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Inishmot Prince (IRE),J. J. G. Ryan,7,T. G. McCourt,11th,3/4 l,5,10-2,65,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Carlton Banks (IRE),D. W. O'Connor,0,J. F. Levins,10th,1 3/4 l,5,9-12p,61,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Cuala Bula (IRE),T. Marshall,7,Charles Coakley,9th,Neck,4,9-4tp,53,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,My Girl Sioux (IRE),Andrew Joseph Slattery,0,A. Slattery,8th,Neck,3,8-9v,49,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Coco Hill (IRE),J. A. Powell,5,Michael Fenton,7th,Neck,3,9-5p,59,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Californiagoldrush (IRE),Seamie Heffernan,0,Kevin Thomas Coleman,6th,1/2 l,3,9-5,59,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Cholita (IRE),Ben Martin Coen,0,Sarah Lynam,5th,1 l,3,9-4,58,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Jazzy Dancer (IRE),C. Stone-Walsh,7,W. J. Martin,4th,Head,5,9-8tb,57,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Hot Whispers (IRE),J. M. Sheridan,0,Denis Hogan,3rd,1 3/4 l,4,8-12tp,47,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Samrogue (IRE),C. P. Hoban,0,Ross O'Sullivan,2nd,1/2 l,5,9-4,53,True,70,38
Cork Racing Results | 28th July 2023 19:40,N/A,19:40,Good,6f,Linger For Longer (IRE),William James Lee,0,Augustine Leahy,1st,N/A,4,10-1p,64,True,70,38
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Millieblue (IRE),G. P. Halpin,0,Nigel Slevin,15th,6 l,3,9-0p1,54,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Oneplusone (IRE),Siobhan Rutledge,3,Craig O'Neill,14th,3/4 l,3,9-9,63,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Okyle Lass (IRE),P. Verling,10,Rodger Sweeney,13th,3/4 l,3,8-7p,47,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Benerville (IRE),J. A. Powell,5,T. Hogan,12th,Neck,3,8-12p,52,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Baalbec Beauty (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,11th,1 3/4 l,5,10-2ht,65,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Stickyourneckout (IRE),C. D. Hayes,0,J. F. Levins,10th,Short Head,4,8-12p,47,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Mogwli (IRE),N. M. Crosse,0,W. McCreery,9th,2 1/4 l,6,9-12v,61,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Giocoso (IRE),Andrew Joseph Slattery,0,A. Slattery,8th,Neck,4,9-2,51,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Markievicz (IRE),R. C. Colgan,0,Ms Sheila Lavery,7th,1 1/4 l,5,9-5,54,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Improving (IRE),D. B. McMonagle,0,Augustine Leahy,6th,1/2 l,7,9-4p,53,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Catherine Chroi (IRE),Seamie Heffernan,0,Ms Claire O'Connell,5th,1 1/2 l,5,9-0b,49,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Tiktok Time (IRE),L. T. McAteer,0,David Marnane,4th,1/2 l,3,8-13h,53,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Shoebox King (IRE),C. Stone-Walsh,7,Kevin Thomas Coleman,3rd,3/4 l,4,10-2b,65,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Teddy Boy (IRE),J. J. G. Ryan,7,Edward Lynam,2nd,Head,8,8-12,47,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,American In Paris (IRE),J. M. Sheridan,0,Denis Hogan,1st,N/A,3,9-2b,56,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Millieblue (IRE),G. P. Halpin,0,Nigel Slevin,15th,6 l,3,9-0p1,54,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Oneplusone (IRE),Siobhan Rutledge,3,Craig O'Neill,14th,3/4 l,3,9-9,63,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Okyle Lass (IRE),P. Verling,10,Rodger Sweeney,13th,3/4 l,3,8-7p,47,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Benerville (IRE),J. A. Powell,5,T. Hogan,12th,Neck,3,8-12p,52,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Baalbec Beauty (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,11th,1 3/4 l,5,10-2ht,65,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Stickyourneckout (IRE),C. D. Hayes,0,J. F. Levins,10th,Short Head,4,8-12p,47,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Mogwli (IRE),N. M. Crosse,0,W. McCreery,9th,2 1/4 l,6,9-12v,61,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Giocoso (IRE),Andrew Joseph Slattery,0,A. Slattery,8th,Neck,4,9-2,51,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Markievicz (IRE),R. C. Colgan,0,Ms Sheila Lavery,7th,1 1/4 l,5,9-5,54,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Improving (IRE),D. B. McMonagle,0,Augustine Leahy,6th,1/2 l,7,9-4p,53,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Catherine Chroi (IRE),Seamie Heffernan,0,Ms Claire O'Connell,5th,1 1/2 l,5,9-0b,49,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Tiktok Time (IRE),L. T. McAteer,0,David Marnane,4th,1/2 l,3,8-13h,53,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Shoebox King (IRE),C. Stone-Walsh,7,Kevin Thomas Coleman,3rd,3/4 l,4,10-2b,65,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,Teddy Boy (IRE),J. J. G. Ryan,7,Edward Lynam,2nd,Head,8,8-12,47,True,70,39
Cork Racing Results | 28th July 2023 20:15,N/A,20:15,Good,6f,American In Paris (IRE),J. M. Sheridan,0,Denis Hogan,1st,N/A,3,9-2b,56,True,70,39
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,T Or Coffey (IRE),R. P. Cleary,0,P. Mulligan,UR,N/A,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,Rogerwaswrong (IRE),N. G. McCullagh,0,Sean Davis,6th,15 l,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,Interestnpenalties (IRE),S. B. Kelly,0,Sean Davis,4th,3 l,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,King Of Gosford,G. F. Carroll,0,Andrew Oliver,4th,Dead Heat,2,9-7t1,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,Starliner (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,3rd,Short Head,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,Battle Cry (IRE),K. K. Hennessy,5,Aidan O'Brien,2nd,1/2 l,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,My Mate Alfie (IRE),C. T. Keane,0,G. M. Lyons,1st,N/A,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,T Or Coffey (IRE),R. P. Cleary,0,P. Mulligan,UR,N/A,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,Rogerwaswrong (IRE),N. G. McCullagh,0,Sean Davis,6th,15 l,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,Interestnpenalties (IRE),S. B. Kelly,0,Sean Davis,4th,3 l,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,King Of Gosford,G. F. Carroll,0,Andrew Oliver,4th,Dead Heat,2,9-7t1,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,Starliner (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,3rd,Short Head,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,Battle Cry (IRE),K. K. Hennessy,5,Aidan O'Brien,2nd,1/2 l,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:10,N/A,17:10,Good (Good To Yielding In Places),7f,My Mate Alfie (IRE),C. T. Keane,0,G. M. Lyons,1st,N/A,2,9-7,-,True,70,40
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Scarlet Dancer (IRE),Shane Foley,0,James McAuley,10th,1 1/4 l,4,9-12b,58,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Zig Zag Zyggy (IRE),Adam Caffrey,5,Adrian McGuinness,9th,Neck,8,9-6,52,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Soyounique (IRE),D. E. Sheehy,3,Ciaran Murphy,8th,1 l,6,9-7,53,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Pulse Of Shanghai (IRE),K. K. Hennessy,5,James McAuley,7th,2 l,7,9-6tb,52,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Ever Rock (IRE),J. Kearney,7,J. J. Lambe,6th,Neck,7,9-12,58,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Peerless (IRE),C. T. Keane,0,Denis Hogan,5th,Head,5,9-5tb,51,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Sister Lola (IRE),Declan McDonogh,0,James McAuley,4th,3/4 l,6,9-4tp,50,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Art of Unity,R. Whearty,7,Muredach Kelly,3rd,1/2 l,8,9-12v,58,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Eruption (IRE),G. F. Carroll,0,Matthew J. Smith,2nd,1 3/4 l,4,9-6b,52,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Spirit Of Eagles (IRE),G. M. Ryan,0,M. C. Grassick,1st,N/A,3,9-2t,52,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Scarlet Dancer (IRE),Shane Foley,0,James McAuley,10th,1 1/4 l,4,9-12b,58,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Zig Zag Zyggy (IRE),Adam Caffrey,5,Adrian McGuinness,9th,Neck,8,9-6,52,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Soyounique (IRE),D. E. Sheehy,3,Ciaran Murphy,8th,1 l,6,9-7,53,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Pulse Of Shanghai (IRE),K. K. Hennessy,5,James McAuley,7th,2 l,7,9-6tb,52,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Ever Rock (IRE),J. Kearney,7,J. J. Lambe,6th,Neck,7,9-12,58,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Peerless (IRE),C. T. Keane,0,Denis Hogan,5th,Head,5,9-5tb,51,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Sister Lola (IRE),Declan McDonogh,0,James McAuley,4th,3/4 l,6,9-4tp,50,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Art of Unity,R. Whearty,7,Muredach Kelly,3rd,1/2 l,8,9-12v,58,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Eruption (IRE),G. F. Carroll,0,Matthew J. Smith,2nd,1 3/4 l,4,9-6b,52,True,70,41
Down Royal Racing Results | 28th July 2023 17:45,N/A,17:45,Good (Good To Yielding In Places),5f,Spirit Of Eagles (IRE),G. M. Ryan,0,M. C. Grassick,1st,N/A,3,9-2t,52,True,70,41
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Boher Road (IRE),S. McCullagh,3,Jarlath P. Fahey,10th,4 3/4 l,4,10-3,83,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Devore (IRE),S. B. Kelly,0,John Patrick Murtagh,9th,24 l,3,8-13,74,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Team Of Firsts,R. Donaghue-Leahy,10,Patrick J. Flynn,8th,4 1/2 l,5,9-13,79,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Savigny (IRE),G. F. Carroll,0,Henry de Bromhead,7th,1/2 l,3,9-0tb1,75,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Draco Pulchrac (IRE),Shane Foley,0,A. J. Martin,6th,1/2 l,5,9-0t,66,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Mads Black Eights (IRE),J. Kearney,7,Matthew J. Smith,5th,1 1/2 l,7,9-1,67,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Spy,Adam Caffrey,5,Charles Byrnes,4th,2 1/4 l,4,9-11,77,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Hutton Glen (IRE),C. T. Keane,0,G. M. Lyons,3rd,1 1/4 l,3,9-5,80,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Alma Libre (ARG),D. E. Sheehy,3,Miss Natalia Lupini,2nd,1 1/4 l,5,9-8,74,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Eastern Legend (IRE),N. G. McCullagh,0,J. S. Bolger,1st,N/A,3,8-12t,73,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Boher Road (IRE),S. McCullagh,3,Jarlath P. Fahey,10th,4 3/4 l,4,10-3,83,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Devore (IRE),S. B. Kelly,0,John Patrick Murtagh,9th,24 l,3,8-13,74,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Team Of Firsts,R. Donaghue-Leahy,10,Patrick J. Flynn,8th,4 1/2 l,5,9-13,79,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Savigny (IRE),G. F. Carroll,0,Henry de Bromhead,7th,1/2 l,3,9-0tb1,75,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Draco Pulchrac (IRE),Shane Foley,0,A. J. Martin,6th,1/2 l,5,9-0t,66,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Mads Black Eights (IRE),J. Kearney,7,Matthew J. Smith,5th,1 1/2 l,7,9-1,67,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Spy,Adam Caffrey,5,Charles Byrnes,4th,2 1/4 l,4,9-11,77,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Hutton Glen (IRE),C. T. Keane,0,G. M. Lyons,3rd,1 1/4 l,3,9-5,80,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Alma Libre (ARG),D. E. Sheehy,3,Miss Natalia Lupini,2nd,1 1/4 l,5,9-8,74,True,70,43
Down Royal Racing Results | 28th July 2023 18:55,N/A,18:55,Good (Good To Yielding In Places),1m 2f 75y,Eastern Legend (IRE),N. G. McCullagh,0,J. S. Bolger,1st,N/A,3,8-12t,73,True,70,43
Down Royal Racing Results | 28th July 2023 19:25,N/A,19:25,Good (Good To Yielding In Places),1m 4f 175y,Mellow Magic,Shane Foley,0,Mrs J. Harrington,6th,35 l,5,9-10,86,True,70,44
Down Royal Racing Results | 28th July 2023 19:25,N/A,19:25,Good (Good To Yielding In Places),1m 4f 175y,Mille Miglia,D. E. Sheehy,3,Colin A. McBratney,5th,31 l,5,8-10p,72,True,70,44
Down Royal Racing Results | 28th July 2023 19:25,N/A,19:25,Good (Good To Yielding In Places),1m 4f 175y,Humtaza (IRE),C. Horgan,7,P. O'Rourke,4th,7 1/2 l,4,8-7,69,True,70,44
Down Royal Racing Results | 28th July 2023 19:25,N/A,19:25,Good (Good To Yielding In Places),1m 4f 175y,Zola Sakura (IRE),C. T. Keane,0,G. M. Lyons,3rd,1/2 l,5,10-3,93,True,70,44
Down Royal Racing Results | 28th July 2023 19:25,N/A,19:25,Good (Good To Yielding In Places),1m 4f 175y,White Caviar (FR),Declan McDonogh,0,Joseph Patrick O'Brien,2nd,2 1/2 l,4,10-0,90,True,70,44
Down Royal Racing Results | 28th July 2023 19:25,N/A,19:25,Good (Good To Yielding In Places),1m 4f 175y,Gradulations,G. F. Carroll,0,Andrew Oliver,1st,N/A,4,9-2p,78,True,70,44
