track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,15:25,Soft (Yielding In Places),2m,Shuil Valentine (IRE),Mr D. Kiely,7,John E. Kiely,9th,99 l,6,11-7,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Cato Capone (IRE),Mr J. L. Gleeson,7,Gordon Elliott,8th,11 l,4,12-0,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Teuchters Glory (IRE),Mr W. J. Burke,7,W. J. Burke,7th,6 1/2 l,6,12-0,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Caldwell Potter (FR),Mr J. J. Codd,0,Gordon Elliott,6th,5 l,4,12-0,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,King Of Kingsfield (IRE),Mr H. C. Swan,7,Gordon Elliott,5th,1 1/2 l,4,12-0h1,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Rockstown Girl (IRE),Miss A. B. O'Connor,3,Anthony McCann,4th,13 l,4,11-7,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Special Cadeau,Miss J. Townend,3,W. P. Mullins,3rd,2 1/4 l,4,12-0,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Lecky Watson (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,2 3/4 l,4,11-7,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Fascile Mode (IRE),Mr Charlie Mullins,7,Thomas Mullins,1st,N/A,4,11-7,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Shuil Valentine (IRE),Mr D. Kiely,7,John E. Kiely,9th,99 l,6,11-7,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Cato Capone (IRE),Mr J. L. Gleeson,7,Gordon Elliott,8th,11 l,4,12-0,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Teuchters Glory (IRE),Mr W. J. Burke,7,W. J. Burke,7th,6 1/2 l,6,12-0,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Caldwell Potter (FR),Mr J. J. Codd,0,Gordon Elliott,6th,5 l,4,12-0,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,King Of Kingsfield (IRE),Mr H. C. Swan,7,Gordon Elliott,5th,1 1/2 l,4,12-0h1,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Rockstown Girl (IRE),Miss A. B. O'Connor,3,Anthony McCann,4th,13 l,4,11-7,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Special Cadeau,Miss J. Townend,3,W. P. Mullins,3rd,2 1/4 l,4,12-0,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Lecky Watson (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,2 3/4 l,4,11-7,-,True,37,1
N/A,N/A,15:25,Soft (Yielding In Places),2m,Fascile Mode (IRE),Mr Charlie Mullins,7,Thomas Mullins,1st,N/A,4,11-7,-,True,37,1
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Silver Planeur (FR),G. B. Noonan,7,Eric McNamara,UR,N/A,10,10-0t,97,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,R'evelyn Pleasure (IRE),R. J. Condon,5,Sean O. O'Brien,F,N/A,10,11-11p,122,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Forza Milan (IRE),Gavin Peter Brouder,0,James A. Nash,5th,3 1/2 l,10,11-12tp,123,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Blast Of Koeman (IRE),Phillip Enright,0,Peter Maher,4th,2 1/4 l,11,11-0tp,111,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Three Loud Knocks (IRE),D. J. O'Keeffe,0,Brian Mortell,3rd,1 l,10,10-0,97,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Carrig Cathal,C. P. McNamara,0,D. Broad,2nd,9 l,11,10-0t,97,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Sir Bob (IRE),M. P. Walsh,0,Robert Tyner,1st,N/A,10,10-13p,110,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Silver Planeur (FR),G. B. Noonan,7,Eric McNamara,UR,N/A,10,10-0t,97,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,R'evelyn Pleasure (IRE),R. J. Condon,5,Sean O. O'Brien,F,N/A,10,11-11p,122,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Forza Milan (IRE),Gavin Peter Brouder,0,James A. Nash,5th,3 1/2 l,10,11-12tp,123,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Blast Of Koeman (IRE),Phillip Enright,0,Peter Maher,4th,2 1/4 l,11,11-0tp,111,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Three Loud Knocks (IRE),D. J. O'Keeffe,0,Brian Mortell,3rd,1 l,10,10-0,97,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Carrig Cathal,C. P. McNamara,0,D. Broad,2nd,9 l,11,10-0t,97,True,37,2
N/A,N/A,12:20,Heavy (Soft To Heavy In Places),2m 6f 120y,Sir Bob (IRE),M. P. Walsh,0,Robert Tyner,1st,N/A,10,10-13p,110,True,37,2
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Harly De Rots (FR),C. A. Landers,0,Michael J. McDonagh,UR,N/A,5,10-2,83,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Likable Chancer (IRE),Richard Deegan,0,Daniel John Howard,UR,N/A,8,10-1tv1,82,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Ocean Legacy (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,PU,N/A,5,10-0,81,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Huntingtown (IRE),S. D. Torrens,0,E. J. O'Grady,PU,N/A,5,11-7p,102,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,My Friend The Wind (IRE),C. P. McNamara,0,Eric McNamara,PU,N/A,7,10-10p,91,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Allbarone (IRE),D. J. O'Keeffe,0,Henry de Bromhead,PU,N/A,8,12-0,109,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Four Country Roads (IRE),D. Moloney,7,Brian M. McMahon,PU,N/A,8,10-0,81,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Carnet De Stage (IRE),Mr Alan O'Sullivan,7,Eugene M. O'Sullivan,PU,N/A,7,11-11p,106,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Fierami (FR),Sam Ewing,0,Gordon Elliott,PU,N/A,7,11-7t,102,True,37,3
N/A,N/A,12:55,Heavy (Soft To Heavy In Places),2m 6f 120y,Holiday In Kerry (IRE),C. M. Quirke,7,Eric McNamara,F,N/A,6,10-12,93,True,37,3
