track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Alfred Munnings (IRE),Seamie Heffernan,0,Aidan O'Brien,10th,13 l,3,9-5p,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Salt Lake City (IRE),C. T. Keane,0,Aidan O'Brien,9th,2 l,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Villanova Queen (IRE),Shane Foley,0,Mrs J. Harrington,8th,Short Head,4,9-7,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Howyoulikethat (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,7th,Short Head,6,9-10,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Bold Discovery (USA),Frankie Dettori,0,Mrs J. Harrington,6th,3/4 l,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Tarawa (IRE),C. D. Hayes,0,D. K. Weld,5th,1 1/4 l,3,9-2v,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Lord Massusus (IRE),G. F. Carroll,0,Joseph G. Murphy,4th,3/4 l,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Victoria Road (IRE),Ryan Moore,0,Aidan O'Brien,3rd,Head,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Buckaroo,Oisin Murphy,0,Joseph Patrick O'Brien,2nd,1 1/4 l,4,9-10,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Flight Plan,Daniel Tudhope,0,K. R. Burke,1st,N/A,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Alfred Munnings (IRE),Seamie Heffernan,0,Aidan O'Brien,10th,13 l,3,9-5p,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Salt Lake City (IRE),C. T. Keane,0,Aidan O'Brien,9th,2 l,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Villanova Queen (IRE),Shane Foley,0,Mrs J. Harrington,8th,Short Head,4,9-7,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Howyoulikethat (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,7th,Short Head,6,9-10,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Bold Discovery (USA),Frankie Dettori,0,Mrs J. Harrington,6th,3/4 l,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Tarawa (IRE),C. D. Hayes,0,D. K. Weld,5th,1 1/4 l,3,9-2v,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Lord Massusus (IRE),G. F. Carroll,0,Joseph G. Murphy,4th,3/4 l,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Victoria Road (IRE),Ryan Moore,0,Aidan O'Brien,3rd,Head,3,9-5,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Buckaroo,Oisin Murphy,0,Joseph Patrick O'Brien,2nd,1 1/4 l,4,9-10,-,True,79,1
N/A,N/A,15:55,Good (Good To Firm In Places),1m,Flight Plan,Daniel Tudhope,0,K. R. Burke,1st,N/A,3,9-5,-,True,79,1
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Young Ireland (IRE),L. T. McAteer,0,J. S. Bolger,7th,3 l,3,9-1,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Mashhoor,Ben Martin Coen,0,John Patrick Murtagh,6th,1 1/2 l,5,9-12,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Valiant King,Oisin Murphy,0,Joseph Patrick O'Brien,5th,4 1/2 l,3,9-1,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,White Birch,Shane Foley,0,John Joseph Murphy,4th,1/2 l,3,9-4t,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Layfayette (IRE),C. T. Keane,0,Noel Meade,3rd,1/2 l,6,9-12,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Al Aasy (IRE),Jim Crowley,0,William Haggas,2nd,1/2 l,6,9-12,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Adelaide River (IRE),Ryan Moore,0,Aidan O'Brien,1st,N/A,3,9-1,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Young Ireland (IRE),L. T. McAteer,0,J. S. Bolger,7th,3 l,3,9-1,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Mashhoor,Ben Martin Coen,0,John Patrick Murtagh,6th,1 1/2 l,5,9-12,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,Valiant King,Oisin Murphy,0,Joseph Patrick O'Brien,5th,4 1/2 l,3,9-1,-,True,79,2
N/A,N/A,16:30,Good (Good To Firm In Places),1m 4f,White Birch,Shane Foley,0,John Joseph Murphy,4th,1/2 l,3,9-4t,-,True,79,2
