track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Daisy Jones (USA),C. J. MacRedmond,5,Takashi Kodama,2nd,1 1/2 l,5,9-12,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Parting Glass (IRE),M. A. Enright,0,J. A. Stack,1st,N/A,3,9-8t1,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Marino Point (IRE),N. M. Crosse,0,Luke Comer,18th,17 l,3,9-8h,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Giocoso (IRE),A. J. Slattery,0,A. Slattery,17th,2 1/2 l,4,9-12,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Gianh River (IRE),D. B. McMonagle,0,S. M. Duffy,16th,1/2 l,3,9-8,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Daonethatgotaway,G. M. Ryan,0,Mark Fahey,15th,1 1/2 l,3,9-8,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Zaragoza (IRE),C. D. Hayes,0,D. K. Weld,14th,1/2 l,3,9-8,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,So Majestic (IRE),C. T. Keane,0,Miss Kate McGivern,13th,3 1/2 l,3,9-3ht,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Vikki Wall (IRE),C. D. Maxwell,0,Ian Patrick Donoghue,12th,Short Head,3,9-3t1,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Strath Dancer (IRE),J. A. Powell,5,Padraig Roche,11th,1/2 l,3,9-3h1,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Nation Of Stars,Oisin McSweeney,5,Kieran Patrick Cotter,10th,3 l,3,9-3,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Gosford (IRE),William James Lee,0,Edward Lynam,9th,Short Head,3,9-8,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Wild Eyed Girl (IRE),Adam Caffrey,7,Brian Nolan,7th,Dead Heat,4,9-12h,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Second Fiddle (IRE),H. J. Horgan,7,C. P. Donoghue,7th,1 1/2 l,4,9-12t,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Elda (IRE),R. P. Whelan,0,Andrew Kinirons,6th,1 1/4 l,4,9-12,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Yuzu,Shane Foley,0,Mrs J. Harrington,5th,3/4 l,3,9-3,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Heartrate (IRE),Declan McDonogh,0,Kieran Patrick Cotter,4th,Short Head,3,9-8,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Ferrari Desert,Ben Martin Coen,0,E. J. O'Neill,3rd,1/2 l,3,9-3,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Daisy Jones (USA),C. J. MacRedmond,5,Takashi Kodama,2nd,1 1/2 l,5,9-12,-,True,54,10
Navan Racing Results | 13th May 2023 14:55,N/A,14:55,Soft (Yielding In Places),5f,Parting Glass (IRE),M. A. Enright,0,J. A. Stack,1st,N/A,3,9-8t1,-,True,54,10
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Fly To Glory (IRE),G. M. Ryan,0,P. J. F. Murphy,16th,6 l,4,9-2,78,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Master Matt,R. P. Whelan,0,M. Halford & T. Collins,15th,1/2 l,7,9-13,89,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Hallowed Time (IRE),William James Lee,0,E. J. O'Neill,14th,Neck,5,9-2p,78,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Only Spoofing (IRE),C. Ngcobo,3,Kevin Thomas Coleman,13th,Neck,9,9-10,86,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Rough Diamond (IRE),Sorcha Woods,7,Edward Lynam,12th,1 l,6,10-4,94,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Curraheen Princess (IRE),W. M. Lordan,0,N. Stokes,11th,2 1/2 l,5,9-10,86,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Senor Carrots (IRE),D. B. McMonagle,0,Andrew Oliver,10th,Neck,5,8-12v1,74,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Loveday (IRE),N. M. Crosse,0,W. McCreery,9th,3/4 l,4,9-11,87,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Dun Na Sead (IRE),Declan McDonogh,0,Kieran Patrick Cotter,8th,3/4 l,4,9-2,78,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Mercurial (IRE),S. D. Bowen,7,John J. Nallen,7th,Short Head,4,9-1,77,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Aljady (FR),J. M. Sheridan,3,Denis Hogan,6th,1 1/4 l,8,9-2tb,78,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Heavenly Power (IRE),G. F. Carroll,0,Edward Lynam,5th,1/2 l,5,9-5,81,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Mickey The Steel,M. W. Hassett,10,Joseph Anthony Murray,4th,1 3/4 l,5,10-2tp,92,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Screen Siren (IRE),C. D. Hayes,0,Sarah Lynam,3rd,1 1/2 l,5,8-10p,72,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Tawaazon (IRE),J. A. Powell,5,James McAuley,2nd,Head,5,9-9tb,85,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Jon Riggens (IRE),Ben Martin Coen,0,Edward Lynam,1st,N/A,5,9-3t,79,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Fly To Glory (IRE),G. M. Ryan,0,P. J. F. Murphy,16th,6 l,4,9-2,78,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Master Matt,R. P. Whelan,0,M. Halford & T. Collins,15th,1/2 l,7,9-13,89,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Hallowed Time (IRE),William James Lee,0,E. J. O'Neill,14th,Neck,5,9-2p,78,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Only Spoofing (IRE),C. Ngcobo,3,Kevin Thomas Coleman,13th,Neck,9,9-10,86,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Rough Diamond (IRE),Sorcha Woods,7,Edward Lynam,12th,1 l,6,10-4,94,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Curraheen Princess (IRE),W. M. Lordan,0,N. Stokes,11th,2 1/2 l,5,9-10,86,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Senor Carrots (IRE),D. B. McMonagle,0,Andrew Oliver,10th,Neck,5,8-12v1,74,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Loveday (IRE),N. M. Crosse,0,W. McCreery,9th,3/4 l,4,9-11,87,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Dun Na Sead (IRE),Declan McDonogh,0,Kieran Patrick Cotter,8th,3/4 l,4,9-2,78,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Mercurial (IRE),S. D. Bowen,7,John J. Nallen,7th,Short Head,4,9-1,77,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Aljady (FR),J. M. Sheridan,3,Denis Hogan,6th,1 1/4 l,8,9-2tb,78,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Heavenly Power (IRE),G. F. Carroll,0,Edward Lynam,5th,1/2 l,5,9-5,81,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Mickey The Steel,M. W. Hassett,10,Joseph Anthony Murray,4th,1 3/4 l,5,10-2tp,92,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Screen Siren (IRE),C. D. Hayes,0,Sarah Lynam,3rd,1 1/2 l,5,8-10p,72,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Tawaazon (IRE),J. A. Powell,5,James McAuley,2nd,Head,5,9-9tb,85,True,54,11
Navan Racing Results | 13th May 2023 15:30,N/A,15:30,Soft (Yielding In Places),5f,Jon Riggens (IRE),Ben Martin Coen,0,Edward Lynam,1st,N/A,5,9-3t,79,True,54,11
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,St Vincents Garden (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,6th,1/2 l,3,9-5,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Nurburgring (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,5th,Short Head,3,9-5t,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Serious Challenge (IRE),R. P. Cleary,0,J. S. Bolger,4th,3/4 l,3,9-5p1,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Covent Garden (FR),W. M. Lordan,0,Aidan O'Brien,3rd,1/2 l,3,9-5b1,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Etna Rosso (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,2nd,1/2 l,3,9-5,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Peking Opera (IRE),Seamie Heffernan,0,Aidan O'Brien,1st,N/A,3,9-5,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,St Vincents Garden (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,6th,1/2 l,3,9-5,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Nurburgring (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,5th,Short Head,3,9-5t,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Serious Challenge (IRE),R. P. Cleary,0,J. S. Bolger,4th,3/4 l,3,9-5p1,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Covent Garden (FR),W. M. Lordan,0,Aidan O'Brien,3rd,1/2 l,3,9-5b1,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Etna Rosso (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,2nd,1/2 l,3,9-5,-,True,54,12
Navan Racing Results | 13th May 2023 16:05,N/A,16:05,Soft (Yielding In Places),1m 5f,Peking Opera (IRE),Seamie Heffernan,0,Aidan O'Brien,1st,N/A,3,9-5,-,True,54,12
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,An Madra Mor (IRE),K. J. Leonard,0,Tom McGuinness,19th,38 l,5,8-12,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Saddle In the Rain (IRE),L. F. Roche,0,D. J. Barry,18th,44 l,6,9-6tp,55,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Contrapposto (JPN),Ben Martin Coen,0,R. Donohoe,17th,1/2 l,9,9-7,56,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Dollar Value (USA),L. T. McAteer,3,T. G. McCourt,16th,1 1/4 l,8,10-2,65,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Complete Fantasy (IRE),R. P. Cleary,0,Miss Jennifer Anne Lynch,15th,Head,6,8-12tb,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Tooso (IRE),D. B. McMonagle,0,S. M. Duffy,14th,1 1/2 l,5,8-13p,48,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Starlight Rose (IRE),G. M. Ryan,0,Thomas Dowling,13th,2 1/2 l,4,8-12,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Striking (FR),Shane Foley,0,Mrs J. Harrington,12th,Head,5,10-1,64,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Magnetic North (IRE),C. J. MacRedmond,5,Adrian McGuinness,11th,Short Head,8,10-2v,65,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Lariat (USA),Seamie Heffernan,0,J. J. Lambe,10th,3 l,7,9-2p,51,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Strange Notions (IRE),W. M. Lordan,0,Charles O'Brien,9th,3/4 l,9,9-4t,53,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,All Ways And Ever (IRE),J. J. G. Ryan,7,T. G. McCourt,8th,Neck,4,8-12,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Franno (IRE),C. T. Keane,0,Gerard Keane,7th,10 l,6,9-2v,51,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,French Company (IRE),D. N. Curran,7,J. G. Coogan,6th,Nose,5,10-1,64,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Indulging,William James Lee,0,T. M. Walsh,5th,1/2 l,5,10-0,63,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Ballybaun Star (IRE),R. Whearty,7,T. Gibney,4th,1/2 l,6,8-12t,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Bolero (FR),Siobhan Rutledge,5,Harry Rogers,3rd,1/2 l,8,9-2tv1,51,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Doyouthinkso,C. D. Hayes,0,J. P. Flavin,2nd,3 l,7,8-12t,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Red Vermillion (IRE),Mpumelelo Mjoka,3,Kevin Thomas Coleman,1st,N/A,8,9-0,49,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,An Madra Mor (IRE),K. J. Leonard,0,Tom McGuinness,19th,38 l,5,8-12,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Saddle In the Rain (IRE),L. F. Roche,0,D. J. Barry,18th,44 l,6,9-6tp,55,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Contrapposto (JPN),Ben Martin Coen,0,R. Donohoe,17th,1/2 l,9,9-7,56,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Dollar Value (USA),L. T. McAteer,3,T. G. McCourt,16th,1 1/4 l,8,10-2,65,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Complete Fantasy (IRE),R. P. Cleary,0,Miss Jennifer Anne Lynch,15th,Head,6,8-12tb,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Tooso (IRE),D. B. McMonagle,0,S. M. Duffy,14th,1 1/2 l,5,8-13p,48,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Starlight Rose (IRE),G. M. Ryan,0,Thomas Dowling,13th,2 1/2 l,4,8-12,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Striking (FR),Shane Foley,0,Mrs J. Harrington,12th,Head,5,10-1,64,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Magnetic North (IRE),C. J. MacRedmond,5,Adrian McGuinness,11th,Short Head,8,10-2v,65,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Lariat (USA),Seamie Heffernan,0,J. J. Lambe,10th,3 l,7,9-2p,51,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Strange Notions (IRE),W. M. Lordan,0,Charles O'Brien,9th,3/4 l,9,9-4t,53,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,All Ways And Ever (IRE),J. J. G. Ryan,7,T. G. McCourt,8th,Neck,4,8-12,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Franno (IRE),C. T. Keane,0,Gerard Keane,7th,10 l,6,9-2v,51,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,French Company (IRE),D. N. Curran,7,J. G. Coogan,6th,Nose,5,10-1,64,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Indulging,William James Lee,0,T. M. Walsh,5th,1/2 l,5,10-0,63,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Ballybaun Star (IRE),R. Whearty,7,T. Gibney,4th,1/2 l,6,8-12t,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Bolero (FR),Siobhan Rutledge,5,Harry Rogers,3rd,1/2 l,8,9-2tv1,51,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Doyouthinkso,C. D. Hayes,0,J. P. Flavin,2nd,3 l,7,8-12t,47,True,54,13
Navan Racing Results | 13th May 2023 16:35,N/A,16:35,Soft (Yielding In Places),1m 5f,Red Vermillion (IRE),Mpumelelo Mjoka,3,Kevin Thomas Coleman,1st,N/A,8,9-0,49,True,54,13
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Sullivan Bay (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,14th,16 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,The Mighty One (IRE),C. D. Hayes,0,Luke Comer,13th,6 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Sleepless Knight (IRE),C. D. Maxwell,0,John Andrew Kinsella,12th,Neck,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Lucky Question,R. P. Whelan,0,Ms Sheila Lavery,11th,2 3/4 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Donadea Dreamer,G. M. Ryan,0,Garry Bernard Caldwell,10th,Neck,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Melrose Duchess,A. J. Slattery,0,Josh Halley,9th,2 1/4 l,3,9-3,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,City of Chicago (IRE),W. M. Lordan,0,Aidan O'Brien,8th,4 3/4 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Unification (IRE),R. P. Cleary,0,J. S. Bolger,7th,1/2 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Spring Evening (IRE),N. G. McCullagh,0,Yvonne Latta,6th,4 3/4 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Scatchwah (IRE),R. C. Colgan,0,Ms Sheila Lavery,5th,1 1/2 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Van Demon (IRE),C. T. Keane,0,Noel Meade,4th,1/2 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Squire Danagher,William James Lee,0,Andrew Oliver,3rd,3/4 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Cormac T,J. M. Sheridan,3,Denis Hogan,2nd,5 1/2 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Valiant King,D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Sullivan Bay (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,14th,16 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,The Mighty One (IRE),C. D. Hayes,0,Luke Comer,13th,6 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Sleepless Knight (IRE),C. D. Maxwell,0,John Andrew Kinsella,12th,Neck,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Lucky Question,R. P. Whelan,0,Ms Sheila Lavery,11th,2 3/4 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Donadea Dreamer,G. M. Ryan,0,Garry Bernard Caldwell,10th,Neck,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Melrose Duchess,A. J. Slattery,0,Josh Halley,9th,2 1/4 l,3,9-3,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,City of Chicago (IRE),W. M. Lordan,0,Aidan O'Brien,8th,4 3/4 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Unification (IRE),R. P. Cleary,0,J. S. Bolger,7th,1/2 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Spring Evening (IRE),N. G. McCullagh,0,Yvonne Latta,6th,4 3/4 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Scatchwah (IRE),R. C. Colgan,0,Ms Sheila Lavery,5th,1 1/2 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Van Demon (IRE),C. T. Keane,0,Noel Meade,4th,1/2 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Squire Danagher,William James Lee,0,Andrew Oliver,3rd,3/4 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Cormac T,J. M. Sheridan,3,Denis Hogan,2nd,5 1/2 l,3,9-8,-,True,54,14
Navan Racing Results | 13th May 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 2f,Valiant King,D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,3,9-8,-,True,54,14
Killarney Racing Results | 14th May 2023 13:55,N/A,13:55,Good To Yielding (Good In Places),2m 1f,Askwell (IRE),C. P. McNamara,0,Eric McNamara,16th,6 1/2 l,4,10-13,-,True,54,15
Killarney Racing Results | 14th May 2023 13:55,N/A,13:55,Good To Yielding (Good In Places),2m 1f,Across The Ocean (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,15th,6 1/2 l,4,10-13,-,True,54,15
Killarney Racing Results | 14th May 2023 13:55,N/A,13:55,Good To Yielding (Good In Places),2m 1f,Rushford,H. Morgan,3,T. R. Hughes,14th,7 1/2 l,4,11-7,-,True,54,15
Killarney Racing Results | 14th May 2023 13:55,N/A,13:55,Good To Yielding (Good In Places),2m 1f,Tullabrack Lad (IRE),C. Smithers,7,F. Flood,13th,4 1/2 l,4,10-13,-,True,54,15
Killarney Racing Results | 14th May 2023 13:55,N/A,13:55,Good To Yielding (Good In Places),2m 1f,Highland King (IRE),M. P. O'Connor,5,Henry de Bromhead,12th,5 1/2 l,4,10-13t,-,True,54,15
Killarney Racing Results | 14th May 2023 13:55,N/A,13:55,Good To Yielding (Good In Places),2m 1f,Dream Shaper (IRE),R. A. Doyle,0,Thomas Cooper,11th,7 l,4,10-13,-,True,54,15
Killarney Racing Results | 14th May 2023 13:55,N/A,13:55,Good To Yielding (Good In Places),2m 1f,Tenacious Tess (IRE),S. F. O'Keeffe,0,Jonathan Fogarty,10th,3/4 l,4,10-6,-,True,54,15
Killarney Racing Results | 14th May 2023 13:55,N/A,13:55,Good To Yielding (Good In Places),2m 1f,Brave Crogha (FR),Donagh Meyler,0,Thomas Cooper,9th,8 1/2 l,4,10-13,-,True,54,15
