track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,I Am Superman (IRE),J A Powell,3,M O'Callaghan,12th,12 l,9,9-10tb,96,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Rappell (IRE),Nicola Burns,7,P W Flynn,11th,3 3/4 l,4,8-7,79,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Merisi Diamond (IRE),R P Whelan,0,Ms J Morgan,10th,3/4 l,6,9-0t,86,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Go Athletico (FR),C T Keane,0,A McGuinness,9th,1/2 l,7,9-12tp1,98,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Emerald Harmony (IRE),R M Mulligan,7,J P Murtagh,8th,1 3/4 l,4,8-7,79,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Betsen,J J G Ryan,0,J Davison,7th,Neck,4,9-7,93,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Stag Night (IRE),W J Lee,0,W McCreery,6th,Head,7,9-7,93,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Staysound Susie (IRE),A J Slattery,0,A Slattery,5th,Short Head,4,8-11,83,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Apache Outlaw (IRE),Adam Caffrey,0,A McGuinness,4th,1 1/2 l,5,9-3,89,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Big Gossey (IRE),R Whearty,3,C O'Brien,3rd,1/2 l,8,10-5t,105,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Love Billy Boy (IRE),S Foley,0,Gerard O'Leary,2nd,Neck,4,8-12,84,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Laugh A Minute,C D Hayes,0,Stephen Thorne,1st,N/A,10,8-10,82,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,I Am Superman (IRE),J A Powell,3,M O'Callaghan,12th,12 l,9,9-10tb,96,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Rappell (IRE),Nicola Burns,7,P W Flynn,11th,3 3/4 l,4,8-7,79,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Merisi Diamond (IRE),R P Whelan,0,Ms J Morgan,10th,3/4 l,6,9-0t,86,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Go Athletico (FR),C T Keane,0,A McGuinness,9th,1/2 l,7,9-12tp1,98,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Emerald Harmony (IRE),R M Mulligan,7,J P Murtagh,8th,1 3/4 l,4,8-7,79,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Betsen,J J G Ryan,0,J Davison,7th,Neck,4,9-7,93,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Stag Night (IRE),W J Lee,0,W McCreery,6th,Head,7,9-7,93,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Staysound Susie (IRE),A J Slattery,0,A Slattery,5th,Short Head,4,8-11,83,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Apache Outlaw (IRE),Adam Caffrey,0,A McGuinness,4th,1 1/2 l,5,9-3,89,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Big Gossey (IRE),R Whearty,3,C O'Brien,3rd,1/2 l,8,10-5t,105,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Love Billy Boy (IRE),S Foley,0,Gerard O'Leary,2nd,Neck,4,8-12,84,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Laugh A Minute,C D Hayes,0,Stephen Thorne,1st,N/A,10,8-10,82,True,165,1
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Wannabe Royal (IRE),D McMonagle,0,J P O'Brien,NR,N/A,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Woodlea (FR),L F Roche,0,Eoghan O'Neill,20th,8 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Prime Sign (IRE),G F Carroll,0,A Oliver,19th,2 1/4 l,4,10-2,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Uluwatu (IRE),G M Ryan,0,K P Cotter,18th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Oiche Rua (IRE),Adam Caffrey,0,A McGuinness,17th,1 3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Onemorestar (IRE),J J G Ryan,3,J Motherway,16th,2 1/2 l,4,10-2,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Miss Crinshawn (IRE),R P Whelan,0,John O'Donoghue,15th,1 1/2 l,3,9-1h1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Real Petite (GER),R M Mulligan,7,T Mullins,14th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Curroy Lady,L T McAteer,0,M M McNiff,13th,4 1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Saol Nios Gile (IRE),R Coakley,0,J S Bolger,12th,Short Head,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Vega's Muse,S Foley,0,Mrs J Harrington,11th,1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Kitty Rickets (IRE),J A Heffernan,0,David J Geary,10th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Al What (IRE),J A Powell,3,N Meade,9th,1 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Aherla Rock (IRE),D E Sheehy,0,J P Murtagh,8th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Thakheera (IRE),J M Sheridan,0,D Hogan,7th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Echinacea,R C Colgan,0,Kevin Coleman,6th,Head,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Gotomylovely (IRE),D S O'Sullivan,7,J A Stack,5th,2 3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Win Me Over (IRE),R L Moore,0,A P O'Brien,4th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Murkala (IRE),B M Coen,0,J P Murtagh,3rd,4 1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Copacabana Sands (IRE),C T Keane,0,M O'Callaghan,2nd,1 1/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Bint Queen Kindly (IRE),C D Hayes,0,D K Weld,1st,N/A,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Wannabe Royal (IRE),D McMonagle,0,J P O'Brien,NR,N/A,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Woodlea (FR),L F Roche,0,Eoghan O'Neill,20th,8 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Prime Sign (IRE),G F Carroll,0,A Oliver,19th,2 1/4 l,4,10-2,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Uluwatu (IRE),G M Ryan,0,K P Cotter,18th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Oiche Rua (IRE),Adam Caffrey,0,A McGuinness,17th,1 3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Onemorestar (IRE),J J G Ryan,3,J Motherway,16th,2 1/2 l,4,10-2,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Miss Crinshawn (IRE),R P Whelan,0,John O'Donoghue,15th,1 1/2 l,3,9-1h1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Real Petite (GER),R M Mulligan,7,T Mullins,14th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Curroy Lady,L T McAteer,0,M M McNiff,13th,4 1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Saol Nios Gile (IRE),R Coakley,0,J S Bolger,12th,Short Head,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Vega's Muse,S Foley,0,Mrs J Harrington,11th,1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Kitty Rickets (IRE),J A Heffernan,0,David J Geary,10th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Al What (IRE),J A Powell,3,N Meade,9th,1 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Aherla Rock (IRE),D E Sheehy,0,J P Murtagh,8th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Thakheera (IRE),J M Sheridan,0,D Hogan,7th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Echinacea,R C Colgan,0,Kevin Coleman,6th,Head,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Gotomylovely (IRE),D S O'Sullivan,7,J A Stack,5th,2 3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Win Me Over (IRE),R L Moore,0,A P O'Brien,4th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Murkala (IRE),B M Coen,0,J P Murtagh,3rd,4 1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Copacabana Sands (IRE),C T Keane,0,M O'Callaghan,2nd,1 1/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Bint Queen Kindly (IRE),C D Hayes,0,D K Weld,1st,N/A,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Crypto Force,W J Lee,0,A Murray,NR,N/A,5,10-0,103,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Catch The Paddy (IRE),L T McAteer,0,P J McKenna,27th,22 l,5,8-12,87,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Soaring Monarch (IRE),N G McCullagh,0,J M Barrett,26th,5 1/2 l,8,9-4,93,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Rhythm King (IRE),W M Lordan,0,M Fahey,25th,Head,5,8-8,83,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Monasterboice (IRE),D McMonagle,0,N Meade,24th,3/4 l,4,9-4b,93,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Cheers Again,J M Sheridan,0,P W Flynn,23rd,3 1/2 l,6,8-11p,86,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Titanium (FR),M W Hassett,5,Ciaran Murphy,22nd,Neck,6,9-6t,95,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Fleetfoot (IRE),R Coakley,0,J S Bolger,21st,1/2 l,5,9-3t,92,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Proleek Prince (IRE),R M Mulligan,7,M Rice,20th,1 l,5,8-7,82,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Weston (GER),J A Heffernan,0,H Rogers,19th,2 l,6,9-4t1,93,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Raadobarg (IRE),D Egan,0,Raphael Freire,18th,4 3/4 l,7,9-6tb,95,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Thunder Roar,T Eaves,0,T Coyle & K Wood,17th,Nose,6,9-2p,91,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Earls (IRE),R Whearty,3,G P Cromwell,16th,1/2 l,8,8-9tb,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Casanova,J Pietropaolo,7,A McGuinness,15th,Short Head,9,8-7v,82,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Bill Silvers,L F Roche,0,W Durkan,14th,1 1/4 l,5,8-11,86,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Fratas (IRE),W Joyce,5,M Mulvany,13th,Neck,5,8-9,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,San Aer (IRE),J Cleary,5,T Mullins,12th,1/2 l,7,8-9t,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Ephesus (IRE),Nicola Burns,0,D Hogan,11th,Head,4,8-9tp,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,No More Porter (IRE),J A Powell,3,A McGuinness,10th,Neck,7,8-9tp,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Take Heart (IRE),B M Coen,0,J P Murtagh,9th,3/4 l,5,9-10,99,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Flying Finn (IRE),O McSweeney,3,A Keatley,8th,1 1/4 l,4,9-6,95,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Independent Expert (IRE),C D Hayes,0,Stephen Thorne,7th,Head,6,8-12,87,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Fort Vega (FR),R P Cleary,0,S Lavery,6th,3/4 l,5,8-8,83,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Gleneagle Bay (IRE),C T Keane,0,Stephen Thorne,5th,Neck,5,9-3tp1,92,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Indigo Five (IRE),N M Crosse,0,J Feane,4th,3/4 l,6,9-1,90,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Smooth Tom (IRE),A J Slattery,0,A Slattery,3rd,4 3/4 l,6,9-5v,94,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Kortez Bay (IRE),G F Carroll,0,S Lavery,2nd,3/4 l,4,9-12,101,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Orandi (FR),S Foley,0,A J Martin,1st,N/A,7,8-13t,88,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Crypto Force,W J Lee,0,A Murray,NR,N/A,5,10-0,103,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Catch The Paddy (IRE),L T McAteer,0,P J McKenna,27th,22 l,5,8-12,87,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Soaring Monarch (IRE),N G McCullagh,0,J M Barrett,26th,5 1/2 l,8,9-4,93,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Rhythm King (IRE),W M Lordan,0,M Fahey,25th,Head,5,8-8,83,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Monasterboice (IRE),D McMonagle,0,N Meade,24th,3/4 l,4,9-4b,93,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Cheers Again,J M Sheridan,0,P W Flynn,23rd,3 1/2 l,6,8-11p,86,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Titanium (FR),M W Hassett,5,Ciaran Murphy,22nd,Neck,6,9-6t,95,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Fleetfoot (IRE),R Coakley,0,J S Bolger,21st,1/2 l,5,9-3t,92,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Proleek Prince (IRE),R M Mulligan,7,M Rice,20th,1 l,5,8-7,82,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Weston (GER),J A Heffernan,0,H Rogers,19th,2 l,6,9-4t1,93,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Raadobarg (IRE),D Egan,0,Raphael Freire,18th,4 3/4 l,7,9-6tb,95,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Thunder Roar,T Eaves,0,T Coyle & K Wood,17th,Nose,6,9-2p,91,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Earls (IRE),R Whearty,3,G P Cromwell,16th,1/2 l,8,8-9tb,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Casanova,J Pietropaolo,7,A McGuinness,15th,Short Head,9,8-7v,82,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Bill Silvers,L F Roche,0,W Durkan,14th,1 1/4 l,5,8-11,86,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Fratas (IRE),W Joyce,5,M Mulvany,13th,Neck,5,8-9,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,San Aer (IRE),J Cleary,5,T Mullins,12th,1/2 l,7,8-9t,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Ephesus (IRE),Nicola Burns,0,D Hogan,11th,Head,4,8-9tp,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,No More Porter (IRE),J A Powell,3,A McGuinness,10th,Neck,7,8-9tp,84,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Take Heart (IRE),B M Coen,0,J P Murtagh,9th,3/4 l,5,9-10,99,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Flying Finn (IRE),O McSweeney,3,A Keatley,8th,1 1/4 l,4,9-6,95,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Independent Expert (IRE),C D Hayes,0,Stephen Thorne,7th,Head,6,8-12,87,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Fort Vega (FR),R P Cleary,0,S Lavery,6th,3/4 l,5,8-8,83,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Gleneagle Bay (IRE),C T Keane,0,Stephen Thorne,5th,Neck,5,9-3tp1,92,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Indigo Five (IRE),N M Crosse,0,J Feane,4th,3/4 l,6,9-1,90,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Smooth Tom (IRE),A J Slattery,0,A Slattery,3rd,4 3/4 l,6,9-5v,94,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Kortez Bay (IRE),G F Carroll,0,S Lavery,2nd,3/4 l,4,9-12,101,True,165,3
Curragh Racing Results | 16th March 2025 15:45,N/A,15:45,Soft,1m,Orandi (FR),S Foley,0,A J Martin,1st,N/A,7,8-13t,88,True,165,3
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Carthaginian,J A Powell,3,E & P Harty,18th,1 l,4,10-7,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Hobart (IRE),J A Heffernan,0,J Nash,17th,11 l,4,10-7,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Sonic Invader (IRE),C T Keane,0,N Meade,16th,2 3/4 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Tracker Issue (IRE),R Coakley,0,J S Bolger,15th,Head,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Kasper Hauser,R C Colgan,0,Kevin Coleman,14th,2 1/2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Quickshot (USA),D Egan,0,A Murray,13th,3 1/4 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Admiral Churchill,W J Lee,0,P Twomey,12th,3 1/2 l,3,9-4v1,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Zodiac Bear (IRE),B M Coen,0,J P Murtagh,11th,Neck,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Crooked Path (IRE),W M Lordan,0,D Hogan,10th,1/2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Fantazy Man (IRE),C Geerdharry,7,J P Murtagh,9th,1/2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Mono River (FR),D J O'Connor,10,D Hogan,8th,1 1/4 l,4,10-7tb1,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Buckle And Bolts (IRE),R P Cleary,0,S Lavery,7th,Neck,4,10-7,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Raykir (IRE),C D Hayes,0,D K Weld,6th,Nose,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Winston Junior (IRE),S Foley,0,Mrs J Harrington,5th,Neck,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,A Dream To Share (IRE),S D Torrens,0,John E & Kiely,4th,Neck,7,10-7,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Mister Adam,J M Sheridan,0,Gerard O'Leary,3rd,1 1/2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,First Wave (FR),R L Moore,0,A P O'Brien,2nd,2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Dupont Law (IRE),D McMonagle,0,Ciaran Murphy,1st,N/A,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Carthaginian,J A Powell,3,E & P Harty,18th,1 l,4,10-7,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Hobart (IRE),J A Heffernan,0,J Nash,17th,11 l,4,10-7,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Sonic Invader (IRE),C T Keane,0,N Meade,16th,2 3/4 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Tracker Issue (IRE),R Coakley,0,J S Bolger,15th,Head,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Kasper Hauser,R C Colgan,0,Kevin Coleman,14th,2 1/2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Quickshot (USA),D Egan,0,A Murray,13th,3 1/4 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Admiral Churchill,W J Lee,0,P Twomey,12th,3 1/2 l,3,9-4v1,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Zodiac Bear (IRE),B M Coen,0,J P Murtagh,11th,Neck,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Crooked Path (IRE),W M Lordan,0,D Hogan,10th,1/2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Fantazy Man (IRE),C Geerdharry,7,J P Murtagh,9th,1/2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Mono River (FR),D J O'Connor,10,D Hogan,8th,1 1/4 l,4,10-7tb1,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Buckle And Bolts (IRE),R P Cleary,0,S Lavery,7th,Neck,4,10-7,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Raykir (IRE),C D Hayes,0,D K Weld,6th,Nose,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Winston Junior (IRE),S Foley,0,Mrs J Harrington,5th,Neck,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,A Dream To Share (IRE),S D Torrens,0,John E & Kiely,4th,Neck,7,10-7,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Mister Adam,J M Sheridan,0,Gerard O'Leary,3rd,1 1/2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,First Wave (FR),R L Moore,0,A P O'Brien,2nd,2 l,3,9-4,-,True,165,4
Curragh Racing Results | 16th March 2025 16:20,N/A,16:20,Soft  (Turf),1m,Dupont Law (IRE),D McMonagle,0,Ciaran Murphy,1st,N/A,3,9-4,-,True,165,4
