track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Albatala (IRE),B W Harvey,0,J C McConnell,NR,N/A,5,11-5t,93,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Cleopatra's Needle (IRE),S W Flanagan,0,H Rogers,NR,N/A,6,11-6ht,94,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Thefaithfulindian (IRE),K Callaghan,5,J Barcoe,NR,N/A,9,10-9,83,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Good Time Belle (IRE),K E Buckley,0,E Cawley,12th,10 l,6,10-13,87,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Dreamz (IRE),J P Shinnick,5,T O'Brien,11th,11 l,7,11-7h,95,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Hanara Rovan (IRE),T Power Roche,7,P J Rothwell,10th,4 3/4 l,6,10-13,87,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Volez Vous (IRE),B P Kennedy,7,D Deacon,9th,3/4 l,5,10-9,83,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Ask Cillian (IRE),J G Gilligan,7,D Collins,8th,3 l,7,11-8,96,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Dancing After Dark (IRE),D Meyler,0,J G Bennett,7th,1 3/4 l,8,11-2t1,90,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Chatterbox (IRE),Sam Ewing,0,J J Murphy,6th,8 1/2 l,5,11-7,95,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Whatyouwant (IRE),C P Millar,7,Michael C Griffin,5th,1/2 l,6,11-3,91,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Fair Damsel (IRE),S O'Callaghan,5,R Brabazon,4th,3 3/4 l,6,12-0,102,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Bayou Belle (IRE),P T Smithers,7,J P Fahey,3rd,3 1/4 l,5,11-8p,96,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Queenofthelodge (IRE),P T Enright,0,S Curling,2nd,1/2 l,4,11-5,94,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Bowgate Street (IRE),P K Donovan,5,M Flannery,1st,N/A,5,11-1t,89,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Albatala (IRE),B W Harvey,0,J C McConnell,NR,N/A,5,11-5t,93,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Cleopatra's Needle (IRE),S W Flanagan,0,H Rogers,NR,N/A,6,11-6ht,94,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Thefaithfulindian (IRE),K Callaghan,5,J Barcoe,NR,N/A,9,10-9,83,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Good Time Belle (IRE),K E Buckley,0,E Cawley,12th,10 l,6,10-13,87,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Dreamz (IRE),J P Shinnick,5,T O'Brien,11th,11 l,7,11-7h,95,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Hanara Rovan (IRE),T Power Roche,7,P J Rothwell,10th,4 3/4 l,6,10-13,87,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Volez Vous (IRE),B P Kennedy,7,D Deacon,9th,3/4 l,5,10-9,83,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Ask Cillian (IRE),J G Gilligan,7,D Collins,8th,3 l,7,11-8,96,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Dancing After Dark (IRE),D Meyler,0,J G Bennett,7th,1 3/4 l,8,11-2t1,90,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Chatterbox (IRE),Sam Ewing,0,J J Murphy,6th,8 1/2 l,5,11-7,95,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Whatyouwant (IRE),C P Millar,7,Michael C Griffin,5th,1/2 l,6,11-3,91,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Fair Damsel (IRE),S O'Callaghan,5,R Brabazon,4th,3 3/4 l,6,12-0,102,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Bayou Belle (IRE),P T Smithers,7,J P Fahey,3rd,3 1/4 l,5,11-8p,96,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Queenofthelodge (IRE),P T Enright,0,S Curling,2nd,1/2 l,4,11-5,94,True,148,1
Sligo Racing Results | 25th October 2024 14:35,N/A,14:35,Yielding (Good To Yielding In Places),2m 1f 176y,Bowgate Street (IRE),P K Donovan,5,M Flannery,1st,N/A,5,11-1t,89,True,148,1
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Artic Lane (IRE),Mr C W Reddy,4,D Queally,UR,N/A,5,11-4,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Tara Boe (IRE),Mr A P Ryan,0,C Moore,PU,N/A,6,10-11h1,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Carricktriss (IRE),Miss C Butler,2,E Doyle,PU,N/A,5,11-4t1,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Ardskeagh Nia (IRE),Mr L E Williams,4,B McMahon,PU,N/A,4,11-2,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Heading South (IRE),Mr M E McCrory,2,N C Kelly,8th,25 l,5,10-11t,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Mighty Soldier (IRE),Mr Alan O'Sullivan,0,James Andrew Fahey,7th,Head,5,11-4t1,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Boston Rover (IRE),Mr J M Halford,0,G Elliott,6th,27 l,5,11-4,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Drumcliff Bay (IRE),Mr D McGill,0,M M McNiff,5th,29 l,6,11-4,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Final Flutter (IRE),Mr I Ryan,4,J Magnier,4th,32 l,6,10-11,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Caman Eileen (IRE),Mr C Mullins,0,W P Mullins,3rd,1/2 l,5,11-5,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Will Wilde (FR),Mr D Doyle,0,Liz Doyle,2nd,3/4 l,5,11-12t1,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Newtown Rambler (IRE),Mr J H Williamson,0,H De Bromhead,1st,N/A,5,11-4ht,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Artic Lane (IRE),Mr C W Reddy,4,D Queally,UR,N/A,5,11-4,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Tara Boe (IRE),Mr A P Ryan,0,C Moore,PU,N/A,6,10-11h1,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Carricktriss (IRE),Miss C Butler,2,E Doyle,PU,N/A,5,11-4t1,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Ardskeagh Nia (IRE),Mr L E Williams,4,B McMahon,PU,N/A,4,11-2,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Heading South (IRE),Mr M E McCrory,2,N C Kelly,8th,25 l,5,10-11t,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Mighty Soldier (IRE),Mr Alan O'Sullivan,0,James Andrew Fahey,7th,Head,5,11-4t1,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Boston Rover (IRE),Mr J M Halford,0,G Elliott,6th,27 l,5,11-4,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Drumcliff Bay (IRE),Mr D McGill,0,M M McNiff,5th,29 l,6,11-4,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Final Flutter (IRE),Mr I Ryan,4,J Magnier,4th,32 l,6,10-11,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Caman Eileen (IRE),Mr C Mullins,0,W P Mullins,3rd,1/2 l,5,11-5,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Will Wilde (FR),Mr D Doyle,0,Liz Doyle,2nd,3/4 l,5,11-12t1,-,True,148,2
Sligo Racing Results | 25th October 2024 15:10,N/A,15:10,Yielding (Good To Yielding In Places)  Hurdle (Turf),2m 4f 66y,Newtown Rambler (IRE),Mr J H Williamson,0,H De Bromhead,1st,N/A,5,11-4ht,-,True,148,2
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Hungry Rock (IRE),P K Donovan,5,M M McNiff,16th,2 1/4 l,4,11-5,88,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Wing Back (IRE),P T Enright,0,S Curling,15th,13 l,4,11-11h1,94,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,I'm For Home (IRE),M P O'Connor,0,R K Watson,14th,3 3/4 l,6,11-4h,85,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Annalough (IRE),A M King,7,M M McNiff,13th,Head,4,10-13t,82,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Lummi Island (IRE),S F O'Keeffe,0,D Deacon,12th,3/4 l,6,11-11,92,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Dontdooddson (FR),J G Gilligan,7,D Collins,11th,5 1/2 l,11,11-6,87,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Manhattan Brook (IRE),S W Flanagan,0,A Murray,10th,4 1/2 l,6,11-2,83,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Kilmacurkin (IRE),J B Foley,0,A A Howard,9th,4 1/4 l,8,11-1,82,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Malbas,B W Harvey,0,J C McConnell,8th,3/4 l,8,12-0,95,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Bossofthebus (IRE),J P Shinnick,5,T O'Brien,7th,2 l,5,11-7,88,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Any Day Now (IRE),P Byrnes,0,E Cawley,6th,3 l,9,11-4p,85,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Danesfort Mayfly (IRE),D E Mullins,0,W J Lanigan,5th,1/2 l,7,10-13tp,80,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Vintage Gold (IRE),C Stone-Walsh,5,J J Murphy,4th,8 l,5,11-13p,94,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Moulane West (IRE),C M Quirke,5,M M McNiff,3rd,7 1/2 l,8,11-5t,86,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,True Destiny,L A McKenna,5,N C Kelly,2nd,3/4 l,9,11-8p,89,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,The Miracle Man (IRE),D Meyler,0,A L T Moore,1st,N/A,6,11-10,91,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Hungry Rock (IRE),P K Donovan,5,M M McNiff,16th,2 1/4 l,4,11-5,88,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Wing Back (IRE),P T Enright,0,S Curling,15th,13 l,4,11-11h1,94,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,I'm For Home (IRE),M P O'Connor,0,R K Watson,14th,3 3/4 l,6,11-4h,85,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Annalough (IRE),A M King,7,M M McNiff,13th,Head,4,10-13t,82,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Lummi Island (IRE),S F O'Keeffe,0,D Deacon,12th,3/4 l,6,11-11,92,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Dontdooddson (FR),J G Gilligan,7,D Collins,11th,5 1/2 l,11,11-6,87,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Manhattan Brook (IRE),S W Flanagan,0,A Murray,10th,4 1/2 l,6,11-2,83,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Kilmacurkin (IRE),J B Foley,0,A A Howard,9th,4 1/4 l,8,11-1,82,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Malbas,B W Harvey,0,J C McConnell,8th,3/4 l,8,12-0,95,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Bossofthebus (IRE),J P Shinnick,5,T O'Brien,7th,2 l,5,11-7,88,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Any Day Now (IRE),P Byrnes,0,E Cawley,6th,3 l,9,11-4p,85,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Danesfort Mayfly (IRE),D E Mullins,0,W J Lanigan,5th,1/2 l,7,10-13tp,80,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Vintage Gold (IRE),C Stone-Walsh,5,J J Murphy,4th,8 l,5,11-13p,94,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,Moulane West (IRE),C M Quirke,5,M M McNiff,3rd,7 1/2 l,8,11-5t,86,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,True Destiny,L A McKenna,5,N C Kelly,2nd,3/4 l,9,11-8p,89,True,148,3
Sligo Racing Results | 25th October 2024 15:45,N/A,15:45,Yielding (Good To Yielding In Places),2m 4f 66y,The Miracle Man (IRE),D Meyler,0,A L T Moore,1st,N/A,6,11-10,91,True,148,3
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Milanaway (IRE),D G Hogan,0,D Hogan,NR,N/A,6,10-11t,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Chief O'Hara (IRE),B W Harvey,0,J C McConnell,PU,N/A,4,11-0,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Tell Me Again (IRE),J G Gilligan,7,P J Gilligan,PU,N/A,6,11-4t1,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Desert Ian (IRE),S Fitzgerald,0,D Queally,PU,N/A,5,11-4tv1,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,The Story So Far (IRE),P Byrnes,0,C Byrnes,6th,3 3/4 l,6,11-12p,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Workinonadream (IRE),T Power Roche,7,P J Rothwell,5th,12 l,6,10-11p,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Love Like This (IRE),D E Mullins,0,J P Ryan,4th,4 l,6,10-11,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Westernersunrise (IRE),K C Sexton,0,James Andrew Fahey,3rd,3 1/2 l,5,10-11t,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Machismo (IRE),Sam Ewing,0,G Elliott,2nd,7 l,5,11-4,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Great Universe,R A Doyle,0,M Brassil,1st,N/A,8,11-12t,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Milanaway (IRE),D G Hogan,0,D Hogan,NR,N/A,6,10-11t,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Chief O'Hara (IRE),B W Harvey,0,J C McConnell,PU,N/A,4,11-0,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Tell Me Again (IRE),J G Gilligan,7,P J Gilligan,PU,N/A,6,11-4t1,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Desert Ian (IRE),S Fitzgerald,0,D Queally,PU,N/A,5,11-4tv1,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,The Story So Far (IRE),P Byrnes,0,C Byrnes,6th,3 3/4 l,6,11-12p,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Workinonadream (IRE),T Power Roche,7,P J Rothwell,5th,12 l,6,10-11p,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Love Like This (IRE),D E Mullins,0,J P Ryan,4th,4 l,6,10-11,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Westernersunrise (IRE),K C Sexton,0,James Andrew Fahey,3rd,3 1/2 l,5,10-11t,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Machismo (IRE),Sam Ewing,0,G Elliott,2nd,7 l,5,11-4,-,True,148,4
Sligo Racing Results | 25th October 2024 16:20,N/A,16:20,Yielding (Good To Yielding In Places),3m 1f 156y,Great Universe,R A Doyle,0,M Brassil,1st,N/A,8,11-12t,-,True,148,4
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Story Rory (IRE),Anna McGuinness,7,T Gibney,PU,N/A,9,12-0t,109,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Ragin Cajun (IRE),J Smith,7,M J Smith,14th,1 3/4 l,11,11-11tb,106,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Father Jed (IRE),Conor Clarke,7,J P Ryan,13th,13 l,13,10-0,81,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Annamaymurt (IRE),J G Gilligan,7,P J Gilligan,12th,2 1/2 l,7,11-4t,99,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Kilkee Bay (IRE),Sam Ewing,0,G Elliott,11th,5 1/2 l,5,11-10b,105,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Mount Anglesby (IRE),D E Mullins,0,R O'Brien,10th,16 l,5,12-0t,109,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,I Am Rocco,P T Enright,0,B McMahon,9th,2 3/4 l,7,10-13,94,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Gladiatorial (IRE),Mr D McGill,7,N C Kelly,8th,Head,9,11-9t,104,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Broken Ice (IRE),B W Harvey,0,J C McConnell,7th,1 l,8,11-9tp,104,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Temptationinmilan (IRE),P Byrnes,0,C Byrnes,6th,6 1/2 l,8,11-4p,99,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Shuil Na Tra (IRE),P K Donovan,5,N Lee,5th,1/2 l,6,10-10p1,91,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Crossing The Bar (IRE),J C Gainford,0,C Collins,4th,Nose,7,11-10p,105,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Donacheady Gale (IRE),S F O'Keeffe,0,J P Ryan,3rd,4 1/4 l,10,12-0,109,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Nevereverever (IRE),R A Doyle,0,J J Murphy,2nd,3 1/4 l,5,10-11,92,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Doitforjane Sid (IRE),J P Shinnick,5,Donncha Duggan,1st,N/A,8,11-4,99,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Story Rory (IRE),Anna McGuinness,7,T Gibney,PU,N/A,9,12-0t,109,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Ragin Cajun (IRE),J Smith,7,M J Smith,14th,1 3/4 l,11,11-11tb,106,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Father Jed (IRE),Conor Clarke,7,J P Ryan,13th,13 l,13,10-0,81,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Annamaymurt (IRE),J G Gilligan,7,P J Gilligan,12th,2 1/2 l,7,11-4t,99,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Kilkee Bay (IRE),Sam Ewing,0,G Elliott,11th,5 1/2 l,5,11-10b,105,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,Mount Anglesby (IRE),D E Mullins,0,R O'Brien,10th,16 l,5,12-0t,109,True,148,5
Sligo Racing Results | 25th October 2024 16:50,N/A,16:50,Yielding (Good To Yielding In Places),3m 1f 156y,I Am Rocco,P T Enright,0,B McMahon,9th,2 3/4 l,7,10-13,94,True,148,5
