track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Summer Tide (IRE),P. Byrnes,5,Charles Byrnes,UR,N/A,8,11-0p,111,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Country Queen (IRE),D. J. Gilligan,5,Gordon Elliott,PU,N/A,6,10-13p,110,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Silvertown (IRE),K. E. Buckley,3,Gavin Patrick Cromwell,14th,6 l,6,11-1,112,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Pure Sirloin (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,13th,3 3/4 l,5,10-11,108,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Pairc Na Ngael (IRE),M. P. Walsh,0,Charles Byrnes,12th,12 l,9,10-9p,106,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Sphagnum (IRE),D. P. Maxwell,7,J. P. Broderick,11th,2 l,6,10-12tp,109,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Fiveaftermidnight (IRE),Patrick O'Hanlon,5,P. J. Rothwell,10th,2 3/4 l,10,10-10b,107,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Menindee (IRE),D. J. O'Keeffe,0,David Christie,9th,2 l,7,10-6t,103,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Killinure Lass (IRE),D. Moloney,7,Brian M. McMahon,8th,7 l,6,10-6,103,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Arabian King,Denis O'Regan,0,Cian Michael Collins,7th,Nose,7,11-1,112,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Good World (IRE),Gearoid Patrick Brouder,5,Eoin Griffin,6th,3/4 l,8,10-5b1,102,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Takarengo (IRE),D. E. Mullins,0,Thomas Mullins,5th,1/2 l,7,11-3,114,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Another Choice (IRE),J. Smith,7,Matthew J. Smith,4th,1 3/4 l,6,11-7t,118,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Peaches And Cream (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,3rd,2 1/4 l,8,11-8,119,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Call The Tune (IRE),M. J. M. O'Sullivan,0,Barry Connell,2nd,1/2 l,9,10-13p1,110,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,My Design (IRE),Mr R. W. Barron,7,Declan Queally,1st,N/A,8,11-12t1,123,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Summer Tide (IRE),P. Byrnes,5,Charles Byrnes,UR,N/A,8,11-0p,111,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Country Queen (IRE),D. J. Gilligan,5,Gordon Elliott,PU,N/A,6,10-13p,110,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Silvertown (IRE),K. E. Buckley,3,Gavin Patrick Cromwell,14th,6 l,6,11-1,112,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Pure Sirloin (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,13th,3 3/4 l,5,10-11,108,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Pairc Na Ngael (IRE),M. P. Walsh,0,Charles Byrnes,12th,12 l,9,10-9p,106,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Sphagnum (IRE),D. P. Maxwell,7,J. P. Broderick,11th,2 l,6,10-12tp,109,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Fiveaftermidnight (IRE),Patrick O'Hanlon,5,P. J. Rothwell,10th,2 3/4 l,10,10-10b,107,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Menindee (IRE),D. J. O'Keeffe,0,David Christie,9th,2 l,7,10-6t,103,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Killinure Lass (IRE),D. Moloney,7,Brian M. McMahon,8th,7 l,6,10-6,103,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Arabian King,Denis O'Regan,0,Cian Michael Collins,7th,Nose,7,11-1,112,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Good World (IRE),Gearoid Patrick Brouder,5,Eoin Griffin,6th,3/4 l,8,10-5b1,102,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Takarengo (IRE),D. E. Mullins,0,Thomas Mullins,5th,1/2 l,7,11-3,114,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Another Choice (IRE),J. Smith,7,Matthew J. Smith,4th,1 3/4 l,6,11-7t,118,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Peaches And Cream (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,3rd,2 1/4 l,8,11-8,119,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,Call The Tune (IRE),M. J. M. O'Sullivan,0,Barry Connell,2nd,1/2 l,9,10-13p1,110,True,72,1
Galway Racing Results | 6th August 2023 14:20,N/A,14:20,Yielding (Good To Yielding),3m 60y,My Design (IRE),Mr R. W. Barron,7,Declan Queally,1st,N/A,8,11-12t1,123,True,72,1
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Andy Dufresne (IRE),J. S. McGarvey,0,Gordon Elliott,5th,99 l,9,11-3t,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Stumptown (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,4th,5 1/2 l,6,11-3,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Peregrine Run (IRE),Sam Ewing,0,Peter Fahey,3rd,11 l,13,11-3b,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Born By The Sea (IRE),D. J. Gilligan,5,Paul John Gilligan,2nd,13 l,9,11-3,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Saint Sam (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-10h,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Andy Dufresne (IRE),J. S. McGarvey,0,Gordon Elliott,5th,99 l,9,11-3t,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Stumptown (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,4th,5 1/2 l,6,11-3,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Peregrine Run (IRE),Sam Ewing,0,Peter Fahey,3rd,11 l,13,11-3b,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Born By The Sea (IRE),D. J. Gilligan,5,Paul John Gilligan,2nd,13 l,9,11-3,-,True,72,2
Galway Racing Results | 6th August 2023 14:55,N/A,14:55,Yielding (Good To Yielding),2m 6f 111y,Saint Sam (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-10h,-,True,72,2
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Sole Pretender (IRE),R. P. Geoghegan,7,Norman Lee,12th,39 l,9,11-12eb,151,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Embittered (IRE),Mr H. C. Swan,5,Joseph Patrick O'Brien,11th,Short Head,9,11-1t,140,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Hereditary Rule (IRE),B. W. Harvey,3,John McConnell,10th,18 l,8,10-13t,138,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Hubrisko (FR),P. Townend,0,W. P. Mullins,9th,29 l,6,10-12t,137,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Benefit Run (IRE),S. F. O'Keeffe,0,Ross O'Sullivan,8th,13 l,11,10-0p,125,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Charlie Stout (IRE),Kieran Callaghan,5,Shane Nolan,7th,8 l,12,10-0t,125,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Vado Forte (FR),Sean Flanagan,0,Ross O'Sullivan,6th,3/4 l,10,10-6,131,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Roseys Hollow (IRE),S. D. Torrens,0,Jonathan Sweeney,5th,Head,9,10-2,127,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Mt Leinster (IRE),D. E. Mullins,0,W. P. Mullins,4th,4 l,9,11-8ht,147,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Pats Choice (IRE),D. J. Gilligan,5,Gordon Elliott,3rd,15 l,6,10-0b,125,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Barnacullia (IRE),M. J. M. O'Sullivan,0,Michael Mulvany,2nd,1/2 l,6,10-5,130,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Fighting Fit,Gavin Peter Brouder,5,J. P. Dempsey,1st,N/A,8,10-0t,125,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Sole Pretender (IRE),R. P. Geoghegan,7,Norman Lee,12th,39 l,9,11-12eb,151,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Embittered (IRE),Mr H. C. Swan,5,Joseph Patrick O'Brien,11th,Short Head,9,11-1t,140,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Hereditary Rule (IRE),B. W. Harvey,3,John McConnell,10th,18 l,8,10-13t,138,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Hubrisko (FR),P. Townend,0,W. P. Mullins,9th,29 l,6,10-12t,137,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Benefit Run (IRE),S. F. O'Keeffe,0,Ross O'Sullivan,8th,13 l,11,10-0p,125,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Charlie Stout (IRE),Kieran Callaghan,5,Shane Nolan,7th,8 l,12,10-0t,125,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Vado Forte (FR),Sean Flanagan,0,Ross O'Sullivan,6th,3/4 l,10,10-6,131,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Roseys Hollow (IRE),S. D. Torrens,0,Jonathan Sweeney,5th,Head,9,10-2,127,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Mt Leinster (IRE),D. E. Mullins,0,W. P. Mullins,4th,4 l,9,11-8ht,147,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Pats Choice (IRE),D. J. Gilligan,5,Gordon Elliott,3rd,15 l,6,10-0b,125,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Barnacullia (IRE),M. J. M. O'Sullivan,0,Michael Mulvany,2nd,1/2 l,6,10-5,130,True,72,3
Galway Racing Results | 6th August 2023 15:30,N/A,15:30,Yielding (Good To Yielding),2m 2f 54y,Fighting Fit,Gavin Peter Brouder,5,J. P. Dempsey,1st,N/A,8,10-0t,125,True,72,3
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Master Matt,Shane Foley,0,M. Halford & T. Collins,16th,3 1/2 l,7,9-5tb,96,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,All Lies Ahead (IRE),N. M. Crosse,0,W. McCreery,15th,9 l,5,8-11,88,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Hotrocket (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,14th,1 l,4,9-8,99,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Coachello (FR),J. Kearney,7,Gordon Elliott,13th,Short Head,5,9-13,104,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Soaring Monarch (IRE),Ben Martin Coen,0,Peter Fahey,12th,Neck,6,9-2v,93,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Percy's Lad,Seamie Heffernan,0,Daniel & Claire Kubler,11th,1 l,5,9-5,96,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Joe Masseria (IRE),D. B. McMonagle,0,Noel Meade,10th,Neck,4,8-13b,90,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Current Option (IRE),C. J. MacRedmond,5,Adrian McGuinness,9th,3/4 l,7,9-4,95,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Zabeir (IRE),S. D. Bowen,7,Donal Kinsella,8th,2 3/4 l,4,8-7t,84,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,On A Session (USA),L. F. Roche,0,David & Nicola Barron,7th,Short Head,7,8-12,89,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,No More Porter (IRE),J. A. Powell,5,Adrian McGuinness,6th,1/2 l,5,8-7t,84,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Mutasarref,C. T. Keane,0,G. M. Lyons,5th,3 1/2 l,5,10-0,105,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Earls (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,4th,Short Head,6,8-12t,89,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Laugh A Minute,Adam Caffrey,5,Adrian McGuinness,3rd,3/4 l,8,9-1,92,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Snapraeterea (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,2nd,2 l,5,9-8,99,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Dunum (IRE),William James Lee,0,Miss Natalia Lupini,1st,N/A,5,9-4,95,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Master Matt,Shane Foley,0,M. Halford & T. Collins,16th,3 1/2 l,7,9-5tb,96,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,All Lies Ahead (IRE),N. M. Crosse,0,W. McCreery,15th,9 l,5,8-11,88,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Hotrocket (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,14th,1 l,4,9-8,99,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Coachello (FR),J. Kearney,7,Gordon Elliott,13th,Short Head,5,9-13,104,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Soaring Monarch (IRE),Ben Martin Coen,0,Peter Fahey,12th,Neck,6,9-2v,93,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Percy's Lad,Seamie Heffernan,0,Daniel & Claire Kubler,11th,1 l,5,9-5,96,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Joe Masseria (IRE),D. B. McMonagle,0,Noel Meade,10th,Neck,4,8-13b,90,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Current Option (IRE),C. J. MacRedmond,5,Adrian McGuinness,9th,3/4 l,7,9-4,95,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Zabeir (IRE),S. D. Bowen,7,Donal Kinsella,8th,2 3/4 l,4,8-7t,84,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,On A Session (USA),L. F. Roche,0,David & Nicola Barron,7th,Short Head,7,8-12,89,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,No More Porter (IRE),J. A. Powell,5,Adrian McGuinness,6th,1/2 l,5,8-7t,84,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Mutasarref,C. T. Keane,0,G. M. Lyons,5th,3 1/2 l,5,10-0,105,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Earls (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,4th,Short Head,6,8-12t,89,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Laugh A Minute,Adam Caffrey,5,Adrian McGuinness,3rd,3/4 l,8,9-1,92,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Snapraeterea (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,2nd,2 l,5,9-8,99,True,72,4
Galway Racing Results | 6th August 2023 16:00,N/A,16:00,Soft,7f,Dunum (IRE),William James Lee,0,Miss Natalia Lupini,1st,N/A,5,9-4,95,True,72,4
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Count Von Browne (IRE),L. F. Roche,0,Kieran Patrick Cotter,7th,21 l,2,9-3,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Romford (IRE),Declan McDonogh,0,Kieran Patrick Cotter,6th,6 1/2 l,2,9-1,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Velvet Skies (IRE),G. F. Carroll,0,Michael Mulvany,5th,1/2 l,2,8-13,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Cuban Confusion,L. T. McAteer,0,David Marnane,4th,1/2 l,2,9-5,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Foxtrot J (IRE),N. M. Crosse,0,Michael O'Meara,3rd,3 l,2,8-8,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Apollo Prince (IRE),William James Lee,0,Eddie & Patrick Harty,2nd,10 l,2,9-3,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Stromberg,D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,2,9-3,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Count Von Browne (IRE),L. F. Roche,0,Kieran Patrick Cotter,7th,21 l,2,9-3,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Romford (IRE),Declan McDonogh,0,Kieran Patrick Cotter,6th,6 1/2 l,2,9-1,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Velvet Skies (IRE),G. F. Carroll,0,Michael Mulvany,5th,1/2 l,2,8-13,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Cuban Confusion,L. T. McAteer,0,David Marnane,4th,1/2 l,2,9-5,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Foxtrot J (IRE),N. M. Crosse,0,Michael O'Meara,3rd,3 l,2,8-8,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Apollo Prince (IRE),William James Lee,0,Eddie & Patrick Harty,2nd,10 l,2,9-3,-,True,72,5
Galway Racing Results | 6th August 2023 16:30,N/A,16:30,Soft,7f,Stromberg,D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,2,9-3,-,True,72,5
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Giselles Defence (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,9th,Nose,3,9-9,73,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Timeless Piece (IRE),Shane Foley,0,Mrs J. Harrington,8th,1 l,3,9-7,71,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Blue News (USA),Amy Jo Hayes,7,A. Slattery,7th,1 3/4 l,3,9-8t,72,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Rough And Tough (IRE),D. B. McMonagle,0,Michael Mulvany,6th,Neck,3,9-2,66,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,La Tulipe Noire (IRE),Ben Martin Coen,0,Ciaran Murphy,5th,3/4 l,3,10-1b,79,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Guided (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,4th,2 l,3,9-8,72,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Quantum Light (IRE),Andrew Joseph Slattery,0,A. Slattery,3rd,2 l,3,9-12,76,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Emorcee (IRE),L. T. McAteer,0,David Marnane,2nd,1 l,3,9-2v1,66,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Malbay Madness (IRE),C. T. Keane,0,Emmet Mullins,1st,N/A,3,10-0h1,78,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Giselles Defence (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,9th,Nose,3,9-9,73,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Timeless Piece (IRE),Shane Foley,0,Mrs J. Harrington,8th,1 l,3,9-7,71,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Blue News (USA),Amy Jo Hayes,7,A. Slattery,7th,1 3/4 l,3,9-8t,72,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Rough And Tough (IRE),D. B. McMonagle,0,Michael Mulvany,6th,Neck,3,9-2,66,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,La Tulipe Noire (IRE),Ben Martin Coen,0,Ciaran Murphy,5th,3/4 l,3,10-1b,79,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Guided (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,4th,2 l,3,9-8,72,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Quantum Light (IRE),Andrew Joseph Slattery,0,A. Slattery,3rd,2 l,3,9-12,76,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Emorcee (IRE),L. T. McAteer,0,David Marnane,2nd,1 l,3,9-2v1,66,True,72,6
Galway Racing Results | 6th August 2023 17:00,N/A,17:00,Yielding To Soft,1m 73y,Malbay Madness (IRE),C. T. Keane,0,Emmet Mullins,1st,N/A,3,10-0h1,78,True,72,6
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Feast (IRE),Miss A. McGuinness,7,J. J. Lambe,8th,19 l,6,12-0,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Fort Randall (IRE),Mr P. Hanlon,7,John Joseph Hanlon,7th,51 l,4,11-4,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Chef D'etat (IRE),Ms T. Kingsley,7,John Joseph Hanlon,6th,Head,4,12-0,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Crooked Tannie (IRE),Mr H. C. Swan,5,Cian Michael Collins,5th,1 l,4,11-11,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Mont Beuvray (IRE),Mr A. P. Ryan,7,John Patrick Ryan,4th,16 l,5,11-7,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Lionnar (IRE),Mr J. L. Gleeson,5,Joseph Patrick O'Brien,3rd,5 l,4,11-4,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Toto Too (IRE),E. A. Fitzgerald,7,Peter Fahey,2nd,2 l,6,11-7,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,You Oughta Know (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,5,12-0,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Feast (IRE),Miss A. McGuinness,7,J. J. Lambe,8th,19 l,6,12-0,-,True,72,7
Galway Racing Results | 6th August 2023 17:30,N/A,17:30,Good (Good To Yielding)  Flat (Turf),2m,Fort Randall (IRE),Mr P. Hanlon,7,John Joseph Hanlon,7th,51 l,4,11-4,-,True,72,7
