track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Whisper In Court (IRE),Denis O'Regan,0,M. C. Grassick,PU,N/A,7,11-2,90,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Touch of Oscar (IRE),D. J. O'Keeffe,0,M. Hourigan,PU,N/A,8,12-0,102,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Nasee,Jordan Colin Gainford,0,John Joseph Hanlon,PU,N/A,7,11-2tp,90,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Allduckornodinner (IRE),Miss E. J. Sweeney,7,Dermot Anthony McLoughlin,9th,3 1/2 l,12,11-4,92,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Greenway Machine (IRE),Mr C. Smithers,7,Ms Helen P. Markham,8th,38 l,10,10-5,79,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,I'm Not Alone (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,7th,7 1/2 l,8,11-5tp,93,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Double Windsor (IRE),Sean Flanagan,0,David M. O'Brien,6th,15 l,10,10-7b,81,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Imperial View (IRE),Rachael Blackmore,0,Henry de Bromhead,5th,1/2 l,7,11-12tp,100,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Walking The Walk (IRE),Jack Foley,3,P. J. Rothwell,4th,5 1/2 l,7,10-6tp,80,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Ardaghs Choice (IRE),K. C. Sexton,0,E. Sheehy,3rd,1 3/4 l,7,11-11b1,99,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Steps Match (IRE),D. E. Mullins,0,Michael Butler,2nd,4 1/2 l,7,11-7p,95,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Brideswell Lad (IRE),J. J. Slevin,0,Seamus Neville,1st,N/A,6,12-0,102,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Daicheadacuig (IRE),S. Fitzgerald,3,Brian Mortell,PU,N/A,7,11-7,95,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Crutches Lad (IRE),C. P. McNamara,0,W. P. Murphy,PU,N/A,9,10-0p,74,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Nuttorridge (IRE),Phillip Enright,0,Mark McNiff,PU,N/A,7,11-12t,100,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Dangan Des Champs (IRE),Patrick O'Hanlon,5,Robert Tyner,PU,N/A,7,10-8p,82,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Whisper In Court (IRE),Denis O'Regan,0,M. C. Grassick,PU,N/A,7,11-2,90,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Touch of Oscar (IRE),D. J. O'Keeffe,0,M. Hourigan,PU,N/A,8,12-0,102,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Nasee,Jordan Colin Gainford,0,John Joseph Hanlon,PU,N/A,7,11-2tp,90,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Allduckornodinner (IRE),Miss E. J. Sweeney,7,Dermot Anthony McLoughlin,9th,3 1/2 l,12,11-4,92,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Greenway Machine (IRE),Mr C. Smithers,7,Ms Helen P. Markham,8th,38 l,10,10-5,79,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,I'm Not Alone (IRE),C. G. O'Dwyer,7,Conor O'Dwyer,7th,7 1/2 l,8,11-5tp,93,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Double Windsor (IRE),Sean Flanagan,0,David M. O'Brien,6th,15 l,10,10-7b,81,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Imperial View (IRE),Rachael Blackmore,0,Henry de Bromhead,5th,1/2 l,7,11-12tp,100,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Walking The Walk (IRE),Jack Foley,3,P. J. Rothwell,4th,5 1/2 l,7,10-6tp,80,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Ardaghs Choice (IRE),K. C. Sexton,0,E. Sheehy,3rd,1 3/4 l,7,11-11b1,99,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Steps Match (IRE),D. E. Mullins,0,Michael Butler,2nd,4 1/2 l,7,11-7p,95,True,10,17
Limerick Racing Results | 20th July 2022 20:15,N/A,20:15,Good,2m 6f,Brideswell Lad (IRE),J. J. Slevin,0,Seamus Neville,1st,N/A,6,12-0,102,True,10,17
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Omar Navarro (IRE),T. P. Madden,0,Ross O'Sullivan,10th,1 1/4 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Adaayinmay,G. F. Carroll,0,David Marnane,9th,4 3/4 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Arancha (USA),K. J. Manning,0,J. S. Bolger,8th,4 1/4 l,2,9-2,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Lightupthesky (IRE),N. G. McCullagh,0,Kevin Prendergast,7th,6 1/2 l,2,9-2,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Grace Darling (IRE),C. D. Hayes,0,D. K. Weld,6th,1 1/4 l,2,9-2,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Rochester Mike (IRE),Shane Foley,0,Mrs J. Harrington,5th,3/4 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Paulliac (IRE),William James Lee,0,K. J. Condon,4th,Nose,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Magnanimous Mehmus (IRE),Seamie Heffernan,0,Adrian Murray,3rd,1 1/4 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Mount Ruapehu (IRE),A. J. Slattery,0,John F. Grogan,2nd,7 1/2 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Apricot Twist (IRE),C. T. Keane,0,G. M. Lyons,1st,N/A,2,9-2t1,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Omar Navarro (IRE),T. P. Madden,0,Ross O'Sullivan,10th,1 1/4 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Adaayinmay,G. F. Carroll,0,David Marnane,9th,4 3/4 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Arancha (USA),K. J. Manning,0,J. S. Bolger,8th,4 1/4 l,2,9-2,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Lightupthesky (IRE),N. G. McCullagh,0,Kevin Prendergast,7th,6 1/2 l,2,9-2,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Grace Darling (IRE),C. D. Hayes,0,D. K. Weld,6th,1 1/4 l,2,9-2,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Rochester Mike (IRE),Shane Foley,0,Mrs J. Harrington,5th,3/4 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Paulliac (IRE),William James Lee,0,K. J. Condon,4th,Nose,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Magnanimous Mehmus (IRE),Seamie Heffernan,0,Adrian Murray,3rd,1 1/4 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Mount Ruapehu (IRE),A. J. Slattery,0,John F. Grogan,2nd,7 1/2 l,2,9-7,-,True,10,18
Naas Racing Results | 20th July 2022 17:30,N/A,17:30,Good,5f 205y,Apricot Twist (IRE),C. T. Keane,0,G. M. Lyons,1st,N/A,2,9-2t1,-,True,10,18
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Hightimeyouwon,C. D. Hayes,0,D. K. Weld,13th,2 1/4 l,6,10-0p,80,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Pretty Smart (IRE),D. B. McMonagle,0,Patrick Martin,12th,1/2 l,6,9-5,71,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Alphonse Karr (IRE),J. Kearney,7,F. Birrane,11th,2 l,4,9-4,70,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Mogwli (IRE),William James Lee,0,W. McCreery,10th,1/2 l,5,9-5b,71,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Clara's Approach (IRE),M. A. Enright,0,Miss Jennifer Anne Lynch,9th,Head,4,8-12b1,64,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Super Cub,Ben Martin Coen,0,Denis Hogan,8th,1 l,3,8-12,68,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Sister Lola (IRE),Shane Foley,0,James McAuley,7th,2 1/2 l,5,9-12tp,78,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Belardeen (IRE),A. J. Slattery,0,Miss Hilary McLoughlin,6th,1 3/4 l,4,8-8,60,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Dandyville (IRE),R. P. Whelan,0,Jack W. Davison,5th,1/2 l,4,9-7,73,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Superior Force,Rossa Ryan,0,Adrian Murray,4th,Short Head,3,9-10,80,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Sister Rosetta (IRE),C. T. Keane,0,James McAuley,3rd,1 3/4 l,4,9-8tp,74,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Shawaamekh,J. M. Sheridan,3,J. F. Levins,2nd,1 1/4 l,8,10-0p,80,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Gordon Bennett (IRE),G. F. Carroll,0,Richard Brabazon,1st,N/A,4,9-7,73,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Hightimeyouwon,C. D. Hayes,0,D. K. Weld,13th,2 1/4 l,6,10-0p,80,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Pretty Smart (IRE),D. B. McMonagle,0,Patrick Martin,12th,1/2 l,6,9-5,71,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Alphonse Karr (IRE),J. Kearney,7,F. Birrane,11th,2 l,4,9-4,70,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Mogwli (IRE),William James Lee,0,W. McCreery,10th,1/2 l,5,9-5b,71,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Clara's Approach (IRE),M. A. Enright,0,Miss Jennifer Anne Lynch,9th,Head,4,8-12b1,64,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Super Cub,Ben Martin Coen,0,Denis Hogan,8th,1 l,3,8-12,68,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Sister Lola (IRE),Shane Foley,0,James McAuley,7th,2 1/2 l,5,9-12tp,78,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Belardeen (IRE),A. J. Slattery,0,Miss Hilary McLoughlin,6th,1 3/4 l,4,8-8,60,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Dandyville (IRE),R. P. Whelan,0,Jack W. Davison,5th,1/2 l,4,9-7,73,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Superior Force,Rossa Ryan,0,Adrian Murray,4th,Short Head,3,9-10,80,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Sister Rosetta (IRE),C. T. Keane,0,James McAuley,3rd,1 3/4 l,4,9-8tp,74,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Shawaamekh,J. M. Sheridan,3,J. F. Levins,2nd,1 1/4 l,8,10-0p,80,True,10,19
Naas Racing Results | 20th July 2022 18:00,N/A,18:00,Good,5f 205y,Gordon Bennett (IRE),G. F. Carroll,0,Richard Brabazon,1st,N/A,4,9-7,73,True,10,19
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Contarelli Chapel (IRE),W. M. Lordan,0,Aidan O'Brien,11th,Head,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Measure of Magic (IRE),Ben Martin Coen,0,John Patrick Murtagh,10th,Head,4,9-7p1,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Camdeboo (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,9th,Nose,4,9-7,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Red Lacewing (IRE),A. J. Slattery,0,J. A. Stack,8th,Nose,3,9-3t,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Prettiest (USA),Seamie Heffernan,0,Aidan O'Brien,7th,2 l,3,9-3t1,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Beautiful Sunshine,Rossa Ryan,0,Adrian Murray,6th,1/2 l,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Funchal (IRE),William James Lee,0,W. McCreery,5th,2 l,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Ano Syra (IRE),K. J. Manning,0,J. J. Feane,4th,1 3/4 l,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Sacred Bridge,C. T. Keane,0,G. M. Lyons,3rd,Head,3,9-8b1,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Sablonne,Shane Foley,0,Mrs J. Harrington,2nd,3/4 l,3,9-3p,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Pirate Jenny (IRE),G. F. Carroll,0,G. M. Lyons,1st,N/A,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Contarelli Chapel (IRE),W. M. Lordan,0,Aidan O'Brien,11th,Head,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Measure of Magic (IRE),Ben Martin Coen,0,John Patrick Murtagh,10th,Head,4,9-7p1,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Camdeboo (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,9th,Nose,4,9-7,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Red Lacewing (IRE),A. J. Slattery,0,J. A. Stack,8th,Nose,3,9-3t,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Prettiest (USA),Seamie Heffernan,0,Aidan O'Brien,7th,2 l,3,9-3t1,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Beautiful Sunshine,Rossa Ryan,0,Adrian Murray,6th,1/2 l,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Funchal (IRE),William James Lee,0,W. McCreery,5th,2 l,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Ano Syra (IRE),K. J. Manning,0,J. J. Feane,4th,1 3/4 l,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Sacred Bridge,C. T. Keane,0,G. M. Lyons,3rd,Head,3,9-8b1,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Sablonne,Shane Foley,0,Mrs J. Harrington,2nd,3/4 l,3,9-3p,-,True,10,20
Naas Racing Results | 20th July 2022 18:30,N/A,18:30,Good,5f 205y,Pirate Jenny (IRE),G. F. Carroll,0,G. M. Lyons,1st,N/A,3,9-3,-,True,10,20
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Charming Lady (IRE),D. B. McMonagle,0,T. G. McCourt,7th,18 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Ardad's Great,Shane Foley,0,Mrs J. Harrington,6th,1/2 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Escaping Thejungle (IRE),W. M. Lordan,0,E. D. Delany,5th,2 1/2 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Lady Tilbury,G. F. Carroll,0,David Marnane,4th,2 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Treasure Trove (IRE),William James Lee,0,P. Twomey,3rd,1 1/4 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Mauiewowie,C. T. Keane,0,G. M. Lyons,2nd,1 1/2 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Lady Hollywood,Rossa Ryan,0,Alice Haynes,1st,N/A,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Charming Lady (IRE),D. B. McMonagle,0,T. G. McCourt,7th,18 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Ardad's Great,Shane Foley,0,Mrs J. Harrington,6th,1/2 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Escaping Thejungle (IRE),W. M. Lordan,0,E. D. Delany,5th,2 1/2 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Lady Tilbury,G. F. Carroll,0,David Marnane,4th,2 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Treasure Trove (IRE),William James Lee,0,P. Twomey,3rd,1 1/4 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Mauiewowie,C. T. Keane,0,G. M. Lyons,2nd,1 1/2 l,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:00,N/A,19:00,Good,5f,Lady Hollywood,Rossa Ryan,0,Alice Haynes,1st,N/A,2,9-2,-,True,10,21
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,International Lady (IRE),S. McCullagh,0,Kevin Michael Smith,18th,2 3/4 l,4,9-9b,58,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Thunder Rain (IRE),Adam Caffrey,4,D. Hassett,17th,1 3/4 l,4,9-13t,62,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Tanseeq,Wesley Joyce,4,T. Gibney,16th,1/2 l,7,9-5,54,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Philly's Hope (IRE),R. Whearty,4,T. G. McCourt,15th,1 3/4 l,5,9-1p,50,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Holding Aces (IRE),S. R. Markey,7,Anthony McCann,14th,4 1/2 l,4,9-7,56,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Shimla Rolann,P. A. Harnett,2,Miss Hilary McLoughlin,13th,1/2 l,4,9-11,60,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Colonel Slade (IRE),Jack Enright,7,Gillian Scott,12th,Neck,6,9-2tp,51,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Caesar's Comet (IRE),C. Stone-Walsh,7,James McAuley,11th,2 1/4 l,8,8-12b,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Geological (IRE),J. Coen,2,Damian Joseph English,10th,Head,10,10-4,67,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Scream (IRE),C. J. MacRedmond,2,David Peter Nagle,9th,1 l,7,8-12p,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Indiana Grey (IRE),D. A. Kidd,7,Patrick Martin,8th,Head,6,8-12tp1,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Eagle Terrace,D. King,4,Denis Hogan,7th,Neck,4,10-2b,65,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Tynamite (IRE),J. A. Powell,4,David Marnane,6th,1 3/4 l,8,8-12,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,The Bog Bank (IRE),J. J. G. Ryan,4,T. G. McCourt,5th,1/2 l,5,9-9p,58,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Tashim (IRE),D. J. Gilligan,4,Paul W. Flynn,4th,Head,5,9-8,57,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Stormy Jenn (IRE),Cillian McConnell,4,Peter Cluskey,3rd,1 1/4 l,5,10-0b,63,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Cleveleys,H. J. Horgan,4,Richard John O'Brien,2nd,3/4 l,4,10-1,64,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Barnhill Rose,Siobhan Rutledge,0,Denis Hogan,1st,N/A,4,8-12p,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,International Lady (IRE),S. McCullagh,0,Kevin Michael Smith,18th,2 3/4 l,4,9-9b,58,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Thunder Rain (IRE),Adam Caffrey,4,D. Hassett,17th,1 3/4 l,4,9-13t,62,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Tanseeq,Wesley Joyce,4,T. Gibney,16th,1/2 l,7,9-5,54,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Philly's Hope (IRE),R. Whearty,4,T. G. McCourt,15th,1 3/4 l,5,9-1p,50,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Holding Aces (IRE),S. R. Markey,7,Anthony McCann,14th,4 1/2 l,4,9-7,56,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Shimla Rolann,P. A. Harnett,2,Miss Hilary McLoughlin,13th,1/2 l,4,9-11,60,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Colonel Slade (IRE),Jack Enright,7,Gillian Scott,12th,Neck,6,9-2tp,51,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Caesar's Comet (IRE),C. Stone-Walsh,7,James McAuley,11th,2 1/4 l,8,8-12b,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Geological (IRE),J. Coen,2,Damian Joseph English,10th,Head,10,10-4,67,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Scream (IRE),C. J. MacRedmond,2,David Peter Nagle,9th,1 l,7,8-12p,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Indiana Grey (IRE),D. A. Kidd,7,Patrick Martin,8th,Head,6,8-12tp1,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Eagle Terrace,D. King,4,Denis Hogan,7th,Neck,4,10-2b,65,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Tynamite (IRE),J. A. Powell,4,David Marnane,6th,1 3/4 l,8,8-12,47,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,The Bog Bank (IRE),J. J. G. Ryan,4,T. G. McCourt,5th,1/2 l,5,9-9p,58,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Tashim (IRE),D. J. Gilligan,4,Paul W. Flynn,4th,Head,5,9-8,57,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Stormy Jenn (IRE),Cillian McConnell,4,Peter Cluskey,3rd,1 1/4 l,5,10-0b,63,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Cleveleys,H. J. Horgan,4,Richard John O'Brien,2nd,3/4 l,4,10-1,64,True,10,22
Naas Racing Results | 20th July 2022 19:30,N/A,19:30,Good,1m,Barnhill Rose,Siobhan Rutledge,0,Denis Hogan,1st,N/A,4,8-12p,47,True,10,22
Naas Racing Results | 20th July 2022 20:00,N/A,20:00,Good,7f,Ace Aussie (IRE),C. D. Hayes,0,John Joseph Hanlon,4th,3 1/2 l,4,9-10,-,True,10,23
Naas Racing Results | 20th July 2022 20:00,N/A,20:00,Good,7f,Belle Image (IRE),R. C. Colgan,0,Ms Sheila Lavery,3rd,3 l,4,9-5,-,True,10,23
Naas Racing Results | 20th July 2022 20:00,N/A,20:00,Good,7f,San Andreas (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,2nd,3 1/2 l,6,10-1,-,True,10,23
Naas Racing Results | 20th July 2022 20:00,N/A,20:00,Good,7f,Mutasarref,C. T. Keane,0,G. M. Lyons,1st,N/A,4,10-1,-,True,10,23
Naas Racing Results | 20th July 2022 20:00,N/A,20:00,Good,7f,Ace Aussie (IRE),C. D. Hayes,0,John Joseph Hanlon,4th,3 1/2 l,4,9-10,-,True,10,23
Naas Racing Results | 20th July 2022 20:00,N/A,20:00,Good,7f,Belle Image (IRE),R. C. Colgan,0,Ms Sheila Lavery,3rd,3 l,4,9-5,-,True,10,23
