track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Harry's Bar,R P Whelan,0,Stephen Thorne,NR,N/A,9,10-0tp,97,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Jered Maddox,N M Crosse,0,D Marnane,8th,2 1/2 l,8,8-9,78,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Moltophino (IRE),K G Kennedy,7,J A Kinsella,7th,1/2 l,3,8-8tv,77,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Inishmot Prince (IRE),J J G Ryan,3,T G McCourt,6th,1 1/2 l,6,9-3v,86,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Dream Today (IRE),J A Powell,3,Stephen Thorne,5th,2 1/2 l,9,8-12tp,81,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,James Henry (IRE),C D Hayes,0,L Breen,4th,1/2 l,5,8-7,76,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Daamberdiplomat (IRE),R M Mulligan,7,J P Murtagh,3rd,1/2 l,4,9-7,90,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Dontspoilasale (IRE),Adam Caffrey,3,A McGuinness,2nd,3/4 l,4,9-4,87,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Apache Outlaw (IRE),C T Keane,0,A McGuinness,1st,N/A,4,9-6,89,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Harry's Bar,R P Whelan,0,Stephen Thorne,NR,N/A,9,10-0tp,97,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Jered Maddox,N M Crosse,0,D Marnane,8th,2 1/2 l,8,8-9,78,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Moltophino (IRE),K G Kennedy,7,J A Kinsella,7th,1/2 l,3,8-8tv,77,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Inishmot Prince (IRE),J J G Ryan,3,T G McCourt,6th,1 1/2 l,6,9-3v,86,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Dream Today (IRE),J A Powell,3,Stephen Thorne,5th,2 1/2 l,9,8-12tp,81,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,James Henry (IRE),C D Hayes,0,L Breen,4th,1/2 l,5,8-7,76,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Daamberdiplomat (IRE),R M Mulligan,7,J P Murtagh,3rd,1/2 l,4,9-7,90,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Dontspoilasale (IRE),Adam Caffrey,3,A McGuinness,2nd,3/4 l,4,9-4,87,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Apache Outlaw (IRE),C T Keane,0,A McGuinness,1st,N/A,4,9-6,89,True,153,1
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,All In Peder (FR),R M Mulligan,7,K Dempsey,NR,N/A,5,9-13p,62,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Bright Start (USA),Nicola Burns,7,S M Duffy,NR,N/A,7,9-2p,51,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Sliogan (FR),R P Cleary,0,J C McConnell,11th,6 l,3,8-8,50,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Lost Soul (IRE),S P Davis,0,K Prendergast,10th,7 1/2 l,3,8-7,49,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Tastyee (IRE),J M Sheridan,0,D Budds,9th,Head,6,9-2t,51,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Wonderwalk (IRE),D E Sheehy,0,V C Ward,8th,1/2 l,3,8-7h,49,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Movie King (IRE),J Cleary,7,A J Martin,7th,1 l,7,9-5tp,54,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Is She Now (IRE),R C Colgan,0,V C Ward,6th,3/4 l,6,9-6,55,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Duke Otto (IRE),A C Persse,7,P J Flynn,5th,1/2 l,6,8-12,47,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Jinxs Link (IRE),J A Powell,3,M Rice,4th,Neck,8,9-10,59,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Jet Times (IRE),D J Power,10,O J Power,3rd,1/2 l,6,9-3,52,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Noble Expression,L F Roche,0,G A Kingston,2nd,3/4 l,9,8-12v,47,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Say It So (IRE),C P McNamara,0,E McNamara,1st,N/A,5,10-2tb,65,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,All In Peder (FR),R M Mulligan,7,K Dempsey,NR,N/A,5,9-13p,62,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Bright Start (USA),Nicola Burns,7,S M Duffy,NR,N/A,7,9-2p,51,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Sliogan (FR),R P Cleary,0,J C McConnell,11th,6 l,3,8-8,50,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Lost Soul (IRE),S P Davis,0,K Prendergast,10th,7 1/2 l,3,8-7,49,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Tastyee (IRE),J M Sheridan,0,D Budds,9th,Head,6,9-2t,51,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Wonderwalk (IRE),D E Sheehy,0,V C Ward,8th,1/2 l,3,8-7h,49,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Movie King (IRE),J Cleary,7,A J Martin,7th,1 l,7,9-5tp,54,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Is She Now (IRE),R C Colgan,0,V C Ward,6th,3/4 l,6,9-6,55,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Duke Otto (IRE),A C Persse,7,P J Flynn,5th,1/2 l,6,8-12,47,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Jinxs Link (IRE),J A Powell,3,M Rice,4th,Neck,8,9-10,59,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Jet Times (IRE),D J Power,10,O J Power,3rd,1/2 l,6,9-3,52,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Noble Expression,L F Roche,0,G A Kingston,2nd,3/4 l,9,8-12v,47,True,153,2
Dundalk Racing Results | 27th November 2024 16:25,N/A,16:25,Standard,2m,Say It So (IRE),C P McNamara,0,E McNamara,1st,N/A,5,10-2tb,65,True,153,2
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Tassarolo,L T McAteer,0,D Hogan,8th,1/2 l,3,9-8,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Dahab (IRE),J M Sheridan,0,D Hogan,7th,3/4 l,3,9-8p,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Bowmore (IRE),W J Lee,0,H De Bromhead,6th,2 1/4 l,6,9-13,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Saga Des Aigles (IRE),R P Cleary,0,C W J Farrell,5th,1/2 l,4,9-8,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Shaool (IRE),C Horgan,7,P O'Rourke,4th,2 1/4 l,3,9-3,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Sportingsilvermine (IRE),C T Keane,0,D Hogan,3rd,2 l,3,9-8,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Inthesmallhours,G F Carroll,0,A Oliver,2nd,1/2 l,3,9-3,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Tribal Star (IRE),Adam Caffrey,3,A McGuinness,1st,N/A,3,9-8p,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Tassarolo,L T McAteer,0,D Hogan,8th,1/2 l,3,9-8,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Dahab (IRE),J M Sheridan,0,D Hogan,7th,3/4 l,3,9-8p,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Bowmore (IRE),W J Lee,0,H De Bromhead,6th,2 1/4 l,6,9-13,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Saga Des Aigles (IRE),R P Cleary,0,C W J Farrell,5th,1/2 l,4,9-8,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Shaool (IRE),C Horgan,7,P O'Rourke,4th,2 1/4 l,3,9-3,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Sportingsilvermine (IRE),C T Keane,0,D Hogan,3rd,2 l,3,9-8,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Inthesmallhours,G F Carroll,0,A Oliver,2nd,1/2 l,3,9-3,-,True,153,3
Dundalk Racing Results | 27th November 2024 16:55,N/A,16:55,Standard,1m 4f,Tribal Star (IRE),Adam Caffrey,3,A McGuinness,1st,N/A,3,9-8p,-,True,153,3
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Lady Kai (IRE),Non Runner,0,R O'Sullivan,NR,N/A,4,9-11p,65,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Key To Glory (IRE),N M Crosse,0,Yvonne Latta,11th,9 1/2 l,3,8-9p1,54,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,S'all Good Man (IRE),S P Davis,0,Sean Davis,10th,9 1/2 l,8,10-2t,70,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Warrior Lion,L T McAteer,0,A McCann,9th,11 l,4,10-0tb1,68,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Slowdownbarney (IRE),D W O'Connor,0,J C McConnell,8th,Neck,3,9-3t,62,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Dark Note,W J Lee,0,A Slattery,7th,1 1/4 l,5,10-1p1,69,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Marians Gal (IRE),W Joyce,5,K Smith,6th,1 3/4 l,4,8-12,52,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Glyde Ranger (IRE),J J G Ryan,3,T G McCourt,5th,Short Head,4,9-10v,64,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Enough Already,Adam Caffrey,3,A McGuinness,4th,2 1/4 l,8,10-4,72,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Rockview Consort,C D Fahy,10,J C McConnell,3rd,2 1/2 l,5,10-1,69,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Tudor Manor (IRE),R Donaghue-Leahy,7,P J Flynn,2nd,1/2 l,8,10-2,70,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Pepper Noir (IRE),G F Carroll,0,G P Cromwell,1st,N/A,3,9-10,69,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Lady Kai (IRE),Non Runner,0,R O'Sullivan,NR,N/A,4,9-11p,65,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Key To Glory (IRE),N M Crosse,0,Yvonne Latta,11th,9 1/2 l,3,8-9p1,54,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,S'all Good Man (IRE),S P Davis,0,Sean Davis,10th,9 1/2 l,8,10-2t,70,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Warrior Lion,L T McAteer,0,A McCann,9th,11 l,4,10-0tb1,68,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Slowdownbarney (IRE),D W O'Connor,0,J C McConnell,8th,Neck,3,9-3t,62,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Dark Note,W J Lee,0,A Slattery,7th,1 1/4 l,5,10-1p1,69,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Marians Gal (IRE),W Joyce,5,K Smith,6th,1 3/4 l,4,8-12,52,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Glyde Ranger (IRE),J J G Ryan,3,T G McCourt,5th,Short Head,4,9-10v,64,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Enough Already,Adam Caffrey,3,A McGuinness,4th,2 1/4 l,8,10-4,72,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Rockview Consort,C D Fahy,10,J C McConnell,3rd,2 1/2 l,5,10-1,69,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Tudor Manor (IRE),R Donaghue-Leahy,7,P J Flynn,2nd,1/2 l,8,10-2,70,True,153,4
Dundalk Racing Results | 27th November 2024 17:25,N/A,17:25,Standard,1m 4f,Pepper Noir (IRE),G F Carroll,0,G P Cromwell,1st,N/A,3,9-10,69,True,153,4
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Ho My Lord (FR),J S McGarvey,0,P Roche,NR,N/A,6,11-12,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Western Diego (IRE),B Hayes,0,W P Mullins,NR,N/A,7,11-12h,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Mistergif (FR),P Townend,0,W P Mullins,NR,N/A,5,11-12,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Futurum Regem (IRE),B W Harvey,0,H P Finegan,NR,N/A,8,11-12,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Jonny Mansie (IRE),S Fitzgerald,0,D Queally,3rd,12 l,5,11-12,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Boldog (FR),D E Mullins,0,J P O'Brien,2nd,2 1/2 l,6,11-12ht,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,That's About Right (IRE),D King,0,P J Rothwell,1st,N/A,6,11-12p,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Ho My Lord (FR),J S McGarvey,0,P Roche,NR,N/A,6,11-12,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Western Diego (IRE),B Hayes,0,W P Mullins,NR,N/A,7,11-12h,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Mistergif (FR),P Townend,0,W P Mullins,NR,N/A,5,11-12,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Futurum Regem (IRE),B W Harvey,0,H P Finegan,NR,N/A,8,11-12,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Jonny Mansie (IRE),S Fitzgerald,0,D Queally,3rd,12 l,5,11-12,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,Boldog (FR),D E Mullins,0,J P O'Brien,2nd,2 1/2 l,6,11-12ht,-,True,153,5
Thurles Racing Results | 28th November 2024 12:05,N/A,12:05,Good,2m 2f 63y,That's About Right (IRE),D King,0,P J Rothwell,1st,N/A,6,11-12p,-,True,153,5
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Nick Rockett (IRE),D E Mullins,0,W P Mullins,NR,N/A,7,11-4,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Embassy Gardens,B Hayes,0,W P Mullins,NR,N/A,8,11-7,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Appreciate It (IRE),P Townend,0,W P Mullins,NR,N/A,10,11-0t,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Hazelhatch Lady (IRE),D J O'Keeffe,0,James Andrew Fahey,2nd,2 1/2 l,7,10-7,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Fil Dor (FR),J W Kennedy,0,G Elliott,1st,N/A,6,11-0tp,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Nick Rockett (IRE),D E Mullins,0,W P Mullins,NR,N/A,7,11-4,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Embassy Gardens,B Hayes,0,W P Mullins,NR,N/A,8,11-7,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Appreciate It (IRE),P Townend,0,W P Mullins,NR,N/A,10,11-0t,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Hazelhatch Lady (IRE),D J O'Keeffe,0,James Andrew Fahey,2nd,2 1/2 l,7,10-7,-,True,153,6
Thurles Racing Results | 28th November 2024 12:40,N/A,12:40,Good,2m 6f 79y,Fil Dor (FR),J W Kennedy,0,G Elliott,1st,N/A,6,11-0tp,-,True,153,6
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Jacksons Gold (IRE),Non Runner,5,Ms Alice Curran,NR,N/A,10,11-12,109,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Port Rashid (IRE),Miss J Townend,0,T Townend,NR,N/A,13,10-0t,83,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Brave Adam (IRE),T Joseph Kelly,7,T Cooper,NR,N/A,6,11-10t,107,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,The Eye Of Tulla (IRE),S F O'Keeffe,0,B McMahon,7th,2 1/4 l,8,10-0b,683,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Mustameet Secret (IRE),G Brouder,5,H P Finegan,6th,1 3/4 l,7,10-1,84,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Cahirdown Boy (IRE),C P McNamara,0,E McNamara,5th,Head,9,11-9t,106,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Room To Roam (IRE),B W Harvey,0,J C McConnell,4th,3/4 l,10,11-5b,102,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Getabelle (IRE),B Hayes,0,L P Cusack,3rd,2 1/2 l,7,11-0t,97,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Likable Chancer (IRE),D King,0,D Howard,2nd,4 3/4 l,10,10-0tb,83,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Malinas Glory (IRE),D J O'Keeffe,0,A O'Grady,1st,N/A,7,10-12,95,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Jacksons Gold (IRE),Non Runner,5,Ms Alice Curran,NR,N/A,10,11-12,109,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Port Rashid (IRE),Miss J Townend,0,T Townend,NR,N/A,13,10-0t,83,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Brave Adam (IRE),T Joseph Kelly,7,T Cooper,NR,N/A,6,11-10t,107,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,The Eye Of Tulla (IRE),S F O'Keeffe,0,B McMahon,7th,2 1/4 l,8,10-0b,683,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Mustameet Secret (IRE),G Brouder,5,H P Finegan,6th,1 3/4 l,7,10-1,84,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Cahirdown Boy (IRE),C P McNamara,0,E McNamara,5th,Head,9,11-9t,106,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Room To Roam (IRE),B W Harvey,0,J C McConnell,4th,3/4 l,10,11-5b,102,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Getabelle (IRE),B Hayes,0,L P Cusack,3rd,2 1/2 l,7,11-0t,97,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Likable Chancer (IRE),D King,0,D Howard,2nd,4 3/4 l,10,10-0tb,83,True,153,7
Thurles Racing Results | 28th November 2024 13:15,N/A,13:15,Good,2m 6f 79y,Malinas Glory (IRE),D J O'Keeffe,0,A O'Grady,1st,N/A,7,10-12,95,True,153,7
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Fishery Lane (FR),P Townend,0,W P Mullins,NR,N/A,5,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Famous Sonnet (IRE),E M O'Sullivan,7,Ms M Flynn,NR,N/A,7,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Hitthehayson (IRE),D King,0,P J Rothwell,7th,5 1/2 l,5,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Raby Mere (FR),R P Treacy,0,Louise G Lyons,6th,18 l,5,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Derby Rock (IRE),G Brouder,5,M F Morris,5th,2 1/2 l,5,11-12tp1,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Cyrus Field (IRE),B W Harvey,0,C Collins,4th,12 l,4,11-11,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Committee Meeting (IRE),T Power Roche,7,P J Rothwell,3rd,1 1/4 l,5,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Foreverwalking (IRE),S F O'Keeffe,0,W P Mullins,2nd,3/4 l,6,11-12t1,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Therellbguddaysyet (IRE),D J O'Keeffe,0,M J O'Connor,1st,N/A,8,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Fishery Lane (FR),P Townend,0,W P Mullins,NR,N/A,5,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Famous Sonnet (IRE),E M O'Sullivan,7,Ms M Flynn,NR,N/A,7,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Hitthehayson (IRE),D King,0,P J Rothwell,7th,5 1/2 l,5,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Raby Mere (FR),R P Treacy,0,Louise G Lyons,6th,18 l,5,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Derby Rock (IRE),G Brouder,5,M F Morris,5th,2 1/2 l,5,11-12tp1,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Cyrus Field (IRE),B W Harvey,0,C Collins,4th,12 l,4,11-11,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Committee Meeting (IRE),T Power Roche,7,P J Rothwell,3rd,1 1/4 l,5,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Foreverwalking (IRE),S F O'Keeffe,0,W P Mullins,2nd,3/4 l,6,11-12t1,-,True,153,8
Thurles Racing Results | 28th November 2024 13:50,N/A,13:50,Good,2m 4f 154y,Therellbguddaysyet (IRE),D J O'Keeffe,0,M J O'Connor,1st,N/A,8,11-12,-,True,153,8
Thurles Racing Results | 28th November 2024 14:25,N/A,14:25,Good,2m 46y,Karamoja (FR),P Townend,0,W P Mullins,NR,N/A,4,10-13,-,True,153,9
Thurles Racing Results | 28th November 2024 14:25,N/A,14:25,Good,2m 46y,Baby Kate (IRE),B Hayes,0,W P Mullins,NR,N/A,5,11-7,-,True,153,9
Thurles Racing Results | 28th November 2024 14:25,N/A,14:25,Good,2m 46y,Lau And Shaz (IRE),S W Flanagan,0,G P Cromwell,NR,N/A,4,10-13t1,-,True,153,9
Thurles Racing Results | 28th November 2024 14:25,N/A,14:25,Good,2m 46y,Glens Lullaby (IRE),Sam Ewing,0,Peter Fahey,NR,N/A,5,11-7,-,True,153,9
Thurles Racing Results | 28th November 2024 14:25,N/A,14:25,Good,2m 46y,Pippa Mo Chroi (IRE),P T Enright,0,P D Fitzgerald,UR,N/A,6,10-13,-,True,153,9
Thurles Racing Results | 28th November 2024 14:25,N/A,14:25,Good,2m 46y,I'll Treat Ya (IRE),M J M O'Sullivan,0,P Byrne,8th,32 l,5,10-13,-,True,153,9
Thurles Racing Results | 28th November 2024 14:25,N/A,14:25,Good,2m 46y,Cnoc An Locha (IRE),Mr I Ryan,7,Tom Dreaper,7th,6 l,4,10-13,-,True,153,9
