track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Off You Go (IRE),J. S. McGarvey,0,Charles Byrnes,5th,9 1/2 l,10,11-2,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Enfranchise (IRE),B. Hayes,0,John Joseph Hanlon,4th,3 1/2 l,5,10-9,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Fighter Allen (FR),Jack Foley,0,W. P. Mullins,3rd,7 1/2 l,8,11-2t,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Cash Back (FR),P. Townend,0,W. P. Mullins,2nd,Neck,11,11-8h,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Fils D'oudairies (FR),D. J. Gilligan,7,Gordon Elliott,1st,N/A,8,11-8,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Off You Go (IRE),J. S. McGarvey,0,Charles Byrnes,5th,9 1/2 l,10,11-2,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Enfranchise (IRE),B. Hayes,0,John Joseph Hanlon,4th,3 1/2 l,5,10-9,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Fighter Allen (FR),Jack Foley,0,W. P. Mullins,3rd,7 1/2 l,8,11-2t,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Cash Back (FR),P. Townend,0,W. P. Mullins,2nd,Neck,11,11-8h,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 16:30,N/A,16:30,Good,2m 2f 69y,Fils D'oudairies (FR),D. J. Gilligan,7,Gordon Elliott,1st,N/A,8,11-8,-,True,57,1
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Turnthelightsoff (IRE),S. F. O'Keeffe,0,P. F. McEnery,PU,N/A,7,11-4p,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Seriously Ava (IRE),Sean Flanagan,0,Una Corcoran,PU,N/A,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Madhenry (IRE),Jack G. Gilligan,7,Fintan Feeney,PU,N/A,5,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Full Moon Fluster (IRE),D. King,5,Joe Conlon,12th,20 l,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Fidanka (IRE),Trevor Ryan,5,W. J. Austin,11th,2 l,5,10-11h1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Glencourt Valley (IRE),B. Hayes,0,Liam P. Cusack,10th,11 l,6,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Rare Millie (IRE),L. A. McKenna,5,Una Corcoran,9th,9 1/2 l,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Johnny Cigar (IRE),C. P. McNamara,0,P. F. O'Donnell,8th,2 1/2 l,7,11-4t1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Hudson Duster (IRE),N. J. Ryan,7,Noel Meade,7th,3/4 l,5,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Le Sin Bin (IRE),C. Smithers,7,William O'Doherty,6th,5 l,6,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Kadys Dirha (IRE),Gavin Peter Brouder,5,Thomas P. O'Connor,5th,3 1/2 l,6,10-11b,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Workforadime (IRE),Phillip Enright,0,Charles Byrnes,4th,2 1/2 l,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Zettabyte (IRE),C. P. Millar,7,Gordon Elliott,3rd,10 l,6,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Misty's Gift (IRE),Denis O'Regan,0,David Harry Kelly,2nd,7 l,7,11-12tp1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,An Mhi (IRE),Keith Donoghue,0,Gordon Elliott,1st,N/A,6,11-4t1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Turnthelightsoff (IRE),S. F. O'Keeffe,0,P. F. McEnery,PU,N/A,7,11-4p,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Seriously Ava (IRE),Sean Flanagan,0,Una Corcoran,PU,N/A,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Madhenry (IRE),Jack G. Gilligan,7,Fintan Feeney,PU,N/A,5,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Full Moon Fluster (IRE),D. King,5,Joe Conlon,12th,20 l,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Fidanka (IRE),Trevor Ryan,5,W. J. Austin,11th,2 l,5,10-11h1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Glencourt Valley (IRE),B. Hayes,0,Liam P. Cusack,10th,11 l,6,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Rare Millie (IRE),L. A. McKenna,5,Una Corcoran,9th,9 1/2 l,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Johnny Cigar (IRE),C. P. McNamara,0,P. F. O'Donnell,8th,2 1/2 l,7,11-4t1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Hudson Duster (IRE),N. J. Ryan,7,Noel Meade,7th,3/4 l,5,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Le Sin Bin (IRE),C. Smithers,7,William O'Doherty,6th,5 l,6,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Kadys Dirha (IRE),Gavin Peter Brouder,5,Thomas P. O'Connor,5th,3 1/2 l,6,10-11b,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Workforadime (IRE),Phillip Enright,0,Charles Byrnes,4th,2 1/2 l,5,10-11,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Zettabyte (IRE),C. P. Millar,7,Gordon Elliott,3rd,10 l,6,11-4,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,Misty's Gift (IRE),Denis O'Regan,0,David Harry Kelly,2nd,7 l,7,11-12tp1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:00,N/A,17:00,Good,2m 6f 92y,An Mhi (IRE),Keith Donoghue,0,Gordon Elliott,1st,N/A,6,11-4t1,-,True,57,2
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Tucson Train (IRE),Jack Foley,0,Thomas Mullins,16th,24 l,8,10-2,115,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Papal Lodge (IRE),D. E. Mullins,0,Peter Fahey,15th,6 l,7,10-7b,120,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Dollar Value (USA),D. J. O'Keeffe,0,T. G. McCourt,14th,7 l,8,11-5,132,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Merlin Giant (FR),Donagh Meyler,0,Emmet Mullins,13th,27 l,6,11-12,139,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,The Little Yank (IRE),Liam Quinlan,5,John Patrick Ryan,12th,7 1/2 l,8,10-10,123,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Ambitious Fellow (IRE),Sean Flanagan,0,Peter Fahey,11th,13 l,7,11-6,133,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Lady Rita (IRE),Rachael Blackmore,0,Louise G. Lyons,10th,7 1/2 l,7,10-1,114,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Run For Pat (IRE),Corey McGivern,7,Gordon Elliott,9th,1 l,6,10-3b,116,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Troubled Times (IRE),Phillip Enright,0,S. Curling,8th,4 1/4 l,7,10-5t,118,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Purple Mountain (IRE),B. Hayes,0,John Joseph Hanlon,7th,1 1/4 l,8,10-10,123,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Gold Speed (FR),Denis O'Regan,0,Adrian Murray,6th,1 3/4 l,10,10-4h,117,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Prince Zaltar (FR),Patrick O'Hanlon,5,P. J. Rothwell,5th,1/2 l,6,10-2,115,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Fruit Blossom (IRE),D. J. Gilligan,7,Gordon Elliott,4th,1 1/4 l,7,10-0p,113,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,A Great View (IRE),C. G. O'Dwyer,5,Denis W. Cullen,3rd,1/2 l,12,10-3p,116,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Power of Pause (IRE),P. Townend,0,W. P. Mullins,2nd,3 1/4 l,8,11-4,131,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Lunar Power (IRE),N. J. Ryan,7,Noel Meade,1st,N/A,5,11-2b,129,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Tucson Train (IRE),Jack Foley,0,Thomas Mullins,16th,24 l,8,10-2,115,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Papal Lodge (IRE),D. E. Mullins,0,Peter Fahey,15th,6 l,7,10-7b,120,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Dollar Value (USA),D. J. O'Keeffe,0,T. G. McCourt,14th,7 l,8,11-5,132,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Merlin Giant (FR),Donagh Meyler,0,Emmet Mullins,13th,27 l,6,11-12,139,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,The Little Yank (IRE),Liam Quinlan,5,John Patrick Ryan,12th,7 1/2 l,8,10-10,123,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Ambitious Fellow (IRE),Sean Flanagan,0,Peter Fahey,11th,13 l,7,11-6,133,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Lady Rita (IRE),Rachael Blackmore,0,Louise G. Lyons,10th,7 1/2 l,7,10-1,114,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Run For Pat (IRE),Corey McGivern,7,Gordon Elliott,9th,1 l,6,10-3b,116,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Troubled Times (IRE),Phillip Enright,0,S. Curling,8th,4 1/4 l,7,10-5t,118,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Purple Mountain (IRE),B. Hayes,0,John Joseph Hanlon,7th,1 1/4 l,8,10-10,123,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Gold Speed (FR),Denis O'Regan,0,Adrian Murray,6th,1 3/4 l,10,10-4h,117,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Prince Zaltar (FR),Patrick O'Hanlon,5,P. J. Rothwell,5th,1/2 l,6,10-2,115,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Fruit Blossom (IRE),D. J. Gilligan,7,Gordon Elliott,4th,1 1/4 l,7,10-0p,113,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,A Great View (IRE),C. G. O'Dwyer,5,Denis W. Cullen,3rd,1/2 l,12,10-3p,116,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Power of Pause (IRE),P. Townend,0,W. P. Mullins,2nd,3 1/4 l,8,11-4,131,True,57,3
Ballinrobe Racing Results | 29th May 2023 17:30,N/A,17:30,Good,2m 6f 92y,Lunar Power (IRE),N. J. Ryan,7,Noel Meade,1st,N/A,5,11-2b,129,True,57,3
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Too Bright (IRE),Sean Flanagan,0,Noel Meade,F,N/A,5,11-12,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Typical Thomas (IRE),P. T. Smithers,7,James Andrew Fahey,7th,20 l,6,11-12,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Hamundarson (IRE),Keith Donoghue,0,Gordon Elliott,6th,12 l,8,11-12t,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Winter Fog (IRE),B. Hayes,0,W. P. Mullins,5th,4 3/4 l,9,11-12,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Lieutenant Highway (IRE),Donagh Meyler,0,Gordon Elliott,4th,Neck,6,11-12,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Prairie Dancer (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,3rd,9 1/2 l,5,11-12p,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Ballyadam (IRE),Rachael Blackmore,0,Henry de Bromhead,2nd,13 l,8,11-12t,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Hercule Du Seuil (FR),J. S. McGarvey,0,W. P. Mullins,1st,N/A,6,11-12ht,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Too Bright (IRE),Sean Flanagan,0,Noel Meade,F,N/A,5,11-12,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Typical Thomas (IRE),P. T. Smithers,7,James Andrew Fahey,7th,20 l,6,11-12,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Hamundarson (IRE),Keith Donoghue,0,Gordon Elliott,6th,12 l,8,11-12t,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Winter Fog (IRE),B. Hayes,0,W. P. Mullins,5th,4 3/4 l,9,11-12,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Lieutenant Highway (IRE),Donagh Meyler,0,Gordon Elliott,4th,Neck,6,11-12,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Prairie Dancer (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,3rd,9 1/2 l,5,11-12p,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Ballyadam (IRE),Rachael Blackmore,0,Henry de Bromhead,2nd,13 l,8,11-12t,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:00,N/A,18:00,Good,2m 1f,Hercule Du Seuil (FR),J. S. McGarvey,0,W. P. Mullins,1st,N/A,6,11-12ht,-,True,57,4
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Peregrine Run (IRE),Mr R. James,7,Peter Fahey,PU,N/A,13,11-12b,144,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Waitnsee (IRE),M. M. McDonagh,5,John Patrick Ryan,PU,N/A,9,10-5,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Aldo The Apache (IRE),B. Hayes,0,Colm A. Murphy,PU,N/A,7,10-5t,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,History Of Fashion (IRE),Phillip Enright,0,P. A. Fahy,PU,N/A,9,10-5,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Donkey Years (IRE),C. P. McNamara,0,Eric McNamara,11th,3 1/2 l,9,11-0tp,132,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,The Dara Man (IRE),D. E. Mullins,0,John Patrick Ryan,10th,4 1/4 l,8,10-5,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,The Flier Begley (IRE),J. J. Slevin,0,Stuart Crawford,9th,1 l,8,10-10,128,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Walking On Glass (IRE),P. T. Smithers,7,Padraig Roche,8th,48 l,8,11-0p,132,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Ilikedwayurthinkin (IRE),K. E. Buckley,3,Gavin Patrick Cromwell,7th,17 l,9,11-2b,134,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Snugsborough Benny (IRE),Denis O'Regan,0,J. P. Broderick,6th,1 1/4 l,13,10-5p,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Hallowed Star (IRE),Donagh Meyler,0,John Joseph Hanlon,5th,1/2 l,8,11-3,135,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Fairyhill Run (IRE),Liam Quinlan,5,John Patrick Ryan,4th,Neck,8,10-13,131,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Life In The Park (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,6 1/2 l,6,11-6,138,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Sole Pretender (IRE),D. J. O'Keeffe,0,Norman Lee,2nd,1 3/4 l,9,11-11h,143,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Tullybeg (IRE),D. J. Gilligan,7,Gordon Elliott,1st,N/A,8,11-1t,133,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Peregrine Run (IRE),Mr R. James,7,Peter Fahey,PU,N/A,13,11-12b,144,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Waitnsee (IRE),M. M. McDonagh,5,John Patrick Ryan,PU,N/A,9,10-5,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Aldo The Apache (IRE),B. Hayes,0,Colm A. Murphy,PU,N/A,7,10-5t,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,History Of Fashion (IRE),Phillip Enright,0,P. A. Fahy,PU,N/A,9,10-5,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Donkey Years (IRE),C. P. McNamara,0,Eric McNamara,11th,3 1/2 l,9,11-0tp,132,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,The Dara Man (IRE),D. E. Mullins,0,John Patrick Ryan,10th,4 1/4 l,8,10-5,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,The Flier Begley (IRE),J. J. Slevin,0,Stuart Crawford,9th,1 l,8,10-10,128,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Walking On Glass (IRE),P. T. Smithers,7,Padraig Roche,8th,48 l,8,11-0p,132,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Ilikedwayurthinkin (IRE),K. E. Buckley,3,Gavin Patrick Cromwell,7th,17 l,9,11-2b,134,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Snugsborough Benny (IRE),Denis O'Regan,0,J. P. Broderick,6th,1 1/4 l,13,10-5p,123,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Hallowed Star (IRE),Donagh Meyler,0,John Joseph Hanlon,5th,1/2 l,8,11-3,135,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Fairyhill Run (IRE),Liam Quinlan,5,John Patrick Ryan,4th,Neck,8,10-13,131,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Life In The Park (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,6 1/2 l,6,11-6,138,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Sole Pretender (IRE),D. J. O'Keeffe,0,Norman Lee,2nd,1 3/4 l,9,11-11h,143,True,57,5
Ballinrobe Racing Results | 29th May 2023 18:30,N/A,18:30,Good,2m 7f,Tullybeg (IRE),D. J. Gilligan,7,Gordon Elliott,1st,N/A,8,11-1t,133,True,57,5
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Midnight Maestro (USA),T. Joseph Kelly,7,Enda Bolger,8th,15 l,11,10-8b,112,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Cusp of Carabelli (IRE),Sean Flanagan,0,David M. O'Brien,7th,14 l,10,10-8,112,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,The Echo Boy (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,6th,29 l,10,11-13t,131,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Bay Ambition (IRE),B. W. Harvey,5,Gavin Patrick Cromwell,5th,1 3/4 l,10,10-9p,113,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Charlie Stout (IRE),Kieran Callaghan,7,Shane Nolan,4th,9 l,12,11-1t,119,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Nobody Home (IRE),D. J. O'Keeffe,0,Edward Cawley,3rd,1/2 l,13,10-0p,104,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Pakens Rock (IRE),Phillip Enright,0,Barry T. Murphy,2nd,6 l,10,11-0,118,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Whatsafellatodo (IRE),J. J. Slevin,0,Richard James Daniels,1st,N/A,10,10-1,105,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Midnight Maestro (USA),T. Joseph Kelly,7,Enda Bolger,8th,15 l,11,10-8b,112,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Cusp of Carabelli (IRE),Sean Flanagan,0,David M. O'Brien,7th,14 l,10,10-8,112,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,The Echo Boy (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,6th,29 l,10,11-13t,131,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Bay Ambition (IRE),B. W. Harvey,5,Gavin Patrick Cromwell,5th,1 3/4 l,10,10-9p,113,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Charlie Stout (IRE),Kieran Callaghan,7,Shane Nolan,4th,9 l,12,11-1t,119,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Nobody Home (IRE),D. J. O'Keeffe,0,Edward Cawley,3rd,1/2 l,13,10-0p,104,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Pakens Rock (IRE),Phillip Enright,0,Barry T. Murphy,2nd,6 l,10,11-0,118,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:00,N/A,19:00,Good,2m 3f 100y,Whatsafellatodo (IRE),J. J. Slevin,0,Richard James Daniels,1st,N/A,10,10-1,105,True,57,6
Ballinrobe Racing Results | 29th May 2023 19:30,N/A,19:30,Good,2m 108y,Royal Noble (IRE),Mr Finian Maguire,0,Thomas Coyle,11th,13 l,4,11-10,-,True,57,7
Ballinrobe Racing Results | 29th May 2023 19:30,N/A,19:30,Good,2m 108y,Jacenry (FR),Mr A. Harvey,7,D. Harvey,10th,14 l,4,11-10,-,True,57,7
Ballinrobe Racing Results | 29th May 2023 19:30,N/A,19:30,Good,2m 108y,Alittlebitofrita (IRE),Mr D. M. Russell,7,M. Hourigan,9th,12 l,4,11-3,-,True,57,7
Ballinrobe Racing Results | 29th May 2023 19:30,N/A,19:30,Good,2m 108y,Orpington (IRE),Mr R. W. Barron,7,Enda Bolger,8th,14 l,4,11-10,-,True,57,7
Ballinrobe Racing Results | 29th May 2023 19:30,N/A,19:30,Good,2m 108y,Yorkshire Escape (IRE),Mr H. C. Swan,5,Gordon Elliott,7th,4 3/4 l,4,11-3,-,True,57,7
Ballinrobe Racing Results | 29th May 2023 19:30,N/A,19:30,Good,2m 108y,Paddy Elvis (IRE),Mr S. Connor,7,Stuart Crawford,6th,6 1/2 l,4,11-10,-,True,57,7
