track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,15:15,Yielding To Soft,7f 205y,Rhythm King (IRE),J Pietropaolo,7,M Fahey,NR,N/A,4,9-10,68,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Givemehoperosa (IRE),R M Mulligan,2,J Davison,7th,7 1/2 l,4,9-8,66,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Lust (IRE),S P Bird,2,M Mulvany,6th,1/2 l,6,9-13t,71,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Proleek Prince (IRE),S Coen,4,M Rice,5th,Head,4,10-0,72,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Polar Bear (IRE),K G Kennedy,0,Mrs J Harrington,4th,2 l,4,9-10v,68,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,The Bog Bank (IRE),Alyse Jane Clarke,4,T G McCourt,3rd,1 1/2 l,7,9-9tp,67,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Copie Conforme (IRE),J Cleary,0,K Prendergast,2nd,3 3/4 l,3,10-0,74,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Mile End,D S O'Sullivan,2,Ciaran Murphy,1st,N/A,4,9-12b,70,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Rhythm King (IRE),J Pietropaolo,7,M Fahey,NR,N/A,4,9-10,68,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Givemehoperosa (IRE),R M Mulligan,2,J Davison,7th,7 1/2 l,4,9-8,66,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Lust (IRE),S P Bird,2,M Mulvany,6th,1/2 l,6,9-13t,71,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Proleek Prince (IRE),S Coen,4,M Rice,5th,Head,4,10-0,72,True,143,1
N/A,N/A,15:15,Yielding To Soft,7f 205y,Polar Bear (IRE),K G Kennedy,0,Mrs J Harrington,4th,2 l,4,9-10v,68,True,143,1
