track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Ciao Adios (IRE),K J Leonard,0,D Hogan,9th,Head,5,9-0b,47,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Burvea (IRE),R Whearty,5,D Broad,8th,Head,4,9-11,59,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Prince Of Abington (IRE),J J G Ryan,5,Miss Jennifer Anne Lynch,7th,Neck,6,9-3,50,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Darkened (IRE),P A Harnett,5,D Hogan,6th,1/2 l,8,10-0tb,61,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Nevada Brave (IRE),N M Crosse,0,L Comer,5th,Short Head,6,9-0,47,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Arctic Blaze (IRE),K G Kennedy,7,J C McConnell,4th,1/2 l,8,9-11,58,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Lucky Question,R P Cleary,0,S Lavery,3rd,1 3/4 l,4,8-13p,47,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Don't Look Now (IRE),R C Colgan,0,L Comer,2nd,Head,4,9-5p,53,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Moondharrig (IRE),W Joyce,5,E Doyle,1st,N/A,4,9-2tb1,50,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Ayrton (FR),G P Halpin,0,T J O'Mara,14th,4 1/2 l,5,9-8p,55,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Minella Butterfly,C J MacRedmond,5,J Nallen,13th,Neck,4,9-1,49,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Kartayaz (IRE),C D Fahy,10,J C McConnell,12th,2 l,7,9-4,51,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Benz (IRE),S B Kelly,0,R K Watson,11th,1 1/2 l,6,9-0b1,47,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Flag High (IRE),Siobhan Rutledge,3,J C McConnell,10th,1 l,5,9-0ht,47,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Ciao Adios (IRE),K J Leonard,0,D Hogan,9th,Head,5,9-0b,47,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Burvea (IRE),R Whearty,5,D Broad,8th,Head,4,9-11,59,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Prince Of Abington (IRE),J J G Ryan,5,Miss Jennifer Anne Lynch,7th,Neck,6,9-3,50,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Darkened (IRE),P A Harnett,5,D Hogan,6th,1/2 l,8,10-0tb,61,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Nevada Brave (IRE),N M Crosse,0,L Comer,5th,Short Head,6,9-0,47,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Arctic Blaze (IRE),K G Kennedy,7,J C McConnell,4th,1/2 l,8,9-11,58,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Lucky Question,R P Cleary,0,S Lavery,3rd,1 3/4 l,4,8-13p,47,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Don't Look Now (IRE),R C Colgan,0,L Comer,2nd,Head,4,9-5p,53,True,98,37
Dundalk Racing Results | 16th January 2024 14:15,N/A,14:15,Standard,1m 2f 150y,Moondharrig (IRE),W Joyce,5,E Doyle,1st,N/A,4,9-2tb1,50,True,98,37
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Phil's Dream (IRE),H J Horgan,2,J C McConnell,11th,2 3/4 l,4,9-0tv1,54,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Arthur's Victory (IRE),J J G Ryan,0,J Nash,10th,1/2 l,6,9-8p,62,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Cyber Attack (IRE),R Whearty,0,G P Cromwell,9th,1 1/4 l,4,9-12,66,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Wrecking Ball Paul (IRE),C M Hogan,7,Paul Mulligan,8th,2 3/4 l,6,10-0,68,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Rhodesia (IRE),P A Harnett,0,N Lupini,7th,4 1/4 l,4,9-10,64,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Comfort Line (IRE),C J MacRedmond,0,A McGuinness,6th,2 l,7,9-13v,67,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Doctor Grace (IRE),R M Mulligan,7,M Halford & T Collins,5th,Neck,4,9-10b,64,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Rio Largo (IRE),O McSweeney,0,L Comer,4th,2 l,4,10-0,68,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Superior Force,J Coen,0,A Murray,3rd,1 l,5,10-2,70,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Ha Long Bay (IRE),W Joyce,0,R P Burns,2nd,4 1/2 l,5,8-8,48,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Old Peculier,K G Kennedy,7,M Fahey,1st,N/A,5,10-5b,73,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Phil's Dream (IRE),H J Horgan,2,J C McConnell,11th,2 3/4 l,4,9-0tv1,54,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Arthur's Victory (IRE),J J G Ryan,0,J Nash,10th,1/2 l,6,9-8p,62,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Cyber Attack (IRE),R Whearty,0,G P Cromwell,9th,1 1/4 l,4,9-12,66,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Wrecking Ball Paul (IRE),C M Hogan,7,Paul Mulligan,8th,2 3/4 l,6,10-0,68,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Rhodesia (IRE),P A Harnett,0,N Lupini,7th,4 1/4 l,4,9-10,64,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Comfort Line (IRE),C J MacRedmond,0,A McGuinness,6th,2 l,7,9-13v,67,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Doctor Grace (IRE),R M Mulligan,7,M Halford & T Collins,5th,Neck,4,9-10b,64,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Rio Largo (IRE),O McSweeney,0,L Comer,4th,2 l,4,10-0,68,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Superior Force,J Coen,0,A Murray,3rd,1 l,5,10-2,70,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Ha Long Bay (IRE),W Joyce,0,R P Burns,2nd,4 1/2 l,5,8-8,48,True,98,38
Dundalk Racing Results | 16th January 2024 14:50,N/A,14:50,Standard,1m,Old Peculier,K G Kennedy,7,M Fahey,1st,N/A,5,10-5b,73,True,98,38
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Guest Star,R Whearty,5,D Bunyan & G O'Leary,7th,2 1/2 l,3,9-4b,57,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Amerigo Vespucci (IRE),J J G Ryan,5,M O'Callaghan,6th,1 1/4 l,3,8-9ht,48,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Relentless Flyer (IRE),N M Crosse,0,E & P Harty,5th,2 l,3,9-2b,55,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Signor Ferrari (IRE),H J Horgan,7,J Feane,4th,1 1/4 l,3,9-12,65,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Gregorina (IRE),C J MacRedmond,5,A McGuinness,3rd,Neck,3,9-4v,57,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Mary Bagot (IRE),N G McCullagh,0,M Halford & T Collins,2nd,1/2 l,3,9-5,58,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Aisling Oscar (IRE),D E Sheehy,3,Craig O'Neill,1st,N/A,3,8-8,47,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Guest Star,R Whearty,5,D Bunyan & G O'Leary,7th,2 1/2 l,3,9-4b,57,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Amerigo Vespucci (IRE),J J G Ryan,5,M O'Callaghan,6th,1 1/4 l,3,8-9ht,48,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Relentless Flyer (IRE),N M Crosse,0,E & P Harty,5th,2 l,3,9-2b,55,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Signor Ferrari (IRE),H J Horgan,7,J Feane,4th,1 1/4 l,3,9-12,65,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Gregorina (IRE),C J MacRedmond,5,A McGuinness,3rd,Neck,3,9-4v,57,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Mary Bagot (IRE),N G McCullagh,0,M Halford & T Collins,2nd,1/2 l,3,9-5,58,True,98,39
Dundalk Racing Results | 16th January 2024 15:25,N/A,15:25,Standard,1m,Aisling Oscar (IRE),D E Sheehy,3,Craig O'Neill,1st,N/A,3,8-8,47,True,98,39
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Santa Fe (IRE),K J Leonard,0,C O'Brien,NR,N/A,4,9-0t,48,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Dawn Noir (IRE),N G McCullagh,0,N G Hynds,14th,8 1/2 l,6,9-8t,56,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Un Bacio Ancora (IRE),G P Halpin,0,P J F Murphy,13th,1 l,5,9-13t,61,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Silver Nemo (IRE),Siobhan Rutledge,3,L Smyth,12th,3/4 l,6,8-13t,47,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Maggie Thunder (IRE),W Joyce,5,G Hassett,11th,Neck,8,8-13p,47,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Empress Of Bough (IRE),R P Cleary,0,A McCann,10th,1 3/4 l,5,9-3,51,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Poet's Pride,N M Crosse,0,D Marnane,9th,Neck,9,9-0,48,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Kuwait Direction (IRE),R Whearty,5,K H Clarke,8th,Head,7,8-13,47,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Millieblue (IRE),C J MacRedmond,5,N Slevin,7th,Short Head,4,9-2p,50,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Hezahunk (IRE),C M Hogan,7,A McGuinness,6th,3/4 l,5,9-10v,58,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Rebecca's Girl (IRE),S T McCullagh,3,A Kinirons,5th,Short Head,4,10-1,63,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Theriverrunsdeep (IRE),J J G Ryan,5,S G O'Donnell,4th,3/4 l,8,9-10p,58,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Below Deck (IRE),O McSweeney,5,L Comer,3rd,Short Head,4,9-1p1,49,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Irish Rumour (IRE),R C Colgan,0,Miss Jennifer Anne Lynch,2nd,3/4 l,4,10-0,62,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Havana Notion,H J Horgan,7,J Feane,1st,N/A,4,9-8,56,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Santa Fe (IRE),K J Leonard,0,C O'Brien,NR,N/A,4,9-0t,48,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Dawn Noir (IRE),N G McCullagh,0,N G Hynds,14th,8 1/2 l,6,9-8t,56,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Un Bacio Ancora (IRE),G P Halpin,0,P J F Murphy,13th,1 l,5,9-13t,61,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Silver Nemo (IRE),Siobhan Rutledge,3,L Smyth,12th,3/4 l,6,8-13t,47,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Maggie Thunder (IRE),W Joyce,5,G Hassett,11th,Neck,8,8-13p,47,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Empress Of Bough (IRE),R P Cleary,0,A McCann,10th,1 3/4 l,5,9-3,51,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Poet's Pride,N M Crosse,0,D Marnane,9th,Neck,9,9-0,48,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Kuwait Direction (IRE),R Whearty,5,K H Clarke,8th,Head,7,8-13,47,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Millieblue (IRE),C J MacRedmond,5,N Slevin,7th,Short Head,4,9-2p,50,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Hezahunk (IRE),C M Hogan,7,A McGuinness,6th,3/4 l,5,9-10v,58,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Rebecca's Girl (IRE),S T McCullagh,3,A Kinirons,5th,Short Head,4,10-1,63,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Theriverrunsdeep (IRE),J J G Ryan,5,S G O'Donnell,4th,3/4 l,8,9-10p,58,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Below Deck (IRE),O McSweeney,5,L Comer,3rd,Short Head,4,9-1p1,49,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Irish Rumour (IRE),R C Colgan,0,Miss Jennifer Anne Lynch,2nd,3/4 l,4,10-0,62,True,98,40
Dundalk Racing Results | 16th January 2024 16:00,N/A,16:00,Standard,6f,Havana Notion,H J Horgan,7,J Feane,1st,N/A,4,9-8,56,True,98,40
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Coco Hill (IRE),Siobhan Rutledge,3,J C McConnell,NR,N/A,4,8-13,47,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Invincible Larne (IRE),R C Colgan,0,E McNamara,14th,4 1/2 l,8,9-10t1,58,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Iur Cinn Tra (IRE),R Whearty,5,P Downey,13th,3 l,5,9-10t,58,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Zig Zag Zyggy (IRE),C J MacRedmond,5,A McGuinness,12th,1 3/4 l,9,8-13v,47,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,The Fog Horn (IRE),J J G Ryan,5,S G O'Donnell,11th,Neck,4,9-6p,54,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,American In Paris (IRE),P A Harnett,5,D Hogan,10th,Head,4,9-11p,59,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Tynan (IRE),S B Kelly,0,R K Watson,9th,3/4 l,6,8-13tp,47,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Haalim,C D Maxwell,0,A McCann,8th,3 l,4,9-0h1,48,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,My Girl Sioux (IRE),C Horgan,7,A Slattery,7th,Neck,4,9-0,48,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Princess Plumeria (IRE),R P Cleary,0,T Cleary,6th,3/4 l,6,8-13t,47,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Maid To Shine (IRE),D W O'Connor,0,G Hassett,5th,Neck,5,10-2,64,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Gegenpressing,N M Crosse,0,E & P Harty,4th,2 1/2 l,6,9-2,50,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Jazzy Dancer (IRE),D E Sheehy,3,W J Martin,3rd,1 l,6,9-11b,59,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,No Speed Limit (FR),K J Leonard,0,P J McKenna,2nd,Head,9,9-10v,58,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,James Henry (IRE),S T McCullagh,3,L Breen,1st,N/A,5,10-2b,64,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Coco Hill (IRE),Siobhan Rutledge,3,J C McConnell,NR,N/A,4,8-13,47,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Invincible Larne (IRE),R C Colgan,0,E McNamara,14th,4 1/2 l,8,9-10t1,58,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Iur Cinn Tra (IRE),R Whearty,5,P Downey,13th,3 l,5,9-10t,58,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Zig Zag Zyggy (IRE),C J MacRedmond,5,A McGuinness,12th,1 3/4 l,9,8-13v,47,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,The Fog Horn (IRE),J J G Ryan,5,S G O'Donnell,11th,Neck,4,9-6p,54,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,American In Paris (IRE),P A Harnett,5,D Hogan,10th,Head,4,9-11p,59,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Tynan (IRE),S B Kelly,0,R K Watson,9th,3/4 l,6,8-13tp,47,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Haalim,C D Maxwell,0,A McCann,8th,3 l,4,9-0h1,48,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,My Girl Sioux (IRE),C Horgan,7,A Slattery,7th,Neck,4,9-0,48,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Princess Plumeria (IRE),R P Cleary,0,T Cleary,6th,3/4 l,6,8-13t,47,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Maid To Shine (IRE),D W O'Connor,0,G Hassett,5th,Neck,5,10-2,64,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Gegenpressing,N M Crosse,0,E & P Harty,4th,2 1/2 l,6,9-2,50,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,Jazzy Dancer (IRE),D E Sheehy,3,W J Martin,3rd,1 l,6,9-11b,59,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,No Speed Limit (FR),K J Leonard,0,P J McKenna,2nd,Head,9,9-10v,58,True,98,41
Dundalk Racing Results | 16th January 2024 16:35,N/A,16:35,Standard,6f,James Henry (IRE),S T McCullagh,3,L Breen,1st,N/A,5,10-2b,64,True,98,41
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Ecoutez Bien (IRE),N M Crosse,0,J P O'Brien,10th,3 1/4 l,3,9-0,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Go Girl Go (IRE),R P Cleary,0,A Murray,9th,Neck,3,9-0,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Posh Maisie (IRE),D E Sheehy,3,J P Murtagh,8th,3/4 l,3,9-0t1,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Puturhandstogether (IRE),G P Halpin,0,J P O'Brien,7th,1/2 l,3,9-5,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Coulstar (IRE),S B Kelly,0,J P Murtagh,6th,1/2 l,3,9-0,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Ohailbhic (IRE),R Whearty,5,J Feane,5th,1 1/4 l,3,9-5,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Tarsus (IRE),C Horgan,7,A Slattery,4th,Short Head,3,9-8t,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Manhattan Dreamer (USA),J J G Ryan,5,A Murray,3rd,Neck,3,9-0,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Mint Man,O McSweeney,5,P J F Murphy,2nd,Neck,3,9-5,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Perfect Judgement (IRE),C J MacRedmond,5,A McGuinness,1st,N/A,3,9-5,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Ecoutez Bien (IRE),N M Crosse,0,J P O'Brien,10th,3 1/4 l,3,9-0,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Go Girl Go (IRE),R P Cleary,0,A Murray,9th,Neck,3,9-0,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Posh Maisie (IRE),D E Sheehy,3,J P Murtagh,8th,3/4 l,3,9-0t1,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Puturhandstogether (IRE),G P Halpin,0,J P O'Brien,7th,1/2 l,3,9-5,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Coulstar (IRE),S B Kelly,0,J P Murtagh,6th,1/2 l,3,9-0,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Ohailbhic (IRE),R Whearty,5,J Feane,5th,1 1/4 l,3,9-5,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Tarsus (IRE),C Horgan,7,A Slattery,4th,Short Head,3,9-8t,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Manhattan Dreamer (USA),J J G Ryan,5,A Murray,3rd,Neck,3,9-0,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Mint Man,O McSweeney,5,P J F Murphy,2nd,Neck,3,9-5,-,True,98,42
Dundalk Racing Results | 16th January 2024 17:10,N/A,17:10,Standard,6f,Perfect Judgement (IRE),C J MacRedmond,5,A McGuinness,1st,N/A,3,9-5,-,True,98,42
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Belle Fourche (IRE),R P Cleary,0,A McCann,13th,9 1/2 l,5,8-10tb,67,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Livingston Range (IRE),K G Kennedy,7,L Breen,12th,4 3/4 l,6,9-2tb,73,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Coolcalmncollected,Siobhan Rutledge,3,Ciaran Murphy,11th,1 1/4 l,4,8-12,69,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Distillate,J A Powell,3,A McGuinness,10th,1 3/4 l,4,9-1t,72,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Marsa (IRE),C D Hayes,0,E Lynam,9th,1 l,5,9-5,76,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Rough Diamond (IRE),Sorcha Woods,7,E Lynam,8th,3/4 l,7,10-0,85,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Dontspoilasale (IRE),J A Heffernan,0,N Lupini,7th,2 3/4 l,4,9-12,83,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Ostraka (IRE),R P Whelan,0,M Halford & T Collins,6th,Neck,4,9-4b,75,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Collective Power (IRE),D P McDonogh,0,E Lynam,5th,Neck,6,9-11,82,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Musical Tribute,R Whearty,5,K H Clarke,4th,Head,4,9-7b,78,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Prisoner's Dilemma,D W O'Connor,0,J F Levins,3rd,Head,8,9-10p,81,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Inishmot Prince (IRE),J J G Ryan,5,T G McCourt,2nd,3/4 l,6,9-11v,82,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Dream Today (IRE),C J MacRedmond,5,A McGuinness,1st,N/A,9,9-12tp,83,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Belle Fourche (IRE),R P Cleary,0,A McCann,13th,9 1/2 l,5,8-10tb,67,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Livingston Range (IRE),K G Kennedy,7,L Breen,12th,4 3/4 l,6,9-2tb,73,True,98,43
Dundalk Racing Results | 19th January 2024 16:00,N/A,16:00,Standard,6f,Coolcalmncollected,Siobhan Rutledge,3,Ciaran Murphy,11th,1 1/4 l,4,8-12,69,True,98,43
