track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Poets Cottage (IRE),B. J. Cooper,0,Noel Meade,UR,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Charlie Luciano (IRE),N. J. Ryan,7,Noel Meade,UR,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Dromore Glory (IRE),L. P. Dempsey,0,Paul W. Flynn,PU,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Dodie Baby (IRE),Donagh Meyler,0,Donal Commins,PU,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Kodis Well (IRE),G. B. Noonan,7,Martin Gerard McGuane,8th,22 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Vintage Release (IRE),K. C. Sexton,0,E. Sheehy,7th,1 1/4 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Apache Hammy (IRE),R. J. Condon,7,W. J. Lanigan,6th,12 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Gold Lunula (IRE),Phillip Enright,0,Mark McNiff,5th,22 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Adhuil (IRE),S. D. Torrens,0,Aidan Anthony Howard,4th,1 1/2 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Chargo,J. W. Kennedy,0,Gordon Elliott,3rd,7 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Mr Globalist (IRE),J. P. O'Sullivan,5,P. J. Rothwell,2nd,1 1/4 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Tory Reel (IRE),Patrick O'Hanlon,5,Andrew McNamara,1st,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Poets Cottage (IRE),B. J. Cooper,0,Noel Meade,UR,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Charlie Luciano (IRE),N. J. Ryan,7,Noel Meade,UR,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Dromore Glory (IRE),L. P. Dempsey,0,Paul W. Flynn,PU,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Dodie Baby (IRE),Donagh Meyler,0,Donal Commins,PU,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Kodis Well (IRE),G. B. Noonan,7,Martin Gerard McGuane,8th,22 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Vintage Release (IRE),K. C. Sexton,0,E. Sheehy,7th,1 1/4 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Apache Hammy (IRE),R. J. Condon,7,W. J. Lanigan,6th,12 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Gold Lunula (IRE),Phillip Enright,0,Mark McNiff,5th,22 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Adhuil (IRE),S. D. Torrens,0,Aidan Anthony Howard,4th,1 1/2 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Chargo,J. W. Kennedy,0,Gordon Elliott,3rd,7 l,3,10-5,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Mr Globalist (IRE),J. P. O'Sullivan,5,P. J. Rothwell,2nd,1 1/4 l,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:00,N/A,17:00,Good To Yielding,2m,Tory Reel (IRE),Patrick O'Hanlon,5,Andrew McNamara,1st,N/A,3,10-12,-,True,6,1
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Capture the Action (IRE),S. Fitzgerald,3,James Joseph Mangan,PU,N/A,9,11-7b,102,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Prince of Peace (IRE),S. F. O'Keeffe,0,W. J. Lanigan,PU,N/A,4,10-3,89,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Movie King (IRE),Peter Carberry,0,A. J. Martin,15th,6 l,5,10-7,88,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Ricky Bobby (IRE),A. M. McCurtin,3,John J. Walsh,14th,9 l,7,12-0,109,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Malbas,B. Hayes,0,John McConnell,13th,1 1/4 l,6,11-10t,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Rips Dream (IRE),G. B. Noonan,0,Patrick J. Flynn,12th,2 3/4 l,7,11-10,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Jakie Mac (IRE),D. King,7,Damian Murphy,11th,3 3/4 l,6,11-3h,98,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Gold Creek (IRE),M. M. McDonagh,5,Aengus King,10th,Neck,8,10-10p,91,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Mastermind (IRE),E. Walsh,5,Charles O'Brien,9th,3/4 l,8,11-4,99,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Double Talkin Jive (IRE),P. Townend,0,W. P. Mullins,8th,1/2 l,7,11-9ht,104,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Jakes Dream (IRE),R. J. Condon,7,Michael Winters,7th,1 1/2 l,7,11-8,103,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Lizlucky (IRE),Phillip Enright,0,Patrick T. Foley,6th,1 1/2 l,8,11-3t,98,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Kalnoo (IRE),Richard Deegan,0,S. Curling,5th,5 l,5,10-10p1,91,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Dixon Line,S. O'Callaghan,7,Adrian Sexton,4th,1 l,4,11-0,100,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,General Clermont (FR),D. E. Mullins,0,D. E. Fitzgerald,3rd,5 l,6,11-7,102,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Listentillitellyea (IRE),D. J. O'Keeffe,0,T. Gibney,2nd,12 l,6,11-10,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Delightfantastic (IRE),Mr H. C. Swan,7,John J. Walsh,1st,N/A,7,11-1t,96,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Capture the Action (IRE),S. Fitzgerald,3,James Joseph Mangan,PU,N/A,9,11-7b,102,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Prince of Peace (IRE),S. F. O'Keeffe,0,W. J. Lanigan,PU,N/A,4,10-3,89,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Movie King (IRE),Peter Carberry,0,A. J. Martin,15th,6 l,5,10-7,88,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Ricky Bobby (IRE),A. M. McCurtin,3,John J. Walsh,14th,9 l,7,12-0,109,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Malbas,B. Hayes,0,John McConnell,13th,1 1/4 l,6,11-10t,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Rips Dream (IRE),G. B. Noonan,0,Patrick J. Flynn,12th,2 3/4 l,7,11-10,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Jakie Mac (IRE),D. King,7,Damian Murphy,11th,3 3/4 l,6,11-3h,98,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Gold Creek (IRE),M. M. McDonagh,5,Aengus King,10th,Neck,8,10-10p,91,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Mastermind (IRE),E. Walsh,5,Charles O'Brien,9th,3/4 l,8,11-4,99,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Double Talkin Jive (IRE),P. Townend,0,W. P. Mullins,8th,1/2 l,7,11-9ht,104,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Jakes Dream (IRE),R. J. Condon,7,Michael Winters,7th,1 1/2 l,7,11-8,103,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Lizlucky (IRE),Phillip Enright,0,Patrick T. Foley,6th,1 1/2 l,8,11-3t,98,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Kalnoo (IRE),Richard Deegan,0,S. Curling,5th,5 l,5,10-10p1,91,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Dixon Line,S. O'Callaghan,7,Adrian Sexton,4th,1 l,4,11-0,100,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,General Clermont (FR),D. E. Mullins,0,D. E. Fitzgerald,3rd,5 l,6,11-7,102,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Listentillitellyea (IRE),D. J. O'Keeffe,0,T. Gibney,2nd,12 l,6,11-10,105,True,6,2
Tipperary Racing Results | 30th June 2022 17:35,N/A,17:35,Good To Yielding,2m,Delightfantastic (IRE),Mr H. C. Swan,7,John J. Walsh,1st,N/A,7,11-1t,96,True,6,2
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Celestial Horizon (IRE),L. P. Dempsey,0,Joseph Patrick O'Brien,PU,N/A,4,10-10,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Lunar Display (IRE),D. J. McInerney,0,Joseph Patrick O'Brien,10th,8 1/2 l,6,11-1t1,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Francois (FR),Donagh Meyler,0,Mary E Doyle,9th,1 1/2 l,7,11-1,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Early Doors (FR),J. J. Slevin,0,Joseph Patrick O'Brien,8th,4 1/2 l,9,11-1p,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Darasso (FR),Denis O'Regan,0,Joseph Patrick O'Brien,7th,11 l,9,11-10t,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,A Wave Of The Sea (IRE),Rachael Blackmore,0,Joseph Patrick O'Brien,6th,3 1/4 l,6,11-1,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Shewearsitwell (IRE),P. Townend,0,W. P. Mullins,5th,1/2 l,7,10-8,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Felix Desjy (FR),J. W. Kennedy,0,Gordon Elliott,4th,Head,9,11-1p,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Saint Roi (FR),M. P. Walsh,0,W. P. Mullins,3rd,6 1/2 l,7,11-1t,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Sole Pretender (IRE),S. D. Torrens,0,Norman Lee,2nd,3 l,8,11-8h,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Santa Rossa (IRE),D. J. O'Keeffe,0,Dermot Anthony McLoughlin,1st,N/A,8,10-12,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Celestial Horizon (IRE),L. P. Dempsey,0,Joseph Patrick O'Brien,PU,N/A,4,10-10,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Lunar Display (IRE),D. J. McInerney,0,Joseph Patrick O'Brien,10th,8 1/2 l,6,11-1t1,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Francois (FR),Donagh Meyler,0,Mary E Doyle,9th,1 1/2 l,7,11-1,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Early Doors (FR),J. J. Slevin,0,Joseph Patrick O'Brien,8th,4 1/2 l,9,11-1p,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Darasso (FR),Denis O'Regan,0,Joseph Patrick O'Brien,7th,11 l,9,11-10t,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,A Wave Of The Sea (IRE),Rachael Blackmore,0,Joseph Patrick O'Brien,6th,3 1/4 l,6,11-1,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Shewearsitwell (IRE),P. Townend,0,W. P. Mullins,5th,1/2 l,7,10-8,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Felix Desjy (FR),J. W. Kennedy,0,Gordon Elliott,4th,Head,9,11-1p,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Saint Roi (FR),M. P. Walsh,0,W. P. Mullins,3rd,6 1/2 l,7,11-1t,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Sole Pretender (IRE),S. D. Torrens,0,Norman Lee,2nd,3 l,8,11-8h,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:10,N/A,18:10,Good To Yielding,2m,Santa Rossa (IRE),D. J. O'Keeffe,0,Dermot Anthony McLoughlin,1st,N/A,8,10-12,-,True,6,3
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Ben Vrackie,Ned Fox,7,John F. Gleeson,PU,N/A,7,11-12,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Corrin View (IRE),Mr Turlough O'Connor,7,Turlough O'Connor,PU,N/A,5,10-11,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,King Otis (IRE),Daniel Holden,7,Kieran Purcell,PU,N/A,6,11-4,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Nicoles Getaway (IRE),S. F. O'Keeffe,0,Sean Aherne,PU,N/A,4,10-5,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Thecornerhouse (IRE),Richard Deegan,0,Mrs Julie Cashin,13th,57 l,5,10-11,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Essential Part (IRE),Sean Flanagan,0,Gearoid Patrick Brouder,12th,22 l,4,10-5t,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Costaweefortune (IRE),G. B. Noonan,7,Ian O'Connor,11th,12 l,6,10-11,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Dicebox (IRE),Shane Fenelon,7,John Joseph Hanlon,10th,2 1/4 l,5,11-12tp1,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Mugsy Delight (IRE),B. P. Kennedy,7,Seamus Fahey,9th,17 l,5,10-11,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Tintean Fein (IRE),G. Bourke,7,John Gerard Fitzgerald,8th,2 1/4 l,5,11-4,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Glenglass (IRE),J. W. Kennedy,0,Gordon Elliott,7th,1 1/4 l,6,11-12t,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Watch The Weather,Jack Foley,3,R. P. Cody,6th,1/2 l,6,11-4t1,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Lasparas (FR),P. Townend,0,W. P. Mullins,5th,17 l,7,11-12,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Troubled Times (IRE),Phillip Enright,0,S. Curling,4th,Short Head,6,11-5,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Time Marches On (IRE),Denis O'Regan,0,J. D. Motherway,3rd,3/4 l,6,11-4,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Mr Saxobeat (IRE),D. J. O'Keeffe,0,T. Gibney,2nd,3 1/4 l,6,11-12,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Shoot First (IRE),A. M. McCurtin,3,Charles Byrnes,1st,N/A,6,11-4,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Ben Vrackie,Ned Fox,7,John F. Gleeson,PU,N/A,7,11-12,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Corrin View (IRE),Mr Turlough O'Connor,7,Turlough O'Connor,PU,N/A,5,10-11,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,King Otis (IRE),Daniel Holden,7,Kieran Purcell,PU,N/A,6,11-4,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Nicoles Getaway (IRE),S. F. O'Keeffe,0,Sean Aherne,PU,N/A,4,10-5,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Thecornerhouse (IRE),Richard Deegan,0,Mrs Julie Cashin,13th,57 l,5,10-11,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Essential Part (IRE),Sean Flanagan,0,Gearoid Patrick Brouder,12th,22 l,4,10-5t,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Costaweefortune (IRE),G. B. Noonan,7,Ian O'Connor,11th,12 l,6,10-11,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Dicebox (IRE),Shane Fenelon,7,John Joseph Hanlon,10th,2 1/4 l,5,11-12tp1,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Mugsy Delight (IRE),B. P. Kennedy,7,Seamus Fahey,9th,17 l,5,10-11,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Tintean Fein (IRE),G. Bourke,7,John Gerard Fitzgerald,8th,2 1/4 l,5,11-4,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Glenglass (IRE),J. W. Kennedy,0,Gordon Elliott,7th,1 1/4 l,6,11-12t,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Watch The Weather,Jack Foley,3,R. P. Cody,6th,1/2 l,6,11-4t1,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Lasparas (FR),P. Townend,0,W. P. Mullins,5th,17 l,7,11-12,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Troubled Times (IRE),Phillip Enright,0,S. Curling,4th,Short Head,6,11-5,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Time Marches On (IRE),Denis O'Regan,0,J. D. Motherway,3rd,3/4 l,6,11-4,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Mr Saxobeat (IRE),D. J. O'Keeffe,0,T. Gibney,2nd,3 1/4 l,6,11-12,-,True,6,4
Tipperary Racing Results | 30th June 2022 18:45,N/A,18:45,Good To Yielding,2m 4f,Shoot First (IRE),A. M. McCurtin,3,Charles Byrnes,1st,N/A,6,11-4,-,True,6,4
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Varna Gold (IRE),Jack G. Gilligan,7,Paul John Gilligan,PU,N/A,5,11-6,114,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Staging Post (IRE),Patrick O'Hanlon,5,Mark McNiff,PU,N/A,6,11-1t,109,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Clonbury Bridge (IRE),L. P. Dempsey,0,J. P. Dempsey,PU,N/A,6,11-4tp,112,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Lost Oscar (IRE),S. D. Torrens,0,Peter Fahey,14th,13 l,7,10-6,100,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Kingston Retreat,D. E. Mullins,0,Sean O. O'Brien,13th,14 l,7,11-7,115,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Guiri (GER),C. G. O'Dwyer,7,Mrs J. Harrington,12th,1 1/2 l,7,11-12p,120,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Nazine (IRE),M. M. McDonagh,5,Michael J. McDonagh,11th,1 1/2 l,5,11-0,108,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,First Touch (IRE),D. J. McInerney,0,Donal Commins,10th,6 l,10,11-10,118,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Smitty Bacall (IRE),S. F. O'Keeffe,0,J. P. Flavin,9th,2 l,11,11-7,115,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Merry Poppins (GER),D. J. O'Keeffe,0,J. D. Motherway,8th,6 l,5,11-5,113,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Nelly's Money (IRE),Phillip Enright,0,Robert Tyner,7th,1/2 l,9,11-3ht,111,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,The Big Chap (IRE),K. C. Sexton,0,Paul W. Flynn,6th,8 1/2 l,5,10-9,103,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,State Of Fame (IRE),Jordan Colin Gainford,0,Ross O'Sullivan,5th,4 1/2 l,6,10-12,106,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Navigator Jack (IRE),Rachael Blackmore,0,Eoin Griffin,4th,4 1/2 l,5,10-10,104,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Vadaly (FR),P. Townend,0,W. P. Mullins,3rd,5 l,4,11-5,119,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Sweet Sting (IRE),C. M. Quirke,7,Michael J. Bowe,2nd,3/4 l,7,11-2,110,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Moving Water (IRE),M. P. Walsh,0,Desmond McDonogh,1st,N/A,5,10-8,102,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Varna Gold (IRE),Jack G. Gilligan,7,Paul John Gilligan,PU,N/A,5,11-6,114,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Staging Post (IRE),Patrick O'Hanlon,5,Mark McNiff,PU,N/A,6,11-1t,109,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Clonbury Bridge (IRE),L. P. Dempsey,0,J. P. Dempsey,PU,N/A,6,11-4tp,112,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Lost Oscar (IRE),S. D. Torrens,0,Peter Fahey,14th,13 l,7,10-6,100,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Kingston Retreat,D. E. Mullins,0,Sean O. O'Brien,13th,14 l,7,11-7,115,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Guiri (GER),C. G. O'Dwyer,7,Mrs J. Harrington,12th,1 1/2 l,7,11-12p,120,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Nazine (IRE),M. M. McDonagh,5,Michael J. McDonagh,11th,1 1/2 l,5,11-0,108,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,First Touch (IRE),D. J. McInerney,0,Donal Commins,10th,6 l,10,11-10,118,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Smitty Bacall (IRE),S. F. O'Keeffe,0,J. P. Flavin,9th,2 l,11,11-7,115,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Merry Poppins (GER),D. J. O'Keeffe,0,J. D. Motherway,8th,6 l,5,11-5,113,True,6,5
Tipperary Racing Results | 30th June 2022 19:20,N/A,19:20,Good To Yielding,2m 4f,Nelly's Money (IRE),Phillip Enright,0,Robert Tyner,7th,1/2 l,9,11-3ht,111,True,6,5
