track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Rushford,C D Hayes,0,T R Hughes,NR,N/A,5,9-1,55,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Lady Christa (IRE),W J Lee,0,S Lavery,NR,N/A,4,10-0,68,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Polemon,A J Casey,10,D Hogan,NR,N/A,5,9-12tp,66,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Highland King (IRE),Siobhan Rutledge,3,J C McConnell,NR,N/A,5,9-11,65,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Tujjaar,S Foley,0,R O'Brien,15th,91 l,4,9-10,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Dakota Chief (IRE),C Horgan,7,Louise G Lyons,14th,52 l,4,10-0,68,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Jawhary,C J MacRedmond,5,A McGuinness,13th,4 1/2 l,6,9-8v,62,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Latinised,M W Hassett,5,M Hassett,12th,1 1/2 l,4,8-10,50,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Secret Rock (IRE),B M Coen,0,Mrs C O'Leary,11th,1 l,5,9-11t,65,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Bright Start (USA),K G Kennedy,7,S M Duffy,10th,4 1/2 l,7,9-0,54,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Numidia (IRE),K J Leonard,0,P Lawlor,9th,4 1/4 l,6,9-10v,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Status Green (IRE),G F Carroll,0,J G Murphy,8th,1/2 l,4,9-7p,61,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,King Arthurs Sword (IRE),C T Keane,0,M O'Callaghan,7th,4 1/4 l,7,9-5t,59,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Patrick Street,J J G Ryan,5,P Martin,6th,2 1/4 l,5,9-3tp,57,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Metamorpheus (IRE),R P Whelan,0,P Nolan,5th,2 1/4 l,5,9-10,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Figurehead (IRE),J Cleary,7,Michael G Cleary,4th,Head,7,8-10,50,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Forlio,L F Roche,0,P W Flynn,3rd,1 1/2 l,5,9-8tp,62,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Wisdomofhindsight,D McMonagle,0,A Oliver,2nd,1 1/2 l,4,10-0p1,68,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Avondale (IRE),W J Lee,0,B Connell,1st,N/A,4,9-10,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Rushford,C D Hayes,0,T R Hughes,NR,N/A,5,9-1,55,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Lady Christa (IRE),W J Lee,0,S Lavery,NR,N/A,4,10-0,68,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Polemon,A J Casey,10,D Hogan,NR,N/A,5,9-12tp,66,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Highland King (IRE),Siobhan Rutledge,3,J C McConnell,NR,N/A,5,9-11,65,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Tujjaar,S Foley,0,R O'Brien,15th,91 l,4,9-10,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Dakota Chief (IRE),C Horgan,7,Louise G Lyons,14th,52 l,4,10-0,68,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Jawhary,C J MacRedmond,5,A McGuinness,13th,4 1/2 l,6,9-8v,62,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Latinised,M W Hassett,5,M Hassett,12th,1 1/2 l,4,8-10,50,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Secret Rock (IRE),B M Coen,0,Mrs C O'Leary,11th,1 l,5,9-11t,65,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Bright Start (USA),K G Kennedy,7,S M Duffy,10th,4 1/2 l,7,9-0,54,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Numidia (IRE),K J Leonard,0,P Lawlor,9th,4 1/4 l,6,9-10v,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Status Green (IRE),G F Carroll,0,J G Murphy,8th,1/2 l,4,9-7p,61,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,King Arthurs Sword (IRE),C T Keane,0,M O'Callaghan,7th,4 1/4 l,7,9-5t,59,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Patrick Street,J J G Ryan,5,P Martin,6th,2 1/4 l,5,9-3tp,57,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Metamorpheus (IRE),R P Whelan,0,P Nolan,5th,2 1/4 l,5,9-10,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Figurehead (IRE),J Cleary,7,Michael G Cleary,4th,Head,7,8-10,50,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Forlio,L F Roche,0,P W Flynn,3rd,1 1/2 l,5,9-8tp,62,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Wisdomofhindsight,D McMonagle,0,A Oliver,2nd,1 1/2 l,4,10-0p1,68,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Avondale (IRE),W J Lee,0,B Connell,1st,N/A,4,9-10,64,True,135,1
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Cleopatra's Needle (IRE),D J O'Keeffe,0,H Rogers,NR,N/A,6,11-7ht,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Knocknagoran Lady (IRE),B W Harvey,0,Cian Hughes,NR,N/A,5,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Golden Order (IRE),J P O'Sullivan,0,Michael E Hallinan,PU,N/A,4,10-10,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Lianna (IRE),C P Millar,7,P W Flynn,8th,24 l,7,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Cathryns Ruby (IRE),L Quinlan,3,R Hackett,7th,6 1/2 l,7,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Evolving,J S McGarvey,0,A Kinirons,6th,1 1/2 l,4,11-4,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Bishbashbosh (IRE),S D Torrens,0,H Smyth,5th,2 3/4 l,5,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Spanish Maid (IRE),D Meyler,0,F J Flood,4th,27 l,6,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Blacksmiths Forge (IRE),J Kearney,5,G Keane,3rd,3/4 l,4,11-4,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Love Like This (IRE),S Fitzgerald,0,J P Ryan,2nd,4 1/4 l,6,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Gers Gigi (IRE),J W Kennedy,0,G Elliott,1st,N/A,5,11-7,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Cleopatra's Needle (IRE),D J O'Keeffe,0,H Rogers,NR,N/A,6,11-7ht,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Knocknagoran Lady (IRE),B W Harvey,0,Cian Hughes,NR,N/A,5,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Golden Order (IRE),J P O'Sullivan,0,Michael E Hallinan,PU,N/A,4,10-10,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Lianna (IRE),C P Millar,7,P W Flynn,8th,24 l,7,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Cathryns Ruby (IRE),L Quinlan,3,R Hackett,7th,6 1/2 l,7,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Evolving,J S McGarvey,0,A Kinirons,6th,1 1/2 l,4,11-4,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Bishbashbosh (IRE),S D Torrens,0,H Smyth,5th,2 3/4 l,5,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Spanish Maid (IRE),D Meyler,0,F J Flood,4th,27 l,6,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Blacksmiths Forge (IRE),J Kearney,5,G Keane,3rd,3/4 l,4,11-4,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Love Like This (IRE),S Fitzgerald,0,J P Ryan,2nd,4 1/4 l,6,10-13,-,True,135,2
Sligo Racing Results | 21st August 2024 17:08,N/A,17:08,Soft,2m 1f 93y,Gers Gigi (IRE),J W Kennedy,0,G Elliott,1st,N/A,5,11-7,-,True,135,2
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Breagagh (IRE),Mr N Gault,7,S Millar,NR,N/A,6,11-5p,93,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Leading Lion (IRE),J W Kennedy,0,G Elliott,NR,N/A,4,11-9t,100,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Fassbender (IRE),P T Enright,0,M M McNiff,13th,Neck,8,11-2tp,90,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Benjis Benefit (IRE),D King,0,D Hogan,12th,25 l,6,12-0p1,102,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Nawraq (IRE),P Cleary,7,K Smith,11th,1 l,5,10-13t,87,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Aill Dubh (IRE),J J Slevin,0,M Flannery,10th,2 l,7,10-12p,86,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Eddierocket (IRE),R P Geoghegan,7,N Lee,9th,7 1/2 l,6,11-0,88,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Grand Cru Chatho (FR),K E Buckley,0,E Cawley,8th,1 1/4 l,8,11-5ht,93,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Fairytale New York (IRE),D Meyler,0,Mrs C O'Leary,7th,2 1/2 l,5,11-6t1,94,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Bowgate Street (IRE),D J O'Keeffe,0,M Flannery,6th,Neck,5,10-12,86,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Kilbride Hill (IRE),J Aherne,7,J P Ryan,5th,1 3/4 l,6,11-6,94,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Rockview Roman (IRE),A Harvey,5,J C McConnell,4th,7 l,8,11-9,97,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Verbal Sparring (IRE),C P Millar,7,D McDonogh,3rd,1 1/2 l,5,11-11,99,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Mephisto (IRE),J Kearney,5,G Keane,2nd,Neck,7,11-3v,91,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,High Honour,J P Shinnick,5,D Kinsella,1st,N/A,4,11-7,98,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Breagagh (IRE),Mr N Gault,7,S Millar,NR,N/A,6,11-5p,93,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Leading Lion (IRE),J W Kennedy,0,G Elliott,NR,N/A,4,11-9t,100,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Fassbender (IRE),P T Enright,0,M M McNiff,13th,Neck,8,11-2tp,90,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Benjis Benefit (IRE),D King,0,D Hogan,12th,25 l,6,12-0p1,102,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Nawraq (IRE),P Cleary,7,K Smith,11th,1 l,5,10-13t,87,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Aill Dubh (IRE),J J Slevin,0,M Flannery,10th,2 l,7,10-12p,86,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Eddierocket (IRE),R P Geoghegan,7,N Lee,9th,7 1/2 l,6,11-0,88,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Grand Cru Chatho (FR),K E Buckley,0,E Cawley,8th,1 1/4 l,8,11-5ht,93,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Fairytale New York (IRE),D Meyler,0,Mrs C O'Leary,7th,2 1/2 l,5,11-6t1,94,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Bowgate Street (IRE),D J O'Keeffe,0,M Flannery,6th,Neck,5,10-12,86,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Kilbride Hill (IRE),J Aherne,7,J P Ryan,5th,1 3/4 l,6,11-6,94,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Rockview Roman (IRE),A Harvey,5,J C McConnell,4th,7 l,8,11-9,97,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Verbal Sparring (IRE),C P Millar,7,D McDonogh,3rd,1 1/2 l,5,11-11,99,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,Mephisto (IRE),J Kearney,5,G Keane,2nd,Neck,7,11-3v,91,True,135,3
Sligo Racing Results | 21st August 2024 17:38,N/A,17:38,Soft,2m 1f 93y,High Honour,J P Shinnick,5,D Kinsella,1st,N/A,4,11-7,98,True,135,3
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Rocket Ruby (IRE),E Walsh,0,C Collins,NR,N/A,4,11-0,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Nemo (IRE),J W Kennedy,0,G Elliott,NR,N/A,7,11-4,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Our Shane (IRE),B W Harvey,0,J C McConnell,NR,N/A,5,11-4t1,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Shuil Siorai (IRE),L Quinlan,3,Miss E Lalor,PU,N/A,7,10-11,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Gatito Rapido (USA),J S McGarvey,0,N C Kelly,6th,41 l,5,11-4t1,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,The Dagda (IRE),J G Gilligan,7,P J Gilligan,5th,52 l,5,11-4,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Marlpark (IRE),S F O'Keeffe,0,J P Ryan,4th,8 l,5,11-4,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Boston Rajj (IRE),Sam Ewing,0,G Elliott,3rd,15 l,6,11-4,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Midleton Rare (IRE),P M O'Brien,7,D A McLoughlin,2nd,31 l,6,11-12,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,My Great Mate (IRE),P Townend,0,W P Mullins,1st,N/A,5,11-12,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Rocket Ruby (IRE),E Walsh,0,C Collins,NR,N/A,4,11-0,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Nemo (IRE),J W Kennedy,0,G Elliott,NR,N/A,7,11-4,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Our Shane (IRE),B W Harvey,0,J C McConnell,NR,N/A,5,11-4t1,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Shuil Siorai (IRE),L Quinlan,3,Miss E Lalor,PU,N/A,7,10-11,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Gatito Rapido (USA),J S McGarvey,0,N C Kelly,6th,41 l,5,11-4t1,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,The Dagda (IRE),J G Gilligan,7,P J Gilligan,5th,52 l,5,11-4,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Marlpark (IRE),S F O'Keeffe,0,J P Ryan,4th,8 l,5,11-4,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Boston Rajj (IRE),Sam Ewing,0,G Elliott,3rd,15 l,6,11-4,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,Midleton Rare (IRE),P M O'Brien,7,D A McLoughlin,2nd,31 l,6,11-12,-,True,135,4
Sligo Racing Results | 21st August 2024 18:10,N/A,18:10,Soft,2m 4f 141y,My Great Mate (IRE),P Townend,0,W P Mullins,1st,N/A,5,11-12,-,True,135,4
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Evans Secret,P T Enright,0,M M McNiff,NR,N/A,5,11-12tb,93,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,The Rebel County (IRE),Sam Ewing,0,N Meade,NR,N/A,4,11-6,91,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Tullyhogue Fort (IRE),Non Runner,7,John F O'Neill,NR,N/A,8,11-10,91,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Bella Be Good (IRE),P Byrnes,0,E Cawley,NR,N/A,7,11-2t,83,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Fernhill Fling (IRE),T Power Roche,7,P J Rothwell,PU,N/A,5,11-4p,85,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Realta Geal (IRE),B P Kennedy,7,F J Flood,PU,N/A,6,11-0,81,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Rodney (IRE),P Hanlon,7,J J Hanlon,PU,N/A,5,11-11,92,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Any Day Now (IRE),S F O'Keeffe,0,E Cawley,11th,5 1/2 l,9,11-5b,86,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Renard De Noir (IRE),R Deegan,0,J H Black,10th,9 1/2 l,6,11-8,89,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Nicolas Fortune (IRE),A Harvey,5,K A Heffernan,9th,20 l,6,11-2t,83,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Father Jed (IRE),J J Slevin,0,J P Ryan,8th,2 l,13,10-13,80,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Awakino (IRE),S D Torrens,0,D Cullen,7th,3 1/4 l,4,11-4,89,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Stowaway Lass (IRE),P T Enright,0,S Curling,6th,1 1/4 l,10,10-13,80,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Portnacoo (IRE),D Meyler,0,H Smyth,5th,Neck,6,11-3,84,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Shesabreeze (IRE),C M Hogan,7,E McNamara,4th,5 1/2 l,5,11-3t,84,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Rideau Canal (IRE),D J O'Keeffe,0,Mrs D Foster,3rd,5 1/2 l,9,11-7tp1,88,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Glenmorefiftyfour (IRE),L Quinlan,3,R Hackett,2nd,2 3/4 l,8,11-5t,86,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,That's Me Finished (IRE),J S McGarvey,0,N C Kelly,1st,N/A,7,10-13,80,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Evans Secret,P T Enright,0,M M McNiff,NR,N/A,5,11-12tb,93,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,The Rebel County (IRE),Sam Ewing,0,N Meade,NR,N/A,4,11-6,91,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Tullyhogue Fort (IRE),Non Runner,7,John F O'Neill,NR,N/A,8,11-10,91,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Bella Be Good (IRE),P Byrnes,0,E Cawley,NR,N/A,7,11-2t,83,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Fernhill Fling (IRE),T Power Roche,7,P J Rothwell,PU,N/A,5,11-4p,85,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Realta Geal (IRE),B P Kennedy,7,F J Flood,PU,N/A,6,11-0,81,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Rodney (IRE),P Hanlon,7,J J Hanlon,PU,N/A,5,11-11,92,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Any Day Now (IRE),S F O'Keeffe,0,E Cawley,11th,5 1/2 l,9,11-5b,86,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Renard De Noir (IRE),R Deegan,0,J H Black,10th,9 1/2 l,6,11-8,89,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Nicolas Fortune (IRE),A Harvey,5,K A Heffernan,9th,20 l,6,11-2t,83,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Father Jed (IRE),J J Slevin,0,J P Ryan,8th,2 l,13,10-13,80,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Awakino (IRE),S D Torrens,0,D Cullen,7th,3 1/4 l,4,11-4,89,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Stowaway Lass (IRE),P T Enright,0,S Curling,6th,1 1/4 l,10,10-13,80,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Portnacoo (IRE),D Meyler,0,H Smyth,5th,Neck,6,11-3,84,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Shesabreeze (IRE),C M Hogan,7,E McNamara,4th,5 1/2 l,5,11-3t,84,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Rideau Canal (IRE),D J O'Keeffe,0,Mrs D Foster,3rd,5 1/2 l,9,11-7tp1,88,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,Glenmorefiftyfour (IRE),L Quinlan,3,R Hackett,2nd,2 3/4 l,8,11-5t,86,True,135,5
Sligo Racing Results | 21st August 2024 18:40,N/A,18:40,Soft,2m 4f 141y,That's Me Finished (IRE),J S McGarvey,0,N C Kelly,1st,N/A,7,10-13,80,True,135,5
Sligo Racing Results | 21st August 2024 19:10,N/A,19:10,Soft,2m 4f 141y,Riyami (IRE),D King,0,D Hogan,NR,N/A,5,11-1tp,102,True,135,6
Sligo Racing Results | 21st August 2024 19:10,N/A,19:10,Soft,2m 4f 141y,Storm Mahler (IRE),C M Hogan,7,E McNamara,PU,N/A,6,11-6,107,True,135,6
Sligo Racing Results | 21st August 2024 19:10,N/A,19:10,Soft,2m 4f 141y,Andyourbirdcansing (IRE),S Fitzgerald,0,J P Ryan,7th,6 1/2 l,6,11-1,102,True,135,6
