track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,14:40,Heavy,2m 3f 210y,Why Delilah (IRE),J W Kennedy,0,G Elliott,10th,7 l,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,But What About Me (IRE),R P Geoghegan,7,N Lee,9th,65 l,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Eire Comes Tribsy (IRE),Sarah Kavanagh,7,P A Fahy,8th,1 l,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Hurricane Bailey (IRE),S Cleary-Farrell,7,Barry J Fitzgerald,7th,21 l,5,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Miss Vivacious (IRE),K E Buckley,0,T Gibney,6th,Head,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Roxhill Roise (IRE),S W Flanagan,0,D M O'Brien,5th,12 l,6,11-7h,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Milanaway (IRE),D King,3,D Hogan,4th,11 l,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Jolie Coeur Allen (FR),M P Walsh,0,W P Mullins,3rd,7 1/2 l,5,11-7h,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,True Testimony (IRE),M J M O'Sullivan,0,P A Fahy,2nd,9 l,5,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Spindleberry (IRE),P Townend,0,W P Mullins,1st,N/A,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Sioux Grit (IRE),D J O'Keeffe,0,R P Burns,PU,N/A,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,We Will Rock You (FR),Conor Clarke,7,A Donoghue,PU,N/A,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Sweet Maisie (IRE),T P Harney,7,L Comer,PU,N/A,5,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Miss Gherkin (IRE),Shane Fenelon,7,P Croke,11th,24 l,5,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Why Delilah (IRE),J W Kennedy,0,G Elliott,10th,7 l,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,But What About Me (IRE),R P Geoghegan,7,N Lee,9th,65 l,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Eire Comes Tribsy (IRE),Sarah Kavanagh,7,P A Fahy,8th,1 l,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Hurricane Bailey (IRE),S Cleary-Farrell,7,Barry J Fitzgerald,7th,21 l,5,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Miss Vivacious (IRE),K E Buckley,0,T Gibney,6th,Head,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Roxhill Roise (IRE),S W Flanagan,0,D M O'Brien,5th,12 l,6,11-7h,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Milanaway (IRE),D King,3,D Hogan,4th,11 l,6,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Jolie Coeur Allen (FR),M P Walsh,0,W P Mullins,3rd,7 1/2 l,5,11-7h,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,True Testimony (IRE),M J M O'Sullivan,0,P A Fahy,2nd,9 l,5,11-7,-,True,99,26
N/A,N/A,14:40,Heavy,2m 3f 210y,Spindleberry (IRE),P Townend,0,W P Mullins,1st,N/A,6,11-7,-,True,99,26
N/A,N/A,15:15,Heavy,2m 3f 210y,Catchyoulater (IRE),J J Slevin,0,E Cawley,PU,N/A,5,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Path To The Moon (IRE),T P Harney,7,L Comer,PU,N/A,5,10-11,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Fort Randall (IRE),J S McGarvey,0,J J Hanlon,12th,1 3/4 l,5,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,One And Only (IRE),P T Enright,0,O McKiernan,11th,Neck,6,11-4t,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Oakley (GER),D E Mullins,0,A Mullins,10th,42 l,6,11-12,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Shades Of Tara,R J Condon,5,P A Fahy,9th,1 l,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Moudan (IRE),E Walsh,0,Ciaran Murphy,8th,1 3/4 l,5,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Bloomhill (IRE),B Hayes,0,P Fenton,7th,8 l,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Maroto (IRE),Rachael Blackmore,0,W P Mullins,6th,15 l,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Raglan Road (IRE),M P Walsh,0,H De Bromhead,5th,5 1/2 l,6,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,The Electrical Kid (IRE),S F O'Keeffe,0,W P Mullins,4th,3 1/2 l,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Maxi Mac Gold (FR),S W Flanagan,0,P Nolan,3rd,Neck,5,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Lucky Lyreen (IRE),J W Kennedy,0,G Elliott,2nd,9 l,6,11-12,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,O'Moore Park (IRE),P Townend,0,W P Mullins,1st,N/A,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Catchyoulater (IRE),J J Slevin,0,E Cawley,PU,N/A,5,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Path To The Moon (IRE),T P Harney,7,L Comer,PU,N/A,5,10-11,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Fort Randall (IRE),J S McGarvey,0,J J Hanlon,12th,1 3/4 l,5,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,One And Only (IRE),P T Enright,0,O McKiernan,11th,Neck,6,11-4t,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Oakley (GER),D E Mullins,0,A Mullins,10th,42 l,6,11-12,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Shades Of Tara,R J Condon,5,P A Fahy,9th,1 l,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Moudan (IRE),E Walsh,0,Ciaran Murphy,8th,1 3/4 l,5,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Bloomhill (IRE),B Hayes,0,P Fenton,7th,8 l,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Maroto (IRE),Rachael Blackmore,0,W P Mullins,6th,15 l,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Raglan Road (IRE),M P Walsh,0,H De Bromhead,5th,5 1/2 l,6,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,The Electrical Kid (IRE),S F O'Keeffe,0,W P Mullins,4th,3 1/2 l,7,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Maxi Mac Gold (FR),S W Flanagan,0,P Nolan,3rd,Neck,5,11-4,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,Lucky Lyreen (IRE),J W Kennedy,0,G Elliott,2nd,9 l,6,11-12,-,True,99,27
N/A,N/A,15:15,Heavy,2m 3f 210y,O'Moore Park (IRE),P Townend,0,W P Mullins,1st,N/A,7,11-4,-,True,99,27
N/A,N/A,15:50,Heavy,2m 3f 210y,Legacy Of Dreams (FR),J P O'Sullivan,3,P J Rothwell,NR,N/A,9,10-13p,80,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Mrs Watson (IRE),Shane Fenelon,7,P Croke,NR,N/A,10,10-13b1,80,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,The Big Cloud (IRE),S F O'Keeffe,0,S Crawley,NR,N/A,6,11-12,93,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Feyan (IRE),T Joseph Kelly,7,E McCarthy,PU,N/A,9,11-11,92,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Boxcar Molly (IRE),G B Noonan,5,E McCarthy,PU,N/A,5,11-4,85,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Gold Haven (IRE),S W Flanagan,0,P W Flynn,PU,N/A,6,11-13b,94,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Pirate Bonnie (IRE),A P Kelly,5,J P Fahey,PU,N/A,6,11-0,81,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Mount Gable (IRE),R P Treacy,0,Mrs J Cashin,F,N/A,7,11-1,82,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Jouster (FR),K M Donoghue,0,G P Cromwell,F,N/A,5,11-11t,92,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Hillsdale (IRE),D Meyler,0,J P Dempsey,8th,32 l,5,12-0,95,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Max Time (IRE),D King,3,I Madden,7th,Short Head,7,10-13,80,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Shean Glory (IRE),Mr S Tobin,7,S Aherne,6th,3 3/4 l,8,11-0,81,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Aodhan May (IRE),P Byrnes,5,C Byrnes,5th,6 l,8,11-2p1,83,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Lilian Bland (IRE),R Deegan,0,Niall Patrick Hennessy,4th,9 l,8,11-9h,90,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Lily's Choice (IRE),R A Doyle,0,D H Kelly,3rd,18 l,6,11-6,87,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Junot (IRE),M M McDonagh,3,M Winters,2nd,Short Head,5,11-6p,87,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Rusheen (IRE),D E Mullins,0,J Dullea,1st,N/A,6,11-12,93,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Legacy Of Dreams (FR),J P O'Sullivan,3,P J Rothwell,NR,N/A,9,10-13p,80,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Mrs Watson (IRE),Shane Fenelon,7,P Croke,NR,N/A,10,10-13b1,80,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,The Big Cloud (IRE),S F O'Keeffe,0,S Crawley,NR,N/A,6,11-12,93,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Feyan (IRE),T Joseph Kelly,7,E McCarthy,PU,N/A,9,11-11,92,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Boxcar Molly (IRE),G B Noonan,5,E McCarthy,PU,N/A,5,11-4,85,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Gold Haven (IRE),S W Flanagan,0,P W Flynn,PU,N/A,6,11-13b,94,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Pirate Bonnie (IRE),A P Kelly,5,J P Fahey,PU,N/A,6,11-0,81,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Mount Gable (IRE),R P Treacy,0,Mrs J Cashin,F,N/A,7,11-1,82,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Jouster (FR),K M Donoghue,0,G P Cromwell,F,N/A,5,11-11t,92,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Hillsdale (IRE),D Meyler,0,J P Dempsey,8th,32 l,5,12-0,95,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Max Time (IRE),D King,3,I Madden,7th,Short Head,7,10-13,80,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Shean Glory (IRE),Mr S Tobin,7,S Aherne,6th,3 3/4 l,8,11-0,81,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Aodhan May (IRE),P Byrnes,5,C Byrnes,5th,6 l,8,11-2p1,83,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Lilian Bland (IRE),R Deegan,0,Niall Patrick Hennessy,4th,9 l,8,11-9h,90,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Lily's Choice (IRE),R A Doyle,0,D H Kelly,3rd,18 l,6,11-6,87,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Junot (IRE),M M McDonagh,3,M Winters,2nd,Short Head,5,11-6p,87,True,99,28
N/A,N/A,15:50,Heavy,2m 3f 210y,Rusheen (IRE),D E Mullins,0,J Dullea,1st,N/A,6,11-12,93,True,99,28
N/A,N/A,13:05,Heavy,2m,Uncle Gerhard (IRE),C G O'Dwyer,5,C O'Dwyer,NR,N/A,9,11-12,100,True,99,29
N/A,N/A,13:05,Heavy,2m,Intersky Sunset (IRE),Mr J W Hendrick,7,D Queally,NR,N/A,7,11-9t,97,True,99,29
N/A,N/A,13:05,Heavy,2m,Derridae (IRE),G Brouder,5,M McCabe,PU,N/A,9,11-9,97,True,99,29
N/A,N/A,13:05,Heavy,2m,Granpa Ger (IRE),Conor Clarke,7,A Mullins,PU,N/A,6,11-7,95,True,99,29
N/A,N/A,13:05,Heavy,2m,Diamond Dollar (IRE),P Byrnes,5,C Byrnes,PU,N/A,5,11-11,99,True,99,29
N/A,N/A,13:05,Heavy,2m,Bite That (IRE),G B Noonan,5,P J Flynn,15th,29 l,8,11-6,94,True,99,29
N/A,N/A,13:05,Heavy,2m,New Barn Lane (IRE),R Deegan,0,E McCarthy,14th,1 3/4 l,7,11-8t,96,True,99,29
N/A,N/A,13:05,Heavy,2m,Fassbender (IRE),A P Heskin,0,M M McNiff,13th,7 1/2 l,8,11-9t,97,True,99,29
N/A,N/A,13:05,Heavy,2m,Backinabit (IRE),J P O'Sullivan,3,J P Dempsey,12th,4 l,5,11-3tp1,91,True,99,29
N/A,N/A,13:05,Heavy,2m,Kuriosa (FR),C D Smithers,7,P Nolan,11th,7 1/2 l,5,11-4,92,True,99,29
N/A,N/A,13:05,Heavy,2m,Listenheretomejack (IRE),S O'Callaghan,5,E Doyle,10th,15 l,9,12-0,102,True,99,29
N/A,N/A,13:05,Heavy,2m,The Truant (IRE),E A Fitzgerald,7,Peter Fahey,9th,5 l,7,11-8,96,True,99,29
N/A,N/A,13:05,Heavy,2m,The Lucky Lobster,Mr J M Fennell,7,D Queally,8th,4 l,5,11-4,92,True,99,29
N/A,N/A,13:05,Heavy,2m,Young Darleen (IRE),S W Flanagan,0,R P Cody,7th,3 1/4 l,8,11-10h,98,True,99,29
N/A,N/A,13:05,Heavy,2m,Le Fanu (IRE),P T Enright,0,Brendan Walsh,6th,3 l,8,11-5,93,True,99,29
N/A,N/A,13:05,Heavy,2m,Star Official (IRE),D E Mullins,0,R Donohoe,5th,11 l,6,12-0,102,True,99,29
N/A,N/A,13:05,Heavy,2m,Benjis Benefit (IRE),D Meyler,0,E Mullins,4th,13 l,6,11-3,91,True,99,29
N/A,N/A,13:05,Heavy,2m,Zeeband (IRE),J G Gilligan,7,P J Gilligan,3rd,1/2 l,7,11-12t,100,True,99,29
N/A,N/A,13:05,Heavy,2m,Kilbarry Saint (FR),D J Gilligan,5,C O'Keeffe,2nd,6 1/2 l,5,11-5t,93,True,99,29
N/A,N/A,13:05,Heavy,2m,Champagne Mahler (IRE),D J O'Keeffe,0,H De Bromhead,1st,N/A,6,12-0,102,True,99,29
N/A,N/A,13:05,Heavy,2m,Uncle Gerhard (IRE),C G O'Dwyer,5,C O'Dwyer,NR,N/A,9,11-12,100,True,99,29
N/A,N/A,13:05,Heavy,2m,Intersky Sunset (IRE),Mr J W Hendrick,7,D Queally,NR,N/A,7,11-9t,97,True,99,29
N/A,N/A,13:05,Heavy,2m,Derridae (IRE),G Brouder,5,M McCabe,PU,N/A,9,11-9,97,True,99,29
N/A,N/A,13:05,Heavy,2m,Granpa Ger (IRE),Conor Clarke,7,A Mullins,PU,N/A,6,11-7,95,True,99,29
N/A,N/A,13:05,Heavy,2m,Diamond Dollar (IRE),P Byrnes,5,C Byrnes,PU,N/A,5,11-11,99,True,99,29
N/A,N/A,13:05,Heavy,2m,Bite That (IRE),G B Noonan,5,P J Flynn,15th,29 l,8,11-6,94,True,99,29
N/A,N/A,13:05,Heavy,2m,New Barn Lane (IRE),R Deegan,0,E McCarthy,14th,1 3/4 l,7,11-8t,96,True,99,29
N/A,N/A,13:05,Heavy,2m,Fassbender (IRE),A P Heskin,0,M M McNiff,13th,7 1/2 l,8,11-9t,97,True,99,29
N/A,N/A,13:05,Heavy,2m,Backinabit (IRE),J P O'Sullivan,3,J P Dempsey,12th,4 l,5,11-3tp1,91,True,99,29
N/A,N/A,13:05,Heavy,2m,Kuriosa (FR),C D Smithers,7,P Nolan,11th,7 1/2 l,5,11-4,92,True,99,29
N/A,N/A,13:05,Heavy,2m,Listenheretomejack (IRE),S O'Callaghan,5,E Doyle,10th,15 l,9,12-0,102,True,99,29
N/A,N/A,13:05,Heavy,2m,The Truant (IRE),E A Fitzgerald,7,Peter Fahey,9th,5 l,7,11-8,96,True,99,29
N/A,N/A,13:05,Heavy,2m,The Lucky Lobster,Mr J M Fennell,7,D Queally,8th,4 l,5,11-4,92,True,99,29
N/A,N/A,13:05,Heavy,2m,Young Darleen (IRE),S W Flanagan,0,R P Cody,7th,3 1/4 l,8,11-10h,98,True,99,29
N/A,N/A,13:05,Heavy,2m,Le Fanu (IRE),P T Enright,0,Brendan Walsh,6th,3 l,8,11-5,93,True,99,29
N/A,N/A,13:05,Heavy,2m,Star Official (IRE),D E Mullins,0,R Donohoe,5th,11 l,6,12-0,102,True,99,29
N/A,N/A,13:05,Heavy,2m,Benjis Benefit (IRE),D Meyler,0,E Mullins,4th,13 l,6,11-3,91,True,99,29
N/A,N/A,13:05,Heavy,2m,Zeeband (IRE),J G Gilligan,7,P J Gilligan,3rd,1/2 l,7,11-12t,100,True,99,29
N/A,N/A,13:05,Heavy,2m,Kilbarry Saint (FR),D J Gilligan,5,C O'Keeffe,2nd,6 1/2 l,5,11-5t,93,True,99,29
N/A,N/A,13:05,Heavy,2m,Champagne Mahler (IRE),D J O'Keeffe,0,H De Bromhead,1st,N/A,6,12-0,102,True,99,29
N/A,N/A,14:15,Heavy,3m,Farouk D'Alene (FR),J W Kennedy,0,G Elliott,NR,N/A,9,11-3p1,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Thedevilscoachman (IRE),M P Walsh,0,N Meade,4th,19 l,8,11-3p1,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Ashdale Bob (IRE),J S McGarvey,0,Mrs J Harrington,3rd,8 l,9,11-3,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Summerville Boy (IRE),Rachael Blackmore,0,H De Bromhead,2nd,5 1/2 l,12,11-3,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Monkfish (IRE),P Townend,0,W P Mullins,1st,N/A,10,11-3,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Farouk D'Alene (FR),J W Kennedy,0,G Elliott,NR,N/A,9,11-3p1,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Thedevilscoachman (IRE),M P Walsh,0,N Meade,4th,19 l,8,11-3p1,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Ashdale Bob (IRE),J S McGarvey,0,Mrs J Harrington,3rd,8 l,9,11-3,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Summerville Boy (IRE),Rachael Blackmore,0,H De Bromhead,2nd,5 1/2 l,12,11-3,-,True,99,31
N/A,N/A,14:15,Heavy,3m,Monkfish (IRE),P Townend,0,W P Mullins,1st,N/A,10,11-3,-,True,99,31
N/A,N/A,14:50,Heavy,3m 1f,Espanito Bello (FR),M J M O'Sullivan,0,B Connell,UR,N/A,10,11-9v1,150,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Royal Thief (IRE),J Coen,5,G Elliott,PU,N/A,10,10-3tb,130,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Street Value (IRE),D E Mullins,0,J P Flavin,PU,N/A,9,10-5t,132,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Dunboyne (IRE),J W Kennedy,0,G Elliott,PU,N/A,9,10-11b,138,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Ontheropes (IRE),S F O'Keeffe,0,W P Mullins,PU,N/A,10,11-4p,145,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Longhouse Poet (IRE),J J Slevin,0,M Brassil,PU,N/A,10,11-11t,152,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Fakir D'alene (FR),D J Gilligan,5,G Elliott,PU,N/A,9,11-1b,142,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Gevrey (FR),Sam Ewing,0,G Elliott,PU,N/A,8,11-5p,146,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Bronn (IRE),D A Jacob,0,W P Mullins,PU,N/A,7,11-12p1,153,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Frontal Assault (IRE),D Meyler,0,G Elliott,9th,Neck,9,10-12b,139,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Any Second Now (IRE),M P Walsh,0,T M Walsh,8th,13 l,12,11-7b,148,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Shantreusse (IRE),D J O'Keeffe,0,H De Bromhead,7th,7 l,8,10-6,133,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Diol Ker (FR),K E Buckley,0,G Elliott,6th,15 l,10,11-1b,142,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Macs Charm (IRE),B Hayes,0,Colm Murphy,5th,Short Head,9,11-0,141,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Stormy Judge (IRE),R J Condon,5,P A Fahy,4th,4 3/4 l,9,10-5,132,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Angels Dawn (IRE),P T Enright,0,S Curling,3rd,3/4 l,9,10-11,138,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Glengouly (FR),P Townend,0,W P Mullins,2nd,2 1/2 l,8,11-0,141,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Ain't That A Shame (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,10,11-3,144,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Espanito Bello (FR),M J M O'Sullivan,0,B Connell,UR,N/A,10,11-9v1,150,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Royal Thief (IRE),J Coen,5,G Elliott,PU,N/A,10,10-3tb,130,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Street Value (IRE),D E Mullins,0,J P Flavin,PU,N/A,9,10-5t,132,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Dunboyne (IRE),J W Kennedy,0,G Elliott,PU,N/A,9,10-11b,138,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Ontheropes (IRE),S F O'Keeffe,0,W P Mullins,PU,N/A,10,11-4p,145,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Longhouse Poet (IRE),J J Slevin,0,M Brassil,PU,N/A,10,11-11t,152,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Fakir D'alene (FR),D J Gilligan,5,G Elliott,PU,N/A,9,11-1b,142,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Gevrey (FR),Sam Ewing,0,G Elliott,PU,N/A,8,11-5p,146,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Bronn (IRE),D A Jacob,0,W P Mullins,PU,N/A,7,11-12p1,153,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Frontal Assault (IRE),D Meyler,0,G Elliott,9th,Neck,9,10-12b,139,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Any Second Now (IRE),M P Walsh,0,T M Walsh,8th,13 l,12,11-7b,148,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Shantreusse (IRE),D J O'Keeffe,0,H De Bromhead,7th,7 l,8,10-6,133,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Diol Ker (FR),K E Buckley,0,G Elliott,6th,15 l,10,11-1b,142,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Macs Charm (IRE),B Hayes,0,Colm Murphy,5th,Short Head,9,11-0,141,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Stormy Judge (IRE),R J Condon,5,P A Fahy,4th,4 3/4 l,9,10-5,132,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Angels Dawn (IRE),P T Enright,0,S Curling,3rd,3/4 l,9,10-11,138,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Glengouly (FR),P Townend,0,W P Mullins,2nd,2 1/2 l,8,11-0,141,True,99,32
N/A,N/A,14:50,Heavy,3m 1f,Ain't That A Shame (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,10,11-3,144,True,99,32
N/A,N/A,15:25,Heavy,2m 4f,Jimmy Chou Pecos Aa (FR),S D Torrens,0,J C McConnell,7th,1/2 l,8,11-12t,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Figaroc (FR),B Hayes,0,W P Mullins,6th,3/4 l,9,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Ho My Lord (FR),J S McGarvey,0,W P Mullins,5th,3 1/4 l,6,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Arctic Bresil,Rachael Blackmore,0,H De Bromhead,4th,1 1/2 l,7,11-12t,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Spanish Harlem (FR),D E Mullins,0,W P Mullins,3rd,7 l,6,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Saint Felicien (FR),J W Kennedy,0,G Elliott,2nd,3 1/2 l,7,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Tactical Move (IRE),P Townend,0,W P Mullins,1st,N/A,10,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Jimmy Chou Pecos Aa (FR),S D Torrens,0,J C McConnell,7th,1/2 l,8,11-12t,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Figaroc (FR),B Hayes,0,W P Mullins,6th,3/4 l,9,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Ho My Lord (FR),J S McGarvey,0,W P Mullins,5th,3 1/4 l,6,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Arctic Bresil,Rachael Blackmore,0,H De Bromhead,4th,1 1/2 l,7,11-12t,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Spanish Harlem (FR),D E Mullins,0,W P Mullins,3rd,7 l,6,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Saint Felicien (FR),J W Kennedy,0,G Elliott,2nd,3 1/2 l,7,11-12,-,True,99,33
N/A,N/A,15:25,Heavy,2m 4f,Tactical Move (IRE),P Townend,0,W P Mullins,1st,N/A,10,11-12,-,True,99,33
N/A,N/A,16:00,Heavy,2m,Ca Plane Pour Moi (IRE),Sarah Kavanagh,4,Colm Murphy,NR,N/A,6,10-11,104,True,99,34
N/A,N/A,16:00,Heavy,2m,Big Island (IRE),R J Condon,2,W J Lanigan,NR,N/A,7,11-2,109,True,99,34
