track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Ankud,Sam Ewing,0,G Elliott,7th,8 l,4,11-12p,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Answering (IRE),A McCurtin,0,T Doyle,6th,8 1/2 l,8,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Intent Approach (IRE),S D Torrens,0,C Byrnes,5th,Head,4,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Farmers Lodge (IRE),M J M O'Sullivan,0,B Connell,4th,3 1/4 l,7,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Dollar Nolimit (FR),C Stone-Walsh,5,J P O'Brien,3rd,11 l,4,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Jimmy Du Seuil (FR),P Townend,0,W P Mullins,2nd,3/4 l,4,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Asian Master (IRE),Mr T Costello,7,W P Mullins,1st,N/A,6,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Monsieur Azul,S F O'Keeffe,0,P Nolan,PU,N/A,5,11-12t1,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Eabha Rose (IRE),T Joseph Kelly,7,T P O'Connor,14th,99 l,4,11-5b1,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Rinnaseer King (IRE),R J Condon,5,T P O'Connor,13th,88 l,4,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Fort Randall (IRE),Shane Fenelon,7,J J Hanlon,12th,5 l,4,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Bigira (FR),A P Kelly,5,M Fahey,11th,8 l,4,11-5,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Noble Talent (IRE),A P Heskin,0,T J Nagle-Jr,10th,13 l,6,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Missus Beeton (IRE),S Fitzgerald,0,S Nolan,9th,9 1/2 l,5,11-5,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Bayou Belle (IRE),P T Smithers,7,J P Fahey,8th,6 1/2 l,4,11-5,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Ankud,Sam Ewing,0,G Elliott,7th,8 l,4,11-12p,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Answering (IRE),A McCurtin,0,T Doyle,6th,8 1/2 l,8,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Intent Approach (IRE),S D Torrens,0,C Byrnes,5th,Head,4,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Farmers Lodge (IRE),M J M O'Sullivan,0,B Connell,4th,3 1/4 l,7,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Dollar Nolimit (FR),C Stone-Walsh,5,J P O'Brien,3rd,11 l,4,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Jimmy Du Seuil (FR),P Townend,0,W P Mullins,2nd,3/4 l,4,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 13:25,N/A,13:25,Yielding,1m 7f 205y,Asian Master (IRE),Mr T Costello,7,W P Mullins,1st,N/A,6,11-12,-,True,95,31
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,A Law Of Her Own (IRE),S D Torrens,0,Peter Fahey,9th,27 l,6,10-11v,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Ah Fuhgeddaboudit (IRE),D King,0,D Hogan,8th,1/2 l,5,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Miss Agusta (IRE),Sam Ewing,0,G Elliott,7th,11 l,5,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Rockview Consort,B W Harvey,0,J C McConnell,6th,1 l,4,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Pink In The Park (IRE),M J M O'Sullivan,0,W P Mullins,5th,2 1/4 l,6,11-1,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Cast A Spell (IRE),D Meyler,0,T Hogan,4th,2 1/4 l,5,10-11v,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Pastorale (FR),A P Heskin,0,H De Bromhead,3rd,3/4 l,4,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Fun Fun Fun (IRE),P Townend,0,W P Mullins,2nd,3 1/4 l,5,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Birdie Or Bust (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,5,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,A Law Of Her Own (IRE),S D Torrens,0,Peter Fahey,9th,27 l,6,10-11v,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Ah Fuhgeddaboudit (IRE),D King,0,D Hogan,8th,1/2 l,5,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Miss Agusta (IRE),Sam Ewing,0,G Elliott,7th,11 l,5,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Rockview Consort,B W Harvey,0,J C McConnell,6th,1 l,4,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Pink In The Park (IRE),M J M O'Sullivan,0,W P Mullins,5th,2 1/4 l,6,11-1,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Cast A Spell (IRE),D Meyler,0,T Hogan,4th,2 1/4 l,5,10-11v,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Pastorale (FR),A P Heskin,0,H De Bromhead,3rd,3/4 l,4,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Fun Fun Fun (IRE),P Townend,0,W P Mullins,2nd,3 1/4 l,5,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 14:00,N/A,14:00,Yielding,1m 7f 205y,Birdie Or Bust (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,5,10-11,-,True,95,32
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Getaway Charlie (IRE),Mr D Doyle,7,T Doyle,NR,N/A,7,11-10,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Evesham Road (IRE),S F O'Keeffe,0,C Byrnes,UR,N/A,6,11-7,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Meritorious,M J M O'Sullivan,0,Thomas Dowling,PU,N/A,5,11-5,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Camino Rock,R A Doyle,0,M F Morris,PU,N/A,6,11-4t,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Ottizzini (IRE),Sam Ewing,0,S R B Crawford,PU,N/A,6,11-6,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Kinbara (IRE),B W Harvey,3,J C McConnell,F,N/A,5,12-0t,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Zeeband (IRE),J G Gilligan,7,P J Gilligan,5th,16 l,6,11-4b1,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Bob Cigar (IRE),D J Gilligan,5,G Elliott,4th,54 l,5,11-9,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,The Dabbler (IRE),K Callaghan,5,L P Cusack,3rd,21 l,10,11-4p,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Mint Boy (IRE),K M Donoghue,0,G P Cromwell,2nd,3 1/4 l,5,11-12,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Easy Fella (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,6,11-10p,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Getaway Charlie (IRE),Mr D Doyle,7,T Doyle,NR,N/A,7,11-10,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Evesham Road (IRE),S F O'Keeffe,0,C Byrnes,UR,N/A,6,11-7,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Meritorious,M J M O'Sullivan,0,Thomas Dowling,PU,N/A,5,11-5,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Camino Rock,R A Doyle,0,M F Morris,PU,N/A,6,11-4t,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Ottizzini (IRE),Sam Ewing,0,S R B Crawford,PU,N/A,6,11-6,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Kinbara (IRE),B W Harvey,3,J C McConnell,F,N/A,5,12-0t,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Zeeband (IRE),J G Gilligan,7,P J Gilligan,5th,16 l,6,11-4b1,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Bob Cigar (IRE),D J Gilligan,5,G Elliott,4th,54 l,5,11-9,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,The Dabbler (IRE),K Callaghan,5,L P Cusack,3rd,21 l,10,11-4p,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Mint Boy (IRE),K M Donoghue,0,G P Cromwell,2nd,3 1/4 l,5,11-12,-,True,95,34
Thurles Racing Results | 17th December 2023 15:10,N/A,15:10,Yielding,2m 7f,Easy Fella (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,6,11-10p,-,True,95,34
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Ixigreczed (FR),Mr P Lake,7,E Seymour,16th,1 3/4 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Dundara Lady (IRE),Mr J M Halford,7,G B Caldwell,15th,7 1/2 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Doyen Lady (IRE),Mr A Harvey,7,R P Rath,14th,4 1/4 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Sweet Walk Millie (IRE),Ms S C McNamara,7,T O'Connor,13th,4 1/4 l,4,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Noriska De La Mare (FR),Mr E P O'Brien,5,P Fenton,12th,15 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Celestrial Diamond (IRE),Mr P A King,5,W J Lanigan,11th,24 l,9,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Koolio Kate (IRE),Mr Pat Taaffe,7,Patrick T Foley,10th,27 l,4,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Mountrivers Lass (IRE),Mr H Hunt,7,R Murphy,9th,34 l,4,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Heidi's Frontiere (IRE),Mr J C Barry,3,M Kennedy,8th,7 1/2 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Lady Bluebird (IRE),Mr E Finegan,7,H P Finegan,7th,Head,6,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Pitwood Road,Mr D Allen,7,T O'Brien,6th,1/2 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Stagecoach Mary (IRE),Mr F D Brickley,7,G B Caldwell,5th,2 3/4 l,5,11-11h1,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Whatsupnellie (IRE),Ms H Phillips,7,Eric Larkin,4th,1 l,4,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Thats All (IRE),Mr D Doyle,7,T Doyle,3rd,2 1/4 l,6,11-11t,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Amanha (FR),Mr D McGill,7,D A McLoughlin,2nd,7 1/2 l,5,11-11t,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Femme Magnifique (IRE),Mr P W Mullins,0,W P Mullins,1st,N/A,5,11-11t1,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Ixigreczed (FR),Mr P Lake,7,E Seymour,16th,1 3/4 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Dundara Lady (IRE),Mr J M Halford,7,G B Caldwell,15th,7 1/2 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Doyen Lady (IRE),Mr A Harvey,7,R P Rath,14th,4 1/4 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Sweet Walk Millie (IRE),Ms S C McNamara,7,T O'Connor,13th,4 1/4 l,4,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Noriska De La Mare (FR),Mr E P O'Brien,5,P Fenton,12th,15 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Celestrial Diamond (IRE),Mr P A King,5,W J Lanigan,11th,24 l,9,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Koolio Kate (IRE),Mr Pat Taaffe,7,Patrick T Foley,10th,27 l,4,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Mountrivers Lass (IRE),Mr H Hunt,7,R Murphy,9th,34 l,4,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Heidi's Frontiere (IRE),Mr J C Barry,3,M Kennedy,8th,7 1/2 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Lady Bluebird (IRE),Mr E Finegan,7,H P Finegan,7th,Head,6,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Pitwood Road,Mr D Allen,7,T O'Brien,6th,1/2 l,5,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Stagecoach Mary (IRE),Mr F D Brickley,7,G B Caldwell,5th,2 3/4 l,5,11-11h1,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Whatsupnellie (IRE),Ms H Phillips,7,Eric Larkin,4th,1 l,4,11-11,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Thats All (IRE),Mr D Doyle,7,T Doyle,3rd,2 1/4 l,6,11-11t,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Amanha (FR),Mr D McGill,7,D A McLoughlin,2nd,7 1/2 l,5,11-11t,-,True,95,35
Thurles Racing Results | 17th December 2023 15:45,N/A,15:45,Yielding,1m 7f 205y,Femme Magnifique (IRE),Mr P W Mullins,0,W P Mullins,1st,N/A,5,11-11t1,-,True,95,35
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Vadiana (IRE),R P Whelan,0,M Halford & T Collins,9th,2 l,4,8-13,84,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Ransom,J M Sheridan,0,D Hogan,8th,1/2 l,6,9-0t,85,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Marsa (IRE),C D Hayes,0,E Lynam,7th,3/4 l,4,8-7,78,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Hightimeyouwon,J J G Ryan,5,A McGuinness,6th,3/4 l,7,8-13v,84,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Dandyville (IRE),S Foley,0,M G Quinn,5th,Neck,5,9-11,96,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Big Gossey (IRE),R Whearty,5,C O'Brien,4th,Nose,6,10-0,99,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Hodd's Girl (IRE),J A Heffernan,0,A McGuinness,3rd,1 3/4 l,6,9-7,92,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Pier Pressure (FR),C T Keane,0,G M Lyons,2nd,Head,3,8-12b,83,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Apache Outlaw (IRE),D P McDonogh,0,A McGuinness,1st,N/A,3,9-0,85,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Vadiana (IRE),R P Whelan,0,M Halford & T Collins,9th,2 l,4,8-13,84,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Ransom,J M Sheridan,0,D Hogan,8th,1/2 l,6,9-0t,85,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Marsa (IRE),C D Hayes,0,E Lynam,7th,3/4 l,4,8-7,78,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Hightimeyouwon,J J G Ryan,5,A McGuinness,6th,3/4 l,7,8-13v,84,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Dandyville (IRE),S Foley,0,M G Quinn,5th,Neck,5,9-11,96,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Big Gossey (IRE),R Whearty,5,C O'Brien,4th,Nose,6,10-0,99,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Hodd's Girl (IRE),J A Heffernan,0,A McGuinness,3rd,1 3/4 l,6,9-7,92,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Pier Pressure (FR),C T Keane,0,G M Lyons,2nd,Head,3,8-12b,83,True,95,38
Dundalk Racing Results | 20th December 2023 17:15,N/A,17:15,Standard,7f,Apache Outlaw (IRE),D P McDonogh,0,A McGuinness,1st,N/A,3,9-0,85,True,95,38
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Fastman (IRE),J M Sheridan,0,J McAuley,14th,1 l,7,9-4b,51,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Try Hard,N M Crosse,0,L Comer,13th,Neck,5,9-0,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Vormir (IRE),S D Bowen,5,F Birrane,12th,1 3/4 l,6,9-0tv1,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Alfarida (IRE),C Horgan,7,A Slattery,11th,1 1/2 l,3,9-10,57,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Gidwa (IRE),Siobhan Rutledge,3,J C McConnell,10th,2 l,4,9-0p,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Hale Bopp (IRE),R C Colgan,0,R Donohoe,9th,1 l,5,10-0,61,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Airgead (IRE),S Foley,0,Mrs P Dobbs,8th,Neck,7,9-5b,52,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Man Is King (IRE),J Cleary,7,Thomas Dowling,7th,1 l,4,9-0,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Mether (IRE),J A Heffernan,0,N Lupini,6th,1 l,3,9-0t,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Brookie Cookie (IRE),S P Davis,0,Sean Davis,5th,Neck,3,9-0,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Cherry Pink (IRE),R P Whelan,0,M Halford & T Collins,4th,1 1/4 l,3,9-1b1,48,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Saoirses Lulaby (IRE),C D Hayes,0,P J F Murphy,3rd,2 1/4 l,3,9-0t,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Irish Rumour (IRE),C T Keane,0,Miss Jennifer Anne Lynch,2nd,Head,3,9-12,59,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Tynamite (IRE),L T McAteer,0,D Marnane,1st,N/A,9,9-0,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Fastman (IRE),J M Sheridan,0,J McAuley,14th,1 l,7,9-4b,51,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Try Hard,N M Crosse,0,L Comer,13th,Neck,5,9-0,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Vormir (IRE),S D Bowen,5,F Birrane,12th,1 3/4 l,6,9-0tv1,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Alfarida (IRE),C Horgan,7,A Slattery,11th,1 1/2 l,3,9-10,57,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Gidwa (IRE),Siobhan Rutledge,3,J C McConnell,10th,2 l,4,9-0p,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Hale Bopp (IRE),R C Colgan,0,R Donohoe,9th,1 l,5,10-0,61,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Airgead (IRE),S Foley,0,Mrs P Dobbs,8th,Neck,7,9-5b,52,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Man Is King (IRE),J Cleary,7,Thomas Dowling,7th,1 l,4,9-0,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Mether (IRE),J A Heffernan,0,N Lupini,6th,1 l,3,9-0t,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Brookie Cookie (IRE),S P Davis,0,Sean Davis,5th,Neck,3,9-0,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Cherry Pink (IRE),R P Whelan,0,M Halford & T Collins,4th,1 1/4 l,3,9-1b1,48,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Saoirses Lulaby (IRE),C D Hayes,0,P J F Murphy,3rd,2 1/4 l,3,9-0t,47,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Irish Rumour (IRE),C T Keane,0,Miss Jennifer Anne Lynch,2nd,Head,3,9-12,59,True,95,40
Dundalk Racing Results | 20th December 2023 18:15,N/A,18:15,Standard,7f,Tynamite (IRE),L T McAteer,0,D Marnane,1st,N/A,9,9-0,47,True,95,40
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Court Phoenix (IRE),L F Roche,0,J G Coogan,14th,7 l,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Pocket Paralysis (IRE),C D Maxwell,0,D A McLoughlin,13th,6 1/2 l,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Spirit Lady (IRE),N M Crosse,0,W McCreery,12th,3/4 l,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Rosato (IRE),N G McCullagh,0,Charles Weld,11th,1/2 l,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Oh So Bright (IRE),S Foley,0,Mrs J Harrington,10th,Neck,2,9-2t1,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Lorr's Girl (IRE),R P Cleary,0,R Sweeney,9th,Neck,2,9-2,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,The Poacher Daly (IRE),D P McDonogh,0,J P O'Brien,8th,Head,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Branding,C T Keane,0,M O'Callaghan,7th,Neck,2,9-7,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Cool Dan (IRE),S T McCullagh,3,L Breen,6th,Neck,2,9-7p,-,True,95,44
Dundalk Racing Results | 22nd December 2023 16:25,N/A,16:25,Standard,6f,Fair Taxes (IRE),D W O'Connor,0,R O'Sullivan,5th,Nose,2,9-7,-,True,95,44
