track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Rajjnatin (IRE),Philip Donovan,3,Miss E McCutcheon,15th,13 l,7,10-7t,79,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Container Madness (IRE),R A Doyle,0,M Brassil,14th,2 1/2 l,6,10-7tv,79,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Newport,Eoin Staples,7,E Doyle,13th,1 3/4 l,5,10-9tp,81,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Demanding Gerry (IRE),Michael Kenneally,7,James Andrew Fahey,12th,1 1/2 l,6,10-13t,85,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Diamond Approach (IRE),John Shinnick,3,Mary Ellen Doyle,11th,2 1/2 l,5,11-2,88,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Mellem (IRE),T E O'Connor,7,M Fahey,10th,Head,6,11-5p,91,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Westoftignes (IRE),Eoin G Kelly,7,A Murray,9th,2 3/4 l,6,11-12,98,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,I'm Flattered (IRE),A P Kelly,3,P Roche,8th,2 1/4 l,5,11-12t,98,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Ballinaboola Jet (IRE),Danny Mullins,0,R Donohoe,7th,2 3/4 l,8,10-5,77,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Dunany Point (IRE),Kieren Buckley,0,Conor Maxwell,6th,3/4 l,6,11-7p,93,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Gortmore Lady (IRE),Eoin Walsh,0,A J Martin,5th,3 1/2 l,5,10-13,85,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Pleasureofpressure (IRE),Tiernan Power Roche,5,P J Rothwell,4th,1/2 l,5,10-8,80,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,My Good Pal (IRE),Mr B M Coonan,7,G P Cromwell,3rd,Nose,6,11-2t,88,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Head For Home (IRE),Phillip Enright,0,O McKiernan,2nd,4 3/4 l,5,10-6p1,78,True,23,49
N/A,2025-10-14,16:05,Good To Yielding,2m 4f,Pourquoi Poi (IRE),Jack Kennedy,0,P W Flynn,1st,N/A,4,10-13,87,True,23,49
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Sign From Above (IRE),Sam Ewing,0,Peter Fahey,PU,N/A,7,12-0p,122,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Walking On Glass (IRE),Peter Smithers,7,P Roche,PU,N/A,10,11-12p,120,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Digby (IRE),Patrick M O'Brien,5,D A McLoughlin,15th,2 l,10,12-2p,124,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Duke Silver (IRE),J J Slevin,0,J P O'Brien,14th,2 3/4 l,5,11-11p,119,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Mars Harper,Finn Brickley,7,G Elliott,13th,Neck,9,12-1tp,123,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Charlie Luciano (IRE),Jake Coen,0,N Meade,12th,7 l,6,11-9,117,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Jolie Jewel (FR),R Deegan,0,B McMahon,11th,7 l,6,11-5h,113,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Outside The Door (IRE),A P Kelly,3,P Roche,10th,9 1/2 l,9,11-9b,117,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Ira Hayes (IRE),Alex Harvey,0,J C McConnell,9th,3 l,6,11-8,116,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Burru (IRE),Eoin Staples,7,L Kenny,8th,4 1/4 l,7,10-13h,107,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Moonovercloon (IRE),James Smith,5,M J Smith,7th,Neck,8,11-11b1,119,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Quest With Speed (IRE),Sean Flanagan,0,J J Hanlon,6th,3 1/4 l,8,11-2b,110,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Toor Khov (IRE),L Quinlan,0,Ms M Flynn,5th,1 3/4 l,7,11-6,114,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Its Not Over Yet (IRE),Phillip Enright,0,O McKiernan,4th,1 1/4 l,6,10-11,105,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Down Around (IRE),Tiernan Power Roche,5,P J Rothwell,3rd,8 l,8,10-8p,102,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Ceanndana (IRE),Keith Donoghue,0,R O'Sullivan,2nd,1/2 l,8,11-5p,113,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Rising Dust (IRE),Donagh Meyler,0,E Mullins,1st,N/A,7,10-7,101,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Sign From Above (IRE),Sam Ewing,0,Peter Fahey,PU,N/A,7,12-0p,122,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Walking On Glass (IRE),Peter Smithers,7,P Roche,PU,N/A,10,11-12p,120,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Digby (IRE),Patrick M O'Brien,5,D A McLoughlin,15th,2 l,10,12-2p,124,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Duke Silver (IRE),J J Slevin,0,J P O'Brien,14th,2 3/4 l,5,11-11p,119,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Mars Harper,Finn Brickley,7,G Elliott,13th,Neck,9,12-1tp,123,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Charlie Luciano (IRE),Jake Coen,0,N Meade,12th,7 l,6,11-9,117,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Jolie Jewel (FR),R Deegan,0,B McMahon,11th,7 l,6,11-5h,113,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Outside The Door (IRE),A P Kelly,3,P Roche,10th,9 1/2 l,9,11-9b,117,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Ira Hayes (IRE),Alex Harvey,0,J C McConnell,9th,3 l,6,11-8,116,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Burru (IRE),Eoin Staples,7,L Kenny,8th,4 1/4 l,7,10-13h,107,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Moonovercloon (IRE),James Smith,5,M J Smith,7th,Neck,8,11-11b1,119,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Quest With Speed (IRE),Sean Flanagan,0,J J Hanlon,6th,3 1/4 l,8,11-2b,110,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Toor Khov (IRE),L Quinlan,0,Ms M Flynn,5th,1 3/4 l,7,11-6,114,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Its Not Over Yet (IRE),Phillip Enright,0,O McKiernan,4th,1 1/4 l,6,10-11,105,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Down Around (IRE),Tiernan Power Roche,5,P J Rothwell,3rd,8 l,8,10-8p,102,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Ceanndana (IRE),Keith Donoghue,0,R O'Sullivan,2nd,1/2 l,8,11-5p,113,True,23,50
N/A,2025-10-14,16:36,Good To Yielding,2m 7f 22y,Rising Dust (IRE),Donagh Meyler,0,E Mullins,1st,N/A,7,10-7,101,True,23,50
