track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Salt Whistle Bay (IRE),R. C. Colgan,0,Charles Coakley,15th,7 l,9,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Miss Cunning (IRE),Adam Caffrey,5,Aengus King,14th,10 l,6,9-0b,49,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Phoenix Open (USA),D. W. O'Connor,0,S. M. Duffy,13th,3/4 l,7,9-1tp,50,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Geological (IRE),S. McCullagh,3,Damian Joseph English,12th,1/2 l,11,9-12,61,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Vormir (IRE),D. E. Sheehy,3,F. Birrane,11th,1 1/4 l,6,9-0,49,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Rock Dandy (IRE),Seamie Heffernan,0,P. J. F. Murphy,10th,1 3/4 l,5,8-12p1,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Stay Local (IRE),C. D. Hayes,0,Aidan Anthony Howard,9th,Head,5,9-7,56,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Barnhill Rose,J. M. Sheridan,0,Denis Hogan,8th,1 l,5,9-13p,62,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Han Solo,Andrew Joseph Slattery,0,Augustine Leahy,7th,1 l,7,8-12p,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Atlas (IRE),L. T. McAteer,0,T. G. McCourt,6th,1/2 l,10,8-12v,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,What Adaay,Ben Martin Coen,0,Patrick Martin,5th,1 1/4 l,5,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Golden Freckle (IRE),Declan McDonogh,0,T. J. O'Mara,4th,Head,4,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Purring Along (IRE),A. C. Persse,7,S. M. Duffy,3rd,Neck,4,8-13,48,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Breezy Zoff (IRE),R. Whearty,7,Gavin Patrick Cromwell,2nd,1 1/2 l,4,9-12ht,61,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Khafaaq,C. Horgan,7,A. Slattery,1st,N/A,8,10-0b,63,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Salt Whistle Bay (IRE),R. C. Colgan,0,Charles Coakley,15th,7 l,9,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Miss Cunning (IRE),Adam Caffrey,5,Aengus King,14th,10 l,6,9-0b,49,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Phoenix Open (USA),D. W. O'Connor,0,S. M. Duffy,13th,3/4 l,7,9-1tp,50,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Geological (IRE),S. McCullagh,3,Damian Joseph English,12th,1/2 l,11,9-12,61,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Vormir (IRE),D. E. Sheehy,3,F. Birrane,11th,1 1/4 l,6,9-0,49,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Rock Dandy (IRE),Seamie Heffernan,0,P. J. F. Murphy,10th,1 3/4 l,5,8-12p1,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Stay Local (IRE),C. D. Hayes,0,Aidan Anthony Howard,9th,Head,5,9-7,56,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Barnhill Rose,J. M. Sheridan,0,Denis Hogan,8th,1 l,5,9-13p,62,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Han Solo,Andrew Joseph Slattery,0,Augustine Leahy,7th,1 l,7,8-12p,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Atlas (IRE),L. T. McAteer,0,T. G. McCourt,6th,1/2 l,10,8-12v,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,What Adaay,Ben Martin Coen,0,Patrick Martin,5th,1 1/4 l,5,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Golden Freckle (IRE),Declan McDonogh,0,T. J. O'Mara,4th,Head,4,8-12,47,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Purring Along (IRE),A. C. Persse,7,S. M. Duffy,3rd,Neck,4,8-13,48,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Breezy Zoff (IRE),R. Whearty,7,Gavin Patrick Cromwell,2nd,1 1/2 l,4,9-12ht,61,True,65,1
Limerick Racing Results | 24th June 2023 19:30,N/A,19:30,Good To Yielding,1m,Khafaaq,C. Horgan,7,A. Slattery,1st,N/A,8,10-0b,63,True,65,1
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Rajjnatin (IRE),Marc Monaghan,0,Miss Evanna McCutcheon,12th,11 l,5,10-7t,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Galileo Impact (JPN),K. W. de Oliveira,10,W. P. Browne,11th,7 1/2 l,5,10-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Boston Bongo (IRE),L. T. McAteer,0,Barry Fitzgerald,10th,1/2 l,4,10-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Jessi (IRE),J. M. Sheridan,0,Denis Hogan,9th,2 3/4 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Acquest (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,8th,3 1/2 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Djingle (FR),B. Hayes,0,John Queally,7th,5 1/2 l,10,10-7h,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Alluring (USA),D. W. O'Connor,0,K. J. Condon,6th,1/2 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,The Mighty One (IRE),R. C. Colgan,0,Luke Comer,5th,5 1/2 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Duke Cador (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,Head,3,9-7b1,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Fisherman's Beach (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,3rd,3 3/4 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Beechwood (IRE),C. D. Hayes,0,John S. O'Donoghue,2nd,2 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Ethical Diamond (IRE),William James Lee,0,Michael O'Meara,1st,N/A,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Rajjnatin (IRE),Marc Monaghan,0,Miss Evanna McCutcheon,12th,11 l,5,10-7t,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Galileo Impact (JPN),K. W. de Oliveira,10,W. P. Browne,11th,7 1/2 l,5,10-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Boston Bongo (IRE),L. T. McAteer,0,Barry Fitzgerald,10th,1/2 l,4,10-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Jessi (IRE),J. M. Sheridan,0,Denis Hogan,9th,2 3/4 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Acquest (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,8th,3 1/2 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Djingle (FR),B. Hayes,0,John Queally,7th,5 1/2 l,10,10-7h,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Alluring (USA),D. W. O'Connor,0,K. J. Condon,6th,1/2 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,The Mighty One (IRE),R. C. Colgan,0,Luke Comer,5th,5 1/2 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Duke Cador (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,Head,3,9-7b1,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Fisherman's Beach (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,3rd,3 3/4 l,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Beechwood (IRE),C. D. Hayes,0,John S. O'Donoghue,2nd,2 l,3,9-2,-,True,65,2
Limerick Racing Results | 24th June 2023 20:00,N/A,20:00,Good To Yielding,1m 4f 70y,Ethical Diamond (IRE),William James Lee,0,Michael O'Meara,1st,N/A,3,9-7,-,True,65,2
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Delta Dawn (IRE),D. E. Sheehy,3,James Leavy,8th,32 l,6,9-4p,67,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Blackpoint (IRE),William James Lee,0,John E. & Thomas Kiely,7th,Head,7,9-3,66,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Scott Lang (IRE),L. T. McAteer,0,Paul W. Flynn,6th,2 1/2 l,6,9-9p,72,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Milwaukee (USA),Seamie Heffernan,0,Aidan O'Brien,5th,2 l,3,9-1p1,78,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,War Correspondent (IRE),Adam Caffrey,5,R. P. Cody,4th,Neck,4,10-2t,79,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Butterfly Garden (IRE),C. D. Hayes,0,Kevin Prendergast,3rd,1 1/4 l,4,9-6,69,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,En Or (FR),Ben Martin Coen,0,A. J. Martin,2nd,1/2 l,5,9-11t,74,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Seattle Sound (IRE),Declan McDonogh,0,Luke Comer,1st,N/A,5,9-9,72,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Delta Dawn (IRE),D. E. Sheehy,3,James Leavy,8th,32 l,6,9-4p,67,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Blackpoint (IRE),William James Lee,0,John E. & Thomas Kiely,7th,Head,7,9-3,66,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Scott Lang (IRE),L. T. McAteer,0,Paul W. Flynn,6th,2 1/2 l,6,9-9p,72,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Milwaukee (USA),Seamie Heffernan,0,Aidan O'Brien,5th,2 l,3,9-1p1,78,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,War Correspondent (IRE),Adam Caffrey,5,R. P. Cody,4th,Neck,4,10-2t,79,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Butterfly Garden (IRE),C. D. Hayes,0,Kevin Prendergast,3rd,1 1/4 l,4,9-6,69,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,En Or (FR),Ben Martin Coen,0,A. J. Martin,2nd,1/2 l,5,9-11t,74,True,65,3
Limerick Racing Results | 24th June 2023 20:30,N/A,20:30,Good To Yielding,1m 4f 70y,Seattle Sound (IRE),Declan McDonogh,0,Luke Comer,1st,N/A,5,9-9,72,True,65,3
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Not Even Maybe (IRE),J. Coen,2,Michael Mulvany,7th,42 l,3,9-11,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Love Mocha,S. McCullagh,0,Mrs J. Harrington,6th,3 1/2 l,3,9-9b,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Cyber Attack (IRE),R. Whearty,4,Gavin Patrick Cromwell,5th,1/2 l,3,10-0tb1,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Td's Approach (IRE),Siobhan Rutledge,0,Ciaran Murphy,4th,1/2 l,3,10-0,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Lady Pro,J. A. Powell,0,Mrs J. Harrington,3rd,4 1/2 l,3,9-9,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Western Cape (IRE),D. King,2,Denis Hogan,2nd,1 l,3,10-0tb,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Bedelia (IRE),C. Stone-Walsh,7,Gavin Patrick Cromwell,1st,N/A,3,9-3tb1,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Not Even Maybe (IRE),J. Coen,2,Michael Mulvany,7th,42 l,3,9-11,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Love Mocha,S. McCullagh,0,Mrs J. Harrington,6th,3 1/2 l,3,9-9b,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Cyber Attack (IRE),R. Whearty,4,Gavin Patrick Cromwell,5th,1/2 l,3,10-0tb1,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Td's Approach (IRE),Siobhan Rutledge,0,Ciaran Murphy,4th,1/2 l,3,10-0,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Lady Pro,J. A. Powell,0,Mrs J. Harrington,3rd,4 1/2 l,3,9-9,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Western Cape (IRE),D. King,2,Denis Hogan,2nd,1 l,3,10-0tb,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:15,N/A,17:15,Good,1m 1f 125y,Bedelia (IRE),C. Stone-Walsh,7,Gavin Patrick Cromwell,1st,N/A,3,9-3tb1,-,True,65,4
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Mayo For Sam (IRE),J. M. Sheridan,0,Denis Hogan,6th,7 l,3,9-3,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Dakota Chief (IRE),Andrew Joseph Slattery,0,A. Slattery,5th,5 1/2 l,3,9-8,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Toll Stone (IRE),William James Lee,0,K. J. Condon,4th,1 1/2 l,3,9-8t1,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Report (USA),G. M. Ryan,0,Donnacha Aidan O'Brien,3rd,1 3/4 l,3,9-3,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,The First and Last (IRE),S. McCullagh,3,Mrs J. Harrington,2nd,1/2 l,3,9-8,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Green Sky (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,3,9-3,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Mayo For Sam (IRE),J. M. Sheridan,0,Denis Hogan,6th,7 l,3,9-3,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Dakota Chief (IRE),Andrew Joseph Slattery,0,A. Slattery,5th,5 1/2 l,3,9-8,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Toll Stone (IRE),William James Lee,0,K. J. Condon,4th,1 1/2 l,3,9-8t1,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Report (USA),G. M. Ryan,0,Donnacha Aidan O'Brien,3rd,1 3/4 l,3,9-3,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,The First and Last (IRE),S. McCullagh,3,Mrs J. Harrington,2nd,1/2 l,3,9-8,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 17:45,N/A,17:45,Good,1m 1f 125y,Green Sky (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,3,9-3,-,True,65,5
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Cloughaneely Mor (IRE),M. P. Sheehy,0,E. Sheehy,9th,20 l,3,8-11b,47,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Game Eagle (IRE),Andrew Joseph Slattery,0,A. Slattery,8th,3 1/2 l,3,8-11,47,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Captain John Barry (IRE),William James Lee,0,Gillian Scott,7th,1 3/4 l,3,9-8p1,58,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Aurum Sky (IRE),Ben Martin Coen,0,A. J. Martin,6th,Neck,3,9-2,52,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Portmagee (IRE),L. F. Roche,0,Richard Brabazon,5th,1 1/4 l,3,9-10,60,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Miss Langmore (IRE),Siobhan Rutledge,5,John McConnell,4th,2 3/4 l,3,8-11h1,47,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,So Messi (IRE),D. B. McMonagle,0,Patrick Martin,3rd,5 1/2 l,3,9-0t,50,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Portreath (IRE),S. McCullagh,3,Mrs J. Harrington,2nd,1/2 l,3,10-0tp1,64,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Fratas (IRE),G. F. Carroll,0,Michael Mulvany,1st,N/A,3,9-10,60,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Cloughaneely Mor (IRE),M. P. Sheehy,0,E. Sheehy,9th,20 l,3,8-11b,47,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Game Eagle (IRE),Andrew Joseph Slattery,0,A. Slattery,8th,3 1/2 l,3,8-11,47,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Captain John Barry (IRE),William James Lee,0,Gillian Scott,7th,1 3/4 l,3,9-8p1,58,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Aurum Sky (IRE),Ben Martin Coen,0,A. J. Martin,6th,Neck,3,9-2,52,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Portmagee (IRE),L. F. Roche,0,Richard Brabazon,5th,1 1/4 l,3,9-10,60,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Miss Langmore (IRE),Siobhan Rutledge,5,John McConnell,4th,2 3/4 l,3,8-11h1,47,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,So Messi (IRE),D. B. McMonagle,0,Patrick Martin,3rd,5 1/2 l,3,9-0t,50,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Portreath (IRE),S. McCullagh,3,Mrs J. Harrington,2nd,1/2 l,3,10-0tp1,64,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:15,N/A,18:15,Good,1m 1f 125y,Fratas (IRE),G. F. Carroll,0,Michael Mulvany,1st,N/A,3,9-10,60,True,65,6
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Quick Blessing (IRE),C. D. Hayes,0,Gavin Patrick Cromwell,9th,1 l,3,8-9t,72,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Saraqael (IRE),Ben Martin Coen,0,Peter Fahey,8th,3 l,4,10-4,84,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Relevant Range (IRE),William James Lee,0,Gillian Scott,7th,Neck,4,9-5p,71,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Eloquent Arthur,J. M. Sheridan,0,Denis Hogan,6th,3/4 l,5,9-7tp,73,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Blackcastle Storm,Declan McDonogh,0,Matthew J. Smith,5th,1/2 l,6,9-3t,69,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,A Shin Undine (IRE),C. T. Keane,0,Mrs Denise Foster,4th,Neck,4,9-6,72,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Pont Audemer (FR),G. F. Carroll,0,Gavin Patrick Cromwell,3rd,2 1/2 l,4,10-2,82,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Chocolat Blu (IRE),Andrew Joseph Slattery,0,A. Slattery,2nd,1/2 l,4,9-4,70,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Redstone Well (IRE),Amy Jo Hayes,7,Daniel William O'Sullivan,1st,N/A,4,10-1,81,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Quick Blessing (IRE),C. D. Hayes,0,Gavin Patrick Cromwell,9th,1 l,3,8-9t,72,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Saraqael (IRE),Ben Martin Coen,0,Peter Fahey,8th,3 l,4,10-4,84,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Relevant Range (IRE),William James Lee,0,Gillian Scott,7th,Neck,4,9-5p,71,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Eloquent Arthur,J. M. Sheridan,0,Denis Hogan,6th,3/4 l,5,9-7tp,73,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Blackcastle Storm,Declan McDonogh,0,Matthew J. Smith,5th,1/2 l,6,9-3t,69,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,A Shin Undine (IRE),C. T. Keane,0,Mrs Denise Foster,4th,Neck,4,9-6,72,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Pont Audemer (FR),G. F. Carroll,0,Gavin Patrick Cromwell,3rd,2 1/2 l,4,10-2,82,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Chocolat Blu (IRE),Andrew Joseph Slattery,0,A. Slattery,2nd,1/2 l,4,9-4,70,True,65,7
Ballinrobe Racing Results | 26th June 2023 18:45,N/A,18:45,Good,1m 1f 125y,Redstone Well (IRE),Amy Jo Hayes,7,Daniel William O'Sullivan,1st,N/A,4,10-1,81,True,65,7
Ballinrobe Racing Results | 26th June 2023 19:20,N/A,19:20,Good,1m 1f 125y,Cornmarket (IRE),R. C. Colgan,0,Michael Flannery,12th,2 1/4 l,4,9-9p1,-,True,65,8
Ballinrobe Racing Results | 26th June 2023 19:20,N/A,19:20,Good,1m 1f 125y,Angelus Griseo (IRE),L. F. Roche,0,Keelan Dempsey,11th,1 3/4 l,4,9-9t1,-,True,65,8
Ballinrobe Racing Results | 26th June 2023 19:20,N/A,19:20,Good,1m 1f 125y,So Easy Way (IRE),R. P. Cleary,0,I. Madden,10th,3 l,7,9-9,-,True,65,8
Ballinrobe Racing Results | 26th June 2023 19:20,N/A,19:20,Good,1m 1f 125y,Plunkett Street,Andrew Joseph Slattery,0,Michael O'Meara,9th,3/4 l,5,9-9,-,True,65,8
Ballinrobe Racing Results | 26th June 2023 19:20,N/A,19:20,Good,1m 1f 125y,Black Soul (IRE),N. G. McCullagh,0,John E. & Thomas Kiely,8th,6 l,4,9-9,-,True,65,8
Ballinrobe Racing Results | 26th June 2023 19:20,N/A,19:20,Good,1m 1f 125y,Game Nation (IRE),Seamie Heffernan,0,Eric McNamara,7th,4 3/4 l,4,9-9,-,True,65,8
Ballinrobe Racing Results | 26th June 2023 19:20,N/A,19:20,Good,1m 1f 125y,Rock Basher (IRE),N. M. Crosse,0,Luke Comer,6th,2 1/2 l,4,9-9t,-,True,65,8
