track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Moral Turpitude (IRE),N M Crosse,0,Daniel Murphy,14th,2 1/2 l,4,8-7tp,80,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Duran (IRE),Faye McManoman,0,N Tinkler,13th,3/4 l,4,8-12,87,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Fair Taxes (IRE),C D Hayes,0,R O'Sullivan,12th,1/2 l,4,8-7,81,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Thunderbear (IRE),J J G Ryan,3,J Davison,11th,Neck,5,10-0p,103,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Go Athletico (FR),Adam Caffrey,0,A McGuinness,10th,1 1/4 l,7,9-0t,89,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Greek Flower (IRE),W M Lordan,0,J Feane,9th,Neck,6,8-8,83,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Sporting Hero,Nicola Burns,7,D Hogan,8th,Short Head,5,8-7b,77,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Little Queenie (IRE),R Whearty,3,P W Flynn,7th,Head,6,9-3,92,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Apache Outlaw (IRE),R P Cleary,0,A McGuinness,6th,1 1/2 l,5,8-8,83,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Cuban Grey,R M Mulligan,7,P J McKenna,5th,1/2 l,5,8-7p,72,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Harry's Hill,M W Hassett,3,M Hassett,4th,1/2 l,7,8-7t,82,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,The Highway Rat (IRE),B M Coen,0,A Oliver,3rd,Short Head,7,9-10b1,99,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Red Evolution (IRE),J A Powell,3,M O'Callaghan,2nd,1 l,3,8-7,87,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Keke,W J Lee,0,E Lynam,1st,N/A,5,9-4t,93,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Moral Turpitude (IRE),N M Crosse,0,Daniel Murphy,14th,2 1/2 l,4,8-7tp,80,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Duran (IRE),Faye McManoman,0,N Tinkler,13th,3/4 l,4,8-12,87,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Fair Taxes (IRE),C D Hayes,0,R O'Sullivan,12th,1/2 l,4,8-7,81,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Thunderbear (IRE),J J G Ryan,3,J Davison,11th,Neck,5,10-0p,103,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Go Athletico (FR),Adam Caffrey,0,A McGuinness,10th,1 1/4 l,7,9-0t,89,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Greek Flower (IRE),W M Lordan,0,J Feane,9th,Neck,6,8-8,83,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Sporting Hero,Nicola Burns,7,D Hogan,8th,Short Head,5,8-7b,77,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Little Queenie (IRE),R Whearty,3,P W Flynn,7th,Head,6,9-3,92,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Apache Outlaw (IRE),R P Cleary,0,A McGuinness,6th,1 1/2 l,5,8-8,83,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Cuban Grey,R M Mulligan,7,P J McKenna,5th,1/2 l,5,8-7p,72,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Harry's Hill,M W Hassett,3,M Hassett,4th,1/2 l,7,8-7t,82,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,The Highway Rat (IRE),B M Coen,0,A Oliver,3rd,Short Head,7,9-10b1,99,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Red Evolution (IRE),J A Powell,3,M O'Callaghan,2nd,1 l,3,8-7,87,True,3,1
Curragh Racing Results | 29th June 2025 15:30,2025-06-29,15:30,Good,5f,Keke,W J Lee,0,E Lynam,1st,N/A,5,9-4t,93,True,3,1
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Pride Of Arras (IRE),R G Ryan,0,R M Beckett,10th,6 1/2 l,3,9-2,112,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Puppet Master (IRE),W M Lordan,0,A P O'Brien,9th,6 1/2 l,3,9-2,105,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Shackleton (IRE),R P Whelan,0,A P O'Brien,8th,2 3/4 l,3,9-2,101,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Thrice (IRE),D P McDonogh,0,A P O'Brien,7th,3/4 l,3,9-2b,102,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Green Impact (IRE),S Foley,0,Mrs J Harrington,6th,Nose,3,9-2,112,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Sir Dinadan (IRE),R Kingscote,0,R M Beckett,5th,Neck,3,9-2,102,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Tennessee Stud (IRE),D McMonagle,0,J P O'Brien,4th,Neck,3,9-2,112,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Lazy Griff (GER),W Buick,0,C Johnston,3rd,2 1/4 l,3,9-2,114,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Serious Contender (IRE),G M Ryan,0,A P O'Brien,2nd,3/4 l,3,9-2,101,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Lambourn (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-2,120,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Pride Of Arras (IRE),R G Ryan,0,R M Beckett,10th,6 1/2 l,3,9-2,112,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Puppet Master (IRE),W M Lordan,0,A P O'Brien,9th,6 1/2 l,3,9-2,105,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Shackleton (IRE),R P Whelan,0,A P O'Brien,8th,2 3/4 l,3,9-2,101,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Thrice (IRE),D P McDonogh,0,A P O'Brien,7th,3/4 l,3,9-2b,102,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Green Impact (IRE),S Foley,0,Mrs J Harrington,6th,Nose,3,9-2,112,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Sir Dinadan (IRE),R Kingscote,0,R M Beckett,5th,Neck,3,9-2,102,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Tennessee Stud (IRE),D McMonagle,0,J P O'Brien,4th,Neck,3,9-2,112,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Lazy Griff (GER),W Buick,0,C Johnston,3rd,2 1/4 l,3,9-2,114,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Serious Contender (IRE),G M Ryan,0,A P O'Brien,2nd,3/4 l,3,9-2,101,True,3,2
Curragh Racing Results | 29th June 2025 16:10,2025-06-29,16:10,Good,1m 4f,Lambourn (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-2,120,True,3,2
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Soaring Monarch (IRE),R Whearty,3,J M Barrett,13th,7 l,8,9-3,89,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Lope De Lilas (IRE),C T Keane,0,W P Mullins,12th,Neck,4,9-8,94,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Westminster Moon (IRE),J A Heffernan,0,A J Martin,11th,3 3/4 l,5,9-10t,96,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Ceallach (IRE),L T McAteer,0,D Marnane,10th,2 3/4 l,6,9-0t,86,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Lord Church (IRE),W M Lordan,0,E Mullins,9th,1/2 l,4,8-13,85,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Star Harbour (IRE),Adam Caffrey,0,A McGuinness,8th,Neck,7,9-13v,99,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Harbour Wind (IRE),S Coen,7,D K Weld,7th,Neck,5,10-7p,107,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Mo Ghille Mar (IRE),S Foley,0,Mrs J Harrington,6th,1/2 l,4,8-12p,84,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Mashhoor,B M Coen,0,J P Murtagh,5th,1/2 l,7,9-10,96,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Zoffman (IRE),C D Hayes,0,N Meade,4th,Neck,6,9-0p,86,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Beset,D McMonagle,0,J P O'Brien,3rd,1/2 l,4,8-10p1,82,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Cloud Seeker,A J Slattery,0,A Slattery,2nd,Neck,4,9-5,91,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Fleetfoot (IRE),D P McDonogh,0,J S Bolger,1st,N/A,5,9-3t,89,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Soaring Monarch (IRE),R Whearty,3,J M Barrett,13th,7 l,8,9-3,89,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Lope De Lilas (IRE),C T Keane,0,W P Mullins,12th,Neck,4,9-8,94,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Westminster Moon (IRE),J A Heffernan,0,A J Martin,11th,3 3/4 l,5,9-10t,96,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Ceallach (IRE),L T McAteer,0,D Marnane,10th,2 3/4 l,6,9-0t,86,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Lord Church (IRE),W M Lordan,0,E Mullins,9th,1/2 l,4,8-13,85,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Star Harbour (IRE),Adam Caffrey,0,A McGuinness,8th,Neck,7,9-13v,99,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Harbour Wind (IRE),S Coen,7,D K Weld,7th,Neck,5,10-7p,107,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Mo Ghille Mar (IRE),S Foley,0,Mrs J Harrington,6th,1/2 l,4,8-12p,84,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Mashhoor,B M Coen,0,J P Murtagh,5th,1/2 l,7,9-10,96,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Zoffman (IRE),C D Hayes,0,N Meade,4th,Neck,6,9-0p,86,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Beset,D McMonagle,0,J P O'Brien,3rd,1/2 l,4,8-10p1,82,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Cloud Seeker,A J Slattery,0,A Slattery,2nd,Neck,4,9-5,91,True,3,3
Curragh Racing Results | 29th June 2025 16:50,2025-06-29,16:50,Good,1m 4f,Fleetfoot (IRE),D P McDonogh,0,J S Bolger,1st,N/A,5,9-3t,89,True,3,3
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Mataariki (FR),D McMonagle,0,J P O'Brien,12th,8 1/2 l,4,10-0t,95,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Gloriously Glam (IRE),J A Powell,3,A McGuinness,11th,9 1/2 l,3,8-7,80,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Va Va Vroom (IRE),S Foley,0,Mrs J Harrington,10th,1 3/4 l,3,9-0t,90,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,White Clover (IRE),W M Lordan,0,J G Murphy,9th,5 1/2 l,4,8-7,73,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Indigo Five (IRE),D J O'Connor,7,J Feane,8th,1 l,6,10-0,95,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Sweet Chariot (IRE),R L Moore,0,A P O'Brien,7th,1 1/2 l,3,9-2b,92,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Bella Isabella (IRE),C D Hayes,0,D K Weld,6th,1 1/4 l,3,9-5,95,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Enchanted Garden (IRE),R P Cleary,0,A Mullins,5th,Short Head,4,8-7,74,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Murkala (IRE),B M Coen,0,J P Murtagh,4th,1 1/4 l,3,9-3p,93,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Neo Smart (IRE),A J Slattery,0,J S Bolger,3rd,1 1/4 l,4,8-7t,70,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Dance Night Andday (IRE),C T Keane,0,R O'Sullivan,2nd,1 1/4 l,5,10-0,95,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Bellaphina (IRE),J J G Ryan,3,J A Kinsella,1st,N/A,5,9-3t,84,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Mataariki (FR),D McMonagle,0,J P O'Brien,12th,8 1/2 l,4,10-0t,95,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Gloriously Glam (IRE),J A Powell,3,A McGuinness,11th,9 1/2 l,3,8-7,80,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Va Va Vroom (IRE),S Foley,0,Mrs J Harrington,10th,1 3/4 l,3,9-0t,90,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,White Clover (IRE),W M Lordan,0,J G Murphy,9th,5 1/2 l,4,8-7,73,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Indigo Five (IRE),D J O'Connor,7,J Feane,8th,1 l,6,10-0,95,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Sweet Chariot (IRE),R L Moore,0,A P O'Brien,7th,1 1/2 l,3,9-2b,92,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Bella Isabella (IRE),C D Hayes,0,D K Weld,6th,1 1/4 l,3,9-5,95,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Enchanted Garden (IRE),R P Cleary,0,A Mullins,5th,Short Head,4,8-7,74,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Murkala (IRE),B M Coen,0,J P Murtagh,4th,1 1/4 l,3,9-3p,93,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Neo Smart (IRE),A J Slattery,0,J S Bolger,3rd,1 1/4 l,4,8-7t,70,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Dance Night Andday (IRE),C T Keane,0,R O'Sullivan,2nd,1 1/4 l,5,10-0,95,True,3,4
Curragh Racing Results | 29th June 2025 17:20,2025-06-29,17:20,Good,7f,Bellaphina (IRE),J J G Ryan,3,J A Kinsella,1st,N/A,5,9-3t,84,True,3,4
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Molly Hall (IRE),R P Cleary,0,Alan McIntyre,25th,6 l,7,8-7,79,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Golden Temple (IRE),M W Hassett,3,N Meade,24th,Neck,5,8-7tb,78,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Brosna Town (IRE),C D Hayes,0,D K Weld,23rd,1 l,4,8-13t,85,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,La Dame Blanche (IRE),L F Roche,0,Dermot Kilmartin,22nd,6 l,6,8-8,80,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Dark Oak (IRE),A J Slattery,0,J G Murphy,21st,1 l,4,8-7,75,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Dartan,D P McDonogh,0,M J Smith,20th,Head,8,9-1tb,87,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Jabbar (IRE),R M Mulligan,7,Gerard O'Leary,19th,1 3/4 l,6,9-8p,94,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,London City (USA),R L Moore,0,A P O'Brien,18th,3/4 l,4,10-2,102,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Brilliant Light,G M Ryan,0,J J Hanlon,17th,1 1/4 l,8,9-4,90,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Gentleman Joe,W J Lee,0,H De Bromhead,16th,1/2 l,7,9-8t,94,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,O'Reilly (FR),B M Coen,0,Peter Fahey,15th,Neck,7,9-2p1,88,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Filey Bay (IRE),L T McAteer,0,E Mullins,14th,Head,9,8-12ht,84,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Last Ammo (IRE),J Cleary,5,Laura Hourigan,13th,Neck,6,8-7tp,78,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Pinot Gris (IRE),W M Lordan,0,G P Cromwell,12th,2 1/4 l,5,8-7tb,79,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Mon Coeur (IRE),G F Carroll,0,J G Murphy,11th,Neck,9,8-12,84,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Mordor (FR),C T Keane,0,G Elliott,10th,3/4 l,5,9-2,88,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Reverend Hubert (IRE),W Joyce,3,C Byrnes,9th,Neck,7,8-8,80,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Arch Enemy (IRE),J Pietropaolo,7,P Magee,8th,1/2 l,6,8-7,77,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Open Secret,N M Crosse,0,M J Smith,7th,1 1/4 l,4,8-7t1,78,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Eastern Legend (IRE),R Coakley,0,J S Bolger,6th,1/2 l,5,9-11tp,97,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Brazil (IRE),J A Powell,3,P Roche,5th,1/2 l,7,8-9t,81,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,La Vita Nova (IRE),S Foley,0,Mrs J Harrington,4th,1 1/2 l,4,8-12t,84,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Happy Jacky (IRE),K G Kennedy,5,M Fahey,3rd,Nose,11,8-7p1,78,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Too Bossy For Us (IRE),W Buick,0,W P Mullins,2nd,1 1/4 l,4,9-3,89,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Lot of Joy (IRE),J A Heffernan,0,W P Mullins,1st,N/A,7,8-12,84,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Molly Hall (IRE),R P Cleary,0,Alan McIntyre,25th,6 l,7,8-7,79,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Golden Temple (IRE),M W Hassett,3,N Meade,24th,Neck,5,8-7tb,78,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Brosna Town (IRE),C D Hayes,0,D K Weld,23rd,1 l,4,8-13t,85,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,La Dame Blanche (IRE),L F Roche,0,Dermot Kilmartin,22nd,6 l,6,8-8,80,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Dark Oak (IRE),A J Slattery,0,J G Murphy,21st,1 l,4,8-7,75,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Dartan,D P McDonogh,0,M J Smith,20th,Head,8,9-1tb,87,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Jabbar (IRE),R M Mulligan,7,Gerard O'Leary,19th,1 3/4 l,6,9-8p,94,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,London City (USA),R L Moore,0,A P O'Brien,18th,3/4 l,4,10-2,102,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Brilliant Light,G M Ryan,0,J J Hanlon,17th,1 1/4 l,8,9-4,90,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Gentleman Joe,W J Lee,0,H De Bromhead,16th,1/2 l,7,9-8t,94,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,O'Reilly (FR),B M Coen,0,Peter Fahey,15th,Neck,7,9-2p1,88,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Filey Bay (IRE),L T McAteer,0,E Mullins,14th,Head,9,8-12ht,84,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Last Ammo (IRE),J Cleary,5,Laura Hourigan,13th,Neck,6,8-7tp,78,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Pinot Gris (IRE),W M Lordan,0,G P Cromwell,12th,2 1/4 l,5,8-7tb,79,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Mon Coeur (IRE),G F Carroll,0,J G Murphy,11th,Neck,9,8-12,84,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Mordor (FR),C T Keane,0,G Elliott,10th,3/4 l,5,9-2,88,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Reverend Hubert (IRE),W Joyce,3,C Byrnes,9th,Neck,7,8-8,80,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Arch Enemy (IRE),J Pietropaolo,7,P Magee,8th,1/2 l,6,8-7,77,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Open Secret,N M Crosse,0,M J Smith,7th,1 1/4 l,4,8-7t1,78,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Eastern Legend (IRE),R Coakley,0,J S Bolger,6th,1/2 l,5,9-11tp,97,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Brazil (IRE),J A Powell,3,P Roche,5th,1/2 l,7,8-9t,81,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,La Vita Nova (IRE),S Foley,0,Mrs J Harrington,4th,1 1/2 l,4,8-12t,84,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Happy Jacky (IRE),K G Kennedy,5,M Fahey,3rd,Nose,11,8-7p1,78,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Too Bossy For Us (IRE),W Buick,0,W P Mullins,2nd,1 1/4 l,4,9-3,89,True,3,5
Curragh Racing Results | 29th June 2025 17:55,2025-06-29,17:55,Good (Good To Firm In Places),2m,Lot of Joy (IRE),J A Heffernan,0,W P Mullins,1st,N/A,7,8-12,84,True,3,5
