track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,15:40,Yielding (Good To Yielding In Places),2m 3f 180y,Gold Speed (FR),B. W. Harvey,2,Adrian Murray,4th,1 1/4 l,10,11-7h,116,True,51,21
N/A,N/A,15:40,Yielding (Good To Yielding In Places),2m 3f 180y,Camino Rock,Gavin Peter Brouder,2,M. F. Morris,3rd,Neck,6,11-4t,113,True,51,21
N/A,N/A,15:40,Yielding (Good To Yielding In Places),2m 3f 180y,Bread And Butter (IRE),Lewis Stones,2,Olly Murphy,2nd,1 l,8,11-10t,119,True,51,21
N/A,N/A,15:40,Yielding (Good To Yielding In Places),2m 3f 180y,Ballybawn Belter (IRE),C. G. O'Dwyer,4,Miss Elizabeth Doyle,1st,N/A,5,11-5,114,True,51,21
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Rocco Bay (IRE),M. P. Walsh,0,Peter Fahey,PU,N/A,7,11-3,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Grand Rouge (IRE),D. King,5,James M. Barcoe,PU,N/A,7,11-3,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Ik's Man (FR),J. P. Shinnick,7,Terence O'Brien,PU,N/A,7,11-3tb1,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Fine Margin (IRE),D. E. Mullins,0,Matthew A. Daly,9th,16 l,6,11-3t,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Mollys Glory (IRE),Sean Flanagan,0,M. C. Grassick,8th,1 3/4 l,8,10-10,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Free Flowing (IRE),R. P. Geoghegan,7,Norman Lee,7th,18 l,7,11-3,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Three Card Brag (IRE),A. P. Heskin,0,Gordon Elliott,6th,4 3/4 l,6,11-12,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,My Gaffer (IRE),Liam Quinlan,5,John Patrick Ryan,5th,4 3/4 l,5,11-3,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Nucky Johnson (IRE),L. A. McKenna,5,Noel Meade,4th,2 3/4 l,5,11-10,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Senior Chief,Rachael Blackmore,0,Henry de Bromhead,3rd,2 1/2 l,6,11-10,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Della Casa Lunga (IRE),Phillip Enright,0,S. Curling,2nd,1 3/4 l,5,11-1t,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Sandor Clegane (IRE),S. F. O'Keeffe,0,Paul Nolan,1st,N/A,6,11-10,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Rocco Bay (IRE),M. P. Walsh,0,Peter Fahey,PU,N/A,7,11-3,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Grand Rouge (IRE),D. King,5,James M. Barcoe,PU,N/A,7,11-3,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Ik's Man (FR),J. P. Shinnick,7,Terence O'Brien,PU,N/A,7,11-3tb1,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Fine Margin (IRE),D. E. Mullins,0,Matthew A. Daly,9th,16 l,6,11-3t,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Mollys Glory (IRE),Sean Flanagan,0,M. C. Grassick,8th,1 3/4 l,8,10-10,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Free Flowing (IRE),R. P. Geoghegan,7,Norman Lee,7th,18 l,7,11-3,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Three Card Brag (IRE),A. P. Heskin,0,Gordon Elliott,6th,4 3/4 l,6,11-12,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,My Gaffer (IRE),Liam Quinlan,5,John Patrick Ryan,5th,4 3/4 l,5,11-3,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Nucky Johnson (IRE),L. A. McKenna,5,Noel Meade,4th,2 3/4 l,5,11-10,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Senior Chief,Rachael Blackmore,0,Henry de Bromhead,3rd,2 1/2 l,6,11-10,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Della Casa Lunga (IRE),Phillip Enright,0,S. Curling,2nd,1 3/4 l,5,11-1t,-,True,51,22
N/A,N/A,16:15,Yielding (Good To Yielding In Places),2m 3f 180y,Sandor Clegane (IRE),S. F. O'Keeffe,0,Paul Nolan,1st,N/A,6,11-10,-,True,51,22
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Perfect Attitude,Jordan Colin Gainford,0,Gordon Elliott,UR,N/A,7,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Port Stanley (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,PU,N/A,9,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Riggs (IRE),B. W. Harvey,5,Peter Cluskey,7th,7 l,8,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Un Des Flos (FR),Sean Flanagan,0,Harry Rogers,6th,13 l,5,11-12ht1,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Eye Van (IRE),Niall Moore,7,R. P. Cody,5th,26 l,9,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Tag Man (IRE),Rachael Blackmore,0,Henry de Bromhead,4th,Head,7,11-6,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Imagine (FR),D. J. Gilligan,7,Gordon Elliott,3rd,5 l,5,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Da Capo Glory (IRE),Mr D. Allen,7,Padraig Butler,2nd,4 1/4 l,6,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Grangeclare West (IRE),P. Townend,0,W. P. Mullins,1st,N/A,7,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Perfect Attitude,Jordan Colin Gainford,0,Gordon Elliott,UR,N/A,7,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Port Stanley (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,PU,N/A,9,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Riggs (IRE),B. W. Harvey,5,Peter Cluskey,7th,7 l,8,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Un Des Flos (FR),Sean Flanagan,0,Harry Rogers,6th,13 l,5,11-12ht1,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Eye Van (IRE),Niall Moore,7,R. P. Cody,5th,26 l,9,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Tag Man (IRE),Rachael Blackmore,0,Henry de Bromhead,4th,Head,7,11-6,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Imagine (FR),D. J. Gilligan,7,Gordon Elliott,3rd,5 l,5,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Da Capo Glory (IRE),Mr D. Allen,7,Padraig Butler,2nd,4 1/4 l,6,11-12,-,True,51,23
N/A,N/A,16:45,Yielding (Good To Yielding In Places),2m 3f 180y,Grangeclare West (IRE),P. Townend,0,W. P. Mullins,1st,N/A,7,11-12,-,True,51,23
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Salvador Ziggy (IRE),M. P. Walsh,0,Gordon Elliott,PU,N/A,7,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Whatcouldhavebeen (IRE),Sean Flanagan,0,Jarlath P. Fahey,8th,3/4 l,5,11-3,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Harry Des Ongrais (FR),Rachael Blackmore,0,Henry de Bromhead,7th,Short Head,6,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Embassy Gardens,D. E. Mullins,0,W. P. Mullins,6th,4 l,7,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Kalanisi Star,Phillip Enright,0,Oliver McKiernan,5th,3 3/4 l,6,11-10t1,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Favori De Champdou (FR),D. J. O'Keeffe,0,Gordon Elliott,4th,Short Head,8,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Franciscan Rock (IRE),R. A. Doyle,0,M. F. Morris,3rd,6 l,6,11-10p1,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Affordale Fury (IRE),Danny McMenamin,0,Noel Meade,2nd,10 l,5,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Gaelic Warrior (GER),P. Townend,0,W. P. Mullins,1st,N/A,5,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Salvador Ziggy (IRE),M. P. Walsh,0,Gordon Elliott,PU,N/A,7,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Whatcouldhavebeen (IRE),Sean Flanagan,0,Jarlath P. Fahey,8th,3/4 l,5,11-3,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Harry Des Ongrais (FR),Rachael Blackmore,0,Henry de Bromhead,7th,Short Head,6,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Embassy Gardens,D. E. Mullins,0,W. P. Mullins,6th,4 l,7,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Kalanisi Star,Phillip Enright,0,Oliver McKiernan,5th,3 3/4 l,6,11-10t1,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Favori De Champdou (FR),D. J. O'Keeffe,0,Gordon Elliott,4th,Short Head,8,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Franciscan Rock (IRE),R. A. Doyle,0,M. F. Morris,3rd,6 l,6,11-10p1,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Affordale Fury (IRE),Danny McMenamin,0,Noel Meade,2nd,10 l,5,11-10,-,True,51,24
N/A,N/A,17:20,Yielding (Good To Yielding In Places),2m 7f 180y,Gaelic Warrior (GER),P. Townend,0,W. P. Mullins,1st,N/A,5,11-10,-,True,51,24
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Fury Road (IRE),M. P. Walsh,0,Gordon Elliott,5th,29 l,9,11-10tp,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Envoi Allen (FR),Rachael Blackmore,0,Henry de Bromhead,4th,14 l,9,11-10t,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Bravemansgame (FR),Harry Cobden,0,Paul Nicholls,3rd,Nose,8,11-10,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Galopin Des Champs (FR),P. Townend,0,W. P. Mullins,2nd,2 1/4 l,7,11-10,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Fastorslow (FR),J. J. Slevin,0,Martin Brassil,1st,N/A,7,11-10t,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Fury Road (IRE),M. P. Walsh,0,Gordon Elliott,5th,29 l,9,11-10tp,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Envoi Allen (FR),Rachael Blackmore,0,Henry de Bromhead,4th,14 l,9,11-10t,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Bravemansgame (FR),Harry Cobden,0,Paul Nicholls,3rd,Nose,8,11-10,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Galopin Des Champs (FR),P. Townend,0,W. P. Mullins,2nd,2 1/4 l,7,11-10,-,True,51,25
N/A,N/A,17:55,Yielding (Good To Yielding In Places),3m 30y,Fastorslow (FR),J. J. Slevin,0,Martin Brassil,1st,N/A,7,11-10t,-,True,51,25
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,Western Diego (IRE),Mr D. O'Connor,0,W. P. Mullins,8th,99 l,6,12-0h,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,No Time To Wait (IRE),Mr J. J. Codd,0,Gordon Elliott,7th,1/2 l,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,Rath Gaul Boy (IRE),Mr Pat Taaffe,0,W. P. Mullins,6th,9 1/2 l,6,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,It's For Me (FR),Miss J. Townend,0,W. P. Mullins,5th,1 3/4 l,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,A Piece Of Heaven (FR),Mr J. W. Hendrick,0,Barry Fitzgerald,4th,6 l,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,King Of Kingsfield (IRE),Mr H. C. Swan,0,Gordon Elliott,3rd,7 1/2 l,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,Tullyhill (FR),Mr P. W. Mullins,0,W. P. Mullins,2nd,3 3/4 l,5,12-0t,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,A Dream To Share (IRE),Mr J. L. Gleeson,0,John E. Kiely,1st,N/A,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,Western Diego (IRE),Mr D. O'Connor,0,W. P. Mullins,8th,99 l,6,12-0h,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,No Time To Wait (IRE),Mr J. J. Codd,0,Gordon Elliott,7th,1/2 l,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,Rath Gaul Boy (IRE),Mr Pat Taaffe,0,W. P. Mullins,6th,9 1/2 l,6,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,It's For Me (FR),Miss J. Townend,0,W. P. Mullins,5th,1 3/4 l,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,A Piece Of Heaven (FR),Mr J. W. Hendrick,0,Barry Fitzgerald,4th,6 l,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,King Of Kingsfield (IRE),Mr H. C. Swan,0,Gordon Elliott,3rd,7 1/2 l,5,12-0,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,Tullyhill (FR),Mr P. W. Mullins,0,W. P. Mullins,2nd,3 3/4 l,5,12-0t,-,True,51,26
N/A,N/A,18:30,Yielding (Good To Yielding In Places),2m 70y,A Dream To Share (IRE),Mr J. L. Gleeson,0,John E. Kiely,1st,N/A,5,12-0,-,True,51,26
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Andy Dufresne (IRE),D. J. Gilligan,7,Gordon Elliott,UR,N/A,9,11-7t,150,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Ha D'Or (FR),P. Townend,0,W. P. Mullins,F,N/A,6,10-11h,140,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,The Little Yank (IRE),D. J. O'Keeffe,0,John Patrick Ryan,F,N/A,8,10-0,129,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Lieutenant Command (FR),L. A. McKenna,5,Noel Meade,6th,1/2 l,9,10-12p,141,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Egality Mans (FR),S. F. O'Keeffe,0,W. P. Mullins,5th,2 l,9,10-1,130,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Ilikedwayurthinkin (IRE),M. P. Walsh,0,Gavin Patrick Cromwell,4th,3/4 l,9,10-6b,135,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Gallant John Joe (IRE),Phillip Enright,0,Oliver McKiernan,3rd,1 3/4 l,10,10-7tb,136,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Royal Rendezvous (IRE),D. E. Mullins,0,W. P. Mullins,2nd,8 1/2 l,11,11-12h,155,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Hereditary Rule (IRE),Shane O'Callaghan,7,John McConnell,1st,N/A,8,10-0t,129,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Andy Dufresne (IRE),D. J. Gilligan,7,Gordon Elliott,UR,N/A,9,11-7t,150,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Ha D'Or (FR),P. Townend,0,W. P. Mullins,F,N/A,6,10-11h,140,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,The Little Yank (IRE),D. J. O'Keeffe,0,John Patrick Ryan,F,N/A,8,10-0,129,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Lieutenant Command (FR),L. A. McKenna,5,Noel Meade,6th,1/2 l,9,10-12p,141,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Egality Mans (FR),S. F. O'Keeffe,0,W. P. Mullins,5th,2 l,9,10-1,130,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Ilikedwayurthinkin (IRE),M. P. Walsh,0,Gavin Patrick Cromwell,4th,3/4 l,9,10-6b,135,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Gallant John Joe (IRE),Phillip Enright,0,Oliver McKiernan,3rd,1 3/4 l,10,10-7tb,136,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Royal Rendezvous (IRE),D. E. Mullins,0,W. P. Mullins,2nd,8 1/2 l,11,11-12h,155,True,51,27
N/A,N/A,19:05,Yielding (Good To Yielding In Places),2m 5f 50y,Hereditary Rule (IRE),Shane O'Callaghan,7,John McConnell,1st,N/A,8,10-0t,129,True,51,27
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Miss Gherkin (IRE),Mr B. Lawless,0,Peter Croke,13th,12 l,4,11-3,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Fancy Girl (IRE),Mr Charlie Mullins,0,W. P. Mullins,12th,9 1/2 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Miss Agusta (IRE),Mr H. C. Swan,0,Gordon Elliott,11th,5 1/2 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Florance (IRE),Miss A. B. O'Connor,0,Anthony McCann,10th,2 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Mi Lucky Cailin (IRE),Mr D. O'Connor,0,William J. McLernon,9th,3/4 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Bold Reflection (IRE),Mr J. J. Codd,0,John McConnell,8th,1 1/2 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Phils Choice (IRE),Miss P. Elvin,0,P. J. Rothwell,7th,1 1/4 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Arctic Fly (IRE),Mr Elliot Ohgren,0,W. P. Mullins,6th,2 3/4 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Brucio,Mr B. G. Crawford,0,Stuart Crawford,5th,4 l,5,11-11ht1,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Fun Fun Fun (IRE),Mr P. W. Mullins,0,W. P. Mullins,4th,Neck,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Cuta Des As (FR),Mr Pat Taaffe,0,W. P. Mullins,3rd,7 1/2 l,6,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Rhaenyra (IRE),Mr B. O'Neill,0,Colm A. Murphy,2nd,2 l,5,11-11h,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Junta Marvel (FR),Miss J. Townend,0,W. P. Mullins,1st,N/A,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Miss Gherkin (IRE),Mr B. Lawless,0,Peter Croke,13th,12 l,4,11-3,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Fancy Girl (IRE),Mr Charlie Mullins,0,W. P. Mullins,12th,9 1/2 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Miss Agusta (IRE),Mr H. C. Swan,0,Gordon Elliott,11th,5 1/2 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Florance (IRE),Miss A. B. O'Connor,0,Anthony McCann,10th,2 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Mi Lucky Cailin (IRE),Mr D. O'Connor,0,William J. McLernon,9th,3/4 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Bold Reflection (IRE),Mr J. J. Codd,0,John McConnell,8th,1 1/2 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Phils Choice (IRE),Miss P. Elvin,0,P. J. Rothwell,7th,1 1/4 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Arctic Fly (IRE),Mr Elliot Ohgren,0,W. P. Mullins,6th,2 3/4 l,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Brucio,Mr B. G. Crawford,0,Stuart Crawford,5th,4 l,5,11-11ht1,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Fun Fun Fun (IRE),Mr P. W. Mullins,0,W. P. Mullins,4th,Neck,5,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Cuta Des As (FR),Mr Pat Taaffe,0,W. P. Mullins,3rd,7 1/2 l,6,11-11,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Rhaenyra (IRE),Mr B. O'Neill,0,Colm A. Murphy,2nd,2 l,5,11-11h,-,True,51,28
N/A,N/A,19:45,Yielding (Good To Yielding In Places),2m 70y,Junta Marvel (FR),Miss J. Townend,0,W. P. Mullins,1st,N/A,5,11-11,-,True,51,28
N/A,N/A,15:40,Good To Yielding,2m 40y,Gentleman Joe,Rachael Blackmore,0,Henry de Bromhead,UR,N/A,5,11-7t,116,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Gordons Aura (IRE),Sean Flanagan,0,Gordon Elliott,UR,N/A,4,11-1,118,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Wild Shot,B. W. Harvey,5,John McConnell,UR,N/A,9,11-11t,120,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Francois (FR),Mr B. Dunleavy,7,Mary E Doyle,C,N/A,8,11-11tp,120,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Listentillitellyea (IRE),D. J. O'Keeffe,0,T. Gibney,C,N/A,7,11-3,112,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Figaroc (FR),B. Hayes,0,W. P. Mullins,C,N/A,8,11-13,122,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,It'sallabouteve (IRE),A. M. McCurtin,0,Brendan Maurice Walsh,19th,9 1/2 l,7,11-1,110,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Vischio (IRE),Richard Deegan,0,R. Donohoe,18th,7 l,6,11-3,112,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Charcor (IRE),J. J. Slevin,0,Martin Brassil,17th,3/4 l,9,11-1t,110,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Fascinating Shadow (IRE),J. S. McGarvey,0,John Joseph Hanlon,16th,2 1/4 l,5,11-7,116,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Garrybello (FR),P. Byrnes,5,Thomas Cooper,15th,3 1/4 l,5,12-0ht,123,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Clever Currency (IRE),D. E. Mullins,0,Paul W. Flynn,14th,Neck,6,11-5t,114,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Walnut Beach (IRE),G. B. Noonan,5,Patrick J. Flynn,13th,4 1/2 l,6,11-13,122,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Clonshire River (IRE),R. A. Doyle,0,Eddie & Patrick Harty,12th,1 l,6,11-7t1,116,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Snapius (IRE),Gavin Peter Brouder,5,James A. Nash,11th,3/4 l,4,10-9,112,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,The Dasher Conway (IRE),Keith Donoghue,0,Mrs Gillian Callaghan,10th,Neck,8,11-6,115,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Clarens (IRE),D. King,5,J. P. Flavin,9th,1/2 l,6,11-8,117,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Aslukwoodhavit,M. P. O'Connor,5,Henry de Bromhead,8th,3 l,7,12-0,123,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Too Bright (IRE),Denis O'Regan,0,Noel Meade,7th,2 3/4 l,5,11-4,113,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Ifiwerearichman (IRE),Mr R. James,7,Paul Nolan,6th,1 1/4 l,5,11-12h,121,True,51,29
N/A,N/A,15:40,Good To Yielding,2m 40y,Itwasfate,C. Brassil,5,Henry de Bromhead,5th,1 1/4 l,6,11-3,112,True,51,29
