track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Mini Mai (IRE),G F Carroll,0,G M Lyons,NR,N/A,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Altoir Na Greine (IRE),J A Powell,3,N Meade,8th,2 1/4 l,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Powerful Lady (FR),R C Colgan,0,N Lupini,7th,2 1/2 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,James The Second (IRE),W Joyce,5,M Mulvany,6th,Head,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Movin And Groovin (IRE),R P Cleary,0,A McGuinness,5th,2 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Kilmood Susan (IRE),R Whearty,5,Daniel Murphy,4th,1 1/2 l,2,9-2p,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Sharkii (IRE),G M Ryan,0,D Dias,3rd,1 1/2 l,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Billie Be Quick (IRE),N M Crosse,0,Mrs J Harrington,2nd,3 1/4 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Shamrock Breeze (IRE),W J Lee,0,J Davison,1st,N/A,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Mini Mai (IRE),G F Carroll,0,G M Lyons,NR,N/A,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Altoir Na Greine (IRE),J A Powell,3,N Meade,8th,2 1/4 l,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Powerful Lady (FR),R C Colgan,0,N Lupini,7th,2 1/2 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,James The Second (IRE),W Joyce,5,M Mulvany,6th,Head,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Movin And Groovin (IRE),R P Cleary,0,A McGuinness,5th,2 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Kilmood Susan (IRE),R Whearty,5,Daniel Murphy,4th,1 1/2 l,2,9-2p,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Sharkii (IRE),G M Ryan,0,D Dias,3rd,1 1/2 l,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Billie Be Quick (IRE),N M Crosse,0,Mrs J Harrington,2nd,3 1/4 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Shamrock Breeze (IRE),W J Lee,0,J Davison,1st,N/A,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Scot's Grace (IRE),J M Sheridan,0,L Breen,8th,1 1/2 l,5,8-13,75,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Iva Batt (IRE),K G Kennedy,7,R K Watson,7th,1/2 l,6,8-7t,69,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Pro Bono Alexander (IRE),M W Hassett,5,W P Browne,6th,1/2 l,4,9-2,78,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Petit Calvados (IRE),G F Carroll,0,Eoghan O'Neill,5th,1/2 l,6,9-5p,81,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Aurora Nova (IRE),W Joyce,5,A McNamara,4th,1 3/4 l,5,8-7,69,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Beatrix Power (IRE),J J G Ryan,5,E Lynam,3rd,3/4 l,3,8-12,80,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Greek Flower (IRE),M P Sheehy,0,J Feane,2nd,2 3/4 l,5,9-2,78,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,She's Quality (IRE),W J Lee,0,J Davison,1st,N/A,3,10-1,97,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Scot's Grace (IRE),J M Sheridan,0,L Breen,8th,1 1/2 l,5,8-13,75,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Iva Batt (IRE),K G Kennedy,7,R K Watson,7th,1/2 l,6,8-7t,69,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Pro Bono Alexander (IRE),M W Hassett,5,W P Browne,6th,1/2 l,4,9-2,78,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Petit Calvados (IRE),G F Carroll,0,Eoghan O'Neill,5th,1/2 l,6,9-5p,81,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Aurora Nova (IRE),W Joyce,5,A McNamara,4th,1 3/4 l,5,8-7,69,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Beatrix Power (IRE),J J G Ryan,5,E Lynam,3rd,3/4 l,3,8-12,80,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,Greek Flower (IRE),M P Sheehy,0,J Feane,2nd,2 3/4 l,5,9-2,78,True,124,2
Down Royal Racing Results | 21st June 2024 17:25,N/A,17:25,Good (Good To Firm In Places),5f,She's Quality (IRE),W J Lee,0,J Davison,1st,N/A,3,10-1,97,True,124,2
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Quiet Affair,K G Kennedy,7,J Barcoe,NR,N/A,3,8-12t,54,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Butterfly Bush (IRE),R C Colgan,0,P Magee,11th,7 1/2 l,3,9-4p1,60,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Blame Thechampagne (IRE),C J MacRedmond,5,A McGuinness,10th,Neck,3,9-13v1,69,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Seven Eleven,D W O'Connor,0,J F Levins,9th,Short Head,3,9-12,68,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Pomeriggio (IRE),N M Crosse,0,Peter Fahey,8th,3 1/2 l,3,10-0,70,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Babyface (IRE),J J G Ryan,5,E Lynam,7th,1/2 l,3,8-11,53,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Mary Shoelaces (IRE),M W Hassett,5,E & P Harty,6th,1 3/4 l,3,9-7b,63,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Lady Daar,G F Carroll,0,G P Cromwell,5th,1 1/4 l,3,9-5,61,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,She's Smart (IRE),Adam Caffrey,3,A McGuinness,4th,Neck,3,9-13,69,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Elliott (IRE),W J Lee,0,M G Quinn,3rd,1 1/2 l,3,9-4,60,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Emerald Harmony (IRE),S B Kelly,0,J P Murtagh,2nd,1/2 l,3,9-12,68,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Comein Comein (IRE),G M Ryan,0,D Dias,1st,N/A,3,9-2,58,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Quiet Affair,K G Kennedy,7,J Barcoe,NR,N/A,3,8-12t,54,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Butterfly Bush (IRE),R C Colgan,0,P Magee,11th,7 1/2 l,3,9-4p1,60,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Blame Thechampagne (IRE),C J MacRedmond,5,A McGuinness,10th,Neck,3,9-13v1,69,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Seven Eleven,D W O'Connor,0,J F Levins,9th,Short Head,3,9-12,68,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Pomeriggio (IRE),N M Crosse,0,Peter Fahey,8th,3 1/2 l,3,10-0,70,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Babyface (IRE),J J G Ryan,5,E Lynam,7th,1/2 l,3,8-11,53,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Mary Shoelaces (IRE),M W Hassett,5,E & P Harty,6th,1 3/4 l,3,9-7b,63,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Lady Daar,G F Carroll,0,G P Cromwell,5th,1 1/4 l,3,9-5,61,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,She's Smart (IRE),Adam Caffrey,3,A McGuinness,4th,Neck,3,9-13,69,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Elliott (IRE),W J Lee,0,M G Quinn,3rd,1 1/2 l,3,9-4,60,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Emerald Harmony (IRE),S B Kelly,0,J P Murtagh,2nd,1/2 l,3,9-12,68,True,124,3
Down Royal Racing Results | 21st June 2024 17:55,N/A,17:55,Good (Good To Firm In Places),5f,Comein Comein (IRE),G M Ryan,0,D Dias,1st,N/A,3,9-2,58,True,124,3
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Fly To Glory (IRE),G M Ryan,0,P J F Murphy,12th,4 1/4 l,5,9-7,68,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Tamazu (IRE),K J Leonard,0,F Birrane,11th,2 3/4 l,5,9-7t,68,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Marble Angel (IRE),N M Crosse,0,A Oliver,10th,Neck,4,8-9,56,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Bold Optimist (IRE),S T McCullagh,3,Daniel McLoughlin,9th,Nose,4,10-0p,75,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Spirit Of Eagles (IRE),L F Roche,0,Thomas Dowling,8th,Nose,4,8-8t,55,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Astral Beat (IRE),D E Sheehy,0,L Smyth,7th,Short Head,5,8-7t,48,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Eruption (IRE),R Whearty,5,M J Smith,6th,1 l,5,9-0b,61,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Rathbranchurch (IRE),W Joyce,5,M Mulvany,5th,Short Head,4,9-13,74,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Realtin Fantasy (IRE),M W Hassett,5,W P Browne,3rd,1/2 l,8,8-10,57,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Havana Notion,K G Kennedy,7,J Feane,3rd,Dead Heat,4,8-8,55,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Cuban Grey,J M Sheridan,0,P J McKenna,2nd,Neck,4,8-10tp,57,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Keke,W J Lee,0,E Lynam,1st,N/A,4,10-0t,75,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Fly To Glory (IRE),G M Ryan,0,P J F Murphy,12th,4 1/4 l,5,9-7,68,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Tamazu (IRE),K J Leonard,0,F Birrane,11th,2 3/4 l,5,9-7t,68,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Marble Angel (IRE),N M Crosse,0,A Oliver,10th,Neck,4,8-9,56,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Bold Optimist (IRE),S T McCullagh,3,Daniel McLoughlin,9th,Nose,4,10-0p,75,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Spirit Of Eagles (IRE),L F Roche,0,Thomas Dowling,8th,Nose,4,8-8t,55,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Astral Beat (IRE),D E Sheehy,0,L Smyth,7th,Short Head,5,8-7t,48,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Eruption (IRE),R Whearty,5,M J Smith,6th,1 l,5,9-0b,61,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Rathbranchurch (IRE),W Joyce,5,M Mulvany,5th,Short Head,4,9-13,74,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Realtin Fantasy (IRE),M W Hassett,5,W P Browne,3rd,1/2 l,8,8-10,57,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Havana Notion,K G Kennedy,7,J Feane,3rd,Dead Heat,4,8-8,55,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Cuban Grey,J M Sheridan,0,P J McKenna,2nd,Neck,4,8-10tp,57,True,124,4
Down Royal Racing Results | 21st June 2024 18:30,N/A,18:30,Good (Good To Firm In Places),5f,Keke,W J Lee,0,E Lynam,1st,N/A,4,10-0t,75,True,124,4
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Moonhall Lass (IRE),Non Runner,0,Alan McIntyre,NR,N/A,2,9-1,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Episodic (IRE),R P Cleary,0,D J Bunyan,NR,N/A,2,8-11h1,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Captain Ciano (IRE),J M Sheridan,0,J Davison,13th,3 1/4 l,2,9-2,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Midnight Stagger (IRE),M W Hassett,5,J Davison,12th,3/4 l,2,9-2,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Highway Sixty One (IRE),M P Sheehy,0,A McNamara,11th,1/2 l,2,9-0,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,The Black Stuff (IRE),R Whearty,5,P Magee,10th,1 1/4 l,2,8-11,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Heishybrid,J A Powell,3,N Meade,9th,1 1/4 l,2,9-4,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Famed Again (IRE),L F Roche,0,T Cooper,8th,1 1/4 l,2,8-13,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Calcifer (IRE),G F Carroll,0,G P Cromwell,6th,2 l,2,9-6,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,All Right By Me (IRE),J J G Ryan,5,G M Lyons,6th,Dead Heat,2,9-6,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Bamako (IRE),W J Lee,0,A Oliver,5th,1 3/4 l,2,9-4p1,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Coulair (IRE),G M Ryan,0,A McNamara,4th,Head,2,9-4,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Withoutfurtherado (IRE),R C Colgan,0,Miss Jennifer Anne Lynch,3rd,Neck,2,9-6,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Kodi's Angel (IRE),W Joyce,5,M Mulvany,2nd,1 1/2 l,2,9-3,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Iowntheball,G P Halpin,0,K Prendergast,1st,N/A,2,9-4,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Moonhall Lass (IRE),Non Runner,0,Alan McIntyre,NR,N/A,2,9-1,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Episodic (IRE),R P Cleary,0,D J Bunyan,NR,N/A,2,8-11h1,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Captain Ciano (IRE),J M Sheridan,0,J Davison,13th,3 1/4 l,2,9-2,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Midnight Stagger (IRE),M W Hassett,5,J Davison,12th,3/4 l,2,9-2,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Highway Sixty One (IRE),M P Sheehy,0,A McNamara,11th,1/2 l,2,9-0,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,The Black Stuff (IRE),R Whearty,5,P Magee,10th,1 1/4 l,2,8-11,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Heishybrid,J A Powell,3,N Meade,9th,1 1/4 l,2,9-4,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Famed Again (IRE),L F Roche,0,T Cooper,8th,1 1/4 l,2,8-13,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Calcifer (IRE),G F Carroll,0,G P Cromwell,6th,2 l,2,9-6,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,All Right By Me (IRE),J J G Ryan,5,G M Lyons,6th,Dead Heat,2,9-6,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Bamako (IRE),W J Lee,0,A Oliver,5th,1 3/4 l,2,9-4p1,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Coulair (IRE),G M Ryan,0,A McNamara,4th,Head,2,9-4,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Withoutfurtherado (IRE),R C Colgan,0,Miss Jennifer Anne Lynch,3rd,Neck,2,9-6,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Kodi's Angel (IRE),W Joyce,5,M Mulvany,2nd,1 1/2 l,2,9-3,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:00,N/A,19:00,Good (Good To Firm In Places),7f,Iowntheball,G P Halpin,0,K Prendergast,1st,N/A,2,9-4,-,True,124,5
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Ransom,J M Sheridan,0,H D McGuigan,8th,3/4 l,7,10-1,77,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Wild Mountain (IRE),K J Leonard,0,P J McKenna,7th,1 1/4 l,5,8-7tb1,55,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Not Just Yet (IRE),C J MacRedmond,5,Daniel Murphy,6th,2 1/2 l,4,9-4,66,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Volatile Analyst (USA),W J Lee,0,J Davison,5th,2 1/4 l,7,10-2v1,78,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Boadicea Belle (IRE),R Whearty,5,M J Smith,4th,Nose,5,9-0p,62,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Distillate,Adam Caffrey,3,A McGuinness,3rd,1 1/4 l,4,9-7t,69,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Giuseppe Cassioli,K G Kennedy,7,Gerard O'Leary,2nd,2 1/2 l,7,10-1,77,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Red Heel (IRE),W Joyce,5,M Mulvany,1st,N/A,7,9-6,68,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Ransom,J M Sheridan,0,H D McGuigan,8th,3/4 l,7,10-1,77,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Wild Mountain (IRE),K J Leonard,0,P J McKenna,7th,1 1/4 l,5,8-7tb1,55,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Not Just Yet (IRE),C J MacRedmond,5,Daniel Murphy,6th,2 1/2 l,4,9-4,66,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Volatile Analyst (USA),W J Lee,0,J Davison,5th,2 1/4 l,7,10-2v1,78,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Boadicea Belle (IRE),R Whearty,5,M J Smith,4th,Nose,5,9-0p,62,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Distillate,Adam Caffrey,3,A McGuinness,3rd,1 1/4 l,4,9-7t,69,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Giuseppe Cassioli,K G Kennedy,7,Gerard O'Leary,2nd,2 1/2 l,7,10-1,77,True,124,6
Down Royal Racing Results | 21st June 2024 19:35,N/A,19:35,Good (Good To Firm In Places),7f,Red Heel (IRE),W Joyce,5,M Mulvany,1st,N/A,7,9-6,68,True,124,6
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Navorrosse (IRE),Non Runner,3,G A Kingston,NR,N/A,7,9-4,53,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,The Bog Bank (IRE),Alyse Jane Clarke,10,T G McCourt,NR,N/A,7,9-4tp,53,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Hope And Innocence (IRE),J J G Ryan,5,T G McCourt,NR,N/A,4,9-0,49,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Mullacash Buzz (IRE),C J MacRedmond,5,Thomas Dowling,13th,2 l,6,10-0t,63,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Rock Dandy (IRE),J A Powell,3,P J F Murphy,12th,4 3/4 l,6,9-10b,59,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Mulgrave (IRE),D W O'Connor,0,J C McConnell,11th,3/4 l,6,9-11ht,60,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Silver Nemo (IRE),R M Mulligan,7,L Smyth,10th,3/4 l,6,8-12tb,40,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Tartaraghan (IRE),Adam Caffrey,3,J C McConnell,9th,1 l,3,9-3,61,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Perfect Curves (IRE),M W Hassett,5,G Elliott,8th,Neck,4,9-2p,51,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Sadiqaa (IRE),K G Kennedy,7,H D McGuigan,7th,Neck,6,9-0v,49,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Hijo De La Luna (GER),K J Leonard,0,S McConville,6th,1/2 l,4,9-12,61,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Luxury Island (IRE),W J Lee,0,A Oliver,5th,Neck,3,9-7,65,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Saffredi,G F Carroll,0,G P Cromwell,4th,1/2 l,3,9-4h,62,True,124,7
Down Royal Racing Results | 21st June 2024 20:10,N/A,20:10,Good (Good To Firm In Places),7f,Clarinbridge (IRE),J M Sheridan,0,L Breen,3rd,1 1/4 l,5,9-1,50,True,124,7
