track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,14:30,Soft,2m 3f 130y,Echoes In Rain (FR),Mr P. W. Mullins,0,W. P. Mullins,F,N/A,6,11-3t,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Darver Star (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,7th,3 l,10,11-10tb,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Saldier (FR),D. E. Mullins,0,W. P. Mullins,6th,5 l,8,11-10b,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Sire Du Berlais (FR),Davy Russell,0,Gordon Elliott,5th,1/2 l,10,11-10tb,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Ashdale Bob (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,4th,30 l,7,11-10,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Honeysuckle,Rachael Blackmore,0,Henry de Bromhead,3rd,2 1/2 l,8,11-3,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Klassical Dream (FR),P. Townend,0,W. P. Mullins,2nd,Neck,8,11-10h,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Teahupoo (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,5,11-10,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Echoes In Rain (FR),Mr P. W. Mullins,0,W. P. Mullins,F,N/A,6,11-3t,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Darver Star (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,7th,3 l,10,11-10tb,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Saldier (FR),D. E. Mullins,0,W. P. Mullins,6th,5 l,8,11-10b,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Sire Du Berlais (FR),Davy Russell,0,Gordon Elliott,5th,1/2 l,10,11-10tb,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Ashdale Bob (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,4th,30 l,7,11-10,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Honeysuckle,Rachael Blackmore,0,Henry de Bromhead,3rd,2 1/2 l,8,11-3,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Klassical Dream (FR),P. Townend,0,W. P. Mullins,2nd,Neck,8,11-10h,-,True,34,1
N/A,N/A,14:30,Soft,2m 3f 130y,Teahupoo (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,5,11-10,-,True,34,1
N/A,N/A,15:05,Soft,2m,In From The Cold (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,5,11-1,129,True,34,2
N/A,N/A,15:05,Soft,2m,Sit Down Lucy (IRE),Sam Ewing,0,Peter Fahey,16th,55 l,8,11-0,128,True,34,2
N/A,N/A,15:05,Soft,2m,Flaming Moon (IRE),D. E. Mullins,0,Matthew J. Smith,15th,2 l,5,10-10,124,True,34,2
N/A,N/A,15:05,Soft,2m,Tudor City (IRE),L. A. McKenna,7,A. J. Martin,14th,1 1/2 l,10,11-12t,140,True,34,2
N/A,N/A,15:05,Soft,2m,A Million Bucks (IRE),D. J. O'Keeffe,0,T. Gibney,13th,4 1/4 l,6,10-0t,114,True,34,2
N/A,N/A,15:05,Soft,2m,An Epic Song (FR),J. J. Slevin,0,Martin Brassil,12th,2 3/4 l,5,11-8,136,True,34,2
N/A,N/A,15:05,Soft,2m,Watch The Weather,Rachael Blackmore,0,R. P. Cody,11th,Nose,6,10-5t,119,True,34,2
N/A,N/A,15:05,Soft,2m,Nibiru (IRE),Phillip Enright,0,A. J. Martin,10th,3 l,7,10-9t,123,True,34,2
N/A,N/A,15:05,Soft,2m,Charli Parcs (FR),C. G. O'Dwyer,7,Aidan Anthony Howard,9th,7 1/2 l,9,10-9,123,True,34,2
N/A,N/A,15:05,Soft,2m,Off Your Rocco (IRE),Jordan Colin Gainford,0,Gordon Elliott,8th,7 1/2 l,6,11-5p,133,True,34,2
N/A,N/A,15:05,Soft,2m,Cotteemcavennigoal (IRE),S. F. O'Keeffe,0,Shane Crawley,7th,3/4 l,7,10-4t,118,True,34,2
N/A,N/A,15:05,Soft,2m,Anna Bunina (FR),S. D. Torrens,0,John McConnell,6th,3 1/2 l,6,11-12t,140,True,34,2
N/A,N/A,15:05,Soft,2m,Lucky Max (GER),M. J. M. O'Sullivan,5,Sean Thomas Doyle,5th,4 3/4 l,6,11-1,129,True,34,2
N/A,N/A,15:05,Soft,2m,Man O Work (IRE),Cian Cullinan,7,P. G. Fahey,4th,3 l,4,11-1,129,True,34,2
N/A,N/A,15:05,Soft,2m,Icare Allen (FR),P. Townend,0,W. P. Mullins,3rd,3 l,4,11-12t,140,True,34,2
N/A,N/A,15:05,Soft,2m,Pinkerton (IRE),B. J. Cooper,0,Noel Meade,2nd,2 1/2 l,6,11-5,133,True,34,2
N/A,N/A,15:05,Soft,2m,Merlin Giant (FR),Donagh Meyler,0,Emmet Mullins,1st,N/A,5,10-13,127,True,34,2
N/A,N/A,15:05,Soft,2m,In From The Cold (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,5,11-1,129,True,34,2
N/A,N/A,15:05,Soft,2m,Sit Down Lucy (IRE),Sam Ewing,0,Peter Fahey,16th,55 l,8,11-0,128,True,34,2
N/A,N/A,15:05,Soft,2m,Flaming Moon (IRE),D. E. Mullins,0,Matthew J. Smith,15th,2 l,5,10-10,124,True,34,2
N/A,N/A,15:05,Soft,2m,Tudor City (IRE),L. A. McKenna,7,A. J. Martin,14th,1 1/2 l,10,11-12t,140,True,34,2
N/A,N/A,15:05,Soft,2m,A Million Bucks (IRE),D. J. O'Keeffe,0,T. Gibney,13th,4 1/4 l,6,10-0t,114,True,34,2
N/A,N/A,15:05,Soft,2m,An Epic Song (FR),J. J. Slevin,0,Martin Brassil,12th,2 3/4 l,5,11-8,136,True,34,2
N/A,N/A,15:05,Soft,2m,Watch The Weather,Rachael Blackmore,0,R. P. Cody,11th,Nose,6,10-5t,119,True,34,2
N/A,N/A,15:05,Soft,2m,Nibiru (IRE),Phillip Enright,0,A. J. Martin,10th,3 l,7,10-9t,123,True,34,2
N/A,N/A,15:05,Soft,2m,Charli Parcs (FR),C. G. O'Dwyer,7,Aidan Anthony Howard,9th,7 1/2 l,9,10-9,123,True,34,2
N/A,N/A,15:05,Soft,2m,Off Your Rocco (IRE),Jordan Colin Gainford,0,Gordon Elliott,8th,7 1/2 l,6,11-5p,133,True,34,2
N/A,N/A,15:05,Soft,2m,Cotteemcavennigoal (IRE),S. F. O'Keeffe,0,Shane Crawley,7th,3/4 l,7,10-4t,118,True,34,2
N/A,N/A,15:05,Soft,2m,Anna Bunina (FR),S. D. Torrens,0,John McConnell,6th,3 1/2 l,6,11-12t,140,True,34,2
N/A,N/A,15:05,Soft,2m,Lucky Max (GER),M. J. M. O'Sullivan,5,Sean Thomas Doyle,5th,4 3/4 l,6,11-1,129,True,34,2
N/A,N/A,15:05,Soft,2m,Man O Work (IRE),Cian Cullinan,7,P. G. Fahey,4th,3 l,4,11-1,129,True,34,2
N/A,N/A,15:05,Soft,2m,Icare Allen (FR),P. Townend,0,W. P. Mullins,3rd,3 l,4,11-12t,140,True,34,2
N/A,N/A,15:05,Soft,2m,Pinkerton (IRE),B. J. Cooper,0,Noel Meade,2nd,2 1/2 l,6,11-5,133,True,34,2
N/A,N/A,15:05,Soft,2m,Merlin Giant (FR),Donagh Meyler,0,Emmet Mullins,1st,N/A,5,10-13,127,True,34,2
N/A,N/A,15:35,Soft  Flat (Turf),2m,Soldaro (IRE),Patrick Michael O'Brien,7,Gavin Patrick Cromwell,5th,13 l,4,11-0ht1,-,True,34,3
N/A,N/A,15:35,Soft  Flat (Turf),2m,Monsieur Azul,Mr D. G. Lavery,0,Paul Nolan,4th,2 1/4 l,4,11-7,-,True,34,3
N/A,N/A,15:35,Soft  Flat (Turf),2m,Run For Harry (IRE),Mr J. Dunne,7,Mrs Gillian Callaghan,3rd,6 l,4,11-7,-,True,34,3
N/A,N/A,15:35,Soft  Flat (Turf),2m,Chapeau De Soleil (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,3 1/4 l,4,11-7,-,True,34,3
N/A,N/A,15:35,Soft  Flat (Turf),2m,Better Days Ahead (IRE),Mr J. J. Codd,0,Gordon Elliott,1st,N/A,4,11-7,-,True,34,3
N/A,N/A,15:35,Soft  Flat (Turf),2m,Soldaro (IRE),Patrick Michael O'Brien,7,Gavin Patrick Cromwell,5th,13 l,4,11-0ht1,-,True,34,3
N/A,N/A,15:35,Soft  Flat (Turf),2m,Monsieur Azul,Mr D. G. Lavery,0,Paul Nolan,4th,2 1/4 l,4,11-7,-,True,34,3
N/A,N/A,15:35,Soft  Flat (Turf),2m,Run For Harry (IRE),Mr J. Dunne,7,Mrs Gillian Callaghan,3rd,6 l,4,11-7,-,True,34,3
N/A,N/A,15:35,Soft  Flat (Turf),2m,Chapeau De Soleil (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,3 1/4 l,4,11-7,-,True,34,3
