track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Saga Des Aigles (IRE),K C Sexton,0,D Queally,6th,1 1/4 l,5,11-5,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,The Burrow (IRE),P T Enright,0,E J O'Grady,5th,17 l,6,11-12tp,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Go To Town (IRE),D J Gilligan,0,S Fahey,4th,Head,5,11-12,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Hey Babbs (IRE),P M O'Brien,7,D A McLoughlin,3rd,5 l,5,11-5,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Sticktotheplan (FR),P K Donovan,3,C W J Farrell,2nd,2 1/4 l,5,11-12,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Warriors Wood,D J O'Keeffe,0,A McNamara,1st,N/A,5,11-12,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Sionainn (FR),J P Shinnick,5,Aidan Melia,11th,21 l,5,11-12,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Ladies Well (IRE),C M Quirke,3,A Slattery,10th,5 l,5,11-5,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Amber Point (IRE),J Coen,3,G Elliott,9th,13 l,5,11-12,87,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Skyscraper (FR),D King,0,A J Martin,8th,3/4 l,6,11-12t,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Charlie's Gift (IRE),E Walsh,0,J M Burke,7th,1 3/4 l,5,11-12p,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Saga Des Aigles (IRE),K C Sexton,0,D Queally,6th,1 1/4 l,5,11-5,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,The Burrow (IRE),P T Enright,0,E J O'Grady,5th,17 l,6,11-12tp,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Go To Town (IRE),D J Gilligan,0,S Fahey,4th,Head,5,11-12,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Hey Babbs (IRE),P M O'Brien,7,D A McLoughlin,3rd,5 l,5,11-5,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Sticktotheplan (FR),P K Donovan,3,C W J Farrell,2nd,2 1/4 l,5,11-12,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 16:50,N/A,16:50,Good (Good To Yielding In Places),2m,Warriors Wood,D J O'Keeffe,0,A McNamara,1st,N/A,5,11-12,-,True,175,13
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Godblessyourosie (IRE),J C Gainford,0,C Collins,UR,N/A,6,11-5t1,102,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Bannow Blaze (IRE),Mr B T Stone,7,J Fogarty,UR,N/A,5,11-6,103,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Wajaaha (IRE),Anna McGuinness,7,P J McKenna,PU,N/A,10,11-12p,109,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Jhentong Enki (FR),S F O'Keeffe,0,P Nolan,F,N/A,6,11-8,105,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Only One Plan (IRE),P K Donovan,3,M Flannery,9th,9 l,8,11-3p,100,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Yarraman Makarrata (IRE),D J Gilligan,0,G Elliott,8th,1 1/4 l,5,11-5,102,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Theophilos (IRE),K C Sexton,0,G Keane,7th,4 1/4 l,6,11-5t,102,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Gordons Aura (IRE),J P Shinnick,5,W Delahunty,6th,5 l,6,11-7p,104,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Ciao Adios (IRE),Eoin G Kelly,7,A Murray,5th,Short Head,6,11-12t,109,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Lynchy Boy (IRE),Niall Moore,5,P Fenton,4th,1 1/4 l,6,11-6,103,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Prove Yourself (IRE),T P Harney,7,R O'Sullivan,3rd,1 1/4 l,6,11-9,106,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Kaptain Bay (IRE),D Meyler,0,N Meade,2nd,2 l,4,11-6t,109,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Malbay Madness (IRE),P J O'Hanlon,0,D A McLoughlin,1st,N/A,5,11-8h,105,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Godblessyourosie (IRE),J C Gainford,0,C Collins,UR,N/A,6,11-5t1,102,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Bannow Blaze (IRE),Mr B T Stone,7,J Fogarty,UR,N/A,5,11-6,103,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Wajaaha (IRE),Anna McGuinness,7,P J McKenna,PU,N/A,10,11-12p,109,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Jhentong Enki (FR),S F O'Keeffe,0,P Nolan,F,N/A,6,11-8,105,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Only One Plan (IRE),P K Donovan,3,M Flannery,9th,9 l,8,11-3p,100,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Yarraman Makarrata (IRE),D J Gilligan,0,G Elliott,8th,1 1/4 l,5,11-5,102,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Theophilos (IRE),K C Sexton,0,G Keane,7th,4 1/4 l,6,11-5t,102,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Gordons Aura (IRE),J P Shinnick,5,W Delahunty,6th,5 l,6,11-7p,104,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Ciao Adios (IRE),Eoin G Kelly,7,A Murray,5th,Short Head,6,11-12t,109,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Lynchy Boy (IRE),Niall Moore,5,P Fenton,4th,1 1/4 l,6,11-6,103,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Prove Yourself (IRE),T P Harney,7,R O'Sullivan,3rd,1 1/4 l,6,11-9,106,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Kaptain Bay (IRE),D Meyler,0,N Meade,2nd,2 l,4,11-6t,109,True,175,14
Kilbeggan Racing Results | 16th May 2025 17:25,N/A,17:25,Good (Good To Yielding In Places),2m,Malbay Madness (IRE),P J O'Hanlon,0,D A McLoughlin,1st,N/A,5,11-8h,105,True,175,14
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Ardeen Joy (IRE),K C Sexton,0,G Elliott,PU,N/A,4,10-5,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Drop The Dip (IRE),Anna McGuinness,7,T Gibney,PU,N/A,5,11-5,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,La Gordita (IRE),C M Quirke,3,John F O'Neill,F,N/A,5,10-11,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Tamberian (IRE),K E Buckley,0,Conor Maxwell,13th,43 l,5,11-4,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Dontgowithjoe (IRE),D Robinson,0,P J Rothwell,12th,7 1/2 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Lucky This Time (IRE),S D Torrens,0,P J Rothwell,11th,20 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Damoso (IRE),T Power Roche,5,P J Rothwell,10th,1/2 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Accustomed (IRE),J C Gainford,0,E D Delany,9th,13 l,5,11-4,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Screaming Eagle,D King,0,A J Martin,8th,1 1/4 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Princess Georgie (IRE),D A Kidd,7,G B Caldwell,7th,Neck,5,10-11,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Shaboozee (IRE),J J Slevin,0,J P O'Brien,6th,6 1/2 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Mystic Milly (IRE),J Smith,5,C O'Connell,5th,7 l,5,10-11h,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Rapparee Champ (IRE),P Byrnes,0,C Byrnes,4th,4 l,5,11-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Kasanova's Dream (FR),Sam Ewing,0,G Elliott,3rd,1 1/2 l,5,11-4,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Couldntmakeitup (IRE),P T Smithers,7,J Nash,2nd,17 l,5,11-4,105,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Costacurta (IRE),D J O'Keeffe,0,H De Bromhead,1st,N/A,5,11-4,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Ardeen Joy (IRE),K C Sexton,0,G Elliott,PU,N/A,4,10-5,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Drop The Dip (IRE),Anna McGuinness,7,T Gibney,PU,N/A,5,11-5,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,La Gordita (IRE),C M Quirke,3,John F O'Neill,F,N/A,5,10-11,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Tamberian (IRE),K E Buckley,0,Conor Maxwell,13th,43 l,5,11-4,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Dontgowithjoe (IRE),D Robinson,0,P J Rothwell,12th,7 1/2 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Lucky This Time (IRE),S D Torrens,0,P J Rothwell,11th,20 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Damoso (IRE),T Power Roche,5,P J Rothwell,10th,1/2 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Accustomed (IRE),J C Gainford,0,E D Delany,9th,13 l,5,11-4,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Screaming Eagle,D King,0,A J Martin,8th,1 1/4 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Princess Georgie (IRE),D A Kidd,7,G B Caldwell,7th,Neck,5,10-11,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Shaboozee (IRE),J J Slevin,0,J P O'Brien,6th,6 1/2 l,4,10-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Mystic Milly (IRE),J Smith,5,C O'Connell,5th,7 l,5,10-11h,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Rapparee Champ (IRE),P Byrnes,0,C Byrnes,4th,4 l,5,11-12,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Kasanova's Dream (FR),Sam Ewing,0,G Elliott,3rd,1 1/2 l,5,11-4,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Couldntmakeitup (IRE),P T Smithers,7,J Nash,2nd,17 l,5,11-4,105,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:00,N/A,18:00,Good (Good To Yielding In Places),2m 3f,Costacurta (IRE),D J O'Keeffe,0,H De Bromhead,1st,N/A,5,11-4,-,True,175,15
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Redstone (IRE),P T Enright,0,H Rogers,PU,N/A,7,10-6t1,116,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Run For Harry (IRE),D Meyler,0,Mrs G Callaghan,PU,N/A,7,10-12t,122,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Shadow Rider (FR),P T Smithers,7,P Roche,PU,N/A,11,11-6,130,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Final Orders,P M O'Brien,7,G P Cromwell,PU,N/A,9,10-12p,122,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Armed And Fabulous (IRE),B Hayes,0,W P Mullins,F,N/A,7,10-3p1,113,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Saint Le Fort (FR),D J O'Keeffe,0,P Fenton,9th,1/2 l,5,10-12t1,122,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Artic Lane (IRE),C Stone-Walsh,3,D Queally,8th,3/4 l,6,10-7,117,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Walking On Glass (IRE),A P Kelly,5,P Roche,7th,2 3/4 l,10,10-11p,121,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Whatsavailable (IRE),G Brouder,3,M F Morris,6th,4 1/2 l,8,10-12b,122,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Yeats Star (IRE),Sam Ewing,0,G Elliott,5th,4 l,6,11-11,135,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Plains Indian (IRE),Mr A P Ryan,7,A Slattery,4th,1 1/2 l,9,11-12,136,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Slane Hill (IRE),D King,0,B Connell,3rd,7 1/2 l,8,11-2b,126,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Dartan,J Smith,5,M J Smith,2nd,Head,8,11-12t,136,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Ad Caelum (IRE),S F O'Keeffe,0,J P Ryan,1st,N/A,6,10-0,108,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Redstone (IRE),P T Enright,0,H Rogers,PU,N/A,7,10-6t1,116,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Run For Harry (IRE),D Meyler,0,Mrs G Callaghan,PU,N/A,7,10-12t,122,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Shadow Rider (FR),P T Smithers,7,P Roche,PU,N/A,11,11-6,130,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Final Orders,P M O'Brien,7,G P Cromwell,PU,N/A,9,10-12p,122,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Armed And Fabulous (IRE),B Hayes,0,W P Mullins,F,N/A,7,10-3p1,113,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Saint Le Fort (FR),D J O'Keeffe,0,P Fenton,9th,1/2 l,5,10-12t1,122,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Artic Lane (IRE),C Stone-Walsh,3,D Queally,8th,3/4 l,6,10-7,117,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Walking On Glass (IRE),A P Kelly,5,P Roche,7th,2 3/4 l,10,10-11p,121,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Whatsavailable (IRE),G Brouder,3,M F Morris,6th,4 1/2 l,8,10-12b,122,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Yeats Star (IRE),Sam Ewing,0,G Elliott,5th,4 l,6,11-11,135,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Plains Indian (IRE),Mr A P Ryan,7,A Slattery,4th,1 1/2 l,9,11-12,136,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Slane Hill (IRE),D King,0,B Connell,3rd,7 1/2 l,8,11-2b,126,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Dartan,J Smith,5,M J Smith,2nd,Head,8,11-12t,136,True,175,16
Kilbeggan Racing Results | 16th May 2025 18:30,N/A,18:30,Good (Good To Yielding In Places),3m 50y,Ad Caelum (IRE),S F O'Keeffe,0,J P Ryan,1st,N/A,6,10-0,108,True,175,16
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Standing Orders (IRE),M P O'Connor,0,T Gibney,PU,N/A,6,11-12t1,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Be Positive (IRE),C G O'Dwyer,5,S Neville,12th,15 l,6,11-12,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Starzov (IRE),S D Torrens,0,P J Rothwell,11th,1/2 l,8,11-12p,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Vale Of Glory (IRE),Eoin G Kelly,7,A Murray,10th,4 3/4 l,10,11-12t,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Ballybrittas (IRE),T Power Roche,5,P J Rothwell,9th,3 1/2 l,6,11-12,112,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Solly Attwell (IRE),B W Harvey,0,C Collins,8th,2 l,7,11-12,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Born Bright (IRE),J Smith,5,C O'Connell,7th,1 l,6,11-5,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Ollie La Ba Ba (IRE),G B Noonan,5,E McCarthy,6th,7 1/2 l,7,11-12tp,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Nastya (IRE),D J O'Keeffe,0,H De Bromhead,5th,2 1/2 l,6,11-5,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Next Stop Paris (IRE),K M Donoghue,0,G P Cromwell,4th,Short Head,6,11-12h,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Lakota Blue (FR),D J Gilligan,0,G Elliott,3rd,2 1/2 l,4,10-11p,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Hardy Diamond (IRE),J C Gainford,0,G Elliott,2nd,2 1/4 l,6,11-5,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Beggars Rock (IRE),K C Sexton,0,D Queally,1st,N/A,6,11-12v,112,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Standing Orders (IRE),M P O'Connor,0,T Gibney,PU,N/A,6,11-12t1,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Be Positive (IRE),C G O'Dwyer,5,S Neville,12th,15 l,6,11-12,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Starzov (IRE),S D Torrens,0,P J Rothwell,11th,1/2 l,8,11-12p,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Vale Of Glory (IRE),Eoin G Kelly,7,A Murray,10th,4 3/4 l,10,11-12t,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Ballybrittas (IRE),T Power Roche,5,P J Rothwell,9th,3 1/2 l,6,11-12,112,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Solly Attwell (IRE),B W Harvey,0,C Collins,8th,2 l,7,11-12,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Born Bright (IRE),J Smith,5,C O'Connell,7th,1 l,6,11-5,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Ollie La Ba Ba (IRE),G B Noonan,5,E McCarthy,6th,7 1/2 l,7,11-12tp,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Nastya (IRE),D J O'Keeffe,0,H De Bromhead,5th,2 1/2 l,6,11-5,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Next Stop Paris (IRE),K M Donoghue,0,G P Cromwell,4th,Short Head,6,11-12h,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Lakota Blue (FR),D J Gilligan,0,G Elliott,3rd,2 1/2 l,4,10-11p,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Hardy Diamond (IRE),J C Gainford,0,G Elliott,2nd,2 1/4 l,6,11-5,-,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:05,N/A,19:05,Good (Good To Yielding In Places),2m 4f 90y,Beggars Rock (IRE),K C Sexton,0,D Queally,1st,N/A,6,11-12v,112,True,175,17
Kilbeggan Racing Results | 16th May 2025 19:40,N/A,19:40,Good (Good To Yielding In Places),2m 4f 90y,Good As Hell (IRE),Niall Moore,5,P Fenton,11th,32 l,10,11-12b,126,True,175,18
Kilbeggan Racing Results | 16th May 2025 19:40,N/A,19:40,Good (Good To Yielding In Places),2m 4f 90y,Lake Chad (IRE),B Hayes,0,P Fenton,10th,44 l,10,11-2b,116,True,175,18
Kilbeggan Racing Results | 16th May 2025 19:40,N/A,19:40,Good (Good To Yielding In Places),2m 4f 90y,The Dasher Conway (IRE),D Meyler,0,Mrs G Callaghan,9th,Head,10,11-11,125,True,175,18
Kilbeggan Racing Results | 16th May 2025 19:40,N/A,19:40,Good (Good To Yielding In Places),2m 4f 90y,Rainbow Trail (FR),J Smith,5,G Elliott,8th,3 1/4 l,7,11-12,126,True,175,18
Kilbeggan Racing Results | 16th May 2025 19:40,N/A,19:40,Good (Good To Yielding In Places),2m 4f 90y,Miss Oreo (IRE),P Hanlon,7,J J Hanlon,7th,1/2 l,7,10-4h,104,True,175,18
