track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Leclerc,C. J. MacRedmond,5,Adrian McGuinness,17th,Neck,4,10-2,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Alquinto (IRE),M. A. Enright,0,Miss Hilary McLoughlin,16th,4 3/4 l,5,10-2,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Portarlington (IRE),J. Coen,5,David Kenneth Budds,15th,4 1/2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Casino Queen (USA),Declan McDonogh,0,Eddie & Patrick Harty,14th,2 3/4 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Jeffs Princess (IRE),Rachael Blackmore,0,Ray Hackett,13th,6 1/2 l,6,9-11,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Secret Rock (IRE),R. C. Colgan,0,A. J. Martin,12th,Head,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Keep Sharp (IRE),K. J. Manning,0,J. S. Bolger,11th,2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Albatala (IRE),Siobhan Rutledge,5,John McConnell,10th,2 1/2 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Olympicus (USA),S. M. Crosse,0,Joseph Patrick O'Brien,9th,1/2 l,3,9-8t,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,The Vik (IRE),A. J. Slattery,0,A. Slattery,8th,2 l,3,9-8p1,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Melnik (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,7th,1/2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Passage of War (IRE),N. M. Crosse,3,Luke Comer,6th,1/2 l,3,9-8tp1,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Touching Clouds (USA),C. D. Hayes,0,D. K. Weld,5th,Short Head,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Adonis (IRE),Shane Foley,0,Mrs J. Harrington,4th,Neck,3,9-8b,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Lizzy's Filly (IRE),D. B. McMonagle,0,Ciaran Murphy,3rd,1/2 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Samuel Pepys (IRE),W. M. Lordan,0,Aidan O'Brien,2nd,2 3/4 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Saraqael (IRE),William James Lee,0,R. P. Cody,1st,N/A,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Leclerc,C. J. MacRedmond,5,Adrian McGuinness,17th,Neck,4,10-2,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Alquinto (IRE),M. A. Enright,0,Miss Hilary McLoughlin,16th,4 3/4 l,5,10-2,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Portarlington (IRE),J. Coen,5,David Kenneth Budds,15th,4 1/2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Casino Queen (USA),Declan McDonogh,0,Eddie & Patrick Harty,14th,2 3/4 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Jeffs Princess (IRE),Rachael Blackmore,0,Ray Hackett,13th,6 1/2 l,6,9-11,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Secret Rock (IRE),R. C. Colgan,0,A. J. Martin,12th,Head,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Keep Sharp (IRE),K. J. Manning,0,J. S. Bolger,11th,2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Albatala (IRE),Siobhan Rutledge,5,John McConnell,10th,2 1/2 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Olympicus (USA),S. M. Crosse,0,Joseph Patrick O'Brien,9th,1/2 l,3,9-8t,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,The Vik (IRE),A. J. Slattery,0,A. Slattery,8th,2 l,3,9-8p1,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Melnik (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,7th,1/2 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Passage of War (IRE),N. M. Crosse,3,Luke Comer,6th,1/2 l,3,9-8tp1,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Touching Clouds (USA),C. D. Hayes,0,D. K. Weld,5th,Short Head,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Adonis (IRE),Shane Foley,0,Mrs J. Harrington,4th,Neck,3,9-8b,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Lizzy's Filly (IRE),D. B. McMonagle,0,Ciaran Murphy,3rd,1/2 l,3,9-3,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Samuel Pepys (IRE),W. M. Lordan,0,Aidan O'Brien,2nd,2 3/4 l,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 15:40,N/A,15:40,Soft (Soft To Heavy In Places),1m 73y,Saraqael (IRE),William James Lee,0,R. P. Cody,1st,N/A,3,9-8,-,True,12,1
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Congo River (USA),Seamie Heffernan,0,Aidan O'Brien,6th,5 1/2 l,2,9-7t1,87,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Yamazaki (IRE),W. M. Lordan,0,Donnacha Aidan O'Brien,5th,6 l,2,8-7,73,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Approaching Bear (IRE),A. C. Persse,7,Joseph Patrick O'Brien,4th,2 3/4 l,2,8-7,73,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Ard Mhacha (IRE),J. A. Powell,7,John Patrick Murtagh,3rd,1 l,2,8-7,73,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Goa Gajah (USA),M. P. Sheehy,3,Joseph Patrick O'Brien,2nd,1 l,2,9-7,87,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Pandora Lovegood (IRE),G. F. Carroll,0,Joseph G. Murphy,1st,N/A,2,9-3,83,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Congo River (USA),Seamie Heffernan,0,Aidan O'Brien,6th,5 1/2 l,2,9-7t1,87,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Yamazaki (IRE),W. M. Lordan,0,Donnacha Aidan O'Brien,5th,6 l,2,8-7,73,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Approaching Bear (IRE),A. C. Persse,7,Joseph Patrick O'Brien,4th,2 3/4 l,2,8-7,73,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Ard Mhacha (IRE),J. A. Powell,7,John Patrick Murtagh,3rd,1 l,2,8-7,73,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Goa Gajah (USA),M. P. Sheehy,3,Joseph Patrick O'Brien,2nd,1 l,2,9-7,87,True,12,2
Galway Racing Results | 30th July 2022 16:15,N/A,16:15,Soft (Soft To Heavy In Places),7f,Pandora Lovegood (IRE),G. F. Carroll,0,Joseph G. Murphy,1st,N/A,2,9-3,83,True,12,2
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,My Minervina (IRE),Shane Foley,0,Mrs J. Harrington,15th,3 1/2 l,4,10-0p,73,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Fox Leicester (IRE),Julie Burke,0,John Michael Burke,14th,3 l,6,10-2p,75,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Peerless (IRE),D. King,7,Denis Hogan,13th,4 1/2 l,4,10-2,75,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Craic At Dawn (IRE),L. F. Roche,0,David Loughnane,12th,8 1/2 l,3,9-5,71,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Numoor,D. B. McMonagle,0,John McConnell,11th,1 l,4,9-13t,72,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Kodiac Prince (IRE),R. P. Cleary,0,Thomas Cleary,10th,4 1/2 l,5,9-11p,70,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Star of Cashel (IRE),Adam Caffrey,7,Adrian McGuinness,9th,1 1/2 l,5,9-11tp,70,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Khafaaq,A. J. Slattery,0,A. Slattery,8th,Neck,7,9-13v,72,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Eloquent Arthur,Seamie Heffernan,0,Denis Hogan,7th,1 l,4,9-12p,71,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,The Blue Panther (IRE),J. A. Powell,7,Michael Mulvany,6th,2 l,4,9-12t,71,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Miss Molly T (IRE),C. T. Keane,0,Gerard Keane,5th,1/2 l,5,9-11,70,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,San Aer (IRE),J. Coen,5,Thomas Mullins,4th,1 1/2 l,4,9-12h,71,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Mary Salome (IRE),William James Lee,0,Andrew Kinirons,3rd,Neck,6,10-2,75,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Zephron,Annalise Cullen,7,Denis W. Cullen,2nd,1/2 l,5,9-13,72,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Excuzio Joe (IRE),Declan McDonogh,0,Matthew J. Smith,1st,N/A,5,10-1,74,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,My Minervina (IRE),Shane Foley,0,Mrs J. Harrington,15th,3 1/2 l,4,10-0p,73,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Fox Leicester (IRE),Julie Burke,0,John Michael Burke,14th,3 l,6,10-2p,75,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Peerless (IRE),D. King,7,Denis Hogan,13th,4 1/2 l,4,10-2,75,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Craic At Dawn (IRE),L. F. Roche,0,David Loughnane,12th,8 1/2 l,3,9-5,71,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Numoor,D. B. McMonagle,0,John McConnell,11th,1 l,4,9-13t,72,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Kodiac Prince (IRE),R. P. Cleary,0,Thomas Cleary,10th,4 1/2 l,5,9-11p,70,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Star of Cashel (IRE),Adam Caffrey,7,Adrian McGuinness,9th,1 1/2 l,5,9-11tp,70,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Khafaaq,A. J. Slattery,0,A. Slattery,8th,Neck,7,9-13v,72,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Eloquent Arthur,Seamie Heffernan,0,Denis Hogan,7th,1 l,4,9-12p,71,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,The Blue Panther (IRE),J. A. Powell,7,Michael Mulvany,6th,2 l,4,9-12t,71,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Miss Molly T (IRE),C. T. Keane,0,Gerard Keane,5th,1/2 l,5,9-11,70,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,San Aer (IRE),J. Coen,5,Thomas Mullins,4th,1 1/2 l,4,9-12h,71,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Mary Salome (IRE),William James Lee,0,Andrew Kinirons,3rd,Neck,6,10-2,75,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Zephron,Annalise Cullen,7,Denis W. Cullen,2nd,1/2 l,5,9-13,72,True,12,3
Galway Racing Results | 30th July 2022 16:45,N/A,16:45,Soft (Soft To Heavy In Places),7f,Excuzio Joe (IRE),Declan McDonogh,0,Matthew J. Smith,1st,N/A,5,10-1,74,True,12,3
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Pike County (IRE),M. A. Enright,0,Mrs Denise Foster,15th,98 l,9,9-13p,77,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Indigo Desert,C. T. Keane,0,W. P. Mullins,14th,3/4 l,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Sootability (IRE),C. D. Hayes,0,Eoin Christopher McCarthy,13th,2 l,6,9-7,71,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Aingeal Dorcha (IRE),A. J. Slattery,0,A. Slattery,12th,3/4 l,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Noble Crusade (USA),Shane Foley,0,John McConnell,11th,1/2 l,4,9-13,77,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Ideal Pal (IRE),J. Kearney,7,Michael Mulvany,10th,7 l,6,10-0t,78,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Jukebox Jive (FR),R. C. Colgan,0,Shane Nolan,9th,1 l,8,9-12t,76,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Kaaranah (IRE),John Allen,0,John Butler,8th,1 1/2 l,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Alma Libre (ARG),W. M. Lordan,0,Miss Natalia Lupini,7th,Neck,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Hidden Land (USA),L. T. McAteer,3,Andrew Kinirons,6th,3 1/4 l,5,9-8,72,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Razdan (IRE),D. B. McMonagle,0,Christopher David Timmons,5th,1 3/4 l,4,9-12ht,76,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Kojin (IRE),Sam Ewing,3,Peter Fahey,4th,1 3/4 l,4,9-12,76,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Fennor Cross (IRE),William James Lee,0,John McConnell,3rd,Neck,5,10-0,78,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Insane Bolt (IRE),J. Coen,5,Peter Fahey,2nd,3/4 l,6,10-2tb,80,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Aqwaam,Seamie Heffernan,0,Ian Williams,1st,N/A,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Pike County (IRE),M. A. Enright,0,Mrs Denise Foster,15th,98 l,9,9-13p,77,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Indigo Desert,C. T. Keane,0,W. P. Mullins,14th,3/4 l,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Sootability (IRE),C. D. Hayes,0,Eoin Christopher McCarthy,13th,2 l,6,9-7,71,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Aingeal Dorcha (IRE),A. J. Slattery,0,A. Slattery,12th,3/4 l,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Noble Crusade (USA),Shane Foley,0,John McConnell,11th,1/2 l,4,9-13,77,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Ideal Pal (IRE),J. Kearney,7,Michael Mulvany,10th,7 l,6,10-0t,78,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Jukebox Jive (FR),R. C. Colgan,0,Shane Nolan,9th,1 l,8,9-12t,76,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Kaaranah (IRE),John Allen,0,John Butler,8th,1 1/2 l,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Alma Libre (ARG),W. M. Lordan,0,Miss Natalia Lupini,7th,Neck,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Hidden Land (USA),L. T. McAteer,3,Andrew Kinirons,6th,3 1/4 l,5,9-8,72,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Razdan (IRE),D. B. McMonagle,0,Christopher David Timmons,5th,1 3/4 l,4,9-12ht,76,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Kojin (IRE),Sam Ewing,3,Peter Fahey,4th,1 3/4 l,4,9-12,76,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Fennor Cross (IRE),William James Lee,0,John McConnell,3rd,Neck,5,10-0,78,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Insane Bolt (IRE),J. Coen,5,Peter Fahey,2nd,3/4 l,6,10-2tb,80,True,12,4
Galway Racing Results | 30th July 2022 17:20,N/A,17:20,Soft (Soft To Heavy In Places),1m 3f 180y,Aqwaam,Seamie Heffernan,0,Ian Williams,1st,N/A,4,9-11,75,True,12,4
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Thanksathousand (IRE),Mr J. C. Barry,3,Robert Murphy,10th,11 l,6,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Snow Secret (IRE),Mr J. L. Gleeson,7,Denis Hogan,9th,14 l,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Keep D Change (IRE),Mr O. McGill,7,David Christie,8th,2 1/2 l,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Bint Freya (IRE),Mr Pat Taaffe,7,Thomas Cooper,7th,1 3/4 l,5,11-11h1,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Nowinittowinit (IRE),Mr S. Connor,7,Stuart Crawford,6th,3 1/4 l,6,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Balum (IRE),Mr J. Dunne,7,Dermot Anthony McLoughlin,5th,Head,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Our Girl Sal (IRE),Mr D. O'Connor,0,Peter Fahey,4th,3 3/4 l,4,11-7,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,C'est Rien (IRE),Mr C. Mullins,7,Thomas Mullins,3rd,1 1/4 l,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,I Am Shadow (IRE),Mr H. C. Swan,7,Ciaran Murphy,2nd,4 l,4,11-7,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Carrigmoorna Queen (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Thanksathousand (IRE),Mr J. C. Barry,3,Robert Murphy,10th,11 l,6,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Snow Secret (IRE),Mr J. L. Gleeson,7,Denis Hogan,9th,14 l,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Keep D Change (IRE),Mr O. McGill,7,David Christie,8th,2 1/2 l,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Bint Freya (IRE),Mr Pat Taaffe,7,Thomas Cooper,7th,1 3/4 l,5,11-11h1,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Nowinittowinit (IRE),Mr S. Connor,7,Stuart Crawford,6th,3 1/4 l,6,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Balum (IRE),Mr J. Dunne,7,Dermot Anthony McLoughlin,5th,Head,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Our Girl Sal (IRE),Mr D. O'Connor,0,Peter Fahey,4th,3 3/4 l,4,11-7,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,C'est Rien (IRE),Mr C. Mullins,7,Thomas Mullins,3rd,1 1/4 l,5,11-11,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,I Am Shadow (IRE),Mr H. C. Swan,7,Ciaran Murphy,2nd,4 l,4,11-7,-,True,12,5
Galway Racing Results | 30th July 2022 17:55,N/A,17:55,Soft (Soft To Heavy In Places),2m,Carrigmoorna Queen (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,5,11-11,-,True,12,5
Galway Racing Results | 31st July 2022 14:00,N/A,14:00,Soft,2m 160y,Presenting Dylan (IRE),A. M. King,4,Brian Francis Cawley,8th,37 l,7,11-0t,100,True,12,6
Galway Racing Results | 31st July 2022 14:00,N/A,14:00,Soft,2m 160y,Prince Zaltar (FR),J. P. O'Sullivan,0,P. J. Rothwell,7th,Head,5,11-2,102,True,12,6
Galway Racing Results | 31st July 2022 14:00,N/A,14:00,Soft,2m 160y,Old Chap (IRE),Jack G. Gilligan,4,Paul John Gilligan,6th,1/2 l,4,10-5,95,True,12,6
Galway Racing Results | 31st July 2022 14:00,N/A,14:00,Soft,2m 160y,Eagle Terrace,R. J. Condon,4,Denis Hogan,5th,3 3/4 l,4,11-7,111,True,12,6
Galway Racing Results | 31st July 2022 14:00,N/A,14:00,Soft,2m 160y,Darkened (IRE),D. King,4,Denis Hogan,4th,1/2 l,6,12-0tb,114,True,12,6
Galway Racing Results | 31st July 2022 14:00,N/A,14:00,Soft,2m 160y,A Mere Bagatelle (IRE),Patrick O'Hanlon,2,John Joseph Hanlon,3rd,2 1/2 l,5,10-5,91,True,12,6
Galway Racing Results | 31st July 2022 14:00,N/A,14:00,Soft,2m 160y,Lariat (USA),C. Brassil,2,Adrian McGuinness,2nd,7 l,6,11-2p,102,True,12,6
Galway Racing Results | 31st July 2022 14:00,N/A,14:00,Soft,2m 160y,Teed Up (IRE),Conor Clarke,4,Emmet Mullins,1st,N/A,5,11-3,103,True,12,6
