track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Canning (IRE),N. M. Crosse,0,Luke Comer,14th,9 1/2 l,7,9-1,50,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Supreme Law (USA),C. T. Keane,0,Matthew J. Smith,13th,3/4 l,4,9-5p,55,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Boragh Empress (IRE),S. Cleary-Farrell,10,Barry Fitzgerald,12th,1 l,4,9-6,56,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Maricruz (IRE),Cillian McConnell,7,John McConnell,11th,Neck,8,9-2t,51,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Lex Maxima (IRE),S. D. Bowen,7,John McConnell,10th,2 l,4,8-13h,49,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Kalaroun (IRE),Seamie Heffernan,0,Miss Tara Lee Cogan,9th,3/4 l,5,9-13tp,62,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Hinemoa (FR),A. C. Persse,7,Mark Cahill,8th,1 1/2 l,7,9-6,55,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Ballycommon Chapel (IRE),R. Whearty,7,Peter Cluskey,7th,3/4 l,5,9-2p,51,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Pro Bono (IRE),C. D. Hayes,0,C. W. J. Farrell,6th,Head,8,9-0p,49,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Oranmore (IRE),Jack Cleary,7,Luke Comer,5th,1 l,7,9-10,59,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Golden Sandbanks,D. B. McMonagle,0,Paul W. Flynn,4th,1/2 l,6,9-10t,59,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,French Company (IRE),D. N. Curran,7,J. G. Coogan,3rd,Short Head,5,10-1,64,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Sea Oscar,Declan McDonogh,0,Joseph Patrick O'Brien,2nd,1/2 l,5,9-4,53,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Celtic Revival (IRE),J. J. G. Ryan,7,Edward Lynam,1st,N/A,4,9-12,62,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Canning (IRE),N. M. Crosse,0,Luke Comer,14th,9 1/2 l,7,9-1,50,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Supreme Law (USA),C. T. Keane,0,Matthew J. Smith,13th,3/4 l,4,9-5p,55,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Boragh Empress (IRE),S. Cleary-Farrell,10,Barry Fitzgerald,12th,1 l,4,9-6,56,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Maricruz (IRE),Cillian McConnell,7,John McConnell,11th,Neck,8,9-2t,51,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Lex Maxima (IRE),S. D. Bowen,7,John McConnell,10th,2 l,4,8-13h,49,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Kalaroun (IRE),Seamie Heffernan,0,Miss Tara Lee Cogan,9th,3/4 l,5,9-13tp,62,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Hinemoa (FR),A. C. Persse,7,Mark Cahill,8th,1 1/2 l,7,9-6,55,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Ballycommon Chapel (IRE),R. Whearty,7,Peter Cluskey,7th,3/4 l,5,9-2p,51,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Pro Bono (IRE),C. D. Hayes,0,C. W. J. Farrell,6th,Head,8,9-0p,49,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Oranmore (IRE),Jack Cleary,7,Luke Comer,5th,1 l,7,9-10,59,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Golden Sandbanks,D. B. McMonagle,0,Paul W. Flynn,4th,1/2 l,6,9-10t,59,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,French Company (IRE),D. N. Curran,7,J. G. Coogan,3rd,Short Head,5,10-1,64,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Sea Oscar,Declan McDonogh,0,Joseph Patrick O'Brien,2nd,1/2 l,5,9-4,53,True,46,1
Dundalk Racing Results | 24th March 2023 17:25,N/A,17:25,Standard,1m 4f,Celtic Revival (IRE),J. J. G. Ryan,7,Edward Lynam,1st,N/A,4,9-12,62,True,46,1
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Hale Bopp (IRE),R. C. Colgan,0,R. Donohoe,12th,6 l,5,9-3,74,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Turf Range (IRE),W. M. Lordan,0,D. Broad,11th,1 1/4 l,7,9-7b,78,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,No Trouble (IRE),Seamie Heffernan,0,James McAuley,10th,1/2 l,7,8-12tp,69,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Diamond Union,N. G. McCullagh,0,E. J. O'Grady,9th,3/4 l,6,9-2,73,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Ghumama (IRE),C. T. Keane,0,James McAuley,8th,Head,5,9-2tp,73,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Higher Kingdom,D. W. O'Connor,0,John McConnell,7th,1/2 l,6,10-1,86,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Cold Steel (USA),William James Lee,0,Andrew Oliver,6th,Neck,5,9-12,83,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Roman Bull (IRE),Declan McDonogh,0,Michael O'Meara,5th,1/2 l,5,9-3p1,74,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Bowerman,Adam Caffrey,7,Adrian McGuinness,4th,3/4 l,9,10-3p,88,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Dalvey,J. M. Sheridan,3,James McAuley,3rd,1 1/4 l,6,9-10tp,81,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Cristal Clere (IRE),S. D. Bowen,7,John J. Nallen,2nd,Short Head,5,9-9,80,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Burren Song (IRE),A. J. Slattery,0,A. Slattery,1st,N/A,5,9-4,75,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Hale Bopp (IRE),R. C. Colgan,0,R. Donohoe,12th,6 l,5,9-3,74,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Turf Range (IRE),W. M. Lordan,0,D. Broad,11th,1 1/4 l,7,9-7b,78,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,No Trouble (IRE),Seamie Heffernan,0,James McAuley,10th,1/2 l,7,8-12tp,69,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Diamond Union,N. G. McCullagh,0,E. J. O'Grady,9th,3/4 l,6,9-2,73,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Ghumama (IRE),C. T. Keane,0,James McAuley,8th,Head,5,9-2tp,73,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Higher Kingdom,D. W. O'Connor,0,John McConnell,7th,1/2 l,6,10-1,86,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Cold Steel (USA),William James Lee,0,Andrew Oliver,6th,Neck,5,9-12,83,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Roman Bull (IRE),Declan McDonogh,0,Michael O'Meara,5th,1/2 l,5,9-3p1,74,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Bowerman,Adam Caffrey,7,Adrian McGuinness,4th,3/4 l,9,10-3p,88,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Dalvey,J. M. Sheridan,3,James McAuley,3rd,1 1/4 l,6,9-10tp,81,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Cristal Clere (IRE),S. D. Bowen,7,John J. Nallen,2nd,Short Head,5,9-9,80,True,46,2
Dundalk Racing Results | 24th March 2023 18:00,N/A,18:00,Standard,1m 2f 150y,Burren Song (IRE),A. J. Slattery,0,A. Slattery,1st,N/A,5,9-4,75,True,46,2
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Gidwa (IRE),D. W. O'Connor,0,John McConnell,14th,1 1/4 l,4,9-13,61,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Numoor,C. T. Keane,0,James McAuley,13th,Head,5,9-4tb,52,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Prince Of Abington (IRE),Jessica O'Gorman,7,John McConnell,12th,3 1/2 l,5,10-0b,62,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Eruption (IRE),G. F. Carroll,0,Matthew J. Smith,11th,Short Head,4,9-7,55,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Theriverrunsdeep (IRE),J. J. G. Ryan,7,Seamus G. O'Donnell,10th,Head,7,9-10,58,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Poet's Pride,Declan McDonogh,0,David Marnane,9th,1 1/2 l,8,9-5,53,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Un Bacio Ancora (IRE),R. P. Cleary,0,C. W. J. Farrell,8th,1/2 l,4,9-13t,61,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Zig Zag Zyggy (IRE),Adam Caffrey,7,Adrian McGuinness,7th,Head,8,9-13tv1,61,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Tynamite (IRE),J. A. Powell,5,David Marnane,6th,1/2 l,9,9-7,55,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Eglish,William James Lee,0,James McAuley,5th,1 1/4 l,6,9-7v,55,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,My Little Tip (IRE),J. M. Sheridan,3,James McAuley,4th,Neck,4,10-1tp,63,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Kuwait Direction (IRE),G. M. Ryan,0,Keith Henry Clarke,3rd,Neck,6,9-8,56,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Pulse Of Shanghai (IRE),Shane Foley,0,James McAuley,2nd,1 1/2 l,7,9-12tb,60,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Hero Of The Hour,C. D. Hayes,0,G. A. Kingston,1st,N/A,6,9-9b,57,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Gidwa (IRE),D. W. O'Connor,0,John McConnell,14th,1 1/4 l,4,9-13,61,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Numoor,C. T. Keane,0,James McAuley,13th,Head,5,9-4tb,52,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Prince Of Abington (IRE),Jessica O'Gorman,7,John McConnell,12th,3 1/2 l,5,10-0b,62,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Eruption (IRE),G. F. Carroll,0,Matthew J. Smith,11th,Short Head,4,9-7,55,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Theriverrunsdeep (IRE),J. J. G. Ryan,7,Seamus G. O'Donnell,10th,Head,7,9-10,58,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Poet's Pride,Declan McDonogh,0,David Marnane,9th,1 1/2 l,8,9-5,53,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Un Bacio Ancora (IRE),R. P. Cleary,0,C. W. J. Farrell,8th,1/2 l,4,9-13t,61,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Zig Zag Zyggy (IRE),Adam Caffrey,7,Adrian McGuinness,7th,Head,8,9-13tv1,61,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Tynamite (IRE),J. A. Powell,5,David Marnane,6th,1/2 l,9,9-7,55,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Eglish,William James Lee,0,James McAuley,5th,1 1/4 l,6,9-7v,55,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,My Little Tip (IRE),J. M. Sheridan,3,James McAuley,4th,Neck,4,10-1tp,63,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Kuwait Direction (IRE),G. M. Ryan,0,Keith Henry Clarke,3rd,Neck,6,9-8,56,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Pulse Of Shanghai (IRE),Shane Foley,0,James McAuley,2nd,1 1/2 l,7,9-12tb,60,True,46,3
Dundalk Racing Results | 24th March 2023 18:30,N/A,18:30,Standard,6f,Hero Of The Hour,C. D. Hayes,0,G. A. Kingston,1st,N/A,6,9-9b,57,True,46,3
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Tip the Can (IRE),D. W. O'Connor,0,Damian Joseph English,14th,26 l,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Red Shield (IRE),M. A. Enright,0,J. F. O'Shea,13th,2 1/2 l,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Marino Point (IRE),Ben Martin Coen,5,Luke Comer,12th,Neck,3,9-8h1,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Good Fit (IRE),C. D. Maxwell,0,Gavin Patrick Cromwell,11th,2 1/2 l,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Lilac Lady (IRE),R. C. Colgan,0,M. C. Grassick,10th,1/2 l,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,So Messi (IRE),J. Kearney,7,Patrick Martin,9th,2 l,3,9-8t1,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Lily Maguire (IRE),N. M. Crosse,0,W. McCreery,8th,Head,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Spanish Saint (IRE),L. F. Roche,0,Noel Meade,7th,1 1/4 l,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Initial Attempt (IRE),Jack Cleary,7,Luke Comer,6th,Neck,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Only A Star (IRE),J. J. G. Ryan,7,T. G. McCourt,5th,2 l,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Highland Rahy (USA),J. M. Sheridan,3,J. A. Stack,4th,5 l,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Heartrate (IRE),R. P. Cleary,0,Kieran Patrick Cotter,3rd,Short Head,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Artemis Jones (IRE),D. E. Sheehy,3,John Patrick Murtagh,2nd,1/2 l,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Sea Chariot,S. McCullagh,3,John Joseph Murphy,1st,N/A,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Tip the Can (IRE),D. W. O'Connor,0,Damian Joseph English,14th,26 l,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Red Shield (IRE),M. A. Enright,0,J. F. O'Shea,13th,2 1/2 l,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Marino Point (IRE),Ben Martin Coen,5,Luke Comer,12th,Neck,3,9-8h1,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Good Fit (IRE),C. D. Maxwell,0,Gavin Patrick Cromwell,11th,2 1/2 l,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Lilac Lady (IRE),R. C. Colgan,0,M. C. Grassick,10th,1/2 l,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,So Messi (IRE),J. Kearney,7,Patrick Martin,9th,2 l,3,9-8t1,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Lily Maguire (IRE),N. M. Crosse,0,W. McCreery,8th,Head,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Spanish Saint (IRE),L. F. Roche,0,Noel Meade,7th,1 1/4 l,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Initial Attempt (IRE),Jack Cleary,7,Luke Comer,6th,Neck,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Only A Star (IRE),J. J. G. Ryan,7,T. G. McCourt,5th,2 l,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Highland Rahy (USA),J. M. Sheridan,3,J. A. Stack,4th,5 l,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Heartrate (IRE),R. P. Cleary,0,Kieran Patrick Cotter,3rd,Short Head,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Artemis Jones (IRE),D. E. Sheehy,3,John Patrick Murtagh,2nd,1/2 l,3,9-3,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:00,N/A,19:00,Standard,7f,Sea Chariot,S. McCullagh,3,John Joseph Murphy,1st,N/A,3,9-8,-,True,46,4
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Trident Star (IRE),W. M. Lordan,0,James McAuley,11th,2 l,3,8-9p,53,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Riesling,William James Lee,0,Henry de Bromhead,10th,2 1/4 l,3,9-8,66,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Rio Largo (IRE),Declan McDonogh,0,Luke Comer,9th,1/2 l,3,9-8,66,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Distillate,C. J. MacRedmond,5,Adrian McGuinness,8th,Short Head,3,9-13t,71,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Apprentice (IRE),A. C. Persse,7,Mark Cahill,7th,Neck,3,9-3,61,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Magnanimous Mehmus (IRE),Seamie Heffernan,0,Adrian Murray,6th,Nose,3,9-10,68,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Havana Notion,J. A. Powell,5,J. J. Feane,5th,1/2 l,3,9-3,61,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Memorial Verse (IRE),C. T. Keane,0,Edward Lynam,4th,1 l,3,9-3h,61,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Little Keilee (IRE),D. B. McMonagle,0,Ciaran Murphy,3rd,Neck,3,9-8,66,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Fleetfootsoldier (IRE),Mpumelelo Mjoka,3,Kevin Thomas Coleman,2nd,Neck,3,8-10,54,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Amemri,A. J. Slattery,0,David Marnane,1st,N/A,3,8-7,51,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Trident Star (IRE),W. M. Lordan,0,James McAuley,11th,2 l,3,8-9p,53,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Riesling,William James Lee,0,Henry de Bromhead,10th,2 1/4 l,3,9-8,66,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Rio Largo (IRE),Declan McDonogh,0,Luke Comer,9th,1/2 l,3,9-8,66,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Distillate,C. J. MacRedmond,5,Adrian McGuinness,8th,Short Head,3,9-13t,71,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Apprentice (IRE),A. C. Persse,7,Mark Cahill,7th,Neck,3,9-3,61,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Magnanimous Mehmus (IRE),Seamie Heffernan,0,Adrian Murray,6th,Nose,3,9-10,68,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Havana Notion,J. A. Powell,5,J. J. Feane,5th,1/2 l,3,9-3,61,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Memorial Verse (IRE),C. T. Keane,0,Edward Lynam,4th,1 l,3,9-3h,61,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Little Keilee (IRE),D. B. McMonagle,0,Ciaran Murphy,3rd,Neck,3,9-8,66,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Fleetfootsoldier (IRE),Mpumelelo Mjoka,3,Kevin Thomas Coleman,2nd,Neck,3,8-10,54,True,46,5
Dundalk Racing Results | 24th March 2023 19:30,N/A,19:30,Standard,7f,Amemri,A. J. Slattery,0,David Marnane,1st,N/A,3,8-7,51,True,46,5
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Punk Poet (IRE),J. J. G. Ryan,7,Edward Lynam,12th,2 1/4 l,6,9-6t,77,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Ampeson,W. M. Lordan,0,P. J. McKenna,11th,1/2 l,6,10-0p,85,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Bucky Larson (IRE),D. B. McMonagle,0,R. Donohoe,10th,1 1/4 l,8,8-13,70,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Yester (IRE),R. P. Cleary,0,T. G. McCourt,9th,Head,7,8-11,68,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Surviving Murmansk (IRE),A. C. Persse,7,Mrs A. M. O'Shea,8th,Neck,5,8-10b,67,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Circles (IRE),Seamie Heffernan,0,Anthony McCann,7th,Nose,4,8-10tb,67,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Jaafel (IRE),C. J. MacRedmond,5,Adrian McGuinness,6th,1/2 l,5,9-8t,79,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Jered Maddox,Declan McDonogh,0,David Marnane,5th,3/4 l,7,9-1,72,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Exquisite Acclaim (IRE),Adam Caffrey,7,Adrian McGuinness,4th,3/4 l,4,10-2p,87,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Macadam's Rock (IRE),C. D. Hayes,0,Miss Hilary McLoughlin,3rd,1/2 l,5,8-9,66,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Benavente,J. Kearney,7,Richard John O'Brien,2nd,2 3/4 l,5,9-8,79,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,She's In the Game (IRE),Neve Bennett,7,W. T. Farrell,1st,N/A,6,9-5,76,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Punk Poet (IRE),J. J. G. Ryan,7,Edward Lynam,12th,2 1/4 l,6,9-6t,77,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Ampeson,W. M. Lordan,0,P. J. McKenna,11th,1/2 l,6,10-0p,85,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Bucky Larson (IRE),D. B. McMonagle,0,R. Donohoe,10th,1 1/4 l,8,8-13,70,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Yester (IRE),R. P. Cleary,0,T. G. McCourt,9th,Head,7,8-11,68,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Surviving Murmansk (IRE),A. C. Persse,7,Mrs A. M. O'Shea,8th,Neck,5,8-10b,67,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Circles (IRE),Seamie Heffernan,0,Anthony McCann,7th,Nose,4,8-10tb,67,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Jaafel (IRE),C. J. MacRedmond,5,Adrian McGuinness,6th,1/2 l,5,9-8t,79,True,46,6
Dundalk Racing Results | 24th March 2023 20:00,N/A,20:00,Standard,7f,Jered Maddox,Declan McDonogh,0,David Marnane,5th,3/4 l,7,9-1,72,True,46,6
