track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Picpoul (IRE),R. Whearty,5,M. M. Rice,14th,15 l,5,9-7,61,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Humanitarian (USA),L. F. Roche,0,John Joseph Hanlon,13th,3 3/4 l,7,9-8,62,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Navajo River (IRE),Declan McDonogh,0,Luke Comer,12th,2 3/4 l,3,9-6,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Ghumama (IRE),C. T. Keane,0,James McAuley,11th,3 1/4 l,5,9-11tb,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Maralinga (IRE),M. W. Hassett,7,Timothy Doyle,10th,Neck,5,10-2,70,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Storm Steps (IRE),J. Kearney,5,Patrick Martin,9th,3/4 l,8,9-10t,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Grey Fable (IRE),R. C. Colgan,0,Ms Sheila Lavery,8th,1 1/4 l,3,9-5,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Velvet And Vine (IRE),Seamie Heffernan,0,Miss Jennifer Anne Lynch,7th,1 l,3,9-5,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Oranmore (IRE),C. D. Hayes,0,Luke Comer,6th,1 1/2 l,7,9-9,63,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Humtaza (IRE),J. A. Powell,3,P. O'Rourke,5th,3/4 l,4,9-6t,60,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Believe In Science (IRE),N. G. McCullagh,0,J. S. Bolger,4th,1/2 l,4,9-11,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Curious Bride (IRE),William James Lee,0,Eamonn O'Connell,3rd,1 3/4 l,6,9-7t,61,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Sky Legend,J. M. Sheridan,0,Philip Michael Byrne,2nd,1 1/2 l,4,9-9t,63,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Celtic Revival (IRE),J. J. G. Ryan,5,Edward Lynam,1st,N/A,4,10-1,69,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Picpoul (IRE),R. Whearty,5,M. M. Rice,14th,15 l,5,9-7,61,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Humanitarian (USA),L. F. Roche,0,John Joseph Hanlon,13th,3 3/4 l,7,9-8,62,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Navajo River (IRE),Declan McDonogh,0,Luke Comer,12th,2 3/4 l,3,9-6,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Ghumama (IRE),C. T. Keane,0,James McAuley,11th,3 1/4 l,5,9-11tb,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Maralinga (IRE),M. W. Hassett,7,Timothy Doyle,10th,Neck,5,10-2,70,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Storm Steps (IRE),J. Kearney,5,Patrick Martin,9th,3/4 l,8,9-10t,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Grey Fable (IRE),R. C. Colgan,0,Ms Sheila Lavery,8th,1 1/4 l,3,9-5,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Velvet And Vine (IRE),Seamie Heffernan,0,Miss Jennifer Anne Lynch,7th,1 l,3,9-5,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Oranmore (IRE),C. D. Hayes,0,Luke Comer,6th,1 1/2 l,7,9-9,63,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Humtaza (IRE),J. A. Powell,3,P. O'Rourke,5th,3/4 l,4,9-6t,60,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Believe In Science (IRE),N. G. McCullagh,0,J. S. Bolger,4th,1/2 l,4,9-11,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Curious Bride (IRE),William James Lee,0,Eamonn O'Connell,3rd,1 3/4 l,6,9-7t,61,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Sky Legend,J. M. Sheridan,0,Philip Michael Byrne,2nd,1 1/2 l,4,9-9t,63,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Celtic Revival (IRE),J. J. G. Ryan,5,Edward Lynam,1st,N/A,4,10-1,69,True,89,1
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Celebrating Katie (IRE),J. S. McGarvey,0,Noel C. Kelly,UR,N/A,6,11-5,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Good World (IRE),R. A. Doyle,0,Eoin Griffin,UR,N/A,8,11-12p,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Uncle Gerhard (IRE),C. G. O'Dwyer,5,Conor O'Dwyer,PU,N/A,8,11-12,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Appian Way (FR),Sam Ewing,0,Gordon Elliott,F,N/A,7,11-12b,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Val the Man (IRE),T. P. Harney,7,Cian Michael Collins,F,N/A,6,11-12,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Maciver (IRE),Phillip Enright,0,A. M. O'Grady,9th,10 l,6,11-12tp,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Tomas O Maille (IRE),Mr J. C. Barry,3,Michael Flannery,8th,21 l,6,11-12t,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Song For My Father (IRE),Jordan Colin Gainford,0,Ross O'Sullivan,7th,6 l,6,11-12,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Battle Away (IRE),Keith Donoghue,0,Ross O'Sullivan,6th,5 1/2 l,10,11-5,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Umndeni (FR),C. P. Millar,7,Cian Michael Collins,5th,1/2 l,9,11-12tb,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Mahlers Cove (IRE),M. P. O'Connor,3,James Joseph Mangan,4th,13 l,6,11-12,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Warm In Gorey (IRE),S. D. Torrens,0,P. J. Rothwell,3rd,1/2 l,5,11-12t,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Vocito (IRE),Shane O'Callaghan,5,Eoin Doyle,2nd,11 l,5,11-12t,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Battle Of Ridgeway (IRE),B. Hayes,0,Martin Hassett,1st,N/A,5,11-12t,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Celebrating Katie (IRE),J. S. McGarvey,0,Noel C. Kelly,UR,N/A,6,11-5,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Good World (IRE),R. A. Doyle,0,Eoin Griffin,UR,N/A,8,11-12p,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Uncle Gerhard (IRE),C. G. O'Dwyer,5,Conor O'Dwyer,PU,N/A,8,11-12,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Appian Way (FR),Sam Ewing,0,Gordon Elliott,F,N/A,7,11-12b,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Val the Man (IRE),T. P. Harney,7,Cian Michael Collins,F,N/A,6,11-12,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Maciver (IRE),Phillip Enright,0,A. M. O'Grady,9th,10 l,6,11-12tp,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Tomas O Maille (IRE),Mr J. C. Barry,3,Michael Flannery,8th,21 l,6,11-12t,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Song For My Father (IRE),Jordan Colin Gainford,0,Ross O'Sullivan,7th,6 l,6,11-12,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Battle Away (IRE),Keith Donoghue,0,Ross O'Sullivan,6th,5 1/2 l,10,11-5,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Umndeni (FR),C. P. Millar,7,Cian Michael Collins,5th,1/2 l,9,11-12tb,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Mahlers Cove (IRE),M. P. O'Connor,3,James Joseph Mangan,4th,13 l,6,11-12,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Warm In Gorey (IRE),S. D. Torrens,0,P. J. Rothwell,3rd,1/2 l,5,11-12t,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Vocito (IRE),Shane O'Callaghan,5,Eoin Doyle,2nd,11 l,5,11-12t,-,True,89,2
Thurles Racing Results | 2nd November 2023 12:55,N/A,12:55,Soft,2m 2f 66y,Battle Of Ridgeway (IRE),B. Hayes,0,Martin Hassett,1st,N/A,5,11-12t,-,True,89,2
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Sefton Warrior,J. S. McGarvey,0,John Joseph Hanlon,NR,N/A,6,10-9tp,90,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Go Battle (IRE),Sam Ewing,0,Philip Michael Byrne,PU,N/A,9,10-0,81,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Filon D'oudairies (FR),C. G. O'Dwyer,5,J. P. Broderick,PU,N/A,8,11-8,103,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Tincurra Lad (IRE),S. F. O'Keeffe,0,W. J. Martin,F,N/A,6,10-4,85,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Just For Yuse (IRE),Peter Carberry,0,Paul Stafford,11th,15 l,5,10-9,90,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Itsalonglongroad,Shane O'Callaghan,5,Charles Coakley,10th,23 l,9,11-5v,100,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Fassbender (IRE),P. Byrnes,5,Mark McNiff,9th,1 1/4 l,7,11-4tp,99,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,A Mere Bagatelle (IRE),Shane Fenelon,7,John Joseph Hanlon,8th,6 1/2 l,6,11-11p,106,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Gali Flight (FR),B. Hayes,0,Philip Fenton,7th,5 1/2 l,7,11-10p,105,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Peckham Springs (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,6th,Neck,6,11-5tp,100,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Look Dont Touch (IRE),Patrick Michael O'Brien,7,Dermot Anthony McLoughlin,5th,1 1/4 l,8,12-2t,111,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,McGrath From Clune (IRE),Phillip Enright,0,Robert Tyner,4th,1 3/4 l,7,10-11t,92,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Game And Glory (IRE),Patrick O'Hanlon,3,P. J. Rothwell,3rd,3 1/2 l,7,10-11p,92,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Dundaniel (IRE),J. W. Kennedy,0,Michael G. Kennedy,2nd,3/4 l,8,11-13,108,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Name Me Famous (IRE),D. King,3,Eoin Christopher McCarthy,1st,N/A,7,11-5tp,100,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Sefton Warrior,J. S. McGarvey,0,John Joseph Hanlon,NR,N/A,6,10-9tp,90,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Go Battle (IRE),Sam Ewing,0,Philip Michael Byrne,PU,N/A,9,10-0,81,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Filon D'oudairies (FR),C. G. O'Dwyer,5,J. P. Broderick,PU,N/A,8,11-8,103,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Tincurra Lad (IRE),S. F. O'Keeffe,0,W. J. Martin,F,N/A,6,10-4,85,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Just For Yuse (IRE),Peter Carberry,0,Paul Stafford,11th,15 l,5,10-9,90,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Itsalonglongroad,Shane O'Callaghan,5,Charles Coakley,10th,23 l,9,11-5v,100,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Fassbender (IRE),P. Byrnes,5,Mark McNiff,9th,1 1/4 l,7,11-4tp,99,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,A Mere Bagatelle (IRE),Shane Fenelon,7,John Joseph Hanlon,8th,6 1/2 l,6,11-11p,106,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Gali Flight (FR),B. Hayes,0,Philip Fenton,7th,5 1/2 l,7,11-10p,105,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Peckham Springs (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,6th,Neck,6,11-5tp,100,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Look Dont Touch (IRE),Patrick Michael O'Brien,7,Dermot Anthony McLoughlin,5th,1 1/4 l,8,12-2t,111,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,McGrath From Clune (IRE),Phillip Enright,0,Robert Tyner,4th,1 3/4 l,7,10-11t,92,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Game And Glory (IRE),Patrick O'Hanlon,3,P. J. Rothwell,3rd,3 1/2 l,7,10-11p,92,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Dundaniel (IRE),J. W. Kennedy,0,Michael G. Kennedy,2nd,3/4 l,8,11-13,108,True,89,3
Thurles Racing Results | 2nd November 2023 13:30,N/A,13:30,Soft,2m 2f 66y,Name Me Famous (IRE),D. King,3,Eoin Christopher McCarthy,1st,N/A,7,11-5tp,100,True,89,3
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Brog Ban Espana (IRE),Sean Flanagan,0,Moses McCabe,PU,N/A,7,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Leste (IRE),Liam Quinlan,5,John Patrick Ryan,F,N/A,4,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Intertwine (FR),Donagh Meyler,0,Ms Margaret Mullins,13th,1 l,5,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Symbas Spirit (IRE),Phillip Enright,0,S. Curling,12th,13 l,4,10-13h1,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,On The Banks (IRE),R. P. Treacy,0,Robert Tyner,11th,22 l,5,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Sineads Fancy (IRE),L. A. McKenna,5,Stephen Ryan,10th,1 1/2 l,6,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Sidiriya (IRE),J. P. O'Sullivan,3,P. J. Rothwell,9th,3 l,4,11-7,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Idol (FR),Richard Deegan,0,S. Curling,8th,1 1/2 l,5,11-7,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Annie Beag (IRE),Trevor Ryan,5,W. J. Austin,7th,Short Head,6,10-13h,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,A La Carte (IRE),S. F. O'Keeffe,0,Miss Elizabeth Doyle,6th,5 1/2 l,4,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,River Robe (IRE),A. M. McCurtin,0,Michael Flannery,5th,1/2 l,4,10-13h,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Spyfall (FR),S. D. Torrens,0,P. J. Rothwell,4th,3 l,4,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Straight Home (IRE),Miss J. Townend,0,Timothy Townend,3rd,26 l,6,11-7,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Missus Beeton (IRE),S. Fitzgerald,0,Shane Nolan,2nd,5 1/2 l,5,10-13h1,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Mollys Mango,J. W. Kennedy,0,Gordon Elliott,1st,N/A,5,11-7,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Brog Ban Espana (IRE),Sean Flanagan,0,Moses McCabe,PU,N/A,7,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Leste (IRE),Liam Quinlan,5,John Patrick Ryan,F,N/A,4,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Intertwine (FR),Donagh Meyler,0,Ms Margaret Mullins,13th,1 l,5,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Symbas Spirit (IRE),Phillip Enright,0,S. Curling,12th,13 l,4,10-13h1,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,On The Banks (IRE),R. P. Treacy,0,Robert Tyner,11th,22 l,5,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Sineads Fancy (IRE),L. A. McKenna,5,Stephen Ryan,10th,1 1/2 l,6,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Sidiriya (IRE),J. P. O'Sullivan,3,P. J. Rothwell,9th,3 l,4,11-7,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Idol (FR),Richard Deegan,0,S. Curling,8th,1 1/2 l,5,11-7,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Annie Beag (IRE),Trevor Ryan,5,W. J. Austin,7th,Short Head,6,10-13h,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,A La Carte (IRE),S. F. O'Keeffe,0,Miss Elizabeth Doyle,6th,5 1/2 l,4,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,River Robe (IRE),A. M. McCurtin,0,Michael Flannery,5th,1/2 l,4,10-13h,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Spyfall (FR),S. D. Torrens,0,P. J. Rothwell,4th,3 l,4,10-13,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Straight Home (IRE),Miss J. Townend,0,Timothy Townend,3rd,26 l,6,11-7,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Missus Beeton (IRE),S. Fitzgerald,0,Shane Nolan,2nd,5 1/2 l,5,10-13h1,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:05,N/A,14:05,Soft,2m 13y,Mollys Mango,J. W. Kennedy,0,Gordon Elliott,1st,N/A,5,11-7,-,True,89,4
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Boxcar Molly (IRE),Richard Deegan,0,Eoin Christopher McCarthy,15th,10 l,4,11-8,89,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Future Proof (IRE),C. Owens,7,P. J. Rothwell,14th,2 1/2 l,8,11-6b,87,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Craic Eile (IRE),Mr D. Allen,7,David Kenneth Budds,13th,4 3/4 l,6,11-13t,94,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Fly De Megaudais (FR),Mr A. P. Ryan,7,Michael J. McDonagh,12th,6 l,10,10-13p,80,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Navy Waves (IRE),E. Dwan,7,Mrs Julie Cashin,11th,2 1/4 l,5,11-9,90,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Forever Frankie (IRE),S. F. O'Keeffe,0,Sean Aherne,10th,1 1/4 l,6,12-0,95,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Robin Elite (IRE),R. A. Doyle,0,Gearoid O'Loughlin,9th,1 1/4 l,5,11-6tp1,87,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Coppercoast Paudie (IRE),E. M. O'Sullivan,7,Ms M. Flynn,8th,Neck,10,10-13,80,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Resilient Front (IRE),Sam Ewing,0,Noel Meade,7th,1 l,5,11-10t,91,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Outdoor Mozzy (IRE),Miss P. Elvin,7,P. J. Rothwell,6th,2 l,6,10-13t,80,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Toon Town (IRE),A. P. Heskin,0,Brendan Maurice Walsh,5th,Neck,6,11-7,88,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Brownstone (IRE),Keith Donoghue,0,Ian Patrick Donoghue,4th,2 l,7,11-5t,86,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Destivelle (IRE),D. King,3,Shane Kieran Ryder,3rd,1 1/4 l,4,11-3tp,84,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Herculaneum (IRE),Mr O. McGill,7,Noel C. Kelly,2nd,Neck,6,11-10b,91,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Duke Otto (IRE),G. B. Noonan,5,Patrick J. Flynn,1st,N/A,5,12-0,95,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Boxcar Molly (IRE),Richard Deegan,0,Eoin Christopher McCarthy,15th,10 l,4,11-8,89,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Future Proof (IRE),C. Owens,7,P. J. Rothwell,14th,2 1/2 l,8,11-6b,87,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Craic Eile (IRE),Mr D. Allen,7,David Kenneth Budds,13th,4 3/4 l,6,11-13t,94,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Fly De Megaudais (FR),Mr A. P. Ryan,7,Michael J. McDonagh,12th,6 l,10,10-13p,80,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Navy Waves (IRE),E. Dwan,7,Mrs Julie Cashin,11th,2 1/4 l,5,11-9,90,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Forever Frankie (IRE),S. F. O'Keeffe,0,Sean Aherne,10th,1 1/4 l,6,12-0,95,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Robin Elite (IRE),R. A. Doyle,0,Gearoid O'Loughlin,9th,1 1/4 l,5,11-6tp1,87,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Coppercoast Paudie (IRE),E. M. O'Sullivan,7,Ms M. Flynn,8th,Neck,10,10-13,80,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Resilient Front (IRE),Sam Ewing,0,Noel Meade,7th,1 l,5,11-10t,91,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Outdoor Mozzy (IRE),Miss P. Elvin,7,P. J. Rothwell,6th,2 l,6,10-13t,80,True,89,5
Thurles Racing Results | 2nd November 2023 14:40,N/A,14:40,Soft,2m 13y,Toon Town (IRE),A. P. Heskin,0,Brendan Maurice Walsh,5th,Neck,6,11-7,88,True,89,5
