combo_index,indices,names,tracks,history_count,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
97,"(0, 143, 147, 60)",unionville|daley t|hardstyle|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.0830093322905349,9.383333333333333,-6.3126818015142705,8.687318198485732,61.46802677691888,-0.10269862451294222,NO_L15
98,"(0, 143, 147, 4)",unionville|daley t|hardstyle|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.08288266584053491,8.383333333333333,-7.663009269645134,7.336990730354865,41.792864683256624,-0.1833568798818222,NO_L15
99,"(0, 143, 1, 2)",unionville|daley t|conquest of power|lion city,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.08370020401553492,38.375,82.96534149969104,97.96534149969104,3330.5503773089304,0.024910399814077173,L15_CANDIDATE
100,"(0, 143, 1, 152)",unionville|daley t|conquest of power|master dandy,kempton (aw)|wolverhampton (aw)|kempton (aw)|wolverhampton (aw),2|0|0|0,0.08352162669053492,14.75,4.280199375276596,19.280199375276595,277.1854709587613,0.015441644038815401,L15_CANDIDATE
101,"(0, 143, 1, 60)",unionville|daley t|conquest of power|canty bay,kempton (aw)|wolverhampton (aw)|kempton (aw)|lingfield,2|0|0|0,0.08254435044053492,15.5,6.189019202595491,21.189019202595492,354.0780675909632,0.01747925039442191,L15_CANDIDATE
102,"(0, 143, 1, 4)",unionville|daley t|conquest of power|smasher,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.08241768399053492,14.5,3.0960639072040883,18.09606390720409,242.21640816214878,0.012782222024907027,L15_CANDIDATE
103,"(0, 143, 2, 152)",unionville|daley t|lion city|master dandy,kempton (aw)|wolverhampton (aw)|kempton (aw)|wolverhampton (aw),2|0|0|0,0.0830210334155349,33.5,37.73622857999287,52.73622857999287,1019.6057540342966,0.03701060770859825,L15_CANDIDATE
104,"(0, 143, 2, 60)",unionville|daley t|lion city|canty bay,kempton (aw)|wolverhampton (aw)|kempton (aw)|lingfield,2|0|0|0,0.08204375716553491,34.25,42.794008173810674,57.79400817381068,1302.0048816184542,0.03286777859128737,L15_CANDIDATE
105,"(0, 143, 2, 4)",unionville|daley t|lion city|smasher,kempton (aw)|wolverhampton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.08191709071553491,33.25,34.59863742496739,49.598637424967386,891.1585624089297,0.03882433372063699,L15_CANDIDATE
106,"(0, 143, 152, 60)",unionville|daley t|master dandy|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.08186517984053492,10.625,-3.951800198251781,11.04819980174822,108.04219989221258,-0.036576450703468294,NO_L15
107,"(0, 143, 152, 4)",unionville|daley t|master dandy|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.08173851339053492,9.625,-5.631213922513729,9.36878607748627,73.72638270188999,-0.07637990250089094,NO_L15
108,"(0, 143, 60, 4)",unionville|daley t|canty bay|smasher,kempton (aw)|wolverhampton (aw)|lingfield|kempton (aw),2|0|0|0,0.0807612371405349,10.375,-4.6552795106428935,10.344720489357108,94.35825699236588,-0.049336217719870894,NO_L15
109,"(0, 144, 146, 147)",unionville|trusty scout|eutropia|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|8|0,0.08327194576553491,10.258333333333333,-5.645995043349124,9.354004956650876,60.621041359190535,-0.0931358966583169,NO_L15
110,"(0, 144, 146, 1)",unionville|trusty scout|eutropia|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|8|0,0.08280696391553491,16.375,7.716080147218423,22.716080147218424,349.82030259904514,0.022057267945544006,L15_CANDIDATE
111,"(0, 144, 146, 2)",unionville|trusty scout|eutropia|lion city,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|8|0,0.08230637064053492,35.125,46.840245316620745,61.840245316620745,1286.5544038476637,0.03640751232636325,L15_CANDIDATE
112,"(0, 144, 146, 152)",unionville|trusty scout|eutropia|master dandy,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|8|0,0.08212779331553491,11.5,-3.122636222941356,11.877363777058646,106.66591720978847,-0.02927492028029736,NO_L15
113,"(0, 144, 146, 60)",unionville|trusty scout|eutropia|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|8|0,0.08115051706553492,12.25,-1.9105886071169464,13.089411392883054,136.42191935395078,-0.01400499726264565,NO_L15
114,"(0, 144, 146, 4)",unionville|trusty scout|eutropia|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|8|0,0.08102385061553491,11.25,-3.874529382447302,11.125470617552697,93.14029558693566,-0.0415988521190689,NO_L15
115,"(0, 144, 147, 1)",unionville|trusty scout|hardstyle|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.0820614270905349,15.883333333333333,5.234597034372046,20.234597034372047,270.807273018935,0.019329602842705185,L15_CANDIDATE
116,"(0, 144, 147, 2)",unionville|trusty scout|hardstyle|lion city,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.08156083381553492,34.63333333333333,40.26508590611389,55.265085906113896,996.333606562217,0.04041325680566562,L15_CANDIDATE
117,"(0, 144, 147, 152)",unionville|trusty scout|hardstyle|master dandy,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.0813822564905349,11.008333333333333,-4.4700326119056815,10.529967388094319,82.43493184995455,-0.054224980983084856,NO_L15
