combo_index,indices,names,tracks,history_count,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
0,"(0, 237, 1, 155)",sky lord|beattie is back|microscope|betsen,down royal|southwell (aw)|down royal|newcastle (aw),0|0|1|14,0.13707185962487212,72.25,677.1265821212322,692.1265821212322,7861.248868056666,0.08613473424975296,L15_CANDIDATE
1,"(0, 237, 1, 2)",sky lord|beattie is back|microscope|whinney hill,down royal|southwell (aw)|down royal|down royal,0|0|1|2,0.13444167127487214,72.5,703.8911642194612,718.8911642194612,8742.44548708986,0.08051421827667224,L15_CANDIDATE
2,"(0, 237, 1, 238)",sky lord|beattie is back|microscope|onemorenomore,down royal|southwell (aw)|down royal|southwell (aw),0|0|1|0,0.13368548339987213,72.375,674.8192434755238,689.8192434755238,8058.860824839353,0.08373630692263205,L15_CANDIDATE
3,"(0, 237, 1, 239)",sky lord|beattie is back|microscope|zu run,down royal|southwell (aw)|down royal|southwell (aw),0|0|1|0,0.13347425002487212,78.625,1765.8389632370258,1780.8389632370258,40642.31390465633,0.04344828809155761,L15_CANDIDATE
4,"(0, 237, 1, 3)",sky lord|beattie is back|microscope|night moon,down royal|southwell (aw)|down royal|down royal,0|0|1|0,0.13336511602487214,72.875,759.1549604769901,774.1549604769901,10370.685847638493,0.07320200145199242,L15_CANDIDATE
5,"(0, 237, 1, 4)",sky lord|beattie is back|microscope|spinola bay,down royal|southwell (aw)|down royal|down royal,0|0|1|3,0.13333028377487213,72.1875,639.336085902067,654.336085902067,7193.270448987238,0.08887975093332978,L15_CANDIDATE
6,"(0, 237, 1, 156)",sky lord|beattie is back|microscope|ring of gold,down royal|southwell (aw)|down royal|newcastle (aw),0|0|1|0,0.13195729102487214,73.125,782.3699062019047,797.3699062019047,11271.520270848901,0.069411214051162,L15_CANDIDATE
7,"(0, 237, 1, 157)",sky lord|beattie is back|microscope|ana emaraaty,down royal|southwell (aw)|down royal|newcastle (aw),0|0|1|0,0.13076333527487213,73.125,765.178471172569,780.178471172569,10983.72366485813,0.06966475983192466,L15_CANDIDATE
8,"(0, 237, 1, 158)",sky lord|beattie is back|microscope|asadjumeirah,down royal|southwell (aw)|down royal|newcastle (aw),0|0|1|0,0.12963482752487213,72.75,695.2102488413002,710.2102488413002,9071.134489653761,0.07663983481164724,L15_CANDIDATE
9,"(0, 237, 155, 2)",sky lord|beattie is back|betsen|whinney hill,down royal|southwell (aw)|newcastle (aw)|down royal,0|0|14|2,0.12908792677487213,23.125,22.379970602185505,37.3799706021855,209.75192299638985,0.10669733217449787,L15_STRONG
10,"(0, 237, 155, 238)",sky lord|beattie is back|betsen|onemorenomore,down royal|southwell (aw)|newcastle (aw)|southwell (aw),0|0|14|0,0.12833173889987212,23.0,20.830042614513694,35.830042614513694,193.13636575914538,0.10785147857907931,L15_STRONG
11,"(0, 237, 155, 239)",sky lord|beattie is back|betsen|zu run,down royal|southwell (aw)|newcastle (aw)|southwell (aw),0|0|14|0,0.12812050552487214,29.25,78.99620279547948,93.99620279547948,984.326323673311,0.0802540792576605,L15_CANDIDATE
12,"(0, 237, 155, 3)",sky lord|beattie is back|betsen|night moon,down royal|southwell (aw)|newcastle (aw)|down royal,0|0|14|0,0.12801137152487213,23.5,25.3262810740314,40.3262810740314,249.3974765893853,0.10154986898977036,L15_STRONG
13,"(0, 237, 155, 4)",sky lord|beattie is back|betsen|spinola bay,down royal|southwell (aw)|newcastle (aw)|down royal,0|0|14|3,0.12797653927487213,22.8125,18.9383086799563,33.9383086799563,172.06999661323303,0.11006165544667565,L15_STRONG
14,"(0, 237, 155, 156)",sky lord|beattie is back|betsen|ring of gold,down royal|southwell (aw)|newcastle (aw)|newcastle (aw),0|0|14|0,0.12660354652487213,23.75,26.563952792671817,41.56395279267181,271.3614964944664,0.09789138524010722,L15_CANDIDATE
15,"(0, 237, 155, 157)",sky lord|beattie is back|betsen|ana emaraaty,down royal|southwell (aw)|newcastle (aw)|newcastle (aw),0|0|14|0,0.12540959077487213,23.75,25.64741595511988,40.647415955119875,264.4116050783252,0.09699807218190172,L15_CANDIDATE
16,"(0, 237, 155, 158)",sky lord|beattie is back|betsen|asadjumeirah,down royal|southwell (aw)|newcastle (aw)|newcastle (aw),0|0|14|0,0.12428108302487213,23.375,21.917159980839543,36.91715998083954,217.90739282762362,0.10058015791220624,L15_STRONG
17,"(0, 237, 2, 238)",sky lord|beattie is back|whinney hill|onemorenomore,down royal|southwell (aw)|down royal|southwell (aw),0|0|2|0,0.12570155054987212,23.25,22.252208095774964,37.25220809577497,215.1746988800148,0.10341461245954009,L15_STRONG
18,"(0, 237, 2, 239)",sky lord|beattie is back|whinney hill|zu run,down royal|southwell (aw)|down royal|southwell (aw),0|0|2|0,0.12549031717487213,29.5,82.66441251982519,97.66441251982519,1094.769990835436,0.07550847503295437,L15_CANDIDATE
19,"(0, 237, 2, 3)",sky lord|beattie is back|whinney hill|night moon,down royal|southwell (aw)|down royal|down royal,0|0|2|0,0.12538118317487212,23.75,26.92206555431402,41.922065554314024,277.69926509251843,0.09694683759910078,L15_CANDIDATE
20,"(0, 237, 2, 4)",sky lord|beattie is back|whinney hill|spinola bay,down royal|southwell (aw)|down royal|down royal,0|0|2|3,0.12534635092487212,23.0625,20.28742622234829,35.28742622234829,191.76338524824345,0.10579405550275205,L15_STRONG
21,"(0, 237, 2, 156)",sky lord|beattie is back|whinney hill|ring of gold,down royal|southwell (aw)|down royal|newcastle (aw),0|0|2|0,0.12397335817487212,24.0,28.207529071997595,43.20752907199759,302.101217262477,0.0933711202079991,L15_CANDIDATE
22,"(0, 237, 2, 157)",sky lord|beattie is back|whinney hill|ana emaraaty,down royal|southwell (aw)|down royal|newcastle (aw),0|0|2|0,0.12277940242487212,24.0,27.255600826775733,42.25560082677573,294.3678879507176,0.09259026525114317,L15_CANDIDATE
23,"(0, 237, 2, 158)",sky lord|beattie is back|whinney hill|asadjumeirah,down royal|southwell (aw)|down royal|newcastle (aw),0|0|2|0,0.12165089467487213,23.625,23.381303713623634,38.38130371362364,242.67893364102278,0.09634665589972424,L15_CANDIDATE
24,"(0, 237, 238, 239)",sky lord|beattie is back|onemorenomore|zu run,down royal|southwell (aw)|southwell (aw)|southwell (aw),0|0|0|0,0.12473412929987213,29.375,78.67997136595505,93.67997136595505,1009.1120262042418,0.07796951113733969,L15_CANDIDATE
25,"(0, 237, 238, 3)",sky lord|beattie is back|onemorenomore|night moon,down royal|southwell (aw)|southwell (aw)|down royal,0|0|0|0,0.12462499529987213,23.625,25.18871063904144,40.18871063904144,255.8034054181951,0.09846901997986375,L15_CANDIDATE
26,"(0, 237, 238, 4)",sky lord|beattie is back|onemorenomore|spinola bay,down royal|southwell (aw)|southwell (aw)|down royal,0|0|0|3,0.12459016304987214,22.9375,18.822003070111926,33.822003070111926,176.5556729972186,0.10660661733825137,L15_STRONG
