combo_index,indices,names,tracks,history_count,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
0,"(0, 141, 142, 143)",unionville|ganthorpe|racing country|daley t,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.10013004579053492,17.625,36.3088408955076,51.3088408955076,1009.7977933973115,0.035956546085679206,L15_CANDIDATE
1,"(0, 141, 142, 144)",unionville|ganthorpe|racing country|trusty scout,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09752569374053491,20.0,52.11856589178568,67.11856589178568,1725.2018882225586,0.03021012569461213,L15_CANDIDATE
2,"(0, 141, 142, 145)",unionville|ganthorpe|racing country|relevant range,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09715248781553491,15.875,19.30871884284855,34.30871884284855,434.0945105526388,0.044480449241956384,L15_CANDIDATE
3,"(0, 141, 142, 146)",unionville|ganthorpe|racing country|eutropia,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|8,0.09689640654053491,16.125,21.135585185254243,36.13558518525424,492.29516278260616,0.042932750071703545,L15_CANDIDATE
4,"(0, 141, 142, 147)",unionville|ganthorpe|racing country|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09615086971553491,15.633333333333333,17.249979851200564,32.249979851200564,381.0316017056715,0.045271782639502274,L15_CANDIDATE
5,"(0, 141, 142, 148)",unionville|ganthorpe|racing country|electrocution,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09587515381553491,22.5,66.10083323336771,81.10083323336771,2432.002151621931,0.027179594882053983,L15_CANDIDATE
6,"(0, 141, 142, 149)",unionville|ganthorpe|racing country|star of st louis,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.0958302361655349,18.5,37.54284575117972,52.54284575117972,1168.0190408941953,0.032142323401199185,L15_CANDIDATE
7,"(0, 141, 142, 1)",unionville|ganthorpe|racing country|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09568588786553492,21.75,60.15982321294339,75.1598232129434,2179.2977920868466,0.027605141175009264,L15_CANDIDATE
8,"(0, 141, 142, 150)",unionville|ganthorpe|racing country|spinning dancer,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.0956010916655349,19.5,44.167899653302435,59.16789965330244,1468.1836548489418,0.03008336151095945,L15_CANDIDATE
9,"(0, 141, 143, 144)",unionville|ganthorpe|daley t|trusty scout,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09634706071553491,16.625,25.122273436380567,40.12227343638057,763.7796606010907,0.03289204299654886,L15_CANDIDATE
10,"(0, 141, 143, 145)",unionville|ganthorpe|daley t|relevant range,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09597385479053491,12.5,5.31540457341003,20.31540457341003,191.764489962837,0.027718398617179483,L15_CANDIDATE
11,"(0, 141, 143, 146)",unionville|ganthorpe|daley t|eutropia,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|8,0.09571777351553491,12.75,6.418259518763287,21.418259518763286,217.56179697595798,0.029500857264350266,L15_CANDIDATE
12,"(0, 141, 143, 147)",unionville|ganthorpe|daley t|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09497223669053491,12.258333333333333,4.0725711895836705,19.07257118958367,168.25109367017672,0.024205317782760735,L15_CANDIDATE
13,"(0, 141, 143, 148)",unionville|ganthorpe|daley t|electrocution,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09469652079053491,19.125,33.563182509459665,48.563182509459665,1076.8872716641742,0.031166848557502774,L15_CANDIDATE
14,"(0, 141, 143, 149)",unionville|ganthorpe|daley t|star of st louis,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09465160314053492,15.125,16.323104791134078,31.323104791134078,516.9838918563485,0.03157372028076591,L15_CANDIDATE
15,"(0, 141, 143, 1)",unionville|ganthorpe|daley t|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.0945072548405349,18.375,29.976673672261345,44.97667367226134,964.9563303904151,0.031065316354920408,L15_CANDIDATE
16,"(0, 141, 143, 150)",unionville|ganthorpe|daley t|spinning dancer,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09442245864053492,16.125,20.32256183382416,35.32256183382416,649.959218075488,0.03126744150809758,L15_CANDIDATE
17,"(0, 141, 144, 145)",unionville|ganthorpe|trusty scout|relevant range,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09336950274053492,14.875,11.757732079064285,26.757732079064287,328.2838981166561,0.035815744075532334,L15_CANDIDATE
18,"(0, 141, 144, 146)",unionville|ganthorpe|trusty scout|eutropia,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|8,0.09311342146553492,15.125,13.19391181422984,28.193911814229843,372.31193325813734,0.03543778921821994,L15_CANDIDATE
19,"(0, 141, 144, 147)",unionville|ganthorpe|trusty scout|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09236788464053491,14.633333333333333,10.139267087308797,25.1392670873088,288.1435563023204,0.03518824858491949,L15_CANDIDATE
20,"(0, 141, 144, 148)",unionville|ganthorpe|trusty scout|electrocution,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09209216874053491,21.5,48.54306491557493,63.54306491557493,1839.604504676956,0.026387772367462942,L15_CANDIDATE
21,"(0, 141, 144, 149)",unionville|ganthorpe|trusty scout|star of st louis,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09204725109053491,17.5,26.092378761370256,41.092378761370256,883.47387739892,0.029533842967932617,L15_CANDIDATE
22,"(0, 141, 144, 1)",unionville|ganthorpe|trusty scout|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09190290279053492,20.75,43.87257644047765,58.87257644047765,1648.4495828989234,0.026614448446354303,L15_CANDIDATE
23,"(0, 141, 144, 150)",unionville|ganthorpe|trusty scout|spinning dancer,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.09181810659053491,18.5,31.30062412543926,46.30062412543926,1110.5331064186175,0.02818522378534155,L15_CANDIDATE
24,"(0, 141, 145, 146)",unionville|ganthorpe|relevant range|eutropia,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|8,0.09274021554053491,11.0,-0.8675671503551303,14.13243284964487,92.98212550698335,-0.009330472342127439,NO_L15
25,"(0, 141, 145, 147)",unionville|ganthorpe|relevant range|hardstyle,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.0919946787155349,10.508333333333333,-2.4509180388483855,12.549081961151616,71.71513571749459,-0.03417574287948388,NO_L15
26,"(0, 141, 145, 148)",unionville|ganthorpe|relevant range|electrocution,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.0917189628155349,17.375,17.455386244920504,32.455386244920504,463.12626284520223,0.03769033986041704,L15_CANDIDATE
27,"(0, 141, 145, 149)",unionville|ganthorpe|relevant range|star of st louis,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|wolverhampton (aw),2|0|0|0,0.0916740451655349,13.375,5.8182509812810705,20.81825098128107,222.04322237458996,0.026203236104480603,L15_CANDIDATE
28,"(0, 141, 145, 1)",unionville|ganthorpe|relevant range|conquest of power,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.09152969686553492,16.625,15.03447555387702,30.034475553877016,414.9431894117691,0.03623261192740664,L15_CANDIDATE
