track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,country
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Theroadtoserfdom (IRE),L T McAteer,0,B W Duke,10th,5 1/2 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Monvoe (IRE),B M Coen,0,R P Cody,9th,5 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Swinging The World (IRE),J J G Ryan,3,J Davison,8th,Neck,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Mr Kobe (IRE),C Geerdharry,7,D Dias,7th,1 1/2 l,2,9-7h,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Estoublon (IRE),D McMonagle,0,J P O'Brien,6th,1 3/4 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Monocle Rocket (IRE),W J Lee,0,H De Bromhead,5th,5 l,2,9-7p1,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Jordi Bear (IRE),J A Heffernan,0,J A Stack,4th,4 1/4 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Seoul Force (IRE),S Foley,0,Mrs J Harrington,3rd,Neck,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Melismatic (IRE),D P McDonogh,0,J P O'Brien,2nd,2 1/2 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Daytona (IRE),J Cleary,5,A P O'Brien,1st,,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Theroadtoserfdom (IRE),L T McAteer,0,B W Duke,10th,5 1/2 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Monvoe (IRE),B M Coen,0,R P Cody,9th,5 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Swinging The World (IRE),J J G Ryan,3,J Davison,8th,Neck,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Mr Kobe (IRE),C Geerdharry,7,D Dias,7th,1 1/2 l,2,9-7h,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Estoublon (IRE),D McMonagle,0,J P O'Brien,6th,1 3/4 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Monocle Rocket (IRE),W J Lee,0,H De Bromhead,5th,5 l,2,9-7p1,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Jordi Bear (IRE),J A Heffernan,0,J A Stack,4th,4 1/4 l,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Seoul Force (IRE),S Foley,0,Mrs J Harrington,3rd,Neck,2,9-7,-,True,Ireland
Gowran Park Racing Results | 15th June 2025 13:55,,13:55,Soft,7f,Melismatic (IRE),D P McDonogh,0,J P O'Brien,2nd,2 1/2 l,2,9-7,-,True,Ireland
