track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Best Rate,97,Sean Levey,Richard Hannon,9- 7,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Metaverse,97,Robert Havlin,David Menuisier,9- 7,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,I Still Have Faith,98,Marco Ghiani,Stuart Williams,9- 7,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Diamondonthehill,97,Luke Morris,Dr Richard Newland & Jamie Insole,9- 5,8,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Tennessee Gold,100,Cieren Fallon,Joseph Parr,9- 5,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Shiplake,98,Darragh Keenan,Kevin Philippart De Foy,9- 5,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Little Empire,94,Callum Shepherd,Anthony McCann,9- 4,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Follow Your Heart,99,Warren Fentiman,Mark Loughnane,9- 4,8,5
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Mythical Composer,96,Jack Nicholls,Clive Cox,9- 4,4,5
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Revolutionise,86,Jack Dace,Stuart Williams,9 -10,10,5
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Ziggy's Condor,87,Warren Fentiman,Richard Fahey,9- 9,5,5
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Brunel Nation,82,Donagh Murphy,Richard Hughes,9- 9,5,7
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Al Rufaa,85,Callum Rodriguez,Daniel & Claire Kubler,9- 8,9,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Kit Gabriel,85,Tyler Heard,Simon Pearce,9- 7,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Star Of Mali,87,Rob Hornby,James Tate,9- 7,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Bill Plumb,84,Luke Morris,Phil McEntee,9- 5,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Vince Lombardi,86,Dale Swift,Seb Spencer,9- 5,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,The Caribbean,86,Cieren Fallon,Heather Main,9- 1,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Harbour Vision,85,Kieran O'Neill,Scott Dixon,8- 9,11,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Abduction,88,Luke Morris,Jim Goldie,9- 9,8,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,He's A Gentleman,87,Jason Hart,Hugo Palmer,9- 9,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Ash Wednesday,85,Jack Mitchell,Heather Main,9- 9,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,This Farh,84,Finley Marsh,David Loughnane,9- 8,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Monsieur Kodi,86,Warren Fentiman,Richard Fahey,9- 7,7,5
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Bajan Bandit,85,David Nolan,Patrick Morris,9- 6,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Arantes Nascimento,86,Sean Levey,Michael Attwater,9- 5,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Monotone,81,Alex Jary,Antony Brittain,9- 4,4,3
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Bella Bisbee,88,Kieran O'Neill,Scott Dixon,9- 2,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,7f,Standard,Simply Blue,83,Harry Davies,James Owen,8- 8,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Borgi,96,Kieran O'Neill,S Woods,9- 7,7,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Commander Of Life,93,Lewis Edmunds,Jessica Macey,9- 7,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Stellenbosch,94,Sean Levey,Richard Hannon,9- 6,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Benacre,95,Jason Hart,Charlie Johnston,9- 6,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Mollie Foster,92,Cieren Fallon,Mark Loughnane,9- 6,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,San Juanito,90,Robert Havlin,Mike Murphy,9- 6,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Towerlands,95,Jack Doughty,Tony Carroll,9- 5,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Gaiety Musical,95,Jack Dace,David Evans,9- 5,5,5
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Rajapour,95,David Nolan,David O'Meara,9- 5,6,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,North View,94,Marco Ghiani,Stuart Williams,9- 5,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Paladin,94,Jack Mitchell,Kevin Frost,9- 4,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m½f,Standard,Sea Founder,95,Finley Marsh,Richard Hughes,9- 4,4,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Arcadian Nights,95,Edward Greatrex,Mark Loughnane,9 -12,8,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Mr Baloo,94,Sean Levey,Richard Hannon,9 -11,5,0
Wolverhampton (AW),9 Jan 2026 ITV4 Tapeta,1m1½f,Standard,Advancing,96,Marco Ghiani,Marco Botti,9 -10,4,0
