track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Berto Ramirez,103,Brian Hayes,Andrew McNamara,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Deep Water Bay,103,Jack Kennedy,Gordon Elliott,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Direct Approach,70,Jordan Gainford,Gordon Elliott,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Granlahan,-,Patrick M O'Brien,Adrian McGuinness,11- 7,4,5
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Kilmeaden,106,J J Slevin,Donnacha Aidan O'Brien,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Kizlyar,99,Phillip Enright,Joseph Patrick O'Brien,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Madness d'Elle,102,Paul Townend,W P Mullins,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Mino Des Mottes,108,Danny Mullins,W P Mullins,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Nile Star,-,Donagh Meyler,Ross O'Sullivan,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Ray Gun,85,Alex Harvey,J P Flavin,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Royal Belief,86,Ben Harvey,Cian Collins,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Starword,70,Alix Balfe,Francis Casey,11- 7,4,7
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Stone Rulya,69,Paddy Cody,Eoin Doyle,11- 7,4,7
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Wolfpack,-,Danny Gilligan,Gordon Elliott,11- 7,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Concert Party,83,Daniel King,Denis Gerard Hogan,11- 0,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,12:48,Simple Things,109,Mark Walsh,J P Dempsey,11- 0,4,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Black Soul,109,Mr B T Stone,Conor Houlihan,12- 4,7,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Zuzukel,110,Mr J Costello,A J Martin,12- 1,6,4
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Trebizond,107,Mr R Sugrue,M K Flannery,11 -13,9,2
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Mo Ghille Mar,108,Ms K M Ryan,John Joseph Hanlon,11 -12,5,4
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Be Fierce,107,Mr L P Shanahan,T M Walsh,11 -10,9,2
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Hereditary Rule,109,Mr Finn Buckley,John C McConnell,11 -10,11,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Metamorpheus,107,Mr C A Bowman,Andrew McNamara,11 -10,7,4
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Walk On Annilog,105,Mr D Doyle,Riceal Dunne,11- 8,7,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Eco Pete,107,Miss P Elvin,P J Rothwell,11- 7,9,0
Punchestown,12 Jan 2026,2m,Soft To Heavy,1:18,Couldntmakeitup,112,Mr Alan O'Sullivan,J A Nash,11- 6,6,0
