track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims
Lingfield,19 Jan 2026 SKY Polytrack,2m,Standard To Slow,12:50,Itsinthename,-,Sam Twiston-Davies,Nigel & Willy Twiston-Davies,11- 2,5,0
Lingfield,19 Jan 2026 SKY Polytrack,2m,Standard To Slow,12:50,Le Cold Grey,-,Harry Cobden,Paul Nicholls,11- 2,5,0
Lingfield,19 Jan 2026 SKY Polytrack,2m,Standard To Slow,12:50,My Mate AJ,115,Ben Jones,Ben Pauling,11- 2,5,0
Lingfield,19 Jan 2026 SKY Polytrack,2m,Standard To Slow,12:50,Kings Wardrobe,-,Robert Dunne,Jim Boyle,10- 3,4,0
Lingfield,19 Jan 2026 SKY Polytrack,2m,Standard To Slow,12:50,Moscow Star,-,Gavin Sheehan,Oliver Signy,10- 3,4,0
Lingfield,19 Jan 2026 SKY Polytrack,2m,Standard To Slow,12:50,Broken Vow,-,Sean Bowen,Olly Murphy,10- 2,4,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Blazing Gaden,-,Finn Lambert,D J Jeffreys,11- 8,5,3
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Bluey Bay,-,James Best,Martin Keighley,11- 8,6,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Fravanco,103,Marc Goldstein,Michael Madgwick,11- 8,7,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Gone Country,96,Tabitha Worsley,Nick Gifford,11- 8,6,3
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Hello Fortune,104,James Davies,Nick Gifford,11- 8,6,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Holeheartedly,-,Harry Skelton,Dan Skelton,11- 8,5,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Jamada,113,James Bowen,Olly Murphy,11- 8,6,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Knight Templar,-,Harry Bannister,Richard J Bandey,11- 8,6,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Sense Of Reason,106,Tom Cannon,Charlie Fellowes,11- 8,5,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Somkiyr,53,Freddie Mitchell,Andy Irvine,11- 8,5,3
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Trapper John,108,Jack Quinlan,Harry Eustace,11- 8,5,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Unjeu Royal,103,Stan Sheppard,Tom Lacey,11- 8,5,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Wondering Why,113,Ben Jones,Ben Pauling,11- 8,5,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Zamek,113,Sean Bowen,Olly Murphy,11- 8,6,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Connies Hill,61,Harry Reed,Nick Scholfield,11- 1,6,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Cayman Dancer,117,Caoilin Quinn,Gary & Josh Moore,10- 9,4,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Kentucky River,93,Robert Dunne,Olly Murphy,10- 9,4,0
Lingfield,19 Jan 2026 SKY,2m,Soft,1:20,Shifra,-,Sean Houlihan,Pat Phelan,10- 2,4,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Makin'yourmindup,106,Harry Cobden,Paul Nicholls,12- 0,9,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Art Decco,135,Harry Kimber,Robert Walford,11 -13,10,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Surrey Quest,145,Kevin Brogan,Toby Lawes,11 -11,9,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Val Dancer,140,Charlie Hammond,Mel Rowley,11 -10,9,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Whistle Stop Tour,143,Jack Tudor,Lucinda Russell & Michael Scudamore,11- 7,8,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Hidden History,137,Harry Skelton,Dan Skelton,11- 7,8,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Regal Blue,-,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 7,9,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Aworkinprogress,142,James Davies,Nick Gifford,11- 5,7,0
Lingfield,19 Jan 2026 SKY,3m5f,Soft,1:50,Invincible Nao,136,Caoilin Quinn,Gary & Josh Moore,11- 4,8,0
