track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims
Punchestown,11 Jan 2026,2m½f,Yielding,2:20,Road Exile,136,Jack Kennedy,Gordon Elliott,11- 4,6,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:20,Sober,133,Paul Townend,W P Mullins,11- 4,7,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Atlantic Gamble,95,Jack G Gilligan,Paul John Gilligan,11 -12,5,5
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Convincing,80,E Walsh,Ciaran Murphy,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Embrace The Day,-,Conor Stone-Walsh,Gavin Cromwell,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,I Started A Joke,129,Philip Byrnes,C Byrnes,11 -12,7,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Large Steps,102,Jordan Gainford,Cian Collins,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Laxxio,-,Danny Mullins,Anthony Mullins,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Navagio,75,Kieren Buckley,Ciaran Murphy,11 -12,7,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Ocean Of Dreams,85,Simon Torrens,Gary McGill,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Ozark's Walk,75,Brian Barry,Riceal Dunne,11 -12,6,7
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Playtime,106,Kevin Sexton,Gordon Elliott,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Poet's Gale,-,Daniel King,A J Martin,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Port Mor,-,Ricky Doyle,Eoin Griffin,11 -12,6,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Press The Button,-,Keith Donoghue,Gavin Cromwell,11 -12,6,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Sound As A Bell,91,Mark Walsh,Gavin Cromwell,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Springhill Warrior,118,Jack Kennedy,Gordon Elliott,11 -12,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,The Shanty Field,61,Michael Kenneally,Declan Queally,11 -12,6,7
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Tyson Fury,115,D G Hogan,Denis Gerard Hogan,11 -12,9,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Golden Wings,-,Danny Gilligan,Gordon Elliott,11- 5,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Let It Settle,-,Shane Fitzgerald,Gavin Cromwell,11- 5,5,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Riskabahia,100,Paul Townend,W P Mullins,11- 5,6,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Woodstar Lily,-,Carl Millar,W J Austin,11- 5,5,5
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Red Veil,96,Conor Lamon,Adrian Sexton,10- 6,4,7
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Lyreen Og,95,,A J Martin,11 -12,6,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Albus,89,Sam Ewing,Gordon Elliott,11 -12,6,0
Punchestown,11 Jan 2026,2m½f,Yielding,2:50,Gerrymandering,29,,William J McLernon,11 -12,8,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Powerful,124,Simon Torrens,Mrs John Harrington,11 -12,5,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Theflyingbee,128,Mr J R Martin,F G Hand,11 -12,9,7
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Littlefoot,128,Danny Gilligan,M A Molloy,11 -11,8,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Ontheropes,124,Mr C Mullins,Thomas Mullins,11 -11,12,7
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Beyond Your Dreams,116,Mark Walsh,Padraig Roche,11 -10,5,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,San Hilario,124,Jack Kennedy,Gordon Elliott,11 -10,5,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Plunkett Street,124,Daniel King,Michael William O'Meara,11- 9,8,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Garnacho,124,Thomas O'Connor,Mark Fahey,11- 7,7,7
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Jupiter Du Gite,126,Cian Quirke,T Hogan,11- 7,7,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Olympy De Cerisy,120,Kevin Healy,Declan Queally,11- 6,7,7
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Happy Dreams,122,Sean O'Keeffe,Michael J McDonagh,11- 5,9,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Magic Day,126,Darragh O'Keeffe,Henry De Bromhead,11- 3,7,0
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Moylussa,123,Philip Donovan,Maike Magnussen,11- 1,7,3
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Moon Mission,119,Tiernan Power Roche,P J Rothwell,10 -12,5,3
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Kimy,128,Michael Kenneally,Thomas Mullins,10 -11,6,7
Punchestown,11 Jan 2026,2m5f,Yielding,3:20,Minority Interest,128,Calum Hogan,P J Rothwell,10- 1,6,7
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Gogo Yubari,67,Harry Vigors,Tony Carroll,10- 5,5,7
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Sir Rodneyredblood,66,Liam Wright,J R Jenkins,9 -11,9,5
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Master Dandy,65,Taylor Fisher,Michael Keady,9- 8,6,3
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,What What What,65,Lewis Chalkley,Michael & David Easterby,9- 8,4,7
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Forest Gunner,64,J F Egan,David Evans,9- 3,5,0
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Inconspicuous,63,Kyle McHugh,Stuart Edmunds,9- 0,4,7
Chelmsford (AW),11 Jan 2026Polytrack,5f,Standard,1:42,Second Collection,63,Matthew Lloyd Slater,Tony Carroll,9- 0,10,7
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Lady Wingalong,87,Ryan Kavanagh,David Evans,9- 9,7,5
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Middleton View,85,Harry Vigors,Stuart Williams,9- 8,4,7
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Em Four,86,Conor Whiteley,Jamie Osborne,9- 8,4,7
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Ziggy's Condor,86,Harry Russell,Richard Fahey,9- 8,5,0
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Bill Plumb,84,Grace McEntee,Phil McEntee,9- 5,7,0
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Ziggy's Queen,84,Ethan Tindall,Richard Fahey,9- 5,5,7
Chelmsford (AW),11 Jan 2026Polytrack,6f,Standard,2:12,Waistcoat,85,Rhys Clutterbuck,Ross Burdon,9- 3,5,0
