track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Bud Fox,-,Keith Donoghue,Gavin Cromwell,11 -12,5,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Cock And Bull,-,Donagh Meyler,Emmet Mullins,11 -12,5,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Coco Masterpiece,-,J J Slevin,S R B Crawford,11 -12,9,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Famous Figure,-,Danny Gilligan,Gordon Elliott,11 -12,5,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Goin',81,Daniel King,A J Martin,11 -12,6,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Whinney Hill,128,Jack Kennedy,Gordon Elliott,11 -12,6,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Boedic,116,Paul Townend,W P Mullins,11- 4,5,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Crowe Street,88,Conor Stone-Walsh,Gavin Cromwell,11- 4,6,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Green Hope,-,Danny Mullins,W R Crawford,11- 4,5,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Jodoro,-,Patrick M O'Brien,Dermot A McLoughlin,11- 4,5,5
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Largy Spirit,109,Ms E Dunseath,Noel C Kelly,11- 4,7,7
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Microscope,-,Eoin Staples,Peter Buchanan,11- 4,7,5
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Only For Our Man,98,Sean Flanagan,Paul Nolan,11- 4,6,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Parkland,73,Eoghan Finegan,Anthony McCann,11- 4,5,7
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Sense Of Occasion,119,Mark Walsh,Henry De Bromhead,11- 4,5,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Star Of The Week,121,Ricky Doyle,A L T Moore,11- 4,5,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Whatafoolbelieves,87,Ben Harvey,John C McConnell,11- 4,6,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Lady Victrix,92,Benjamin P Kennedy,Paul W Flynn,10 -11,6,7
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Six Mile Suzy,-,Carl Millar,W J Bryson,10 -11,6,5
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Whispering Hopes,127,Mr E P Powell,Liam Lennon,10 -11,6,7
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Home By The Sea,-,Richard Condon,P A Fahy,11- 4,6,5
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Walkingmayotomilan,-,,Ross O'Sullivan,10 -11,5,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,12:50,Dubhain,-,,S R B Crawford,11- 4,6,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,1:20,Jony R,124,J J Slevin,S R B Crawford,11 -12,7,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,1:20,Spinola Bay,121,Jack Kennedy,Gordon Elliott,11- 7,6,0
Down Royal,20 Jan 2026,2m1f,Yielding To Soft,1:20,Jazz Forever,126,Danny Gilligan,Paul W Flynn,11- 4,6,0
