track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Annie's Belle,-,James Smith,Ms Claire O'Connell,11- 7,5,5,True,0.017773172
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,The Wager,110,Mr P W Mullins,W P Mullins,12- 0,5,0,True,0.017685382
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Moments Away,95,Mr A P Ryan,David Harry Kelly,12- 0,5,5,True,0.017653756
Fairyhouse,10 Jan 2026,2m2½f,Yielding,12:30,Cornelienne,121,Mark Walsh,Joseph Patrick O'Brien,11- 7,5,0,True,0.017530669
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,More Coko,150,Sean Cleary-Farrell,W P Mullins,10- 0,6,7,True,0.01750699
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Drumgill,154,Michael Kenneally,John Patrick Ryan,10 -11,7,7,True,0.017072478
Fairyhouse,10 Jan 2026,2m5½f,Yielding,2:49,Beggars Rock,124,Kevin Sexton,Gordon Elliott,11- 9,7,0,True,0.016768288
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Layenda,-,Mr P A Murphy,C A Murphy,11- 7,5,7,True,0.016767824
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Port Joulain,132,Paul Townend,W P Mullins,11 -12,7,0,True,0.01614538
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Western Diego,158,Brian Hayes,W P Mullins,10- 4,9,0,True,0.016024448
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Park Of Kings,130,Conor Stone-Walsh,Paul Nolan,11 -12,8,0,True,0.01536237
Fairyhouse,10 Jan 2026,2m,Yielding,3:24,Orinoco Walk,81,Brian Barry,Riceal Dunne,11- 7,8,7,True,0.014036149
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Macho Man,122,Paul Townend,W P Mullins,11- 5,4,0,True,0.013340943
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Dr Eggman,130,Danny Mullins,W P Mullins,11 -12,8,0,True,0.013075664
Fairyhouse,10 Jan 2026,2m,Yielding,12:00,Munsif,116,Philip Byrnes,C Byrnes,11- 0,4,0,True,0.012956847
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Tullyhill,157,Danny Mullins,W P Mullins,11- 3,8,0,True,0.012880003
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Koori Star,116,Danny Gilligan,Peter Fahey,11 -12,8,0,True,0.012878749
