track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,He's Holding Court,-,Adam Browne-Souza,Andrew Slattery,9- 3,3,7,True,0.03652754
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Caoilte,-,Rebecca Parsons,David Marnane,9- 8,3,10,True,0.036447853
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Coilins Girl,-,Patrick McGettigan,J P Murtagh,9- 3,3,7,True,0.036151364
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Si Senior,64,Julian Pietropaolo,M K Flannery,10- 2,5,7,True,0.036039
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Alto Sax,66,Leigh Roche,Peter Fahey,9- 3,5,0,True,0.035754
Dundalk (AW),9 Jan 2026Polytrack,1m2½f,Standard,Palmezzano,82,Nicola Burns,Denis Gerard Hogan,9- 9,4,5,True,0.03485453
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Pollenca,-,Jimmy Dalton,Andrew Slattery,9- 3,3,7,True,0.03420559
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Storm Eric,61,Scott McCullagh,Jamie Flynn,9- 9,7,0,True,0.03380946
Dundalk (AW),9 Jan 2026Polytrack,1m2½f,Standard,Picture This,-,Paddy Harnett,G T Hourigan,9- 4,4,5,True,0.033544183
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Glitter And Glory,82,Nathan Crosse,Mrs John Harrington,9- 3,3,0,True,0.033388022
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,So Must I,64,Gary Halpin,Joseph Patrick O'Brien,9- 3,3,0,True,0.033343285
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Clonbun,-,Yudish Geerdharry,J P Murtagh,9- 8,3,7,True,0.033263452
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Lady Luck,57,Gary Halpin,Rodger Sweeney,8 -11,4,0,True,0.03306697
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Rock Etoile,60,Leigh Roche,Patrick J McKenna,9 -13,8,0,True,0.0318893
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Cleopatra Dream,70,Killian Leonard,Diego Dias,9- 3,3,0,True,0.031514883
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Eclat,-,Leigh Roche,D K Weld,9- 3,3,0,True,0.031514883
Dundalk (AW),9 Jan 2026Polytrack,1m,Standard,Sarfarcat,50,,Thomas Coyle,9- 3,3,0,True,0.031046422
