track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Tom Desjy,83,Harry Bannister,Warren Greatrex,11- 5,6,0,True,0,0.03640417,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Miracles Do Happen,110,Cameron Iles,Tom Lacey,11- 4,5,5,True,0,0.02245184,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Fury Lad,-,Tom Cannon,Richard Rowe,11- 5,7,0,True,0,0.020171441,0,False
Kempton,2 Feb 2026,2m4½f,Good To Soft,3:07,Madara,142,Harry Skelton,Dan Skelton,12- 0,7,0,True,0,0.019888315,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,I Play County,-,Harry Bannister,Toby Lawes,11- 4,7,0,True,0,0.018533163,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Six Blue,66,Harry Atkins,Richard Phillips,11- 0,6,7,True,0,0.018211719,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Hawaii Du Mestivel,-,Conor O'Farrell,Neil Mulholland,11- 6,9,0,True,0,0.018114472,0,False
Kempton,2 Feb 2026,2m4½f,Good To Soft,3:07,Arclight,141,James Bowen,Nicky Henderson,11 -10,7,0,True,0,0.01804376,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Georgia's Charm,-,Jonathan Burke,Fergal O'Brien,11- 4,6,0,True,0,0.01699133,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Ignore The Door,-,Paul O'Brien,Harry Derham,11- 3,6,0,True,0,0.016919395,0,False
Kempton,2 Feb 2026,2m4½f,Good To Soft,3:07,Petit Tonnerre,140,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11 -10,8,0,True,0,0.016304666,0,False
Kempton,2 Feb 2026,2m4½f,Good To Soft,3:07,Rightsotom,145,Tom Bellamy,Joe Tizzard,11- 1,7,0,True,0,0.016127264,0,False
Kempton,2 Feb 2026,2m4½f,Good To Soft,3:07,Yes Indeed,144,Jonathan Burke,Martin Keighley,10 -13,9,0,True,0,0.016077133,0,False
Kempton,2 Feb 2026,2m4½f,Good To Soft,3:07,Scarface,145,Brendan Powell,Joe Tizzard,11- 9,9,0,True,0,0.015990552,0,False
Kempton,2 Feb 2026,2m4½f,Good To Soft,3:07,Issam,142,Gavin Sheehan,Tom Symonds,11 -10,8,0,True,0,0.015934609,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Cecilia Star,-,Ciaran Gethings,Lucy Wadham,10- 6,4,0,True,0,0.013613093,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,I'll Give It A Go,-,Liam Harrison,Ian Williams,10- 6,4,0,True,0,0.013613093,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Chocks Away,-,Freddie Gordon,Henrietta C Knight,10- 9,4,0,True,0,0.013299581,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Approaching Storm,-,James Davies,Nick Gifford,11- 4,5,0,True,0,0.012704387,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Testing Patience,-,Ben Pollard,Gary & Josh Moore,11- 7,6,10,True,0,0.01224259,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Aribidia,-,Philip Armson,Alan King,10- 9,4,3,True,0,0.011993052,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Pitch And Toss,-,Tristan Durrell,Dan Skelton,11- 7,5,0,True,0,0.011892633,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Ebony Ebbs,-,Dillon Butler,Andrew J Martin,10- 2,4,10,True,0,0.01161074,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Soldier In Defence,-,Paddy Hanlon,Syd Hosie,10- 9,4,5,True,0,0.011145506,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Monansunu,79,Caoilin Quinn,Andy Irvine,11- 5,6,0,True,0,0.011135447,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Wiseman's Bridge,-,Mr James King,David Killahena & Graeme McPherson,11- 7,5,3,True,0,0.010924326,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Inishbofin,-,Rian Corcoran,Stuart Kittow,11- 7,5,7,True,0,0.010687631,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,In The Congo,-,Isabelle Ryder,Oliver Signy,11- 7,5,5,True,0,0.010151525,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Intrastellar,-,Benjamin Macey,Jonjo & A J O'Neill,11- 7,5,5,True,0,0.010151525,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Louxor De Grugy,-,Beau Morgan,Ben Pauling,11- 7,5,5,True,0,0.010151525,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Youdecide,127,Ben Jones,Ben Pauling,10- 5,6,0,True,0,0.009477137,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Betgoodwin,85,Freddie Gordon,Chris Gordon,11- 5,7,0,True,0,0.009382387,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Kiss Gold,85,Sean Houlihan,Philip Hobbs & Johnson White,11- 5,6,0,True,0,0.009173791,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Jaja Jimmy,96,Gavin Sheehan,Jo Davis,11- 5,6,0,True,0,0.009160326,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Tyson,115,Liam Harrison,Dan Skelton,10- 8,6,0,True,0,0.009043839,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Hillwalk,105,Dylan Johnston,Neil Mulholland,11- 5,6,0,True,0,0.008908642,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Sage Green,118,James Best,Syd Hosie,11- 2,6,0,True,0,0.008560047,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Neon Dream,126,Tom Bellamy,Alan King,11- 5,6,0,True,0,0.008519056,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Reckless Spending,131,James Bowen,Nicky Henderson,11- 5,6,0,True,0,0.008419221,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Soleil d'Arizona,116,Tristan Durrell,Dan Skelton,11- 7,6,0,True,0,0.008419022,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Pop's Folly,105,Finn Lambert,Georgina Nicholls,11- 5,6,3,True,0,0.00840313,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Connies Hill,98,Ben Jones,Nick Scholfield,11- 4,6,0,True,0,0.008400631,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Appleshaw,116,Bryan Carver,Harry Fry,11- 4,7,0,True,0,0.008281034,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Coumeenoole,124,Harry Skelton,Dan Skelton,11- 5,7,0,True,0,0.008238954,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Moonshine Man,129,Brendan Powell,Henrietta C Knight,11- 1,7,0,True,0,0.008186145,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Sunset Boulevard,107,Charlie Deutsch,Venetia Williams,11 -12,6,0,True,0,0.008185564,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Step Ahead,123,Ciaran Gethings,Kim Bailey & Mat Nicholls,11 -12,6,0,True,0,0.008140556,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Ice In The Veins,115,Harry Skelton,Dan Skelton,12- 0,6,0,True,0,0.008117845,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Jem's Lilly,116,Paul O'Brien,Harry Derham,11- 4,6,0,True,0,0.0081130965,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Onefournine,118,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 4,6,0,True,0,0.0081130965,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Religous Cross,120,Conor O'Farrell,Neil Mulholland,11 -12,6,0,True,0,0.00805174,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Wild Goose,117,Tom Bellamy,Kim Bailey & Mat Nicholls,11- 9,6,0,True,0,0.008046814,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Tradecraft,115,Nico de Boinville,Nicky Henderson,11- 9,7,0,True,0,0.008022575,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Aj's Diamond,107,Freddie Gordon,Chris Gordon,11- 4,6,0,True,0,0.0080218455,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Queenofthejukebox,107,Gavin Sheehan,Noel Williams,11- 4,6,0,True,0,0.0080218455,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Gooloogong,109,Tom Cannon,George Baker,11- 8,6,0,True,0,0.0079785045,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Washington Singer,111,Freddie Gordon,Chris Gordon,11- 6,7,0,True,0,0.007975165,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Sevarana,105,Harry Bannister,Richard J Bandey,11- 4,6,0,True,0,0.007964172,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Sheezer Diva,105,Harry Skelton,Dan Skelton,11- 5,6,0,True,0,0.007959054,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Snapdance,112,Harry Kimber,Robert Walford,11- 4,7,0,True,0,0.007901384,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Kapability,100,Rex Dingle,Anthony Honeyball,11- 4,6,0,True,0,0.007869979,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Magical King,114,Charlie Hammond,Stuart Edmunds,11 -13,7,0,True,0,0.007798591,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Geezer Rockstar,111,Bryan Carver,Harry Fry,12- 2,7,0,True,0,0.0077904416,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Swinging London,121,Ben Jones,John Mackie,10 -13,8,0,True,0,0.007709566,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Padre Arthur,107,Nico de Boinville,Nicky Henderson,11- 5,5,0,True,0,0.0077078803,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,The Two Harrys,105,Paul O'Brien,Harry Derham,11 -12,7,0,True,0,0.0076241423,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Peking Opera,105,Caoilin Quinn,Gary & Josh Moore,11- 9,6,0,True,0,0.0074580377,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Don't Tell Su,112,Nico de Boinville,Nicky Henderson,11 -11,8,0,True,0,0.007349061,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Walk Tall,106,Brendan Powell,Joe Tizzard,11 -11,6,0,True,0,0.007319424,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Aviation,123,Tom Cannon,Lucy Wadham,11 -10,7,0,True,0,0.0072881705,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,What A Dragon,87,Harry Kimber,Robert Walford,11- 5,5,0,True,0,0.0072563,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Spitalfield,112,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11 -12,8,0,True,0,0.0071839523,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Saint Anapolino,129,Mr Jack Stenhouse,Philip Hobbs & Johnson White,12- 2,7,7,True,0,0.0071703074,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,This Sway,111,David Bass,Max Comley,10- 9,5,0,True,0,0.0071000005,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Island Run,112,Sean Houlihan,Philip Hobbs & Johnson White,11- 8,9,0,True,0,0.0069727176,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Sheezer Dancer,116,Harry Skelton,Dan Skelton,11- 4,5,0,True,0,0.0068776063,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Filibustering,117,Paul O'Brien,Harry Derham,11 -12,5,0,True,0,0.0068750656,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Graecia,121,Daire McConville,Charlie Longsdon,10- 9,5,7,True,0,0.006810966,0,False
Kempton,2 Feb 2026,3m,Good To Soft,1:27,Il Va De Soi,128,Alice Stevens,Harry Derham,11 -13,8,3,True,0,0.0067979954,0,False
Kempton,2 Feb 2026,2m,Good To Soft,2:35,Frontier Prince,120,Jonathan Burke,Fergal O'Brien,11 -12,5,0,True,0,0.0066730264,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,2:02,Peter's Last Deal,105,Ned Fox,Tom Symonds,11- 5,5,5,True,0,0.00649767,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Our Peggy,87,Brendan Powell,Joe Tizzard,11- 4,5,0,True,0,0.006459376,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Grand Conqueror,109,Conor O'Farrell,Neil Mulholland,11 -10,5,0,True,0,0.006271213,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Lover Desbois,107,Mr Finian Maguire,Harry Derham,11- 7,5,0,True,0,0.006141552,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Sassella Storm,111,Dylan Johnston,Jim Boyle,11- 7,5,0,True,0,0.006138994,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Four Decades,95,Finn Lambert,T Ellis,11- 4,5,3,True,0,0.0059969183,0,False
Kempton,2 Feb 2026,2m,Good To Soft,12:52,Lady Magic,115,Ned Fox,Tom Symonds,11- 4,5,5,True,0,0.0056668175,0,False
Kempton,2 Feb 2026,2m5f,Good To Soft,3:42,Guchen,112,Aamilah Aswat,Kim Bailey & Mat Nicholls,11 -10,6,10,True,0,0.005635265,0,False
Kempton,2 Feb 2026,2m,Good To Soft,4:17,Eternity Rose,103,Fern O'Brien,Fergal O'Brien,11- 7,5,5,True,0,0.005097888,0,False
Leopardstown,2 Feb 2026,2m1f,Soft,4:05,Inthepocket,147,Mark Walsh,Henry De Bromhead,11 -12,9,0,True,0,0.13739492,4,True
Leopardstown,2 Feb 2026 RTE2,2m1f,Soft,2:55,Romeo Coolio,163,Jack Kennedy,Gordon Elliott,11 -12,7,0,True,0,0.09992552,0,False
Leopardstown,2 Feb 2026 RTE2,2m1f,Soft,2:55,Kargese,156,Paul Townend,W P Mullins,11- 5,6,0,True,0,0.08357904,0,False
Leopardstown,2 Feb 2026 RTE2,2m6f,Heavy,1:15,Doctor Steinberg,147,Paul Townend,W P Mullins,11 -10,6,0,True,0,0.07589016,0,False
Leopardstown,2 Feb 2026 RTE2,3m½f,Soft,3:30,Gaelic Warrior,185,Mr P W Mullins,W P Mullins,11 -10,8,0,True,0,0.07285533,0,False
Leopardstown,2 Feb 2026 RTE2,3m½f,Soft,3:30,Galopin Des Champs,186,Paul Townend,W P Mullins,11 -10,10,0,True,0,0.069551416,0,False
Leopardstown,2 Feb 2026 RTE2,2m,Heavy,1:50,Selma De Vary,135,Paul Townend,W P Mullins,10- 7,4,0,True,0,0.06864723,0,False
Leopardstown,2 Feb 2026 RTE2,3m½f,Soft,3:30,Affordale Fury,173,Donagh Meyler,Noel Meade,11 -10,8,0,True,0,0.05022841,0,False
Leopardstown,2 Feb 2026 RTE2,3m,Heavy,2:25,Barra Rua,149,Sean Bowen,Emmet Mullins,10- 0,6,0,True,0,0.048130795,0,False
