track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability,actual_position,Race_id,inferred_position
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Midnight It Is,152,Sean Flanagan,Gavin Cromwell,10- 9,10,0,True,0.08861514,,Fairyhouse_2026-01-10_1:40,1
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Inthepocket,157,Mark Walsh,Henry De Bromhead,11- 9,9,0,True,0.07778214,,Fairyhouse_2026-01-10_1:40,2
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Blood Destiny,162,Paul Townend,W P Mullins,11 -12,7,0,True,0.02081601,,Fairyhouse_2026-01-10_1:40,3
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,St Faz,153,Sam Ewing,Gordon Elliott,10- 0,6,0,True,0.019179523,,Fairyhouse_2026-01-10_1:40,4
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Touch Me Not,156,James Smith,Gordon Elliott,11 -11,7,5,True,0.018091245,,Fairyhouse_2026-01-10_1:40,5
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,More Coko,150,Sean Cleary-Farrell,W P Mullins,10- 0,6,7,True,0.01750699,,Fairyhouse_2026-01-10_1:40,6
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Drumgill,154,Michael Kenneally,John Patrick Ryan,10 -11,7,7,True,0.017072478,,Fairyhouse_2026-01-10_1:40,7
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Western Diego,158,Brian Hayes,W P Mullins,10- 4,9,0,True,0.016024448,,Fairyhouse_2026-01-10_1:40,8
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Tullyhill,157,Danny Mullins,W P Mullins,11- 3,8,0,True,0.012880003,,Fairyhouse_2026-01-10_1:40,9
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,Path d'Oroux,156,Kieren Buckley,Gavin Cromwell,11- 2,9,0,True,0.011995896,,Fairyhouse_2026-01-10_1:40,10
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,The Other Mozzie,158,Conor Stone-Walsh,Gavin Cromwell,11- 2,7,0,True,0.0109299645,,Fairyhouse_2026-01-10_1:40,11
Fairyhouse,10 Jan 2026 ITV4,2m1f,Yielding,1:40,The King Of Prs,157,Eoin Staples,Gavin Cromwell,10- 8,8,5,True,0.009949956,,Fairyhouse_2026-01-10_1:40,12
Fairyhouse,10 Jan 2026,2m1f,Yielding,2:15,Stuntman Steve,-,Keith Donoghue,Gavin Cromwell,11 -12,7,0,True,0.025030682,,Fairyhouse_2026-01-10_2:15,1
