track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,actual_position,Race_id,inferred_position,horse_name_norm,kelly_stake,decimal_odds,edge,ev,action,bet_roi,was_bet
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Just In A Bit,-,Shane Quinlan,Mel Rowley,11- 4,8,0,True,0,0.019908607,3,Hereford_2026-01-12_1:00,1,just in a bit,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Tongaknoxie,-,Callum Pritchard,Philip Hobbs & Johnson White,10 -12,6,0,True,0,0.018088851,PU,Hereford_2026-01-12_1:00,2,tongaknoxie,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Heva Rose,-,Ned Fox,Venetia Williams,11 -12,9,3,True,0,0.016419813,UR,Hereford_2026-01-12_1:00,3,heva rose,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Lynsey Larue,100,Ellis Collier,Evan Williams,10- 6,7,3,True,0,0.00940499,UR,Hereford_2026-01-12_1:00,4,lynsey larue,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Martalmix'jac,109,Tabitha Worsley,Mel Rowley,10- 6,9,0,True,0,0.008761003,PU,Hereford_2026-01-12_1:00,5,martalmix'jac,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Tuscan Rose,108,Bradley Harris,Neil Mulholland,10- 9,8,3,True,0,0.008706214,UR,Hereford_2026-01-12_1:00,6,tuscan rose,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Illogical Logic,110,Toby McCain-Mitchell,Christian Williams,11- 4,8,0,True,0,0.008645506,2,Hereford_2026-01-12_1:00,7,illogical logic,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Ithaka,105,Freddie Mitchell,Ryan Potter,12- 0,10,0,True,0,0.00861273,1,Hereford_2026-01-12_1:00,8,ithaka,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Innisfree Lass,110,NON-RUNNER,Stuart Edmunds,11 -10,8,0,True,0,0.008597406,,Hereford_2026-01-12_1:00,9,innisfree lass,,,,,,0.0,False
Hereford,12 Jan 2026 SKY,3m1f,Good To Soft,1:00,Born At Midnight,109,Freddie Gordon,Kathy Turner,12- 0,11,0,True,0,0.0079153,PU,Hereford_2026-01-12_1:00,10,born at midnight,,,,,,0.0,False
