track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,actual_position,Race_id,inferred_position,was_bet,bet_roi,kelly_stake,action
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Very Demure,58,Hollie Doyle,Archie Watson,8- 5,3,0,True,0,0.04603764,0,False,,Chelmsford (AW)_2026-01-14_5:30,1,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Gennadius,72,Sean Levey,Richard Hannon,10- 2,4,0,True,0,0.02818722,0,False,,Chelmsford (AW)_2026-01-14_5:30,2,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Dor's Dazzler,46,J F Egan,Dean Ivory,8- 5,3,0,True,0,0.024559526,0,False,,Chelmsford (AW)_2026-01-14_5:30,3,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Daddy Chill,60,Charlie Tucker,Patrick Chamings,10- 2,4,7,True,0,0.02395156,0,False,,Chelmsford (AW)_2026-01-14_5:30,4,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Tonyfromhr,18,Rob Hornby,Jamie Osborne,8 -10,3,0,True,0,0.022966674,0,False,,Chelmsford (AW)_2026-01-14_5:30,5,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Variety Act,66,Luke Morris,Sir Mark Prescott Bt,8 -10,3,0,True,0,0.017811328,0,False,,Chelmsford (AW)_2026-01-14_5:30,6,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Hengist Pod,-,Jason Hart,Charlie Johnston,8 -10,3,0,True,0,0.017635101,0,False,,Chelmsford (AW)_2026-01-14_5:30,7,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Poetic Force,73,Jack Doughty,Tony Carroll,9- 7,12,0,True,0,0.034690868,0,False,,Chelmsford (AW)_2026-01-14_6:00,1,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Union Island,77,Jack Mitchell,Charlie Johnston,9- 8,5,0,True,0,0.030008346,0,False,,Chelmsford (AW)_2026-01-14_6:00,2,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Fillyfudge,75,George Wood,Lemos De Souza,9- 0,7,0,True,0,0.02762044,0,False,,Chelmsford (AW)_2026-01-14_6:00,3,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,My Mate Mike,78,Robert Havlin,Dean Ivory,9- 9,6,0,True,0,0.025280567,0,False,,Chelmsford (AW)_2026-01-14_6:00,4,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,My Awele,76,Darragh Keenan,Conrad Allen,9- 9,5,0,True,0,0.022618467,0,False,,Chelmsford (AW)_2026-01-14_6:00,5,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Pitney,77,Sean Levey,Michael Attwater,9- 9,5,0,True,0,0.022618467,0,False,,Chelmsford (AW)_2026-01-14_6:00,6,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Blue Eclipse,77,Rob Hornby,James Tate,9- 8,4,0,True,0,0.021340646,0,False,,Chelmsford (AW)_2026-01-14_6:00,7,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Lexington Jet,78,Hollie Doyle,David Loughnane,9- 9,4,0,True,0,0.01952064,0,False,,Chelmsford (AW)_2026-01-14_6:00,8,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,7f,Standard,6:30,United Force,72,Marco Ghiani,Clare Hobson,9- 0,6,0,True,0,0.046355613,0,False,,Chelmsford (AW)_2026-01-14_6:30,1,False,0.0,,
Chelmsford (AW),15 Jan 2026Polytrack,7f,Standard,6:30,Kessaar Power,65,Hector Crouch,Phil McEntee,9- 7,6,0,True,0,0.037771344,0,False,,Chelmsford (AW)_2026-01-14_6:30,2,False,0.0,,
