URL,horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Bud Fox,4/1,9/2,4/1,3/1,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Cock And Bull,25/1,20/1,16/1,14/1,12/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Coco Masterpiece,14/1,16/1,18/1,16/1,18/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Famous Figure,18/1,16/1,14/1,12/1,11/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Goin',150/1,,,,,no_data
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Whinney Hill,7/2,4/1,7/2,15/4,4/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Boedic,7/2,11/4,5/2,9/4,2/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Crowe Street,200/1,150/1,,,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Green Hope,80/1,66/1,80/1,200/1,100/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Jodoro,100/1,200/1,33/1,,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Largy Spirit,100/1,80/1,33/1,,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Microscope,200/1,100/1,,,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Only For Our Man,28/1,33/1,28/1,33/1,,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Parkland,200/1,,,,,no_data
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Sense Of Occasion,17/2,9/1,10/1,9/1,10/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Star Of The Week,2/1,9/4,2/1,9/4,2/1,stable
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Whatafoolbelieves,200/1,,,,,no_data
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Lady Victrix,200/1,150/1,,,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Six Mile Suzy,200/1,,,,,no_data
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Whispering Hopes,40/1,33/1,66/1,25/1,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Home By The Sea,-,100/1,50/1,,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Walkingmayotomilan,-,66/1,33/1,,,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911832,Dubhain,-,12/1,16/1,14/1,16/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,Jony R,11/1,12/1,11/1,10/1,6/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,Spinola Bay,9/4,2/1,11/5,9/4,5/2,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,Jazz Forever,28/1,25/1,22/1,20/1,18/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,Night Moon,5/1,11/2,6/1,11/2,6/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,Beckistine,16/1,14/1,16/1,18/1,16/1,stable
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,Mavetherave,5/1,11/2,5/1,6/1,13/2,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,Youlita,13/2,7/1,6/1,13/2,7/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911833,Zuzukel,4/1,7/2,10/3,7/2,3/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Aruntothequeen,-,9/4,5/2,9/4,5/2,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Clody Diamond,11/2,5/1,11/2,7/1,15/2,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Stiltellinemnuttin,18/1,16/1,14/1,16/1,20/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Rockstown Girl,11/1,12/1,11/1,12/1,11/1,stable
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Missus Beeton,9/2,5/1,9/2,5/1,11/2,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Beautiful Chaos,4/1,9/2,13/2,6/1,13/2,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Mi Lucky Cailin,9/1,8/1,17/2,10/1,17/2,stable
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Catchabird,9/2,5/1,9/2,4/1,7/2,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Gangster Granny,33/1,28/1,25/1,22/1,20/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Patty O'Farrell,33/1,25/1,20/1,22/1,25/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Walk In The Sea,9/2,5/1,11/2,6/1,11/2,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911834,Ringcreevy Diamond,50/1,40/1,50/1,66/1,,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911835,Tsavo Park,8/1,15/2,7/1,13/2,7/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911835,Gamigin,8/1,15/2,7/1,13/2,7/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911835,Verbal Sparring,25/1,28/1,25/1,28/1,25/1,stable
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911835,Surrey Force,40/1,50/1,40/1,33/1,28/1,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911835,Aswellasabentley,9/1,10/1,11/1,12/1,14/1,drifting
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911835,Lips Freedom,10/1,9/1,15/2,7/1,15/2,shortening
https://www.racingpost.com/racecards/180/down-royal/2026-01-20/911835,I Feel Fine,6/1,11/2,5/1,11/2,6/1,stable
