horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Brave Guest,33/1,40/1,35/1,28/1,33/1,stable
Down To Business,66/1,25/1,12/1,8/1,6/1,shortening
Elman,125/1,150/1,450/1,150/1,450/1,drifting
Enziya,125/1,150/1,250/1,200/1,150/1,drifting
Flash Man,100/1,25/1,28/1,30/1,28/1,shortening
Genealogy,16/1,28/1,20/1,16/1,20/1,drifting
Macshadow Des Crai,100/1,450/1,100/1,450/1,125/1,drifting
Novelista,100/1,6/1,9/2,5/1,9/2,shortening
Talakan,100/1,450/1,100/1,25/1,16/1,shortening
Winston Junior,Evs,11/10,Evs,10/11,Evs,shortening
Outlaw Peter,50/1,125/1,66/1,50/1,350/1,drifting
Issam,125/1,40/1,150/1,40/1,25/1,shortening
Welcom To Cartries,10/1,12/1,10/1,20/1,12/1,drifting
In d'Or,22/1,5/1,11/2,5/1,11/2,shortening
The Jukebox Kid,13/8,15/8,13/8,7/4,15/8,drifting
Kap Vert,80/1,9/1,10/1,9/1,17/2,shortening
Chavez,100/1,400/1,100/1,350/1,200/1,drifting
Laganhill,200/1,14/1,8/1,14/1,8/1,shortening
Eyed,33/1,28/1,25/1,28/1,25/1,shortening
Montregard,8/1,10/1,8/1,16/1,10/1,drifting
Minella Blueway,66/1,200/1,66/1,200/1,66/1,stable
Joyeuse,2/1,5/2,11/4,5/2,11/4,drifting
Nurse Susan,-,9/2,9/2,4/1,9/2,stable
La Conquiere,3/1,7/4,3/1,7/4,Evs,shortening
Ooh Betty,7/1,8/1,15/2,7/1,8/1,drifting
Sunset Marquesa,100/1,7/1,15/2,7/1,15/2,shortening
Hitman,-,,,,,no_data
Jungle Boogie,-,,,,,no_data
Etalon,-,,,,,no_data
Bad,-,,,,,no_data
Fugitif,-,,,,,no_data
Vincenzo,-,,,,,no_data
Scarface,-,,,,,no_data
Heltenham,-,,,,,no_data
Neon Moon,-,,,,,no_data
Tripoli Flyer,-,,,,,no_data
Faivoir,-,,,,,no_data
Metier,-,,,,,no_data
Samuel Spade,-,,,,,no_data
Came From Nowhere,-,,,,,no_data
Thanksforthehelp,-,,,,,no_data
Marche d'Aligre,-,,,,,no_data
Patriotik,-,,,,,no_data
Surrey Lord,-,,,,,no_data
Moveit Like Minnie,-,,,,,no_data
Gidleigh Park,100/1,400/1,100/1,15/2,8/1,shortening
Il Etait Temps,9/1,7/1,8/15,8/11,2/5,shortening
Jonbon,6/1,11/2,5/1,9/2,5/1,shortening
Thistle Ask,10/1,9/1,17/2,8/1,15/2,shortening
Kasino Des Mottes,100/1,150/1,100/1,5/1,6/1,shortening
Laguna Beach,7/1,11/4,3/1,11/4,3/1,shortening
Minella Marathon,100/1,14/1,16/1,14/1,16/1,shortening
The Burren Man,100/1,10/3,3/1,11/4,9/4,shortening
Betgoodwin,150/1,450/1,300/1,150/1,300/1,drifting
Mymilkman,-,150/1,125/1,150/1,100/1,shortening
Tobyshill,8/1,9/1,10/1,11/1,12/1,drifting
Uptown Dandy,66/1,10/1,9/1,10/1,9/1,shortening
Whiskey Yankee,14/1,25/1,18/1,14/1,16/1,drifting
Cerendipity,100/1,40/1,20/1,22/1,16/1,shortening
Throatlash,4/1,9/2,5/1,11/2,5/1,drifting
Southoftheborder,80/1,14/1,7/1,5/1,9/2,shortening
Choose A Copper,100/1,80/1,28/1,33/1,28/1,shortening
Imperial Bede,100/1,66/1,13/2,7/1,15/2,shortening
Icare Grandchamp,4/1,9/2,5/1,11/2,5/1,drifting
Bridge Court,100/1,80/1,40/1,16/1,12/1,shortening
Tommy Combats,-,,,,,no_data
Dj Pete,100/1,80/1,22/1,33/1,22/1,shortening
Cracking Rhapsody,100/1,80/1,8/1,15/2,7/1,shortening
Brentford Hope,5/1,11/2,13/2,11/2,13/2,drifting
Bertie's Ballet,100/1,12/1,10/1,11/1,12/1,shortening
Caballo De Guerra,80/1,20/1,18/1,16/1,18/1,shortening
Captain Butler,100/1,50/1,7/1,11/1,10/1,shortening
A Different Kind,100/1,10/1,11/1,10/1,11/1,shortening
Smart Decision,15/8,2/1,85/40,9/4,12/5,drifting
Coumeenoole,50/1,20/1,16/1,14/1,12/1,shortening
Hurricane Pat,12/1,7/4,15/8,7/4,13/8,shortening
Old Park Star,4/5,5/6,10/11,Evs,10/11,drifting
Soldier Reeves,100/1,40/1,33/1,25/1,20/1,shortening
Japetus,100/1,22/1,16/1,12/1,14/1,shortening
Tashkhan,100/1,50/1,66/1,50/1,66/1,shortening
Wahraan,150/1,200/1,250/1,200/1,150/1,stable
Royale Pagaille,-,,,,,no_data
Johnnywho,-,,,,,no_data
Konfusion,-,,,,,no_data
Nassalam,-,28/1,66/1,50/1,66/1,drifting
Myretown,-,,,,,no_data
Imperial Saint,-,,,,,no_data
Richmond Lake,-,,,,,no_data
Stay Away Fay,-,,,,,no_data
Phantomofthepoints,-,,,,,no_data
Kyntara,-,,,,,no_data
Both Barrels,-,,,,,no_data
Pinot Rouge,-,,,,,no_data
Icare Allen,-,,,,,no_data
Dalston Lad,-,,,,,no_data
Solar System,-,,,,,no_data
Heather Honey,-,,,,,no_data
Inis Oirr,-,,,,,no_data
Hillview,-,,,,,no_data
Akimos,-,,,,,no_data
Below The Radar,-,,,,,no_data
Knomorediamonds,-,,,,,no_data
Ring O Roses,-,,,,,no_data
Magic Wave,-,,,,,no_data
High Dancer,-,,,,,no_data
Judicial Deference,-,,,,,no_data
Kilmore Rock,-,,,,,no_data
Jasmin De Cotte,-,,,,,no_data
Wasthatok,-,,,,,no_data
Broderick,-,,,,,no_data
Killycarn,-,,,,,no_data
Victoria Milano,-,,,,,no_data
Roaring Home,-,,,,,no_data
Fast Work,-,,,,,no_data
Brookside La,-,,,,,no_data
Classic Maestro,80/1,25/1,30/1,28/1,25/1,shortening
Escapeandevade,5/2,11/4,5/2,11/4,5/2,stable
Hardy Du Seuil,50/1,9/1,10/1,9/1,10/1,shortening
Palamon,100/1,80/1,50/1,25/1,40/1,shortening
Stormin Crossgales,125/1,150/1,200/1,250/1,200/1,drifting
Mr Grey Sky,100/1,22/1,20/1,18/1,16/1,shortening
Koukeo,5/2,11/4,5/2,5/1,11/2,drifting
Kykorock,66/1,12/1,6/1,13/2,6/1,shortening
Grey Diamond,100/1,22/1,25/1,22/1,25/1,shortening
Willie Shake Hands,100/1,28/1,10/1,7/1,15/2,shortening
Love Your Work,400/1,100/1,25/1,14/1,16/1,shortening
Forest Caper,17/2,9/1,17/2,20/1,9/1,drifting
Ernie's Valentine,15/2,28/1,15/2,8/1,17/2,drifting
Double Time,66/1,25/1,17/2,10/1,9/1,shortening
Terries Royale,40/1,25/1,4/1,9/2,4/1,shortening
Soames Forsyte,28/1,80/1,28/1,25/1,28/1,stable
Al Hofzan,66/1,12/1,10/1,11/1,12/1,shortening
Far Ahead,66/1,125/1,66/1,50/1,66/1,stable
Beaming Light,6/1,7/1,17/2,15/2,13/2,drifting
Havana Touch,66/1,50/1,40/1,50/1,40/1,shortening
Mercurius Power,16/1,20/1,18/1,20/1,18/1,drifting
Miners Gamble,100/1,66/1,7/2,4/1,15/4,shortening
Fermain,18/1,20/1,18/1,25/1,22/1,drifting
Five Cay,-,10/1,14/1,12/1,14/1,drifting
Charming Doll,100/1,22/1,20/1,18/1,16/1,shortening
Mr Wonka,9/4,2/1,9/4,2/1,85/40,stable
