URL,horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910488,Bollin Thou,4/9,8/15,4/7,8/13,4/7,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910488,Mild Magic,12/1,11/1,10/1,16/1,9/1,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910488,Inion Tiogair,7/1,13/2,6/1,7/1,,stable
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910488,Flagon Dry,16/1,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910488,Mac's Xpress,66/1,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910488,Court One,13/2,6/1,13/2,,,stable
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Koenigsstern,9/2,4/1,9/2,,,stable
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Better Off Alone,9/2,4/1,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Icaque de L'Isle,9/1,17/2,8/1,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Thruthelookinglass,9/2,11/2,13/2,7/1,13/2,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Star Of Diamonds,-,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Montmartin,7/1,13/2,6/1,11/2,4/1,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,One Last Glance,9/2,4/1,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Givehimthehonour,18/1,25/1,,,,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Felton Bellevue,10/1,9/1,10/1,11/1,12/1,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910486,Endersen,12/1,11/1,16/1,,,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Desert Halo,10/1,12/1,14/1,,,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Lady Pretender,11/4,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Begin The Luck,9/2,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Jack The Nipper,11/1,14/1,,,,drifting
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Jackeline,14/1,,,,,no_data
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Gwennie May Jem,7/1,13/2,11/2,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Diamond Days,13/2,6/1,11/2,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Stardhem,12/1,11/1,10/1,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Arctic Stream,50/1,33/1,,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Ronnies Reflection,12/1,11/1,10/1,,,shortening
https://www.racingpost.com/racecards/31/lingfield/2026-01-19/910487,Constant Friday,15/2,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,Apache Green,4/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,Super Hit,7/4,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,Token Gesture,12/1,14/1,,,,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,Equion,15/2,7/1,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,Purple Sky,20/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,Mbappe,6/1,9/2,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,Villalobos,9/2,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,Hopjes,20/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,Magna,13/8,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,Respectable Jack,3/1,10/3,,,,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,Smasher,9/2,7/2,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,Horus,9/1,10/1,,,,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,Conquest Of Power,25/1,20/1,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,Dr Ali,7/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,Straight Back Up,11/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,Miraflores,33/1,25/1,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Al Amirah,66/1,50/1,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Distorted Truth,3/1,11/4,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Echo Valley,22/1,20/1,22/1,25/1,,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Five Moons,16/1,14/1,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Galistra,9/4,2/1,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Glamerous,50/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Helga,4/1,11/2,6/1,13/2,7/1,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Misty Cove,9/4,2/1,7/4,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,Peas And Queues,66/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,Siouxfonic,11/4,5/2,9/4,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,Lion City,100/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,Abando,11/1,10/1,9/1,7/1,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,Caliban,Evs,6/5,5/4,11/8,7/4,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,Imperial Decision,25/1,22/1,14/1,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,John Galt,25/1,28/1,33/1,30/1,25/1,stable
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,King's Cruiser,40/1,33/1,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,Imperial Jade,66/1,50/1,40/1,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,Aethelthryth,10/3,3/1,11/4,5/2,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,Summer Appeal,66/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,Up The Agenda,11/8,6/4,15/8,,,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,Unionville,16/1,14/1,16/1,14/1,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,Mighty Vega,5/1,9/2,11/2,6/1,11/2,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,Space Bear,13/2,6/1,11/2,5/1,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,Uniter,6/1,15/2,8/1,10/1,9/1,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,Saxon Prince,6/1,11/2,9/2,4/1,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910650,Canyouhearthedrums,9/1,17/2,8/1,9/1,8/1,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,Shallow,5/2,11/4,,,,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,Cressida Wildes,14/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,Your Love,3/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,Gogo Yubari,7/1,11/2,,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,Handle With Care,7/2,10/3,3/1,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,Searchingtheblues,14/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,Court Drive,6/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,I'm Workin On It,10/3,3/1,11/4,3/1,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Riot,25/1,28/1,25/1,,,stable
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Lerwick,9/2,4/1,7/2,,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Kev,28/1,33/1,,,,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Party Bear,5/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Neyva's Angel,15/2,8/1,16/1,12/1,,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,King David,7/2,10/3,,,,stable
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Exposay,33/1,,,,,no_data
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Saturn Seven,12/1,14/1,25/1,14/1,20/1,drifting
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Dayman,16/1,18/1,16/1,12/1,,shortening
https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,Danehill Star,17/2,9/1,17/2,8/1,15/2,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Galactic Glow,10/1,11/1,10/1,8/1,15/2,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Eutropia,5/2,10/3,,,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Tenadaay,14/1,18/1,16/1,,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Ice Opera,2/1,15/8,,,,stable
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Staffordshire,12/1,14/1,12/1,,,stable
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Blue Siam,11/2,5/1,9/2,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Pomeriggio,50/1,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Late Claim,6/1,11/2,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910654,Rampant,20/1,18/1,16/1,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Al Baahy,9/2,4/1,7/2,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Al Shabab,4/1,11/2,4/1,5/1,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Bondi Man,25/1,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Boujee Gold,9/1,11/1,,,,drifting
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Dors Delight,16/1,14/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Port Noir,20/1,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Racing Country,22/1,20/1,,,,shortening
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Relevant Range,6/4,13/8,6/4,11/8,,stable
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Star Of St Louis,12/1,,,,,no_data
https://www.racingpost.com/racecards/513/wolverhampton-aw/2026-01-19/910657,Trusty Scout,18/1,,,,,no_data
