horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Additional Time,15/2,8/1,17/2,9/1,17/2,drifting
Bajan Excell,250/1,300/1,400/1,300/1,250/1,stable
Banter At The Bar,12/1,14/1,16/1,14/1,16/1,drifting
Brucejack,5/2,11/4,3/1,10/3,3/1,drifting
Enge Hazard,66/1,17/2,8/1,17/2,9/1,shortening
John The Diva,10/3,4/1,10/3,3/1,10/3,stable
Mighty Jeremy,9/1,10/1,9/1,10/1,12/1,drifting
Mistyburn,250/1,300/1,250/1,200/1,150/1,shortening
Rajsalad,200/1,250/1,200/1,250/1,200/1,stable
Silver King,25/1,28/1,25/1,28/1,25/1,stable
Themanintheboots,8/1,17/2,8/1,15/2,7/1,shortening
Katie Daniels,8/1,9/1,8/1,9/1,17/2,drifting
Jacob's Ladder,7/1,15/2,7/1,8/1,7/1,stable
Kappa Jy Pyke,5/1,11/2,5/1,11/2,6/1,drifting
Predators Gold,9/4,,,,,no_data
Pure Steel,15/2,9/1,6/1,9/1,6/1,shortening
The Enabler,9/1,10/1,11/1,10/1,11/1,drifting
Lovely Reaction,17/2,8/1,15/2,7/1,15/2,shortening
Ernie From Nurney,9/1,10/1,11/1,10/1,11/1,drifting
Halsafari,10/1,11/1,12/1,14/1,16/1,drifting
Diamond Dollar,5/1,6/1,11/2,6/1,13/2,drifting
Duce Bigalow,4/1,9/2,4/1,7/2,4/1,stable
Hakensack,2/1,9/4,2/1,9/4,2/1,stable
Just For Yuse,50/1,66/1,50/1,40/1,50/1,stable
Baltinglass Hill,16/1,14/1,12/1,14/1,12/1,shortening
Tullabrack Lad,150/1,125/1,100/1,80/1,66/1,shortening
Feast,11/1,10/1,9/1,17/2,8/1,shortening
Mastermind,40/1,33/1,40/1,50/1,40/1,stable
Nine Graces,-,,,,,no_data
Union Park,-,40/1,50/1,40/1,33/1,shortening
Ney,-,,,,,no_data
Evies Vladimir,-,,,,,no_data
Krabat,-,,,,,no_data
Prince Palace,-,,,,,no_data
Showurappreciation,-,,,,,no_data
Solly Attwell,-,,,,,no_data
Soloman Lane,-,,,,,no_data
Gringo d'Aubrelle,-,,,,,no_data
Hardwired,-,,,,,no_data
Whateys Quest,-,,,,,no_data
Harbour Highway,-,,,,,no_data
Bigbraveboy,-,,,,,no_data
Frankie John,-,16/1,,,,no_data
Free Spirit,5/1,11/2,5/1,13/2,,drifting
Road Exile,11/2,6/1,,,,drifting
Sober,5/2,9/4,5/2,9/4,85/40,shortening
Atlantic Gamble,-,,,,,no_data
Convincing,-,,,,,no_data
Embrace The Day,-,,,,,no_data
I Started A Joke,-,,,,,no_data
Large Steps,-,,,,,no_data
Laxxio,-,,,,,no_data
Navagio,-,,,,,no_data
Ocean Of Dreams,-,,,,,no_data
Ozark's Walk,50/1,66/1,100/1,125/1,100/1,drifting
Playtime,-,,,,,no_data
Poet's Gale,-,,,,,no_data
Port Mor,-,,,,,no_data
Press The Button,-,14/1,16/1,18/1,16/1,drifting
Sound As A Bell,-,,,,,no_data
Springhill Warrior,-,,,,,no_data
The Shanty Field,-,,,,,no_data
Tyson Fury,-,5/1,11/2,5/1,11/2,drifting
Golden Wings,-,,,,,no_data
Let It Settle,-,,,,,no_data
Riskabahia,-,,,,,no_data
Woodstar Lily,-,,,,,no_data
Red Veil,-,,,,,no_data
Lyreen Og,-,80/1,66/1,,,shortening
