horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Buckna,11/4,3/1,11/4,3/1,16/5,drifting
Muskoka,7/1,13/2,7/1,15/2,17/2,drifting
Top Target,4/1,7/2,10/3,3/1,11/4,shortening
Aviation,-,7/1,15/2,7/1,13/2,shortening
Awaythelad,18/1,16/1,14/1,16/1,18/1,stable
Gold In The Rivers,10/1,9/1,10/1,9/1,10/1,stable
Sheldon,28/1,25/1,28/1,33/1,28/1,stable
Taita Hills,16/1,14/1,16/1,14/1,12/1,shortening
Captain Boudet,17/2,8/1,9/1,17/2,9/1,drifting
Always Busy,66/1,50/1,66/1,50/1,66/1,stable
Mahler Moon,10/1,11/1,12/1,14/1,12/1,drifting
Rule Me In,8/1,17/2,9/1,17/2,9/1,drifting
C'Est Different,15/8,13/8,6/4,11/8,5/4,shortening
Kayf Dancer,25/1,22/1,25/1,22/1,25/1,stable
High Treason,50/1,40/1,33/1,25/1,22/1,shortening
Knockanore,80/1,66/1,80/1,66/1,80/1,stable
Kiss My Face,25/1,22/1,20/1,22/1,25/1,stable
Ocean Conquest,22/1,20/1,22/1,20/1,22/1,stable
Crazierthandaisy,7/1,15/2,8/1,17/2,9/1,drifting
Block Rockin Beats,8/1,9/1,8/1,9/1,8/1,stable
Twist Of Fatecatch,14/1,12/1,14/1,12/1,11/1,shortening
Kintail,25/1,28/1,25/1,22/1,25/1,stable
Spitalfield,11/1,12/1,14/1,16/1,14/1,drifting
De Kingpin,22/1,20/1,22/1,20/1,22/1,stable
Faded Fantasy,80/1,66/1,50/1,40/1,33/1,shortening
Island Run,33/1,40/1,33/1,28/1,25/1,shortening
Top Guy,4/1,9/2,4/1,9/2,4/1,stable
On The Go,9/1,10/1,9/1,17/2,8/1,shortening
Jolie Baie,33/1,40/1,33/1,40/1,33/1,stable
Panic Attack,1/5,2/11,1/5,1/6,2/11,stable
Ilovethenightlife,14/1,16/1,18/1,20/1,22/1,drifting
Mini Mildred,100/1,125/1,,,,drifting
Molto Bene,6/1,11/2,6/1,11/2,6/1,stable
Presenting A Queen,50/1,66/1,50/1,66/1,50/1,stable
Parramount,-,40/1,50/1,66/1,50/1,drifting
Tintintin,12/1,11/1,12/1,11/1,12/1,stable
Doctors Hill,3/1,11/4,5/2,11/4,3/1,stable
General Briar,9/1,10/1,11/1,12/1,11/1,drifting
Sir Hobnob,14/1,12/1,14/1,16/1,14/1,stable
Gifted Angel,50/1,66/1,50/1,40/1,50/1,stable
Almuhit,13/2,7/1,13/2,7/1,13/2,stable
Leaumec De Mee,9/2,4/1,9/2,4/1,9/2,stable
Soldier's Leap,13/2,7/1,13/2,7/1,13/2,stable
Uhtred Ragnarson,18/1,16/1,18/1,20/1,22/1,drifting
Lions Peak,33/1,28/1,33/1,28/1,33/1,stable
Premier,13/2,7/1,13/2,7/1,13/2,stable
Rosieisme Darling,9/4,5/2,11/4,3/1,16/5,drifting
Grand Echo,100/1,66/1,33/1,40/1,33/1,shortening
Havin A Flyer,-,13/2,7/1,15/2,7/1,drifting
He Bangs The Drums,18/1,16/1,7/1,13/2,7/1,shortening
Kuiama,3/1,16/5,3/1,11/4,5/2,shortening
