horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Grand Duchess Olga,9/1,10/1,9/1,15/2,7/1,shortening
Legacy Power,200/1,300/1,200/1,250/1,200/1,stable
Fascinating Shadow,11/4,3/1,11/4,3/1,11/4,stable
V Power,20/1,22/1,20/1,22/1,28/1,drifting
Urban Warrior,7/2,11/2,7/2,11/2,7/2,stable
Moon Over The Sea,10/3,9/1,10/3,9/1,10/3,stable
Alex The Great,100/1,66/1,70/1,80/1,66/1,shortening
Zooks,12/1,10/1,9/1,10/1,9/1,shortening
Blue Siam,16/1,20/1,16/1,20/1,16/1,stable
Havachoc,11/1,12/1,14/1,16/1,14/1,drifting
Grey Horizon,3/1,10/3,4/1,7/2,10/3,drifting
Espona Bay,6/5,11/8,9/4,10/3,7/4,drifting
Black Rock Beauty,22/1,28/1,22/1,25/1,22/1,stable
Golden Havana,-,10/1,9/1,17/2,8/1,shortening
Blindfold Games,6/1,25/1,7/1,25/1,7/1,drifting
Tafah,12/1,14/1,12/1,18/1,12/1,stable
Faithful Dream,28/1,33/1,28/1,30/1,28/1,stable
Life After Love,50/1,200/1,50/1,350/1,50/1,stable
Far Too Fizzy,17/2,9/1,17/2,9/1,17/2,stable
Lina Codina,90/1,150/1,90/1,150/1,90/1,stable
All Moonshine,6/4,13/8,6/4,13/8,6/4,stable
Counting Cards,100/1,11/2,7/1,11/2,100/1,stable
Hammal,450/1,500/1,400/1,300/1,400/1,shortening
Oceans Five,5/2,11/4,5/2,9/4,5/2,stable
Splinterwood,350/1,200/1,250/1,200/1,150/1,shortening
Thequietman,9/1,11/1,9/1,66/1,10/1,drifting
They All Know Me,4/1,11/2,7/1,4/1,5/1,drifting
Miss Helena,400/1,500/1,300/1,250/1,200/1,shortening
Bear Rock,14/1,16/1,14/1,16/1,14/1,stable
Bella Bisbee,7/2,4/1,15/4,7/2,10/3,stable
Mart,50/1,18/1,6/1,11/2,6/1,shortening
Arnaz,300/1,125/1,20/1,16/1,14/1,shortening
The Caribbean,5/1,12/1,5/1,13/2,5/1,stable
Flowstate,200/1,20/1,11/2,4/1,7/2,shortening
Nacho Nacho Nacho,5/1,22/1,11/2,5/1,11/2,drifting
Adelaide Bay,450/1,100/1,110/1,100/1,90/1,shortening
Harbour Vision,28/1,33/1,66/1,33/1,200/1,drifting
River Wharfe,450/1,40/1,25/1,20/1,22/1,shortening
Because We Can,15/2,8/1,10/1,15/2,8/1,drifting
Slack Bob,12/1,16/1,12/1,66/1,12/1,stable
Prancy Peer,150/1,66/1,16/1,14/1,16/1,shortening
Sailor Batt,7/1,15/2,7/1,3/1,16/5,shortening
Pimentel,450/1,100/1,28/1,33/1,28/1,shortening
Crown The Future,5/1,7/4,11/8,6/4,13/8,shortening
Spirit Of Mara,100/1,66/1,80/1,66/1,50/1,shortening
Surgeon Commander,400/1,100/1,11/2,6/1,5/1,shortening
Pacific Prince,80/1,100/1,80/1,100/1,80/1,stable
R P McMurphy,13/8,7/4,13/8,7/4,13/8,stable
How's The Guvnor,9/2,4/1,9/2,4/1,9/2,stable
Scenario,7/2,4/1,7/2,10/3,7/2,stable
Volendam,10/1,11/1,10/1,9/1,8/1,shortening
Homer Stokes,25/1,22/1,20/1,22/1,25/1,stable
Strobelight,-,4/1,9/2,4/1,9/2,drifting
Lhebayeb,12/1,11/1,12/1,11/1,12/1,stable
Paps Of Jura,25/1,22/1,25/1,22/1,25/1,stable
Faster Bee,25/1,22/1,25/1,22/1,25/1,stable
Dash Power,11/1,12/1,14/1,12/1,11/1,stable
Arlecchino's Rex,33/1,35/1,33/1,28/1,33/1,stable
Eagles Whistle,10/11,5/6,10/11,11/10,6/4,drifting
Bondi Man,28/1,25/1,28/1,25/1,22/1,shortening
Desiderata,11/2,5/1,11/2,5/1,11/2,stable
Gemini Man,-,,,,,no_data
Newfire,40/1,50/1,40/1,35/1,40/1,stable
Pyrrhic Dancer,7/1,13/2,7/1,15/2,7/1,stable
Racing Country,66/1,50/1,66/1,80/1,66/1,stable
The Pug,18/1,16/1,18/1,16/1,14/1,shortening
Trusty Scout,18/1,16/1,14/1,12/1,14/1,shortening
Wrist Art,13/2,7/1,15/2,8/1,15/2,drifting
That Lucas Fella,-,,,,,no_data
Berto Ramirez,50/1,66/1,50/1,66/1,50/1,stable
Deep Water Bay,7/2,4/1,9/2,4/1,9/2,drifting
Direct Approach,-,66/1,80/1,66/1,50/1,shortening
Granlahan,150/1,250/1,300/1,250/1,200/1,drifting
Kilmeaden,11/1,12/1,11/1,12/1,11/1,stable
Kizlyar,14/1,16/1,18/1,16/1,18/1,drifting
Madness d'Elle,4/11,2/5,4/9,1/2,4/9,drifting
Mino Des Mottes,15/2,8/1,15/2,8/1,17/2,drifting
Nile Star,150/1,200/1,250/1,200/1,150/1,stable
Ray Gun,200/1,250/1,500/1,400/1,300/1,drifting
Royal Belief,200/1,250/1,400/1,500/1,400/1,drifting
Starword,250/1,500/1,400/1,300/1,400/1,drifting
