URL,horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Bajan Excell,100/1,125/1,100/1,,,stable
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Cowper Hall,13/8,15/8,2/1,9/4,5/2,drifting
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Figurehead,33/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Goody Four Shoes,22/1,20/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Hello Jack,9/2,7/2,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Insouciant Dallier,18/1,12/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,John The Diva,9/4,2/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Live To Laugh,8/1,15/2,7/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Toor Khov,12/1,8/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912108,Roxhill Roise,18/1,16/1,14/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Benwisken,12/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Bloomhill,40/1,33/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Cold Old Fire,50/1,40/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Gale Force Jet,15/2,7/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Keep On Dreaming,3/1,5/2,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Made U Look,16/1,12/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Magic Sadler,8/11,4/5,5/6,4/5,,stable
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Mister Loolah,50/1,40/1,33/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Nibbles,22/1,16/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912109,Our Story,28/1,25/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Blue Train,33/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Crest Of Light,100/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Mode Avion,7/1,13/2,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Annie's Angel,20/1,18/1,16/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Concert Party,66/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Dream Angel,150/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Ismahane,9/4,5/2,9/4,,,stable
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Michonne,12/1,11/1,10/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Beauvallon,10/1,9/1,8/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Dawn Coming,9/2,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,John Dixen,200/1,150/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,O'Grady Cracker,50/1,40/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Padre Bay,125/1,100/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Charme De Faust,6/4,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912110,Thelittlevillager,150/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Ehteyat,100/1,40/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,El Cairos,1/6,2/11,1/5,2/7,3/10,drifting
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Ballindenisk,150/1,80/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Ballyhasty,200/1,125/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Deise Crystal,200/1,80/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,How's The Head,14/1,16/1,20/1,,,drifting
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Lord Of The Locke,12/1,14/1,16/1,18/1,25/1,drifting
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Masons Apron,150/1,100/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Max Meridius,150/1,125/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,One Of Mine,33/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Poppycon,66/1,50/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Quietrunsthedon,200/1,125/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Roc Dino,10/3,7/2,,,,stable
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Thetwocharlies,150/1,100/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Two Can Plan,200/1,125/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Ode To Joy,200/1,125/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Shallow Bowles,66/1,50/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Tangara Bay,11/1,12/1,14/1,,,drifting
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Ballinaboola Gold,200/1,125/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Thisain'tthat,150/1,100/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912111,Smooth Talker,150/1,100/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Mi Lucky Cailin,7/1,13/2,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Where Are You Now,15/8,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Jay Pee M,3/1,7/2,,,,drifting
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Teagarden Jazz,50/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Gaelic Des Chastys,5/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Loughrask Jet,33/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Real Empire,50/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Love Like This,20/1,22/1,14/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Little Boy Sivola,28/1,33/1,20/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Hakensack,10/1,8/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Siul Molly Siul,12/1,14/1,8/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Toor Moon,12/1,10/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Bee Bright,40/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Venturi Effect,40/1,50/1,40/1,,,stable
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Glory Sky,50/1,40/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Zolpharine,50/1,40/1,50/1,33/1,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Added Bonus,33/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Max Time,50/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Jaynemax,25/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Marlpark,22/1,25/1,20/1,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912115,Mister Rockefeller,66/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Albus,13/2,11/2,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Blow Wind Blow,5/2,9/4,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Danalii,40/1,33/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Eliodam,4/6,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Private Policy,40/1,33/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Sacramental,40/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Ballingurteen,25/1,16/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Matilauna,14/1,12/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Not Leaving Yet,66/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Shuil Swift,40/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912116,Supreme Axel,100/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,King In Love,4/1,7/2,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,Sarah Beara,5/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,Fighting Fit,10/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,Ira Hayes,10/1,8/1,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,Pookie Holler,4/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,A Nod To Getaway,7/1,13/2,,,,shortening
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,Ferdia,50/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,Juke Hill,5/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,Union Park,14/1,,,,,no_data
https://www.racingpost.com/racecards/198/thurles/2026-01-29/912117,Pebble Bleu,10/1,8/1,,,,shortening
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Coolanna,5/4,6/4,5/4,11/8,6/4,drifting
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Strong Run,6/4,13/8,7/4,,,drifting
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Ballynorth,25/1,22/1,20/1,,,shortening
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Bunny Bee,25/1,22/1,20/1,,,shortening
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Dalcassian Girl,125/1,100/1,,,,shortening
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Katie's Melody,5/1,9/2,10/3,,,shortening
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Miss Jaffa Cake,125/1,100/1,,,,shortening
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Moonlight Stride,200/1,150/1,,,,shortening
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Poet's Muse,20/1,18/1,16/1,,,shortening
https://www.racingpost.com/racecards/90/wincanton/2026-01-29/4803264,Svelte Silhouette,28/1,25/1,,,,shortening
