URL,horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910480,Anariza,3/1,10/3,3/1,10/3,3/1,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910480,Lau And Shaz,3/1,10/3,7/2,4/1,9/2,drifting
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910480,Getawhisky,15/8,7/4,13/8,6/4,11/8,shortening
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910480,Hornica,9/2,5/1,9/2,4/1,9/2,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910480,Yasmina,80/1,66/1,80/1,66/1,80/1,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910480,Penn Avenue,20/1,18/1,20/1,22/1,25/1,drifting
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Top Jimmy,5/1,11/2,6/1,13/2,6/1,drifting
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Scorpio Rising,7/2,10/3,3/1,10/3,7/2,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Lisbane Park,10/1,9/1,17/2,8/1,15/2,shortening
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Harry Lowes,3/1,10/3,3/1,11/4,5/2,shortening
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Sixty Plus,-,25/1,28/1,33/1,28/1,drifting
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Fresh Kicks,9/1,17/2,9/1,17/2,9/1,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Fashion Hunter,28/1,30/1,33/1,28/1,22/1,shortening
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Maldini Milano,17/2,9/1,10/1,9/1,17/2,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Kel Du Large,11/2,5/1,11/2,6/1,11/2,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910482,Tyson,50/1,40/1,33/1,40/1,33/1,shortening
https://www.racingpost.com/racecards/93/windsor/2026-01-18/911317,Salver,2/1,15/8,2/1,9/4,85/40,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/911317,Wade Out,4/1,5/1,4/1,19/5,15/4,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/911317,Doyen Quest,10/1,9/1,10/1,9/1,17/2,shortening
https://www.racingpost.com/racecards/93/windsor/2026-01-18/911317,Jeriko Du Reponet,7/2,10/3,7/2,19/5,4/1,drifting
https://www.racingpost.com/racecards/93/windsor/2026-01-18/911317,Laurens Bay,12/1,14/1,12/1,11/1,12/1,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/911317,Moon Rocket,6/1,11/2,5/1,9/2,4/1,shortening
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910478,Nells Son,8/1,17/2,9/1,17/2,9/1,drifting
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910478,Mirabad,10/3,3/1,11/4,3/1,10/3,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910478,Sans Bruit,8/1,9/1,8/1,9/1,8/1,stable
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910478,Mighty Bandit,-,11/4,3/1,10/3,7/2,drifting
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910478,Harper's Brook,-,11/1,12/1,11/1,10/1,shortening
https://www.racingpost.com/racecards/93/windsor/2026-01-18/910478,Hardy Du Seuil,-,11/1,12/1,14/1,16/1,drifting
