ev_decile,bets,staked,returned,profit,roi
decile_1,11,1.375192759685606,0.0,-1.375192759685606,-1.0
decile_2,10,2.934330776188853,0.0,-2.934330776188853,-1.0
decile_3,10,6.068811075643939,0.0,-6.068811075643939,-1.0
decile_4,10,5.630849901278788,0.0,-5.630849901278788,-1.0
decile_5,10,5.7054100005303034,0.0,-5.7054100005303034,-1.0
decile_6,10,6.805503754936868,0.0,-6.805503754936868,-1.0
decile_7,10,5.40603850929375,0.0,-5.40603850929375,-1.0
decile_8,10,10.795123428383333,0.0,-10.795123428383333,-1.0
decile_9,10,10.490650536506061,0.0,-10.490650536506061,-1.0
decile_10,11,13.142133375144445,0.0,-13.142133375144445,-1.0
