threshold,precision,recall,f1_score,accuracy,specificity,ppv,npv,tp,fp,tn,fn,predicted_positive,predicted_negative
0.1,0.3169725716642607,0.8752847380410023,0.4654049962149887,0.833835294117647,0.830101569713758,0.3169725716642607,0.9866471556612402,1537,3312,16182,219,4849,16401
0.15000000000000002,0.3579785909882997,0.8189066059225513,0.49818118829031705,0.8636705882352941,0.86770288293834,0.3579785909882997,0.9815470318574827,1438,2579,16915,318,4017,17233
0.20000000000000004,0.3897849462365591,0.7431662870159453,0.5113636363636364,0.8826352941176471,0.8951985226223453,0.3897849462365591,0.974807284102335,1305,2043,17451,451,3348,17902
0.25000000000000006,0.4190886257624686,0.6651480637813212,0.5141976667400395,0.8961411764705882,0.9169488047604392,0.4190886257624686,0.9681525212587336,1168,1619,17875,588,2787,18463
0.30000000000000004,0.45750452079566006,0.5763097949886105,0.5100806451612904,0.9085176470588235,0.9384425977223761,0.45750452079566006,0.9609202647336905,1012,1200,18294,744,2212,19038
0.3500000000000001,0.4879862700228833,0.4857630979498861,0.4868721461187215,0.9153882352941176,0.9540884374679388,0.4879862700228833,0.9536970567121321,853,895,18599,903,1748,19502
0.40000000000000013,0.5207407407407407,0.40034168564920275,0.4526722472633612,0.92,0.9668103006053145,0.5207407407407407,0.9470854271356783,703,647,18847,1053,1350,19900
0.45000000000000007,0.5648330058939096,0.32744874715261957,0.41456380677721694,0.9235764705882353,0.9772750589925105,0.5648330058939096,0.9416271253459866,575,443,19051,1181,1018,20232
0.5000000000000001,0.6074270557029178,0.2608200455580866,0.36494023904382467,0.9249882352941177,0.9848158407715194,0.6074270557029178,0.9366705698672911,458,296,19198,1298,754,20496
0.5500000000000002,0.6569872958257713,0.2061503416856492,0.31382748157780666,0.9255058823529412,0.9903047091412742,0.6569872958257713,0.932653751388956,362,189,19305,1394,551,20699
0.6000000000000002,0.7253886010362695,0.15945330296127563,0.26143790849673204,0.9255529411764706,0.9945624294654766,0.7253886010362695,0.9292561349693251,280,106,19388,1476,386,20864
0.6500000000000001,0.7854545454545454,0.12300683371298406,0.21270310192023634,0.9247529411764706,0.9969734277213501,0.7854545454545454,0.9265792610250297,216,59,19435,1540,275,20975
0.7000000000000002,0.8343558282208589,0.0774487471526196,0.14174048983845755,0.9224941176470588,0.9986149584487535,0.8343558282208589,0.9231754161331626,136,27,19467,1620,163,21087
0.7500000000000002,0.8804347826086957,0.04612756264236902,0.08766233766233766,0.9206588235294118,0.9994357238124552,0.8804347826086957,0.9208337271953871,81,11,19483,1675,92,21158
0.8000000000000002,0.9038461538461539,0.026765375854214124,0.051991150442477874,0.9193411764705882,0.9997435108238433,0.9038461538461539,0.9193791867157279,47,5,19489,1709,52,21198
0.8500000000000002,0.9615384615384616,0.014236902050113895,0.028058361391694726,0.9184941176470588,0.9999487021647686,0.9615384615384616,0.9184413871089333,25,1,19493,1731,26,21224
0.9000000000000002,1.0,0.0017084282460136675,0.003411028993746447,0.9175058823529412,1.0,1.0,0.9174942344801619,3,0,19494,1753,3,21247
