combo_index,indices,names,tracks,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
169,"(54, 55, 168, 59)",True Destiny|Strutter|Parliamo|Giant Haystacks,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.16890990584209356,27.25,372.7411136188838,387.7411136188838,5138.532707293872,0.07253843360572518,L15_CANDIDATE
170,"(54, 55, 168, 60)",True Destiny|Strutter|Parliamo|Noemie De La Vis,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.16890990584209356,72.75,3158.4786275106685,3173.4786275106685,51605.712192095416,0.061204050740616675,L15_CANDIDATE
171,"(54, 55, 168, 61)",True Destiny|Strutter|Parliamo|Onlymammycanloveme,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.16890990584209356,23.625,150.8004875121207,165.8004875121207,1518.972057265741,0.0992779865770358,L15_CANDIDATE
172,"(54, 55, 168, 62)",True Destiny|Strutter|Parliamo|I Am Lorenzo,Fairyhouse|Fairyhouse|Ludlow|Fairyhouse,0.16890990584209356,50.25,1780.9161206411045,1795.9161206411047,28615.059160524786,0.06223702389187873,L15_CANDIDATE
173,"(54, 55, 56, 57)",True Destiny|Strutter|Swing Davis|Roc Dino,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,11.25,43.782800514939964,58.782800514939964,503.099191351279,0.08702617946441797,L15_CANDIDATE
174,"(54, 55, 56, 58)",True Destiny|Strutter|Swing Davis|Sticwiththeprocess,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,8.375,11.652837242593375,26.652837242593378,156.26984148853495,0.07456868920832883,L15_CANDIDATE
175,"(54, 55, 56, 0)",True Destiny|Strutter|Swing Davis|Global Effort,Fairyhouse|Fairyhouse|Fairyhouse|Chelmsford (AW),0.16890990584209356,8.15625,9.208166124045265,24.208166124045267,132.54563790581582,0.06947166477548206,L15_CANDIDATE
176,"(54, 55, 56, 59)",True Destiny|Strutter|Swing Davis|Giant Haystacks,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,12.25,54.958439914017035,69.95843991401703,626.9373076795607,0.08766177932117467,L15_CANDIDATE
177,"(54, 55, 56, 60)",True Destiny|Strutter|Swing Davis|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,57.75,563.4500325720239,578.4500325720239,6303.773981296873,0.08938296871743259,L15_CANDIDATE
178,"(54, 55, 56, 61)",True Destiny|Strutter|Swing Davis|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,8.625,14.446747092362644,29.446747092362646,184.60111290099638,0.07825926325867057,L15_CANDIDATE
179,"(54, 55, 56, 62)",True Destiny|Strutter|Swing Davis|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,35.25,311.99814609278974,326.99814609278974,3495.062866980456,0.08926825009083146,L15_CANDIDATE
180,"(54, 55, 57, 58)",True Destiny|Strutter|Roc Dino|Sticwiththeprocess,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,10.375,28.165023935019885,43.16502393501989,304.815984913235,0.09240008834522566,L15_CANDIDATE
181,"(54, 55, 57, 0)",True Destiny|Strutter|Roc Dino|Global Effort,Fairyhouse|Fairyhouse|Fairyhouse|Chelmsford (AW),0.16890990584209356,10.15625,24.26057979003987,39.26057979003987,258.7407192661512,0.09376405792968541,L15_CANDIDATE
182,"(54, 55, 57, 59)",True Destiny|Strutter|Roc Dino|Giant Haystacks,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,14.25,97.32946307466594,112.32946307466594,1219.2672202652313,0.07982619515801756,L15_CANDIDATE
183,"(54, 55, 57, 60)",True Destiny|Strutter|Roc Dino|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,59.75,909.4538452305098,924.4538452305098,12250.9789683142,0.07423519765911862,L15_CANDIDATE
184,"(54, 55, 57, 61)",True Destiny|Strutter|Roc Dino|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,10.625,32.62724581499705,47.62724581499705,359.8416690832712,0.09067111626654545,L15_CANDIDATE
185,"(54, 55, 57, 62)",True Destiny|Strutter|Roc Dino|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,37.25,507.8538760325651,522.853876032565,6792.82066599906,0.07476332748994663,L15_CANDIDATE
186,"(54, 55, 58, 0)",True Destiny|Strutter|Sticwiththeprocess|Global Effort,Fairyhouse|Fairyhouse|Fairyhouse|Chelmsford (AW),0.16890990584209356,7.28125,2.6227351451726264,17.622735145172626,79.88020912118895,0.03283335351806086,L15_CANDIDATE
187,"(54, 55, 58, 59)",True Destiny|Strutter|Sticwiththeprocess|Giant Haystacks,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,11.375,36.421117281233144,51.421117281233144,379.9659904311641,0.0958536242675417,L15_CANDIDATE
188,"(54, 55, 58, 60)",True Destiny|Strutter|Sticwiththeprocess|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,56.875,412.0733645339363,427.07336453393634,3824.502814321543,0.10774560368758339,L15_STRONG
189,"(54, 55, 58, 61)",True Destiny|Strutter|Sticwiththeprocess|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,7.75,6.492778901210091,21.49277890121009,111.49377989410821,0.058234449557425,L15_CANDIDATE
190,"(54, 55, 58, 62)",True Destiny|Strutter|Sticwiththeprocess|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,34.375,226.31126424413804,241.31126424413804,2120.2748935048776,0.10673675613355907,L15_STRONG
191,"(54, 55, 0, 59)",True Destiny|Strutter|Global Effort|Giant Haystacks,Fairyhouse|Fairyhouse|Chelmsford (AW)|Fairyhouse,0.16890990584209356,11.15625,31.78678662303717,46.78678662303717,322.57867933077733,0.09853963903932562,L15_CANDIDATE
192,"(54, 55, 0, 60)",True Destiny|Strutter|Global Effort|Noemie De La Vis,Fairyhouse|Fairyhouse|Chelmsford (AW)|Fairyhouse,0.16890990584209356,56.65625,374.2291975244144,389.2291975244144,3248.4627100687917,0.11520193732391328,L15_STRONG
193,"(54, 55, 0, 61)",True Destiny|Strutter|Global Effort|Onlymammycanloveme,Fairyhouse|Fairyhouse|Chelmsford (AW)|Fairyhouse,0.16890990584209356,7.53125,4.504286853421952,19.504286853421952,94.50051244684713,0.047664152678065515,L15_CANDIDATE
194,"(54, 55, 0, 62)",True Destiny|Strutter|Global Effort|I Am Lorenzo,Fairyhouse|Fairyhouse|Chelmsford (AW)|Fairyhouse,0.16890990584209356,34.15625,204.8895437819751,219.8895437819751,1800.8507901233456,0.11377374788943043,L15_STRONG
195,"(54, 55, 59, 60)",True Destiny|Strutter|Giant Haystacks|Noemie De La Vis,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,60.75,1082.4557515597528,1097.4557515597528,15260.686805620786,0.07093099841096699,L15_CANDIDATE
196,"(54, 55, 59, 61)",True Destiny|Strutter|Giant Haystacks|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,11.625,41.71749517631426,56.71749517631426,448.50180825533374,0.09301522180834627,L15_CANDIDATE
197,"(54, 55, 59, 62)",True Destiny|Strutter|Giant Haystacks|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,38.25,605.7817410024527,620.7817410024527,8461.711655588273,0.07159092222226493,L15_CANDIDATE
198,"(54, 55, 60, 61)",True Destiny|Strutter|Noemie De La Vis|Onlymammycanloveme,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,57.125,455.3238411162471,470.323841116247,4512.469599380933,0.10090347005965716,L15_STRONG
199,"(54, 55, 60, 62)",True Destiny|Strutter|Noemie De La Vis|I Am Lorenzo,Fairyhouse|Fairyhouse|Fairyhouse|Fairyhouse,0.16890990584209356,83.75,5061.4995971323415,5076.4995971323415,84975.39491295119,0.059564296256785186,L15_CANDIDATE
