track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,URL,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,edge,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification,action
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,straight back up,65,Lloyd Applegate,Dr Richard Newland & Jamie Insole,9- 1,4,7,True,0,0.030549182,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,11/1,,,,,no_data,,,,,12.0,0.1,0.1563100576553491,0.7270560190703218,,,0.04312526956553492,12.0,-0.04020806376779841,-0.482496765213581,5.94222921942262,-0.197933683013828,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:08,glamerous,-,William Carson,Michael Attwater,9- 2,3,0,True,0,0.03034695,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910648,50/1,,,,,no_data,,,,,51.0,0.1,0.1563100576553491,0.7270560190703218,,,0.04294326076553491,51.0,0.02333541762828001,1.1901062990422804,106.89885565005162,0.11510633490536609,0.023802125980845606,0.023802125980845606,2.3802125980845608,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,imperial jade,-,Callum Hutchinson,Charlie Longsdon,9- 1,7,0,True,0,0.030261064,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,66/1,50/1,40/1,,,shortening,51.0,41.0,,,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.042865963365534915,67.0,0.027940590231206555,1.8720195454908395,184.17681327820483,0.13794085122795285,0.028363932507436962,0.028363932507436962,2.836393250743696,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,equion,75,Luke Morris,Tony Carroll,9- 7,8,0,True,0,0.030050283,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,15/2,7/1,,,,shortening,8.0,,,,8.5,0.1,0.1563100576553491,0.7270560190703218,,,0.04267626046553491,8.5,-0.0749707983579945,-0.6372517860429533,2.95177355190587,-0.37091085440765564,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m,Standard To Slow,1:08,villalobos,75,Alistair Rawlinson,Simon Hodgson,9- 2,7,0,True,0,0.029795995,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910651,9/2,,,,,no_data,,,,,5.5,0.1,0.1563100576553491,0.7270560190703218,,,0.04244740126553491,5.5,-0.1393707805526469,-0.766539293039558,1.2295299865879614,-0.6912972978284595,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,7f,Standard To Slow,4:08,lerwick,80,Edward Greatrex,Mark Loughnane,9- 9,6,0,True,0,0.029752186,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910649,9/2,4/1,7/2,,,shortening,5.0,4.5,,,5.5,0.1,0.1563100576553491,0.7270560190703218,,,0.042407973165534914,5.5,-0.13941020865264692,-0.766756147589558,1.228438493570167,-0.6918000010113015,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,summer appeal,-,Lewis Edmunds,William Muir & Chris Grassick,8 -13,4,0,True,0,0.029587273,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,66/1,,,,,no_data,,,,,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.042259551465534916,67.0,0.027334178331206556,1.8313899481908393,181.6863574900701,0.1358687772898882,0.02774833254834605,0.02774833254834605,2.774833254834605,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,1:38,miraflores,62,Kieran O'Neill,Rachel Cook & John Bridger,9- 0,4,0,True,0,0.02925614,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910652,33/1,25/1,,,,shortening,26.0,,,,34.0,0.1,0.1563100576553491,0.7270560190703218,,,0.04196153176553491,34.0,0.012549767059652557,0.4266920800281868,46.472080429743194,0.0625919561182723,0.012930063031157176,0.012930063031157176,1.2930063031157175,STRONG_BET_SINGLE,STRONG BET
kempton (aw),19 Jan 2026Polytrack,6f,Standard To Slow,3:38,gogo yubari,83,Oisin Murphy,Tony Carroll,9- 6,5,0,True,0,0.028262956,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910647,7/1,11/2,,,,shortening,6.5,,,,8.0,0.1,0.1563100576553491,0.7270560190703218,,,0.04106766616553491,8.0,-0.08393233383446509,-0.6714586706757207,2.520391229520069,-0.4229463744511592,0.0,0.0,0.0,NO_BET,PASS
kempton (aw),19 Jan 2026Polytrack,1m3f,Standard To Slow,2:38,king's cruiser,67,Luke Morris,Marco Botti,9- 4,4,0,True,0,0.027752971,0,False,https://www.racingpost.com/racecards/1079/kempton-aw/2026-01-19/910646,40/1,33/1,,,,shortening,34.0,,,,41.0,0.1,0.1563100576553491,0.7270560190703218,,,0.040608679665534914,41.0,0.01621843576309589,0.6649558662869315,65.49111248108092,0.08216779598061184,0.016623896657173287,0.016623896657173287,1.6623896657173287,STRONG_BET_SINGLE,STRONG BET
