Race_id,Predicted_Winner,Actual_Winner,Hit
Jebel Ali_2026-01-10_10:00,Olzhakhan,Nam Phrik,0
Jebel Ali_2026-01-10_10:30,High Everest,Yasup,0
Jebel Ali_2026-01-10_11:00,Whitegate,Whitegate,1
Jebel Ali_2026-01-10_11:30,Rawy,Indicate,0
Jebel Ali_2026-01-10_12:00,Excel Power,Excel Power,1
Jebel Ali_2026-01-10_12:30,Wraithy,Mawhoob,0
Kempton_2026-01-10_12:20,Gambino,Baron Noir,0
Kempton_2026-01-10_12:55,Leader In The Park,Lookaway,0
Kempton_2026-01-10_1:30,Senator,Precious Man,0
Kempton_2026-01-10_2:05,Your Darling,The Doyen Chief,0
Kempton_2026-01-10_2:40,Kalif Du Berlais,Edwardstone,0
Kempton_2026-01-10_3:17,Lanesborough,Iberico Lord,0
Kempton_2026-01-10_3:53,Courageous Strike,Williethebuilder,0
Kenilworth_2026-01-10_1:25,Sukhumvit,Wish List,0
Kenilworth_2026-01-10_2:00,Dance Variety,Kingdundee,0
Kenilworth_2026-01-10_2:45,Legal Counsel,The Real Prince,0
Lingfield (AW)_2026-01-10_11:40,Poetic Force,Francesi,0
Lingfield (AW)_2026-01-10_12:10,Tilsworth Max,Tilsworth Max,1
Lingfield (AW)_2026-01-10_12:40,Invincible Storm,Secret Road,0
Lingfield (AW)_2026-01-10_1:47,Woodstock City,Dream Pirate,0
Lingfield (AW)_2026-01-10_2:20,Faustus,Gogo Yubari,0
Lingfield (AW)_2026-01-10_3:00,Twilight Jet,The Thames Boatman,0
Lingfield (AW)_2026-01-10_3:38,Tortured Soul,Damascus Steel,0
Newcastle (AW)_2026-01-10_3:10,Hackney Diamonds,Star Cast,0
Newcastle (AW)_2026-01-10_3:47,Second Fiddle,Eligible,0
Newcastle (AW)_2026-01-10_4:20,Yorkstone,Eagles Whistle,0
Newcastle (AW)_2026-01-10_4:50,Top Gun Tina,Pink Socks,0
Newcastle (AW)_2026-01-10_5:20,Al Muddy,Ted Le Saux,0
Newcastle (AW)_2026-01-10_5:50,Bonito Cavalo,Lord Capulet,0
Newcastle (AW)_2026-01-10_6:20,See That Spark,Justmyluck,0
Newcastle (AW)_2026-01-10_6:50,Court Of Session,Spartan Fighter,0
Newcastle (AW)_2026-01-10_7:20,Poet,Athollblair Boy,0
