Race_id,Predicted_Winner,Actual_Winner,Prediction_Hit,Bet_Placed,Bet_Won,Total_Staked,Money_Made
Kempton (AW)_2026-01-19_1:08,Equion,Token Gesture,0,0,0,0.0,0.0
Kempton (AW)_2026-01-19_1:38,Conquest Of Power,Dr Ali,0,0,0,0.0,0.0
Kempton (AW)_2026-01-19_2:08,Five Moons,Helga,0,0,0,0.0,0.0
Kempton (AW)_2026-01-19_2:38,Lion City,Caliban,0,0,0,0.0,0.0
Kempton (AW)_2026-01-19_3:08,Unionville,Up The Agenda,0,0,0,0.0,0.0
Kempton (AW)_2026-01-19_3:38,Gogo Yubari,Your Love,0,0,0,0.0,0.0
Kempton (AW)_2026-01-19_4:08,Lerwick,I'm Workin On It,0,0,0,0.0,0.0
Lingfield_2026-01-19_12:50,Broken Vow,Broken Vow,1,0,0,0.0,0.0
Lingfield_2026-01-19_1:20,Connies Hill,Wondering Why,0,0,0,0.0,0.0
Lingfield_2026-01-19_1:50,Regal Blue,Aworkinprogress,0,0,0,0.0,0.0
Lingfield_2026-01-19_2:20,Canty Bay,Luwdvig,0,0,0,0.0,0.0
Lingfield_2026-01-19_2:50,Mac's Xpress,Bollin Thou,0,0,0,0.0,0.0
Lingfield_2026-01-19_3:20,Icaque de L'Isle,Icaque de L'Isle,1,0,0,0.0,0.0
Lingfield_2026-01-19_3:50,Jack The Nipper,Gwennie May Jem,0,0,0,0.0,0.0
