Race_id,Predicted_Winner,Actual_Winner,Prediction_Hit,Bet_Placed,Bet_Won,Total_Staked,Money_Made
Hereford_2026-01-12_1:00,Just In A Bit,Ithaka,0,0,0,0.0,0.0
Hereford_2026-01-12_1:30,Glancing Jack,Loaded And Locked,0,1,0,0.5558872801166667,-0.5558872801166667
Hereford_2026-01-12_2:00,Both Of Us,Vol Royale,0,1,0,0.7954155036388888,-0.7954155036388888
Hereford_2026-01-12_2:30,I Ain't Your Mate,Rodney,0,0,0,0.0,0.0
Hereford_2026-01-12_3:00,Dontworrywegotthis,Bollin Thou,0,1,0,0.6685382238888888,-0.6685382238888888
Hereford_2026-01-12_3:30,Harthill,Jamaicaine,0,1,0,1.1404757551856057,-1.1404757551856057
Hereford_2026-01-12_4:00,Roi Du Roume,That'll Be Oxo,0,1,0,0.6679669750763888,-0.6679669750763888
Lingfield (AW)_2026-01-12_12:40,Coronado King,Michaela's Boy,0,1,0,1.2779421005194807,-1.2779421005194807
Lingfield (AW)_2026-01-12_1:10,Prince Quattro,Nunc Est Bibendum,0,1,0,0.3701078062499999,-0.3701078062499999
Lingfield (AW)_2026-01-12_1:40,Tactical Blitz,Tenbob Tommy,0,0,0,0.0,0.0
Lingfield (AW)_2026-01-12_2:10,Miss Moonshine,Beauzon,0,1,0,3.812903249763889,-3.812903249763889
Lingfield (AW)_2026-01-12_2:40,Chloe's Courage,Mighty Ruler,0,1,0,1.31680255025,-1.31680255025
Lingfield (AW)_2026-01-12_3:10,Unknown Journey,Celtic John,0,1,0,3.8347378757499997,-3.8347378757499997
Lingfield (AW)_2026-01-12_3:40,Foreseen,Foreseen,1,1,0,1.8278280836893934,-1.8278280836893934
Punchestown_2026-01-12_12:48,Madness d'Elle,Kilmeaden,0,1,0,1.1130461911666667,-1.1130461911666667
Punchestown_2026-01-12_1:18,Eco Pete,Be Fierce,0,0,0,0.0,0.0
Punchestown_2026-01-12_1:48,Thecouncillorswife,Ill Raise A Glass,0,1,0,3.879327414,-3.879327414
Punchestown_2026-01-12_2:18,Kasper Hauser,Mojoe,0,1,0,2.241020251862013,-2.241020251862013
Punchestown_2026-01-12_2:48,Kimi De Mai,Shabby Hill,0,1,0,6.864047384623485,-6.864047384623485
Punchestown_2026-01-12_3:18,Cathryns Ruby,Lough Nigara,0,1,0,1.4758265896969696,-1.4758265896969696
Punchestown_2026-01-12_3:48,How's Hannah,How's Hannah,1,1,0,0.7793637935075757,-0.7793637935075757
Wolverhampton (AW)_2026-01-12_5:00,V Power,V Power,1,1,0,0.56157060825,-0.56157060825
Wolverhampton (AW)_2026-01-12_5:30,Lina Codina,Grey Horizon,0,1,0,0.5304588433333335,-0.5304588433333335
Wolverhampton (AW)_2026-01-12_6:00,Thequietman,All Moonshine,0,1,0,7.372780732212301,-7.372780732212301
Wolverhampton (AW)_2026-01-12_6:30,Flowstate,Bear Rock,0,1,0,2.3832475974166667,-2.3832475974166667
Wolverhampton (AW)_2026-01-12_7:00,Prancy Peer,Because We Can,0,0,0,0.0,0.0
