Race_id,Predicted_Winner,Actual_Winner,Prediction_Hit,Bet_Placed,Bet_Won,Total_Staked,Money_Made
Kempton_2026-02-02_12:52,Miracles Do Happen,Lady Magic,0,0,0,0.0,0.0
Kempton_2026-02-02_1:27,I Play County,Aviation,0,0,0,0.0,0.0
Kempton_2026-02-02_2:02,Tom Desjy,Reckless Spending,0,0,0,0.0,0.0
Kempton_2026-02-02_2:35,Tyson,Gooloogong,0,0,0,0.0,0.0
Kempton_2026-02-02_3:07,Madara,Issam,0,0,0,0.0,0.0
Kempton_2026-02-02_3:42,Washington Singer,Guchen,0,0,0,0.0,0.0
Kempton_2026-02-02_4:17,Six Blue,Lover Desbois,0,0,0,0.0,0.0
Leopardstown_2026-02-02_1:15,Doctor Steinberg,Doctor Steinberg,1,0,0,0.0,0.0
Leopardstown_2026-02-02_1:50,Selma De Vary,Narciso Has,0,0,0,0.0,0.0
Leopardstown_2026-02-02_2:25,Barra Rua,Saint Le Fort,0,0,0,0.0,0.0
Leopardstown_2026-02-02_2:55,Romeo Coolio,Romeo Coolio,1,0,0,0.0,0.0
Leopardstown_2026-02-02_3:30,Gaelic Warrior,Fact To File,0,0,0,0.0,0.0
Leopardstown_2026-02-02_4:05,Inthepocket,Jacob's Ladder,0,0,0,0.0,0.0
Leopardstown_2026-02-02_4:40,Charismatic Kid,Broadway Ted,0,0,0,0.0,0.0
Southwell_2026-02-02_1:02,Roger Rarebit,Duhallow Tommy,0,0,0,0.0,0.0
Southwell_2026-02-02_1:37,Flash In The Park,Daytime Dreaming,0,0,0,0.0,0.0
Southwell_2026-02-02_2:12,Lawsky,Wilstar,0,0,0,0.0,0.0
Southwell_2026-02-02_2:45,Desertmore News,Desertmore News,1,0,0,0.0,0.0
Southwell_2026-02-02_3:17,Kellebelle,Parish Star,0,0,0,0.0,0.0
Southwell_2026-02-02_3:52,Jackpot Cash,Bitsnbuckles,0,0,0,0.0,0.0
Southwell_2026-02-02_4:27,Bombay Pete,La Higuera,0,0,0,0.0,0.0
Wolverhampton (AW)_2026-02-02_5:00,Shahbaz,Take The Boat,0,0,0,0.0,0.0
Wolverhampton (AW)_2026-02-02_5:30,Avalon Mill Mehmas,Horace Wallace,0,0,0,0.0,0.0
Wolverhampton (AW)_2026-02-02_6:00,Forest Gunner,My Genghis,0,0,0,0.0,0.0
Wolverhampton (AW)_2026-02-02_6:30,Youarenotforgiven,Mr Nugget,0,0,0,0.0,0.0
Wolverhampton (AW)_2026-02-02_7:00,Tiger Beetle,Law Supreme,0,0,0,0.0,0.0
Wolverhampton (AW)_2026-02-02_7:30,Fleurman,Francesco Baracca,0,0,0,0.0,0.0
Wolverhampton (AW)_2026-02-02_8:00,Fickle McSelfish,Electrocution,0,0,0,0.0,0.0
